,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgxqFFxhdGYM3gKvPnx4AaABAg,Светлана Белоха,Браво 💙💛❤️,2022-05-05T04:10:28Z,0
1,UgxqFFxhdGYM3gKvPnx4AaABAg,Таня Гончарук,"Так любити рідну країну, дано далеко не кожному! Я ЩИРО ПИШАЮСЬ ТИМ, ЩО ВИРОСЛА ПО-СУТІ НА ВАШИХ ПІСНЯХ!!!
Вітання із Житомира.",2022-05-03T14:48:36Z,0
2,UgxqFFxhdGYM3gKvPnx4AaABAg,Русское поле,"Один из идеологов нынешней украинской военной кампании, советник горе-президента-шоумена Зеленского -  А.Арестович: ""Одна из центральных национальных идей Украины – это как можно больше врать себе и другим. Потому что если сказать правду, рухнет все. И надо придумывать что-то другое. Вот такое у нас базовое несбалансированное противоречие"". (Цитата с видео).",2022-05-02T12:34:58Z,0
3,UgxqFFxhdGYM3gKvPnx4AaABAg,Светлана Колибри,"Пісня про усю Україну, борони Боже💙💛☀💕",2022-04-30T21:23:52Z,0
4,UgxqFFxhdGYM3gKvPnx4AaABAg,ИЛКА,"Святослав, спасибо за Ваши песни! Эти слова всегда попадают прямо в душу, вдохновляют и воодушевляют. Знаю, что и Харьков для Вас лично чуть ли не второй родной город 😊
Вот было бы здорово услышать такую же композицию в коллаборации с Сергеем Бабкиным, например. До сих пор считаю проект ""Брюссель"" и концерт в ХАТОБе лучшим🤗",2022-04-22T08:57:24Z,0
5,UgySsiqaXmpsE97HbFh4AaABAg,Ян Ґанж,"@Alexander M, нас в школі заставляли розмовляти російською, потім в інституті викладали російською. Багато перейшли, так ліпше було, пристосуватися.
Все думав, як їм сказати, що так не правильно.
В Канадах і Америках українці своєї не забувають по 5-7 поколінь. А в нас біда.
Якщо людина помирає , то перед судом Божим є суд предків 💯%>< І ти так починаєш відповідати прадідам ""па як-🐐"", а вони тебе не розуміють. Уяви, що вони зроблять з твою підлою душечкою, навіть Бог злякається.",2022-05-07T19:47:25Z,0
6,UgySsiqaXmpsE97HbFh4AaABAg,Ян Ґанж,"@Alexander M , щось ти балачки не знаєш. Тому й не вибачатимусь.
Я коли вперше почув кубанську балачку в 80-90р подумав, що то люди з західного Поділля.
А історія вона така штука, діди й баби в Україні боялися про голодомор згадувати... А як всі за сталіном плакали то пристосуванці також мусили сльозу пустити.
Тільки материна тітка Мотря, коли була в Донецьку, спересердя задницю його портрету показала... Козаки були й там: побачив, насварив, але не продав.
УПА було всюди де були Українці. Більше частина ""Молодої гвардії"" (ти так знаєш) були з УПА. 
В Херсоні УПА керував Богдан Бандера.
Знаєш походження його прізвища? Бандера=Бандура 👍🔥",2022-05-07T15:44:02Z,0
7,Ugy09C9c8_RCtW_Mt514AaABAg,Русское поле,Россия победит нацизм ! За Путина! За свободу!,2022-05-07T11:04:20Z,0
8,Ugz3XCaDvuad2gshONF4AaABAg,Olena Lakh,"Ваша думка помилкова. Я зі Львова і поважаю всіх людей зі східної частини України, які дійсно люблять свою країну. А мова це справа часу, не всім так легко перейти відразу, просто треба намагатись.",2022-05-08T07:28:01Z,1
9,Ugz3XCaDvuad2gshONF4AaABAg,Ян Ґанж,"Батьківщина є в кожного.
Навіть в ОРКів є своя паРаша...
Схід і Захід разом... 
Однозначно, але АРМІЯ МОВА Й ВІРА - *какая рАзница*  - вже не пройде.",2022-05-06T08:07:42Z,1
10,Ugw5cn62bbsYkkb9Fcp4AaABAg,Ян Ґанж,"*рашу на паРашу*
Пьяные крики и запах сортира -
Внешние признаки ""русского мира"".
Цепь золотая на шее банкира -
Связь поколений ""русского мира"".
Русский язык стал родным для башкира -
Это политика ""русского мира"".
У депутата седьмая квартира -
Вот справедливость ""русского мира"".
Крест золотой на груди рэкетира -
Это духовность ""русского мира"".
Из негодяя сделать кумира -
Идеология ""русского мира"".
Ложь ежедневная телеэфира -
Это правдивость ""русского мира"".
Двадцать копеек пачка пломбира -
Память фантомная ""русского мира"".
В морду удар от отца-командира -
Вот ""педагогика"" ""русского мира"".
Насмерть кувалдой забить дезертира -
Это гуманность ""русского мира"".
Сытый смешок на устах конвоира -
Это реальность ""русского мира"".
Вор, матершинник, подлец и задира -
Это сторонник ""русского мира"".
Кнут, кандалы, яд, петля и секира -
Издревле скрепы ""русского мира"".
Смерть вместо масла, война вместо мира -
Это основа ""русского мира"".
Братья, друзья, земляки-украинцы!
Разве нужны нам такие ""гостинцы?🔥🔥🔥
У каждой страны есть запах особый…

Пахнет Италия свежею сдобой.

Франция пахнет вином и духами,

Ну, а Швейцария пахнет сырами,

Пахнет Голландия запахом пряным –

кофе, тюльпанами, марихуаной.

Бельгия пахнет Евросоюзом,

А в Люксембурге – фруктами-смузи,

Пахнут Германия с Чехией пивом.

Продажной любовью пахнут Мальдивы.

Пахнет Бразилия сексом и танцем.

Чаем и тостами пахнут британцы.

Пахнут свободой Америки штаты,

Нефтью воняет песок в Эмиратах,

Пахнет рабочею силой Китай,

Пахнет Япония острым вассаби,

В Индии Гангом воняет неслабо,

Пахнет гашишем Афганистан,

Маком душистым разит Пакистан,

Пахнет Колумбия лишь кокаином,

Пахнет пшеница и рожь в Украине,

Мексика пахнет текилой и тако,

Пахнет на Кубе душистый табак.

Телом немытым, говном, перегаром,

Гарью удушливой, гнилью, угаром,

Пьяная ругань и запах сортира –

Внешние признаки русского мира,

Тленом и кровью, плешивым ,,мессией”,

Чуете вонь? Это запах России... 👍
Никогда мы не будем братьями!
Ни по родине, ни по матери.
Духа нет у вас быть свободными —
нам не стать с вами даже сводными.
Вы себя окрестили «старшими» —
нам бы младшими, да не вашими.
Вас так много, а, жаль, безликие.
Вы огромные, мы — великие.
А вы жмете… вы всё маетесь,
своей завистью вы подавитесь.
Воля — слово вам незнакомое,
вы все с детства в цепи закованы.
У вас дома «молчанье — золото»,
а у нас жгут коктейли Молотова,
да, у нас в сердце кровь горячая,
что ж вы нам за «родня» незрячая?
А у нас всех глаза бесстрашные,
без оружия мы опасные.
Повзрослели и стали смелыми
все у снайперов под прицелами.
Нас каты на колени ставили —
мы восстали и всё исправили.
И зря прячутся крысы, молятся —
они кровью своей умоются.
Вам шлют новые указания —
а у нас тут огни восстания.
У вас Царь, у нас — Демократия.
Никогда мы не будем братьями. 🔥",2022-05-06T08:10:06Z,0
11,Ugw5cn62bbsYkkb9Fcp4AaABAg,Ян Ґанж,"Місто козака Харка, що біля Золочева 💯% Україна.",2022-05-06T08:09:45Z,0
12,Ugw5cn62bbsYkkb9Fcp4AaABAg,Русское поле,Харьков - русский город.,2022-05-05T20:20:21Z,0
13,Ugz0HSVUwrEGgD7Xzl54AaABAg,Ян Ґанж,"Прівєт, *рашу на паРашу*
Пьяные крики и запах сортира -
Внешние признаки ""русского мира"".
Цепь золотая на шее банкира -
Связь поколений ""русского мира"".
Русский язык стал родным для башкира -
Это политика ""русского мира"".
У депутата седьмая квартира -
Вот справедливость ""русского мира"".
Крест золотой на груди рэкетира -
Это духовность ""русского мира"".
Из негодяя сделать кумира -
Идеология ""русского мира"".
Ложь ежедневная телеэфира -
Это правдивость ""русского мира"".
Двадцать копеек пачка пломбира -
Память фантомная ""русского мира"".
В морду удар от отца-командира -
Вот ""педагогика"" ""русского мира"".
Насмерть кувалдой забить дезертира -
Это гуманность ""русского мира"".
Сытый смешок на устах конвоира -
Это реальность ""русского мира"".
Вор, матершинник, подлец и задира -
Это сторонник ""русского мира"".
Кнут, кандалы, яд, петля и секира -
Издревле скрепы ""русского мира"".
Смерть вместо масла, война вместо мира -
Это основа ""русского мира"".
Братья, друзья, земляки-украинцы!
Разве нужны нам такие ""гостинцы?🔥🔥🔥
У каждой страны есть запах особый…

Пахнет Италия свежею сдобой.

Франция пахнет вином и духами,

Ну, а Швейцария пахнет сырами,

Пахнет Голландия запахом пряным –

кофе, тюльпанами, марихуаной.

Бельгия пахнет Евросоюзом,

А в Люксембурге – фруктами-смузи,

Пахнут Германия с Чехией пивом.

Продажной любовью пахнут Мальдивы.

Пахнет Бразилия сексом и танцем.

Чаем и тостами пахнут британцы.

Пахнут свободой Америки штаты,

Нефтью воняет песок в Эмиратах,

Пахнет рабочею силой Китай,

Пахнет Япония острым вассаби,

В Индии Гангом воняет неслабо,

Пахнет гашишем Афганистан,

Маком душистым разит Пакистан,

Пахнет Колумбия лишь кокаином,

Пахнет пшеница и рожь в Украине,

Мексика пахнет текилой и тако,

Пахнет на Кубе душистый табак.

Телом немытым, говном, перегаром,

Гарью удушливой, гнилью, угаром,

Пьяная ругань и запах сортира –

Внешние признаки русского мира,

Тленом и кровью, плешивым ,,мессией”,

Чуете вонь? Это запах России... 👍
Никогда мы не будем братьями!
Ни по родине, ни по матери.
Духа нет у вас быть свободными —
нам не стать с вами даже сводными.
Вы себя окрестили «старшими» —
нам бы младшими, да не вашими.
Вас так много, а, жаль, безликие.
Вы огромные, мы — великие.
А вы жмете… вы всё маетесь,
своей завистью вы подавитесь.
Воля — слово вам незнакомое,
вы все с детства в цепи закованы.
У вас дома «молчанье — золото»,
а у нас жгут коктейли Молотова,
да, у нас в сердце кровь горячая,
что ж вы нам за «родня» незрячая?
А у нас всех глаза бесстрашные,
без оружия мы опасные.
Повзрослели и стали смелыми
все у снайперов под прицелами.
Нас каты на колени ставили —
мы восстали и всё исправили.
И зря прячутся крысы, молятся —
они кровью своей умоются.
Вам шлют новые указания —
а у нас тут огни восстания.
У вас Царь, у нас — Демократия.
Никогда мы не будем братьями. 🔥",2022-05-06T08:11:56Z,0
14,Ugykckj3INpvtME2Kft4AaABAg,Ян Ґанж,"У Львові розмовляють українською джезвою.
Попроси тата най ті навчить. 👍",2022-05-05T08:52:37Z,0
15,Ugys_KfkMj5u2wa8U-R4AaABAg,huarsum,Thank you 🙏❤️‍🔥🦾🇺🇦,2022-05-05T22:51:07Z,0
16,Ugy2VS4xYdc7DIJA6i14AaABAg,huarsum,Вінниця з вами💙💛,2022-05-06T10:14:20Z,1
17,Ugy-5de2p747z8zfh5t4AaABAg,Vladimir Kappa,"Пусть уж украинцы сами решают, сладко ли им иль весело.",2022-05-05T10:51:44Z,1
18,Ugy-5de2p747z8zfh5t4AaABAg,Наталія,"Серйозно, а я от думаю завжди що всі проблеми і біди у нас через грьобану расєю,  а не наших президентів.",2022-05-05T10:12:09Z,2
19,UgwVwfvfi2Sm3Q4ivst4AaABAg,Русское поле,Они уже пожинают...,2022-05-01T20:59:07Z,1
20,UgzrjE8xMahy6TZd1Q14AaABAg,User User,Дякую!,2022-05-01T11:13:21Z,2
