,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,Ugxg2ixy4JU8FTx3HC94AaABAg,валентин шаровара,О,2022-05-08T09:57:10Z,0
1,Ugxg2ixy4JU8FTx3HC94AaABAg,Нип Пель,"Э! Короче, это! Охринел?! Давай, кароч, это. Какчай, кароч. На укр.  Это.😊",2022-05-02T22:44:57Z,0
2,Ugxg2ixy4JU8FTx3HC94AaABAg,Любов Діденко,Калуш ти найккращій співак вибачаюсь  я не вмію писати на Укр.Мові  тому що я говорю по російськи але я народилася в Україні мені сім років і я обожнюю твої пісні для мене ти топ,2022-05-02T15:01:01Z,0
3,Ugxg2ixy4JU8FTx3HC94AaABAg,Milana-Eda Alkan,Вы крутые!!! Первые кого я буду слушать… украинские ребята !!,2022-04-30T09:34:24Z,0
4,Ugxg2ixy4JU8FTx3HC94AaABAg,Наталия Гуляницкая,Це щось неймовірне,2022-04-22T18:47:36Z,0
5,UgzJiljzwmsb9WHsCB94AaABAg,Україна Переможе,Удачі,2022-03-10T11:31:44Z,0
6,UgyDqYam5VJLZwYiozV4AaABAg,Herman Kompaniiets,Ми ще довго будемо відригувати вашу братерську любов православну...,2022-03-12T21:06:06Z,3
7,UgwfExUg5IDV7khfylF4AaABAg,Vera Zadorozhnyaya,"Дякуємо Польщі ,,українці це ніколи
Не забудуть вашу підтримку!!",2022-04-29T21:45:57Z,2
8,UgwfExUg5IDV7khfylF4AaABAg,Not Defined,СЛАВА УКРАЇНІ🇺🇦🇺🇦🇺🇦🇺🇦,2022-04-12T16:36:47Z,2
9,UgwfExUg5IDV7khfylF4AaABAg,Аніта Доманська,СЛАВА УКРАЇНІ🇺🇦🇺🇦🇺🇦🇺🇦,2022-04-03T09:49:55Z,2
10,UgwfExUg5IDV7khfylF4AaABAg,Herman Kompaniiets,"Дякуємо брати поляки!

Героям слава!",2022-03-08T20:39:50Z,6
11,UgzR-UH8hww76FtiZTh4AaABAg,Huilovtsam_Kaput!,"Манкурт, ти огидний!",2022-04-22T20:41:21Z,0
12,UgzR-UH8hww76FtiZTh4AaABAg,Herman Kompaniiets,До Києва його або до Харкова!,2022-03-08T20:41:25Z,0
13,UgzR-UH8hww76FtiZTh4AaABAg,Elijah Smith,"чувак, не позорся",2022-03-08T03:07:53Z,4
14,UgxY6iGoXyl4fU8JFSV4AaABAg,Олег Давидов,@mmacalina той хто проснувся тут свій час не гає...а ми ще шукаємо,2022-02-14T10:48:33Z,0
15,UgxY6iGoXyl4fU8JFSV4AaABAg,mmacalina,ми вже проснулися. А ви ще спите,2022-02-14T10:42:39Z,1
16,Ugxu0OPXyynxzaJgZUJ4AaABAg,Julia Tkachenko,сопілка,2022-02-19T20:50:52Z,0
17,Ugz7Wh5GUMLZ2b8IVtd4AaABAg,Владимир Яцентюк,"Вот как раз Калуш и Вова из Львова это да похоже ) одинаково безпонтово звучит, а вот Skofka top , он один вытягивает все песни , когда начинается куплет Калуша мне стает стыдно его слушать , хочу сразу перемотать ....",2022-02-18T21:23:16Z,0
18,UgxpqFuYZsVw1NQvMAd4AaABAg,Кристина Мася,"Я розумію, про що кажу, мій рік навчався 1991",2022-02-01T07:36:37Z,0
19,UgxpqFuYZsVw1NQvMAd4AaABAg,Кристина Мася,"Клип, не в  тему! Это  на чистоту!",2022-02-01T07:28:04Z,0
20,UgycQLxTbk6ZEu0hWBt4AaABAg,Кристина Мася,Люды як караблі,2022-02-01T07:33:47Z,0
21,UgycQLxTbk6ZEu0hWBt4AaABAg,Кристина Мася,"На чистоту, на пикапе , Кузьму послушай и поймёшь о чём я говорю!",2022-02-01T07:31:23Z,0
22,Ugypx0rGK3LCirHekzZ4AaABAg,Herman Kompaniiets,Київське море. Вишгород.,2022-02-01T21:40:41Z,0
23,UgxR_OjFYwBeqn3ljt94AaABAg,Larysa Cherner,@Music 4 life 😌,2022-01-10T06:58:10Z,0
24,UgxR_OjFYwBeqn3ljt94AaABAg,Music 4 life,@Larysa Cherner 😀,2022-01-10T06:05:41Z,0
25,UgxR_OjFYwBeqn3ljt94AaABAg,Larysa Cherner,"Чудова панама. Як у молодого Ліама Галлагера, а він завжди був іконою стилю :)",2022-01-09T21:05:46Z,1
26,UgwcXcu65VHJmgN1Ufp4AaABAg,Dmitry USA,"Так слухай дальше свій бтс, чорт",2022-01-08T22:23:59Z,0
27,UgwcXcu65VHJmgN1Ufp4AaABAg,Sun Shade,"Ще варто б текс перекласти з мови оригінал, цікаво чи є схожість",2022-01-04T11:20:01Z,0
28,UgxrgpprPtEOudoHCTJ4AaABAg,Владимир Яцентюк,"Skofka это тот кто сам делает в 100 раз круче , зачем тянуть Калуша за уши ?..",2022-02-18T21:14:04Z,0
29,UgwWoKT5xYO2XtycTtF4AaABAg,Herman Kompaniiets,Так,2022-01-15T20:41:57Z,0
30,Ugz5Hm4OhfNEutRpfSp4AaABAg,Павел Меликаев,Підтримаю ідею 🇺🇦💪🏼,2022-03-26T18:10:14Z,1
31,Ugz5Hm4OhfNEutRpfSp4AaABAg,Valentin Karaman,"Залакайте, этот комментарий, про военных, пусть увидят",2022-02-23T18:45:44Z,2
32,Ugz5Hm4OhfNEutRpfSp4AaABAg,Сергей Леванчук,так,2022-02-19T20:40:11Z,3
33,Ugz5Hm4OhfNEutRpfSp4AaABAg,Петро Попович,Підтримую! Дуже цікаво!,2022-02-12T11:28:24Z,7
34,Ugz5Hm4OhfNEutRpfSp4AaABAg,dagny taggart,Цікава ідея,2022-02-11T12:20:56Z,7
35,UgySbNcEoVGWQzF2HYp4AaABAg,юра юдин,героям слава,2022-04-17T14:19:06Z,0
36,UgxvGLEzfuLSvQN7Bzp4AaABAg,KALUSH,вдячні) чули цілий альбом?,2021-11-23T17:46:54Z,0
37,UgxLD-VbUsV1l5IU2it4AaABAg,TeSs,@KALUSH звичайно),2021-11-23T17:56:24Z,0
38,UgxLD-VbUsV1l5IU2it4AaABAg,KALUSH,"і ви, тому що підтримуєте українське і проявляєте активність на каналі) підписалися?",2021-11-23T17:48:38Z,0
39,UgyfZ_W5nZXuLFeFzq14AaABAg,Ника,Так держать,2021-11-22T20:06:35Z,1
40,UgwEVXdK4ur7gEK-HfR4AaABAg,KALUSH,ви теж) були на нашому концерті?,2021-11-23T17:49:44Z,0
41,Ugw64Boj82fhVx0jRt94AaABAg,KALUSH,"хотіли б чути сумні, чи веселі?",2021-11-23T17:51:10Z,0
42,Ugwcp00rhQrNy4i201t4AaABAg,KALUSH,"круто, що прийшли б на концерт) постараємося приїхати) візьмете друзів з собою?",2021-11-22T14:30:51Z,1
43,Ugwq29vEoLGfvdbWw3R4AaABAg,Ukrainian,"Дуже))
Таку пісню гріх не вклучити на всю гучність",2021-11-22T20:59:32Z,2
44,Ugwq29vEoLGfvdbWw3R4AaABAg,KALUSH,дуже голосно слухаєте?),2021-11-22T14:31:40Z,2
45,UgyZJ0TD2f08eb-04u14AaABAg,KALUSH,дуже дякуємо) як вам альбом?,2021-11-22T14:33:07Z,0
46,UgwsXf7pSKtopLd8PVl4AaABAg,KALUSH,"дякуємо, якісь ще подобаються?",2021-11-23T17:52:47Z,0
47,Ugxv9Gfx90zGwf7nuX54AaABAg,KALUSH,то від вас така цифра тільки?),2021-11-22T14:34:24Z,0
48,Ugy5tqJunwiyFcLtvqB4AaABAg,KALUSH,маєте улюблений трек може?) вдячні),2021-11-18T17:46:52Z,0
49,UgzMLB2xzgaPPedVWYR4AaABAg,KALUSH,вдячні) хотіли б більше душевних треків?,2021-11-17T14:44:00Z,0
50,Ugx2SbsGzcfjAbiqqrx4AaABAg,KALUSH,подякували від всього серця),2021-11-17T14:44:38Z,1
51,Ugz5kgxA69wRtilLOg54AaABAg,KALUSH,дякуємо) з ким ще подобаються колаборації?,2021-11-17T14:47:05Z,0
52,UgztMMrcQ6pXBlTPEtx4AaABAg,KALUSH,"і такі класні слухачі, як ви!",2021-11-18T17:49:50Z,0
53,UgxiexsHz99KKqXx8-l4AaABAg,KALUSH,а як вам кліп?) подякували від щирого серця),2021-11-17T14:47:52Z,0
54,UgyXxwwcXf4LIdMRWc54AaABAg,KALUSH,аж почули власний голос на концертах),2021-11-16T16:30:24Z,0
55,UgwxkiC7Xbgm7YfUBv54AaABAg,KALUSH,вдячні!,2021-11-15T17:22:27Z,0
56,UgyUtluD3sidrShJlAd4AaABAg,KALUSH,ми вас теж чекатимемо),2021-11-15T17:22:56Z,1
57,UgwjzjR7dzHnSii-tg94AaABAg,KALUSH,"це перший трек, який почули? підписуйтеся, раді вас бачити з нами!",2021-11-15T17:23:45Z,0
58,Ugy-D6ADcF9HNcwlEu94AaABAg,KALUSH,тільки вперед!,2021-11-16T16:34:08Z,0
59,UgzAmtdh4yOnSFhK9TR4AaABAg,Владимир Яцентюк,"Чувак Калуш , этот тот кгюого в каждой совместке с Скофкой просто хочется вырезать и слушать только Скофку , это разные уровни ....это как сравнивать Басту и Сяву ...!!)",2022-02-18T21:18:03Z,0
60,UgzAmtdh4yOnSFhK9TR4AaABAg,Ярослав Тимофеев,@KALUSH знакомы с творчеством все,2022-01-06T19:03:04Z,4
61,UgzAmtdh4yOnSFhK9TR4AaABAg,KALUSH,"вам респект,що слухаєте! багато з ваших друзів знайомі з нашою творчістю?",2021-11-17T14:52:56Z,12
62,UgyDwxWjvxzkHagwvnp4AaABAg,KALUSH,вдячні від цілого серця),2021-11-10T13:13:54Z,0
63,UgxbE7XV1XugHSz2oYN4AaABAg,Лиса Алиса,@KALUSH авжеж😀,2021-11-11T15:18:56Z,0
64,UgxbE7XV1XugHSz2oYN4AaABAg,KALUSH,дуже приємно! чекаєте нових треків?,2021-11-11T15:05:58Z,0
65,UgwSDKo2SlPQyJLasEJ4AaABAg,Olena Pylypaka,"@KALUSH 
Якщо чесно, то ВСІ треки, записані із Скофкою вважаю шедеврами.
Хоча це ніби-то й не мій формат, бо я вже маю 55 років.😉",2021-11-09T15:23:15Z,0
66,UgwSDKo2SlPQyJLasEJ4AaABAg,KALUSH,"дякуємо, ще якісь треки зі Скофкою подобаються?",2021-11-09T15:13:59Z,0
67,Ugwjn4g0zrQVEB86J9Z4AaABAg,KALUSH,"вдячні, якісь слова вас зачепили?)",2021-11-09T15:14:21Z,0
68,UgwwrXdjhbyvHJsme-J4AaABAg,Bohdan,"@KALUSH Onuka, Wellboy, Go-A Подобається поєднання сучасної музики  та українських народних інструментів)",2021-11-18T22:22:12Z,0
69,UgwwrXdjhbyvHJsme-J4AaABAg,KALUSH,дуже приємно) когось ще з українських виконавців слухаєте?,2021-11-09T15:14:42Z,0
70,UgxT6iBXVwV4bIlpq9B4AaABAg,Andrey Stasyk,Бро я фанат тяжкого року … Але завдяки тобі я тепер знаю що таке реп який тягне мене в космос,2022-01-24T16:02:00Z,0
71,UgxT6iBXVwV4bIlpq9B4AaABAg,KALUSH,до нас взагалі не слухали?),2021-11-11T15:13:42Z,0
72,Ugw-jjoNL9P__CAnaWp4AaABAg,KALUSH,ці слова вас зачіпили?,2021-11-09T15:18:16Z,1
73,UgxBNFa0nGzPupZqXDh4AaABAg,KALUSH,подякували!,2021-11-09T15:21:06Z,0
74,Ugw1Mlgpjsg7fDul72l4AaABAg,KALUSH,приємно! ще якісь наші треки маєте у своєму плейлисті?,2021-11-10T13:19:54Z,0
75,UgzD1nPkKRK1VSkxF9F4AaABAg,KALUSH,вдячні! давно з нами?,2021-11-11T15:38:42Z,0
76,Ugz-AWIwtpcJlKJzc1F4AaABAg,Klevoye rukodeliye,Те саме і камін і мною зробили.,2022-02-02T08:56:17Z,0
77,UgxHSHpU-qqxw_vHNqN4AaABAg,KALUSH,"вдячні, що теж її використовуєте)",2021-10-28T17:02:49Z,1
78,Ugw27-QGKgA_wf4ky2F4AaABAg,KALUSH,вдячні від цілого серця! прослухали цілий альбом зі Скофкою?,2021-10-27T15:49:44Z,0
79,UgwZLL7wAuYC41Fn0FJ4AaABAg,KALUSH,вдячні! хочете на концерт?,2021-10-27T16:00:05Z,0
80,UgxNASxuOBprshj2nfR4AaABAg,Андрей Шохин,@KALUSH спробувати завжди можна),2021-10-27T04:55:21Z,0
81,UgxNASxuOBprshj2nfR4AaABAg,KALUSH,вже би могли зачитати?),2021-10-26T16:59:26Z,0
82,Ugwg4Uw2i3gsgA5Bs8t4AaABAg,KALUSH,"круто, що вам сподобалося і що повертаєтеся на канал знову і знову!",2021-10-26T16:59:52Z,1
83,UgyO5LSXEVPDTs6kngV4AaABAg,KALUSH,"дякуємо, що так активно коментуєте)",2021-10-26T17:00:39Z,0
84,Ugwb2q-8HBrU32x5h5F4AaABAg,Yevhen M,"@KALUSH  Друже можлиог трохи відверто, але Ми на Нічній Риболовлі коли горить вогонь, а Ми трохи розслабитися по чарці і папіросу на компанію. 
Під цю пісню без слів спілкуємося!!!",2021-10-30T17:02:17Z,0
85,Ugwb2q-8HBrU32x5h5F4AaABAg,KALUSH,дякуємо! додали в плейлист?,2021-10-26T17:01:43Z,1
86,UgwybObvJpuorbAf2EJ4AaABAg,KALUSH,"слухайте навіть тоді, коли не сумно) просто обирайте більш веселий трек)",2021-10-26T17:05:11Z,0
87,UgzKLm5eDZ0NJxUOlDl4AaABAg,KALUSH,"дуже дякуємо, приємно!",2021-10-25T17:22:22Z,0
88,Ugyjj_DwAKnvS6lH81N4AaABAg,Love Ukraine 💙💛,"@KALUSH файна, додому 🤞👌👌👌",2021-10-25T17:32:11Z,0
89,Ugyjj_DwAKnvS6lH81N4AaABAg,KALUSH,вдячні) які ще треки наші у вашому плейлисті?,2021-10-25T17:26:04Z,0
90,Ugx84akkn8lTEjhx8fF4AaABAg,KALUSH,приємно чути! були на нашому концерті?,2021-10-25T17:31:07Z,0
91,UgzDqvNlKDY1n-oeTHp4AaABAg,KALUSH,дякуємо!,2021-10-25T17:31:25Z,0
92,Ugz6oC9W7eFUAgXdW7Z4AaABAg,Natasza Sikon,"Sorry, помилка:
Scofka 😁",2021-10-26T17:38:09Z,0
