,id,comment,author,likecount,publishedAt
0,Ugxg2ixy4JU8FTx3HC94AaABAg,"Колись мій коріш казав мені, шо я круто читаю і шоб я починав вже читати по рус, бо укр реп якось ""не звучить"", на шо я відповів, шо я зроблю так шо такі тупі клішовані фрази стануть не актуальними, я надіюсь я в правильному руслі рухаюсь і мене дуже радує коли я читаю як люди кажуть шо укр реп тру

підписуйтесь на наші інсти, в нас з Скофом схожі цілі, стараємось для вас..

https://www.instagram.com/kalush.official/?hl=uk

https://www.instagram.com/skofka.ua/?hl=uk",KALUSH,6500,2021-06-30T07:59:43Z
1,UgwnCvtthKUEfE-RBnB4AaABAg,"Мені 50 років,  і мені дуже подобається ваша творчість. Половина пісень у моєму плей листі ваші.",Olena Lakh,0,2022-05-08T11:14:01Z
2,UgwqRQDMkgcZLU_xM654AaABAg,"Молодці дуже приємно слухати вас,  прямого шляху без різких поворотів,так тримати!",Mariana Koretska,1,2022-05-07T11:08:29Z
3,Ugw4juFQ61oF5Nyz1894AaABAg,"Давай на чистоту, сядем разом на мосту
І побазарим зараз тут хай старі рани заростуть
Давай на чистоту, сядем разом на мосту
І побазарим зараз тут хай старі рани заростуть
Розкажи друг, шо не так, де пропадаєш так давно?
Може я провтикав літак, а ти літаєш наді мною
Куди звонить? Дай цифри по яким ти в зоні доступу
Ми сядем в тачку, газ до поліка, в полi (пупупу) в пустоту
Давай забудемо обіди братан, напишем на паперi, викiнем за паркан
Будем думать шо це був невдалий
Пранк, залетим в клуб і сядем за один танк
Друже, я за тобой скучав, давай намутим голку і надуем м'яча,
А помниш той чат? Під вікном кричать! Як на чувачі ми ділили дівчат
Давай на чистоту, сядем разом на мосту
І побазарим зараз тут хай старі рани заростуть
Давай на чистоту, сядем разом на мосту
І побазарим зараз тут хай старі рани заростуть
Ми самі обманули, ми самі до сивини
Розумієм нононононо правда колить
Ми самі обманули, ми самі до сивини
Розумієм нононононо правда колить
Біля мене кругом були,
Ніби брудні вікна і тупік, там всі дома склонилися на бік
Після пари промахів, вже недовіра вічна, мені звично тільки віч-на-віч
Я повторю знову тобі: Будь тру, бо так тупо всі потуги в ступор завели
Панти тебе. Це фейковий рупор, дружбі — це штопор, затуп
Я не в пантах, от не дивина — не попав в пастку
Просто я думок людей
Знооооооов
Я не в пантах, от не дивина — не попав в пастку
Просто я думок людей
Знооооооов
Давай на чистоту, сядем разом на мосту
І побазарим зараз тут хай старі рани заростуть
Давай на чистоту, сядем разом на мосту
І побазарим зараз тут хай старі рани заростуть",Ростик Жирівський UA,0,2022-05-06T23:10:14Z
4,UgwwtuliETtn27EAdPB4AaABAg,Це прекрасно)),Alina Dyadik,0,2022-05-06T10:35:45Z
5,UgynJRsspVDWuMHJGQN4AaABAg,Очень круто! просто  не было класного укр репа. Теперь есть! Вы - супер!,Анастасия Сыроватка,0,2022-05-06T09:09:20Z
6,Ugzf-3Hf9UO0ceLrDLJ4AaABAg,Запала в душу...,Татьяна Шамрай,0,2022-05-06T07:29:59Z
7,UgxTPIDDPq1jhCeazxB4AaABAg,"Давай на чистоту 
 я з Чернігова, Ви круті)",Настя лим,2,2022-05-03T17:43:01Z
8,UgwfJ_jC7vg6m44XGnl4AaABAg,Песня норм,Мария Бурлуцька,1,2022-05-03T10:11:17Z
9,UgxlWQ5cIFxn-vuR9UR4AaABAg,"Мальцы Бродяги, увожуха",Waldemar Bernhardt,1,2022-05-03T06:42:43Z
10,Ugw7Zl1JGYC9t4W6AQ14AaABAg,Оооочень круто!!!! Дякую хлопцi🤝🇺🇦✌️,Stanislav Abramskij,1,2022-05-02T20:31:39Z
11,UgzfkEQMmUj2rmWRDdN4AaABAg,"Мені сумно, що я почув цю грязь лише під час війни. Нахуй російський реп, якщо у нас є такі хлопці!",Влад Халимон,2,2022-05-02T19:06:59Z
12,UgzT-vD0A7yjb1vjaeR4AaABAg,❤️🖤,Елена Баранник,0,2022-05-02T09:32:09Z
13,UgyJa707E_U0Yw-92a54AaABAg,"Ты крутой,  подписалась",Hardy Harte,0,2022-05-01T19:33:28Z
14,UgzcwrthyyjeccBFt3J4AaABAg,Херсон це Україна слухає!!!! Мідова🇺🇦 ХБК,то таке,2,2022-05-01T14:30:05Z
15,UgzoTkFLieYWiIOF-p14AaABAg,"Мені 58 років і я вас слухаю, це файно, оригінально і взагалі, ви незрівнянні !!! Я слухаю і тону, ваша музика торкається самих глибоких куточків душі і серця !!! Дякую вам!!!",Павло Коверя,2,2022-05-01T10:58:35Z
16,UgyOstji6IC0gFQPRQN4AaABAg,Классная песня.Спасиба,Виктор,0,2022-04-30T23:42:04Z
17,UgzkzRS_SGAHz0Rk0yZ4AaABAg,"Послухав, сподобалось, залип, прослухав раза три. На третьому разі зайшов синуля - 8 рочків, каже: тато, класна пісня! Я пішов по справах, вернувся за півгодини, у синулі на репіті досі грає Давай начистоту 👍",Serge S,3,2022-04-30T10:02:47Z
18,UgzRcwQQz2ilvuDCaW14AaABAg,Мотив схожий як у міяги,MCmonopoliya,0,2022-04-29T08:28:20Z
19,UgxXTMacNEK3U3PGdyd4AaABAg,Заїбала війна... 🤬,Морская рыбалка с Антоном,1,2022-04-28T18:15:11Z
20,UgzsIOfgHeyvkIchZzZ4AaABAg,Відколи  слова пісень настільки погано співаються що потребують розшифрування субтитрами ???,Небайдужий,0,2022-04-27T10:03:02Z
21,UgyMTXXnK7r-Ze4rl9J4AaABAg,Топ розйо* і нехай хтось скаже що в рашкі музика краща в Україні набагато краща,Гончаренко Вітя,0,2022-04-26T19:33:07Z
22,Ugy2nDXNVNzTkQTd8nt4AaABAg,Будь мужнім! США вас підтримують,wkat950,1,2022-04-26T08:43:13Z
23,Ugxi_NJpaeMwXRAg4OV4AaABAg,♥️♥️♥️☺️🇺🇦,Lora Piano,0,2022-04-24T00:27:31Z
24,Ugzu1Ynopw9Vdc-4sWZ4AaABAg,"От Харькова спасибо, пацаны!",Volli,3,2022-04-22T22:23:28Z
25,Ugwn3wOZ_JPmdz7zOTB4AaABAg,🇱🇹 Литва ❤ 🇺🇦 Украина 🙏!,laima ernesta,7,2022-04-22T16:41:38Z
26,Ugz1cUor_5wdkYuIVCd4AaABAg,Я в захваті від вашого продукту! Ви круті за вас!,Константин Любченко,0,2022-04-22T00:15:20Z
27,UgyJlUGnRcbOwxp4rXF4AaABAg,"Черт возьми, какого хуя я не услышал это в день премьеры, неделю по премьере?какого хуя меня вкачивает так,шо голова трясётся сама, и руки стреляют с воображаемых пистолетов?таааво всьo ïбав,нахуй рoсiйських зiрок,в нас пацани валять,як бачете
Только поддержка",Eduard Pasenko,4,2022-04-21T02:17:15Z
28,UgybVnpghwhAh-sod6Z4AaABAg,"Молодці хлопці,!. Мені 61 рік, а я з задоволенням слухаю ваші пісні. 🇺🇦🌻🤩🥰",mariya geluc,5,2022-04-20T11:40:40Z
29,UgzlaOLB3cnX4wqMBUl4AaABAg,👍👍👍👍,Liudmyla Lesyk,0,2022-04-20T10:08:01Z
30,Ugwsojo7v7vEaT7ftA54AaABAg,"Дядя, це однозначно ТОП!",Ваня Капранов,2,2022-04-19T21:40:11Z
31,UgyAP4w_QFe8m7dK-oZ4AaABAg,their is a piece of my heart in L'viv please my god let me meet him and hear him telling me something can calm my soul down.,Seba Sy,5,2022-04-18T23:50:03Z
32,Ugy0TbJ_GJ7wRle95pZ4AaABAg,Файні хлопці 🇺🇦♥️👊🏻Супер пісня 😍😍😍,Dalia Alahmad,3,2022-04-17T20:43:03Z
33,UgxtWu5TwcHnA7qNcXR4AaABAg,🇺🇦🇺🇦🇺🇦,RESPECT🇺🇦UA.,2,2022-04-13T19:59:19Z
34,Ugzflx9wdLYgOTt_sYZ4AaABAg,"Харьков, ХТЗ, до конца, до победы, ЗА УКРАЇНУ...",Капец Гвидонов,20,2022-04-13T19:53:15Z
35,UgzjjIBhomYAr2gXhzh4AaABAg,Настольгія.....,Михайло Сірий,1,2022-04-12T19:57:42Z
36,Ugx8nM1Ovx_fsJPJBGl4AaABAg,Кращий- це слово за тебе Братику ☝️,PUBG_VAMPIRツ,1,2022-04-11T18:39:02Z
37,UgzAgR2CkiGOuYVq1Bd4AaABAg,💪💪😤🇧🇾🇰🇿🇪🇺🇦🇿🇺🇦😤😤😤,Дмитро Бондаренко,2,2022-04-10T16:07:47Z
38,UgzK37dbKy8g-XOBSPx4AaABAg,какйфую разом з вами,Cергій Білоус,2,2022-04-10T15:14:25Z
39,UgzZhapAhxg23Ynk7E54AaABAg,пацики дякую. що ви в мекне є,Cергій Білоус,1,2022-04-10T15:13:27Z
40,UgzNze7et8CJktUK3Xl4AaABAg,Мій син засинає під Додому)) всі члени нашої сім’ї знають пісню на пам’ять),Мария Задорожная,4,2022-04-10T10:44:07Z
41,UgzggX19i1bKDSXueJJ4AaABAg,💛💙🇺🇦🔥🔥🔥,Маріанна Іваночко,1,2022-04-09T19:10:26Z
42,UgxXU5b2FuF-MIpv2rF4AaABAg,Слушаю каждый день и балдею,Alisa Selezneva,3,2022-04-09T10:47:18Z
43,UgxCTKVTQaIoiFhkYDZ4AaABAg,Молодцы тексты  пишите и для нас... 50летних🙏,Oxana Bogaci,9,2022-04-09T06:50:38Z
44,UgyJjgJj6qDISzZLu3N4AaABAg,"круто,дуже приємно слухати",Рома Громадчук,3,2022-04-07T19:18:17Z
45,Ugz4uchjeciRwugNpjN4AaABAg,Это очень сильно!! Слава Украине!!,Гена Шарафанов,3,2022-04-05T16:16:11Z
46,Ugy-IWiKAPZEKIZXSGh4AaABAg,Дуже крута пісня.,Марьяна Черноконь,2,2022-04-05T07:02:26Z
47,UgzAR8Xh2C4NDh-MEQ54AaABAg,до сльоз,ДОМТВ kivi,2,2022-04-04T16:10:09Z
48,Ugzuo-3_8xRDWyrRcyJ4AaABAg,Чудово.....,Елена Гальчевская,1,2022-04-04T05:42:58Z
49,Ugyq_G7lEroSq1duz5x4AaABAg,♥️♥️,Alevtina Alevtina,1,2022-04-03T12:22:03Z
50,UgyFaZc1eOJzMOSvssx4AaABAg,"✌🏼👍🏼👍🏼👍🏼✌🏼....  Дякую, за слова..!!",INev,1,2022-04-01T21:41:21Z
51,UgxG1y5H35EIA9wzisJ4AaABAg,"Дуже яскраво, молоооодці.",Dmitriy Lyam,0,2022-04-01T13:44:21Z
52,UgyZn3rG9aGkmxgiFEl4AaABAg,"Реп на українській мові, звучить дуже та дуже гарно! 🇺🇦👍",Sergey Dzekunov,4,2022-03-31T18:55:10Z
53,UgwVBvSRkXuVRDlmxY94AaABAg,понравилось,fu ck you,1,2022-03-29T18:06:40Z
54,Ugyht_FEY_0acyASSTN4AaABAg,"паци, це просто круть",Max Tik,1,2022-03-28T00:39:43Z
55,UgxCn357O4kOL7-pJ0l4AaABAg,Супер 👏,Надежда Гужва,0,2022-03-27T20:18:44Z
56,UgwcbFJg98-GMiIsE_54AaABAg,Хлопці ви Супер,SERHII YEROMIN,0,2022-03-27T19:59:49Z
57,UgzbREJmC0dHZ1rDCgt4AaABAg,А́,ТИМА 1337,0,2022-03-27T19:58:44Z
58,Ugyg9feG06ow3K8R-Y54AaABAg,Я за Тобой Скучал-Брат?!,Armind Greguri,0,2022-03-22T20:23:37Z
59,UgxCrfcRBqZnWJHfLfh4AaABAg,Дякую.ваша музика підтримує,Master Man,0,2022-03-22T17:59:50Z
60,UgxfP-b1sfJ3qUlNR2t4AaABAg,"👋🏻Рідко пишу коментарі...
Але хлопаки все правильно робите 👍🏻
ВСЕ БУДЕ УКРАЇНА 🇺🇦🇺🇦🇺🇦...",misterOmar,4,2022-03-20T00:13:35Z
61,Ugy0yy4RzM5P1pVC4N14AaABAg,"Абажаю вашу творчість !!!!! 
Ви великі молодці ! 
Ви робите ХІТИ які будуть слухати покоління !!!!!!!!!",Діана Тищенко,1,2022-03-19T12:17:40Z
62,Ugz1_JR7KPku7C6pMiR4AaABAg,"Кайф, просто кайф",Maestro Alehandro,1,2022-03-17T13:25:17Z
63,UgzO_idzhqVcF0ySNvh4AaABAg,"слава україні, пацини ви класні!!!",Богдан Савчук,3,2022-03-16T18:10:55Z
64,UgxZv-Qi78eX7buE1Jl4AaABAg,💔💔💔💔💔,Алена Хитрухина,1,2022-03-15T07:36:17Z
65,Ugyi3DAs43U8DmQ83gt4AaABAg,good !!!!!,Vigo Chestor,0,2022-03-14T17:25:08Z
66,UgxY_SsM-cbnS3UFjbx4AaABAg,"Яна Пироженко давно ми з тобою не говорили на чистоту, сумую за тобою, вже 8 років минуло як ,але ти для мене сама рідна.",Вікторія Черноус,0,2022-03-14T15:16:52Z
67,Ugw1WiHDTezK-yeNT0B4AaABAg,Madlads actually lit a fire in a car,Muropfel,0,2022-03-14T07:14:04Z
68,UgwJ1KCPFqu1FRwnxSt4AaABAg,"Перший раз мурахи по шкірі від української пісні,круто",Mr.Xforlils,2,2022-03-13T19:37:32Z
69,UgxWdu0Fi-haNpRFJ-x4AaABAg,Респект!!! 💪💪💪,Петя Львов,1,2022-03-13T18:26:44Z
70,Ugxa234ZmxSxgOgzR_14AaABAg,Дякую за творчість!,Oleksii Poltavets,1,2022-03-13T12:54:10Z
71,Ugz2blLzTVtw0wHHaTp4AaABAg,Дуже круті! Кожна пісня хіт!,Виктория Строкань,1,2022-03-12T23:35:15Z
72,UgwfvQYpvy9s451f0Xt4AaABAg,слава Україні З Польщі,ŻwiroBEATyfikowany,2,2022-03-12T18:58:38Z
73,Ugy1yyKfsL5BZolOOhp4AaABAg,❤,Альона Боднажевська,1,2022-03-12T17:49:01Z
74,UgyKRz4Z6V8slVx1Z-J4AaABAg,Красави!!!,Денис Автор,1,2022-03-11T21:18:39Z
75,UgzJiljzwmsb9WHsCB94AaABAg,👍👍👍👍👍,Україна Переможе,1,2022-03-10T11:31:25Z
76,UgyEyUQtXBYFJvEJ7Ft4AaABAg,Пацани ви класні !!!👍🤝,Taras Savchenko,2,2022-03-09T22:49:46Z
77,UgyDqYam5VJLZwYiozV4AaABAg,"Такое ощущение, что это послание российскому народу. 9.03.2022 - Сотворение Великого Мира в Храме Звездном",Фокус,0,2022-03-08T10:41:18Z
78,UgwfExUg5IDV7khfylF4AaABAg,Pomagamy jak możemy. Trzymajcie się tam. Sława Ukrainie!,I'm just Agulha,119,2022-03-07T09:49:53Z
79,UgzRy940VNB4h-iGJPJ4AaABAg,Слава Україні Смерть Ворогам,Сергій Шишка,4,2022-03-06T12:56:37Z
80,UgzR-UH8hww76FtiZTh4AaABAg,Причем тут песня и политика? Смотришь и кто-то умирает? Зелёный наркот когда умрет и тогда не будем смотреть,Maksim Kostyuchenko,0,2022-03-05T22:07:14Z
81,UgxgMNaBC-W5UglcvY14AaABAg,🇵🇱❤️🇺🇦,Monika Moskal,3,2022-03-04T15:04:57Z
82,UgzAl4D4inXrxGVsm5h4AaABAg,народ дайте їм підтримки!!!,Толян,0,2022-03-02T21:25:58Z
83,UgyufcDo_8Jp9VQNlB54AaABAg,За нами правда,Рома Кочин,1,2022-03-02T16:37:19Z
84,UgyLuM_JcMrworhYVUl4AaABAg,Трек супер 🇺🇦 Слава Україні смерть ворогам 🇺🇦,Продавець Мопедів,5,2022-03-02T06:48:48Z
85,UgxRUK9VhnDe8oIvLch4AaABAg,Rompe,Maria jose Jiménez Soriano,0,2022-03-01T07:09:55Z
86,UgyYvFkMulzF_x6ErvV4AaABAg,Актуальная песня.поговорить на чистоту,Саша Мороз,1,2022-02-28T22:31:12Z
87,UgwHkzOJnLGg5GfxZMx4AaABAg,"Калуш вы супер ,дякую вам за ваші пісні",Max разбор и аффинаж,2,2022-02-27T19:52:15Z
88,UgyIb3M1cBvl06PDA1Z4AaABAg,Как остановить?!! 😩,Иванова Иванова,1,2022-02-27T19:32:39Z
89,UgyTwYxbh2YA5C8CwAN4AaABAg,Ukraina seninleyim 🤬Lanet pislik putin😡       💛💙 Kalush 💛💙,Emir Basaran,4,2022-02-27T18:54:58Z
90,UgwiVCEtf1QbLeyqHap4AaABAg,Ніколи ще не чув такого репу він грає в моїй душі я бачив як ви 2019 році виступали в калуш на вулиці,Влад Труфын,0,2022-02-26T17:27:00Z
91,UgzyRJAtK1FrxcsmtW54AaABAg,"Я з Марокко, я люблю цю пісню 🇺🇦🇲🇦❤️",moses lilizan,1,2022-02-24T19:35:29Z
92,UgxHBasmfwnCX_gQZXd4AaABAg,"24 лютого 2022 , війна . Намагаюсь зберігати спокій ,пісня дає підтримку !! Дякую",Oksana Kharkiv,3,2022-02-24T18:56:10Z
93,Ugw0JMgT92ga04fCW4l4AaABAg,Красиво🥰,Deril pro Wensdau,0,2022-02-23T20:58:55Z
94,Ugx_r3uEjqArWs5fJmJ4AaABAg,Хлопці пишіть дальше такі круті треки,Станіслав Щербатюк,0,2022-02-23T17:14:46Z
95,Ugzr1-yNjLukyrTG_z54AaABAg,"Это не поможет,я вас люблю💪💪💪💪💪👍👍👍👍👍👍👍👍👍👍👋👋👋🏿👋👋👋👋👋",Имя Любое,0,2022-02-23T16:07:14Z
96,Ugz8PGm-0TNzkZkGeFZ4AaABAg,"Дуууже якісно і так душевно. Не дивлячись, що більше полюбляю геві-метал, ваші треки приємно слухати, а кліпи-дивитись. Дякую.",Андрей Крутик,0,2022-02-23T12:46:36Z
97,UgxKPsZlPK_LKW2JKLR4AaABAg,Вас слухають в Празі♥️🔥Музика шикарна♥️Слова круті♥️Ви Найкращііі♥️♥️♥️,Вікторія Джус,2,2022-02-23T11:35:07Z
98,UgxMlNqQ0iTAmIlu-V14AaABAg,Я вас люблю я ваш фанат,poker,0,2022-02-23T10:08:15Z
99,UgyQiWb2atoJoxXvyjN4AaABAg,Клас,Новий Користувач,0,2022-02-23T08:24:28Z
100,UgzsFAs4NW0G1F0n_kJ4AaABAg,"Дякую за творчість і кілька слів про ваш новий мегахіт ""Стефанія""! Вітання з Волині, адже двоє ваших хлопців родом  від нас! І ще, дорогі калушани - зробіть будь ласка ще й акустичний варіант! Ця запальна мелодія порве весь світ і без слів (іноземзі й поготів такий варіант зацінять, бо й так слів не розуміють), особливо зайшло з останнім видозміненим бітом! Експерементуйте й надалі! Успіхів у Турині! 

PS: і обов'язково візьміть маму Стефанію з собою (вдягніть її в автентику чи теж у ваш стиль) - вона  буде  теж гарною родзинкою як під час туру/інтерв'ю, так і доповнить картинку,  показавши її бодай на 3 секунди знову під час вашого виступу, давши титри вже англійською мовою!",Теліпський Руслан,0,2022-02-23T06:47:47Z
101,UgzMALCr28GVPbv2CeB4AaABAg,🇺🇦🖤,antisocial,1,2022-02-22T17:46:28Z
102,UgxyXVsg3k1aJ2aTtWx4AaABAg,"Ребят я с Нижнего Новгорода слушаю по 3-5 раза в день, очень круто и слова четкие",Руслан О,3,2022-02-22T15:44:44Z
103,UgxDQAAu58Fw1w12nc94AaABAg,Хай живе і процвітає український контент!,Дарія Кудлай,1,2022-02-22T12:19:31Z
104,UgxQTJTFLMBAHhgHHeJ4AaABAg,"Яка чудна мова! Разам і назаўжды, хлопцы. Поспехаў!",John Burckle,1,2022-02-22T03:02:05Z
