,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,Ugy-jnigCkJs7zL2MzR4AaABAg,Victoria Gorodnianska,😭,2022-05-05T22:00:07Z,0
1,UgzWaHqbJOMABX9FDcF4AaABAg,Валерия,Згодна,2022-04-26T06:50:05Z,1
2,UgyoBOXQTSe6Zukkq-V4AaABAg,gytioi to you,"Похожие, но вряд ли плагиат, без образования музыкального не определить",2022-04-30T20:10:54Z,1
3,UgyoBOXQTSe6Zukkq-V4AaABAg,Vlad Zloy,"А Билли Джин Майкла Джексона на несколько десятилетий раньше. Все песни, написанные после него можно считать плагиатом?",2022-04-27T22:56:44Z,2
4,UgyoBOXQTSe6Zukkq-V4AaABAg,Микола Блищик,И что теперь???,2022-04-24T18:25:43Z,1
5,Ugx2toIQPUaWuEobpIF4AaABAg,Вікторія Бонтей,❤️🇺🇦,2022-04-24T14:32:02Z,0
6,UgxSmTebSQfO-Pw2TJZ4AaABAg,Maria Lite,@Masha Khudyk не звертай уваги,2022-04-24T20:45:29Z,0
7,UgxSmTebSQfO-Pw2TJZ4AaABAg,Masha Khudyk,Шо за бот ?,2022-04-22T18:59:41Z,4
8,UgzE3bIIny6lGhgVOHd4AaABAg,Amir Asenov,Героям Слава. Слава Украине. Держись крепись народ Украины. мы свами мы за вас . Храни вас господь.,2022-05-07T20:08:01Z,0
9,UgzE3bIIny6lGhgVOHd4AaABAg,Вероніка Мацапура,Душа болить і серце розривається за нашу рідну Україну 😢🇺🇦💙💛,2022-05-01T20:27:18Z,4
10,UgzE3bIIny6lGhgVOHd4AaABAg,PruwudKiiwa,"😓😓😓. Послухайте вставай мила моя, гордість просто зашкалює. Хоча я впевнений що Ви це знаєте",2022-05-01T09:27:48Z,4
11,UgwgCr34sYQ3p4NG9A94AaABAg,Инна Хмелюк,Так Дякую!!!!! Люблю,2022-05-06T19:29:44Z,0
12,UgwgCr34sYQ3p4NG9A94AaABAg,Vera Zadorozhnyaya,🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦✌️✌️✌️,2022-05-04T18:18:08Z,0
13,UgwgCr34sYQ3p4NG9A94AaABAg,Тетяна ,❤️,2022-05-02T18:03:27Z,2
14,UgwI6o2wrcGjq7cIzbl4AaABAg,SplesH1k,Аххахахахааххахахахахаха чiл божi,2022-04-10T12:55:34Z,0
15,UgwIag_AO5TrkBGuSaF4AaABAg,Dmytro Politiko,"Я, військова людина, яка на передовій абсолютно проти цього абсурду, про який ви пишете. Це якого біса ви вважаєте що всі мають воювати чи що? Тупізм. А тил? Економіка? Податки? Це хто. Чи тут все безкоштовно відбувається? А логістика? А виробництво? А сільське господарство? Ти голою своє думай, воїн",2022-05-04T06:42:41Z,0
