,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,Ugwim9I-1jIRERXtQWF4AaABAg,Татьяна Козлова,Ооочень красивый украинский язык!!! Этот язык надо обязательно выучить. Слава Украине!!!!!,2022-04-30T09:11:02Z,0
1,Ugwim9I-1jIRERXtQWF4AaABAg,Stas Turbakov,"класс , Вакарчук супер, но я не понимаю, что ума не хватает понять сегодняшнюю обстановку???",2022-04-23T13:23:13Z,0
2,Ugwim9I-1jIRERXtQWF4AaABAg,Oleg Sokolov,!,2022-04-08T15:09:12Z,0
3,Ugxa-2tQpP-mp0RQ-iV4AaABAg,Володимир Ворона,"Всё вне войны, Елена. Кроме войны. Пока война не пришла в наш дом. Вернее, пока русские её сюда не принесли... Принесли, а потом снисходительно говорят ""Что бы ни было"".",2022-05-08T00:39:53Z,0
4,Ugw9tYiZf1rfLFWTsw14AaABAg,Юрий Василевский,"Кажи,  Мыкола,  какая у свити сама распоскудна нация?  -  Ой,  ну й чого? Зато ми спеваем гарно! )))))))))))",2022-04-30T16:56:35Z,0
5,UgyhdhrWx3Q-aMS-qEp4AaABAg,Ярина Кретова,@Олег Нікішов вы для начала прекратите убивать друг друга. Это просто жесть!,2022-05-06T02:09:18Z,1
6,UgyhdhrWx3Q-aMS-qEp4AaABAg,Олег Нікішов,"Олю, до сліз... Ми переможемо окупантів і мир повернеться в наші домівки і на нашу благословенну Богом землю! Обнімаю!",2022-04-30T19:49:10Z,6
7,UgyhdhrWx3Q-aMS-qEp4AaABAg,Елена Елена,"Дорогая, Олечка, Сонечко наше , моя девочка.Держись, пожалуйста 💗😔🇺🇦😘",2022-04-30T12:41:06Z,6
8,UgztKKtevMA4AS72WzR4AaABAg,Нина Никулина,"Любимая моя песня ,в исполнение Коварчука!!! слушаю без конца, спасибо большое за прекрасную песню 👍👍👍👏👏👏 дай вам Бог мира!!!❤️❤️❤️💐💐💐💐",2022-05-02T09:47:54Z,1
9,UgxA_VBsULkX7FDGVqB4AaABAg,Владимир Обухович,Супер! Невероятная искренность чувств… 🤟♥️💥,2022-04-29T13:06:45Z,2
10,UgwpdAzsZUpOrKIqKnl4AaABAg,Vera Zadorozhnyaya,"Мер Кличко дав об'яву,,
що  шукають ,,і хочуть знайти 
маленького хлопчика із Литви ,
,який  передав  всі свої заощадження
для України
( Скляна маленька скарбничка ) )",2022-05-04T19:07:21Z,1
11,UgwpdAzsZUpOrKIqKnl4AaABAg,Vera Zadorozhnyaya,Дякуємо Литві за підтримку !!!,2022-05-04T18:59:21Z,1
12,UgwpdAzsZUpOrKIqKnl4AaABAg,Александр Коротков,"Я из России, мне стыдно, что я русский!",2022-04-28T14:28:25Z,3
13,UgzS5N0xTH2pg8hfhRd4AaABAg,Vera Zadorozhnyaya,"А може навпаки ,,людина шукає
Свою споріднену душу ,,а зустрічає 
схожих людей",2022-04-29T22:50:34Z,1
14,UgxH69UME7mzW4wsjIh4AaABAg,SuperMarina1802,"Все верно, Рустам, народ просто догоняет глубинных причин всего происходящего ужаса. А ведь есть и третья сторона истории. И они практически слились, стравив наши народы. Но недолго этой вакханалии длиться, мы прозреем когда, все кончится. А три сестры, исторически сёстры Белоруссия, Украина и Россия все равно вместе будут.",2022-05-02T16:11:12Z,0
15,UgxH69UME7mzW4wsjIh4AaABAg,EU,"""урюк""?! К чему это самоуничижение?!",2022-05-02T09:51:26Z,1
16,UgxH69UME7mzW4wsjIh4AaABAg,Sergey T,@2youngster 🤦‍♂️,2022-05-01T14:00:58Z,2
17,UgxH69UME7mzW4wsjIh4AaABAg,2youngster,"​@Sergey T СССР был на стороне гитлеровской Германии и вместе делили Польшу и развязали вторую мировую и потом когда Британия билась с Гитлером Сталин поставлял в Германию ресурсы круглосуточно вплоть до нападения на себя когда две людоедские диктатуры поссорились и ссср оказался волею случая на правильной стороне. Нынешняя Россия и российское общество поразительно похожи на Германию при Гитлере, будто Путин нарочно копирует Гитлера, тот тоже пытался расширять империю (рейх), тоже говорил о ""защите немцкоязычных"" в соседних странах и ""исконные немецкие земли"", говорил, надо вернуть в гавань, удивительно насколько похоже. И пропаганда так же создала для внутреннего потребления вымышленную картину реальности, мол кругом (другие страны) деграданты и войну навязывают. Еврейская тема у Гитлера была не главной, это потом все усилилось до ""еврейского вопроса"", только и в этом Путин решил не отставать и придумал свой ""украинский вопрос"". Идеологи Глазьев и Сурков - это откровенные нацист и фашист. Тут уже отличия трудно найти. И фашизм с коммунизмом тогда были две тоталитарные диктатуры (антонимы либерализму), хотя тогда фашизм отличался ставкой на архаичность и традицию и этим отличался от коммунизма, а теперь и в этом сошлось и перемешалось, поскольку сейчас и то и другое ставка на архаику.  И не тычь, а иди за кораблем, знаешь куда.",2022-05-01T13:38:41Z,5
18,UgwmRl9SucMnPwELeOh4AaABAg,Nadejda Ivanova,:((((,2022-05-07T22:59:38Z,0
19,Ugxp8HCW92ZRYMKc10F4AaABAg,Lina Korn,"Добре,що повернувся до себе,справжнього.",2022-04-25T13:11:20Z,2
20,UgxbcSzO_Wpk5r_7alp4AaABAg,Ирина Солдатова,"Поэтому и надо , чтобы Россия и Украина были дружественными странами , а не разменными монетами америки и великобритании. У нас общая история и общее будущее
Надеюсь",2022-04-26T19:27:21Z,1
21,UgxbcSzO_Wpk5r_7alp4AaABAg,Светлана Марченко,Вас поняли,2022-04-25T17:52:32Z,0
22,UgzWSZnsGTg36plxr-Z4AaABAg,Сергей Дрыга,@Виктория Кондратович 🤝,2022-05-02T16:15:49Z,1
23,UgzWSZnsGTg36plxr-Z4AaABAg,Сергей Дрыга,🤝,2022-05-02T16:15:18Z,1
24,UgzWSZnsGTg36plxr-Z4AaABAg,Виктория Кондратович,Обнимаю.,2022-04-18T21:52:42Z,2
25,UgwctQLtGIionDbvr-B4AaABAg,anna kohan,а що про нього писали? він як його ім'я -Святослав -  святий і славний!,2022-04-18T19:36:37Z,3
26,UgwoaQdVfwvR1JtIhWN4AaABAg,Мария Давыдова,"Похоже, Наталья, вы себя сейчас сами пытаетесь в этом убедить...) Привет из Москвы! Вы знаете правду, но пытаетесь сохранить себя, запихивая эту правду поглубже...",2022-04-17T09:55:20Z,8
27,UgwoaQdVfwvR1JtIhWN4AaABAg,Наталія,"Ще б вам бездуховний ютюб відключили. Нафіга вам вражескиє прадукти.   Що ж, наше МЗС буде цього добиватись",2022-04-13T20:57:58Z,4
28,UgwoaQdVfwvR1JtIhWN4AaABAg,Светлана Светлана,"Наталья, зачем вы здесь? Идите к соловьеву, я как россиянка вам настоятельно советую",2022-04-10T21:12:39Z,19
29,UgwoaQdVfwvR1JtIhWN4AaABAg,Игорь Igor,Украинцы сражаются за своё будущее а обнуленыш проводит спец операцию по возвращению прошлого,2022-04-10T19:54:03Z,13
30,UgydtMOYb2VOnfayTcF4AaABAg,ז'אנה טולקצ'וב,"Спасибо, тезка....а я из Израиля....и как приятно слышать мудрые слова 🙏
Нам здесь очень больно видеть то,что случилось и продолжается. 
Это просто катастрофа ,когда столкнули два братских народа и посеяли семя ненависти, непрощения, горя и боли.",2022-04-09T13:05:05Z,7
31,UgwiXyMlVup9aRRT6VN4AaABAg,lara080471,"Похоже, людей довели уже до состояния, когда слышат русскую или украинскую речь - и сразу находятся те, кого это возбуждает на поговорить.",2022-04-14T11:20:39Z,1
32,Ugw1itjBE8nkbC8hYuR4AaABAg,irina taşçı,Ккакая Москва!?Вы лучше не слушайте украинцев.,2022-04-07T20:10:37Z,1
33,UgyATmEW71w418Rs2GJ4AaABAg,Татьяна Забелина,"@аля литвиненко сами знаете, не провоцируйте",2022-05-06T20:59:17Z,0
34,UgyATmEW71w418Rs2GJ4AaABAg,Ivan Sokyra,а чий Крим на вашу думку?,2022-04-23T22:31:35Z,3
35,UgyATmEW71w418Rs2GJ4AaABAg,аля литвиненко,"Ирина Интересно, и какие сволочи, назьівайте, не скромничайте?! Хочется узнать",2022-04-12T20:22:31Z,3
36,UgyATmEW71w418Rs2GJ4AaABAg,Алла,Причем здесь сатана! Менталитет украинцев и менталитет русских совершенно разные! Это война различия в менталитетах!,2022-04-11T09:23:10Z,3
37,UgwgMSaDrwe81QvJLUV4AaABAg,Наталія,"@Ася Калинина бойню устроїли не чудовище (воно просто віддає накази), бойню устроїли прастиє русскиє салдати, отак.",2022-04-13T21:06:11Z,2
38,UgwgMSaDrwe81QvJLUV4AaABAg,Лилия шептак,Донбасс как СУЩЕСТВУЕТ с 2014? Не знаете?,2022-04-11T06:39:34Z,0
39,UgwgMSaDrwe81QvJLUV4AaABAg,Ася Калинина,"У меня ещё нет детей. Но я верю вам - украинцы. И вокруг много друзей и знакомых, у кого сейчас сердце болит и переживает за вас. Много людей оболваненных, плохо образованных, обозленных от нищеты. 20 лет беспросветного зомбирования не прошли даром. Мы не хотели этой  бойни, мы проклинаем чудовище, управляющее нашей страной.",2022-04-06T19:12:52Z,8
40,Ugz51a9EuXoKIjOv7L14AaABAg,Ivan Sokyra,дякую!,2022-04-23T22:32:13Z,0
41,UgwaPWNEkhYyjyKlded4AaABAg,Виктория Кондратович,Я с вами!!!!,2022-04-18T21:55:52Z,0
42,Ugxvrs1bk5UAIZfxTDB4AaABAg,Марина Зазулинская,"Где правда, все теряются в догадках, с другой стороны если бы соблюдали заповеди божьи не пришлось бы искать виноватых",2022-04-26T18:09:43Z,0
43,UgwNNfJA7lXr6oRNy3p4AaABAg,Анжела Дмитриевна,"Вот , именно не лезь в политику.... его узнали по первому каналу в конце 80- х прошлого века🙈",2022-04-01T10:58:21Z,0
44,UgyrHwdDpoa-kW6WRd94AaABAg,Лариса Чайка,У кого вы просите прощения?,2022-04-14T07:34:40Z,0
45,Ugzw77Ak13sJXs97Yd14AaABAg,Microsoft User,Hello! Im swedish and I'm in love with this song!,2022-03-29T17:33:47Z,0
46,UgxOLaXtO82pBVSdDUJ4AaABAg,Наталія,"@Елена Новикова тож ми подбаємо щоб ви були внє цивілізації, внє цивілізованого світу. Лише міжнародна ізоляція. Ну і від ютюбчика теж напевно прийдеться вам відмовитись. Внє так внє",2022-04-13T21:09:42Z,1
47,UgxOLaXtO82pBVSdDUJ4AaABAg,Елена Новикова,"@Nadya Baikal Я имею ввиду музыку… Вины не чувствую, чувствую боль",2022-03-28T09:39:20Z,4
48,UgxOLaXtO82pBVSdDUJ4AaABAg,Nadya Baikal,"С молчаливого согласия тех, кто вне политики все и происходит.. Не чувствуете своей вины?",2022-03-28T09:35:19Z,9
49,UgyrCoH8I5nTnFOtm-l4AaABAg,Наталія,"А від армії рассєї в васторге,  а від путєна?",2022-04-13T21:11:14Z,1
50,Ugzx03exGVRg_uxftph4AaABAg,Нина Никулина,Песня супер 👍👍💕💕 перевернулавсюДушу👍👍👍,2022-03-29T18:22:47Z,0
