,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgyG7FiJcWBLYWKZ2QR4AaABAg,Данило Чумак,дякую❤,2022-04-14T18:44:09Z,1
1,Ugy51i6GeTjVwTVLpAR4AaABAg,Fix It,It's quite a world. Mikä hieno metelilaatikko se onkaan! ❤️,2022-04-22T19:49:11Z,0
2,Ugy51i6GeTjVwTVLpAR4AaABAg,Nadia bilyk,Welcome to Boombox world🪝💗,2022-03-25T04:26:37Z,5
3,Ugy51i6GeTjVwTVLpAR4AaABAg,Nobody,"Remix from Kiffness got me here.
Cheers Bro!",2022-03-06T12:49:47Z,10
4,UgwmZyskfKYZ3Id1Zb14AaABAg,VKKKKKK,"Бред..Был лично на её концертах. Уровень высочайший. Максимальный контроль и владение голосом. Не даром, одна из лучших певиц Украины.",2022-03-19T09:54:12Z,4
5,UgzgrE2GrJW2vp9wFrN4AaABAg,VKKKKKK,Она и до этого дуэта была популярной😂,2022-03-19T09:55:27Z,1
6,UgzR-sBOnCljHQHaKxh4AaABAg,JI I-O T O M bI C JI,@Марія Галабіцька вам того же желаю.,2022-03-26T18:29:06Z,1
7,UgwRQe2TY2pBxKMEDqF4AaABAg,subdjet,У вас был Ляпис - вполне себе независимый.,2021-11-05T19:26:13Z,2
8,UgxE3nYPtRq1woo6q3R4AaABAg,Максим Гаянський,Серьога білорус,2021-03-04T14:25:22Z,7
9,UgyvpxhetqiWwTupoAV4AaABAg,Лариса Терлецкая,Я ЕГО НЕ ИСКАЛА  И НАПИСАЛА ПРАВДУ @Dariia Ki,2020-12-24T09:50:54Z,1
10,UgyvpxhetqiWwTupoAV4AaABAg,Dariia Ki,"клипу два года, сама нашла, зашла и ртом накакала #рукалицо",2020-12-23T22:24:53Z,2
11,UgxQdLOdkrmNCshQY694AaABAg,Serj Bondar,"А в чому ""шльондрість"" Кароль?
В тому що вже багато років зберігає вірність своєму чоловікові? Чи в тому, що в нинішній час естрадних проституток нічим себе не заплямувала (маю на увазі концерти на Росії, співпрацю з їхніми музикантами)?",2021-02-06T22:48:47Z,2
12,UgzQKIEw_z8eA0kjDM54AaABAg,Smile,Це точно ❤️,2021-12-08T18:24:58Z,2
13,UgzQKIEw_z8eA0kjDM54AaABAg,Marina Schuster,"Пiдтримую вашi слова,,🙌",2021-11-04T15:41:56Z,1
14,UgzQKIEw_z8eA0kjDM54AaABAg,Світлана Слободиська,"Так і є,   великий плюс інтернету де  можна знайти такі шедеври.",2021-10-11T21:04:13Z,2
15,UgzQKIEw_z8eA0kjDM54AaABAg,д. Ткачук,"Послухайте Grandma's Smuzi 
Вони роблять топові кавері нічим не гірше оригіналу",2021-08-26T20:49:16Z,0
16,UgzQKIEw_z8eA0kjDM54AaABAg,Андрей Аксютин,"А я думал, что так делают только в Украине",2021-08-13T07:00:51Z,2
17,Ugy2SaMr7OS3wZPbX3N4AaABAg,zanyk81,"таких як ви треба лікувати. Поясню: лідери естради, наші найкращі співачки залежать від підтримки, від замовлень концертів, які дають можливість їх команді існувати.  Якщо в країні не має підтримки їх талантам, команда зникає.   бажання знищити найкращих представників української пісні, українського мистецтва? - це праця на фашистів Московії.",2020-10-04T15:06:12Z,5
18,Ugx_dKK5lppw09Df-OZ4AaABAg,Vera Slyusar,Шедевр!!!,2021-03-16T11:49:40Z,0
19,Ugx_dKK5lppw09Df-OZ4AaABAg,Vera Slyusar,Шедевр!!!,2021-03-16T11:49:14Z,0
20,Ugx_dKK5lppw09Df-OZ4AaABAg,Марина Шовкалюк,таких как вы много,2020-09-10T20:41:28Z,1
21,UgzZTi6wTW0WA8l9Rel4AaABAg,Марина Шовкалюк,Вы далеко не одна такая. Я с вами,2020-08-19T18:33:52Z,0
22,UgwComI9XfvhM3xuGC94AaABAg,"Я не ідеал,але і ти не липа,що шелестить!",Мабуть,2020-07-03T16:30:53Z,0
23,UgyDRjpdwaQ-BuiIK0Z4AaABAg,fineriff,пацталом),2020-08-22T16:24:22Z,0
24,UgyagD455uBXlM6EmTR4AaABAg,Dima Rik,Л,2021-05-29T05:53:51Z,0
25,UgyWpTupiaGzCKAuVUZ4AaABAg,N,"Это Андрея задумка, он об этом говорил в интервью. Тина ничего не решала, как петь, пищать или не пищать. Найдите интервью Андрея, и все поймете. Он хотел что б она именно так звучала. Удачи...",2020-06-12T13:08:23Z,1
26,UgwMn3SjeQNUgK4aQ9h4AaABAg,Сергій Кідрук,"@Aleksandr Zharkov Принаймі не плагіатор, просто у Хливнюка віршований ритм дуже універсальний",2020-08-18T19:41:20Z,5
27,UgwMn3SjeQNUgK4aQ9h4AaABAg,Aleksandr Zharkov,Автор?,2020-08-18T07:23:31Z,0
28,Ugx4HDFKBAdPD66imVd4AaABAg,Maks Faks,"@Vera Slyusar 1) я володію українською
2) а самі то, якою мовою пишете мені?",2021-03-16T11:58:16Z,0
29,Ugx4HDFKBAdPD66imVd4AaABAg,Vera Slyusar,@Maks Faks виучи украинский,2021-03-16T11:54:42Z,0
30,Ugx4HDFKBAdPD66imVd4AaABAg,Serhiy Tsmokanych,"@Виктория Матохина не можу погодитися , Пані.
часом політика очєнь даже к чєму
до гламурного ""святкування"" Дня Незалежності  у режисурі Бідона Надоєва я Таню Ліберман дуже навіть сильно цінував і як людину,  і як дуже крутого музиканта.
але Гімн  сидячи , як і взагалі участь у тому трещі і позорі сильно дала по іміджу .
але чисто як професійний музикант, вбравши зєльониє ачкі ""внє палітікі"" визнаю - робота абсолютно неперевершена - і в композиції, в тексті, аранжування, постановка кліпу, вокал - все на топ-рівні
аби наші артисти були більш перебірливими у тім, хто їх наймає(
з повагою.",2020-12-26T16:18:41Z,0
31,Ugx4HDFKBAdPD66imVd4AaABAg,Maks Faks,"@Я не ідеал,але і ти не липа,що шелестить! ммм [как-бы не прямое но все же]  оскорбление, найс 
Без проблем, в таком случае перефразирую свой вопрос, что для вас значит ""невизначеність"", и почему вам не нравится  то что Тина поет на русском?",2020-08-28T17:12:28Z,0
32,Ugx4HDFKBAdPD66imVd4AaABAg,"Я не ідеал,але і ти не липа,що шелестить!","@Maks Faks У вас логіка не краще.
Я не писала ,що хтось має себе в чомусь обмежувати ,просто висловила *свою* думку,чи люди вже настількі тупі,що не розуміють такого поняття?!",2020-08-28T17:06:08Z,0
33,UgxLpgOLQV3_tpdwoBt4AaABAg,"Я не ідеал,але і ти не липа,що шелестить!",!!!!!!!!,2020-07-03T16:34:44Z,0
34,UgzlyENoEi9Rx1lsIC54AaABAg,Yurii Rospopa,"Щоб такий як ти лише мріяв про таку жінку, бо ти безумовно ДНО цього світу",2020-04-20T17:15:55Z,1
35,UgzlyENoEi9Rx1lsIC54AaABAg,Сергiй Сергіїв,"Працює фабрика тролей фашистів путлера.  Після того як Тіна засудила аннексію Крима, припинила всі свої виступи на московії, її кожний день терроризує в коментах фабрика тролей фашистів путлера.  тварі без честі і совісті!",2020-04-18T04:08:15Z,2
36,UgzlyENoEi9Rx1lsIC54AaABAg,Сергiй Сергіїв,"путлеровський троль, хто з Українців питав тебе що нам робити?",2020-04-18T04:00:33Z,2
