,id,comment,author,likecount,publishedAt
0,Ugwn4G0y7_B1fosFGc14AaABAg,Love n hugs from India  🇺🇦🇮🇳,Bashav Hatimuria,0,2022-05-07T20:14:35Z
1,Ugy52oj7GOxTu1X7mn94AaABAg,"Слава Україні!
https://youtu.be/J0m9Fkx7xro",Михайло Кулиняк,0,2022-05-07T08:56:52Z
2,Ugy692mJh_IfX8S3cvt4AaABAg,"Руками, вустами, волоссям, плечима,
Мовчанням, словами, думками, очима,
Однакові й різні ми рівні сьогодні,
Між нами півкроку, між нами безодня,
Маленька сховалася в темряві лячно,
Я все відчуваю, я всю тебе бачу,
Я ковдрою теплою, кожухом стану,
Якщо ти попросиш,
Як не перестанеш,
Листами, світлинами, текстами, снами,
Ні, не передати, що діється з нами,
Я знаю, як часом буває самотньо,
До тебе півкроку, до тебе безодня,
Якби докричався, якби ти почула,
Навшпиньки, навпомацки, навпіл лечу я,
Скажи, чи Нам з іншими буде так само,
Руками, плечима, волоссям, вустами?
Тебе, тебе,
Я дарма серед ночі кличу,
Тебе, тебе не продам і не позичу,
Тепер, тепер скелею із солі стану,
Але, але віритиму мов в останню
Наш світ під три чорти несеться,
Як вибуху хвиля, як річкою крига,
Нехай шкереберть все і догори дрига,
Твій голос прямісінько в серце.
Тебе, тебе,
Я дарма серед ночі кличу,
Тебе, тебе не продам і не позичу,
Тепер, тепер скелею із солі стану,
Але, але віритиму мов в останню",Kate Krot,0,2022-05-06T21:12:13Z
3,Ugyil6_N0z34Ei18KQp4AaABAg,"Очень крутой вокал у Кароль появился, что не может не радовать. Она явно развивается как музыкант. Она, правда, начала явно подражать Джамале в умении ловко брать высоченные ноты. Но у нее выходит блестяще и как-то по-своему. Это также важно. В целом очень экспрессивно и невероятно мощно!",Волошина Катерина,2,2022-05-06T12:45:03Z
4,UgxCGseoyOjZFRHNnpR4AaABAg,"Розкіш яка назавжди з нами.... дякую youtubeНадзвичайна жінка  та й приголомшливі хлопчаки.,,,",Marina Demina,1,2022-05-04T16:29:16Z
5,Ugxt6XKxfVCS4y0VzbF4AaABAg,2022? Слава Україні!🇺🇦💙💛,Lilya Gorvat,1,2022-05-03T07:04:13Z
6,UgzQP7eFWyzA8GCE6hl4AaABAg,Вещь!,Влад Владов,0,2022-04-29T16:07:06Z
7,UgwGVz56d2qBcW-FvOh4AaABAg,"Андрійку приїжджай
Тобі знайдеться у світанку місце
У тебе ж неперевершена творчість проходить усі цензури навіть релігія пхала носа у твою крихітку ангела
Повертайся з війни тож драмтеатр 2 країн вони ж лиш проте і думають як правдоподібніше зняти ракурс( ското база)
одні граються в релігійні ігри інші в реальні на полі бою і ніхто не жаліє нас глядачів і учасників
Такий хай льонний чекав мене на тому парапеті (Чё чё- через плечо)
І головне голівонька макітринька вся в шрамах шрамах бережеш тебе Боженька
І чи є ж воно таке за льотний у моїй Хацапетівці(Бачила бачила чи є)",Тетяна Паламар,0,2022-04-27T08:34:00Z
8,UgxDVH0tBH1b9Al0CEB4AaABAg,"Спасибо за силу исполнения , за силу вложенных чувств, за энергию. Хоть убейте меня , хоть заплюйте меня…музыка не должна быть связана с политикой. Так как политика , в среднем , это игры старых и гордых маразматиков с чужими жизнями , ради собственных амбиций, а музыка это передача лично пережитого , прочувствованного.",Alex Bamf,0,2022-04-23T21:59:19Z
9,Ugyi8t73GsZ6PggIcad4AaABAg,😍❤,Kristina Kyxar,0,2022-04-22T23:26:17Z
10,UgyHE6IapfsUX_qOJod4AaABAg,"еще один шедевр ,не надо перебирать !!!!!!!!!!!!!!!!!!!",Валентин Табачный,0,2022-04-20T20:51:16Z
11,Ugy0RUDCO2RS1SohHaR4AaABAg,После нашей победы обязательно послушаем эту песню ото Тины и Бумбокса🙏🏻❤️,YTKate,0,2022-04-20T11:24:28Z
12,UgzkQHUAm--XuRZpUUR4AaABAg,"Одна з картин за спиною Андрія - Апофеоз війни, там де купа черепів, російського художника Василя Верещагіна. Картина написана у 19 ст., а Росія й досі продовжує сіяти смерть((",Сергій Онищенко,3,2022-04-06T19:11:30Z
13,UgyG7FiJcWBLYWKZ2QR4AaABAg,"Слава Аллаху, что Украина выстояла. А по другому и быть не могло, потому что это Украина. Слава Украине. Казахстан с вами, ребята.",Алинур Нуржанов,8,2022-04-06T07:32:08Z
14,UgwU-XFPJMjvVT5bUdh4AaABAg,Классная песня. Офигенные ребята. Шикарный Украинский Язык❤️🙏,Елена Сулименко,1,2022-04-05T19:27:49Z
15,UgxKeHX4N4EI7JXWtPN4AaABAg,Мурашки по коже.,Ольга Смирнова,0,2022-04-02T19:56:55Z
16,Ugz3whtxM-IZLtp_feh4AaABAg,Шикарный дуэт❤️‍🔥❤️‍🔥❤️‍🔥💣💣💣,Aigerim Ibrayemova,0,2022-04-01T13:28:50Z
17,UgyDtVAvIjdGqMKTJZR4AaABAg,Тіночка 🤗,Scythian Prometheus,1,2022-03-27T10:06:38Z
18,UgyU1ZUwOLSqB41N6694AaABAg,Потрясающе!,Vera Printsevskaya,0,2022-03-27T06:32:32Z
19,Ugw4QWqogjbryht6CC54AaABAg,Тебе не продам і не позичу ❤️‍🩹🇺🇦🇺🇦🇺🇦🕊,Alissa,1,2022-03-27T02:32:19Z
