,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,Ugzssj2yfJZghuaR3Sh4AaABAg,Raya Alekseevna,Йф¹,2022-04-28T07:54:02Z,1
1,Ugzssj2yfJZghuaR3Sh4AaABAg,林Lauren,"I used Google translate, this description should be written in English to be available to more people! Well said",2022-03-30T07:26:08Z,1
2,Ugzssj2yfJZghuaR3Sh4AaABAg,Inna Shevchenko,🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦,2022-03-24T11:59:11Z,1
3,Ugzssj2yfJZghuaR3Sh4AaABAg,Сергій Ющенко,"0:22 момент інавгурації, а ще в цьому моменті як на 0:28 є ті, хто допоміг фокуснику здобути авторитет (скоріше за все символ олігархів, які фінансово підтримали це весілля) і які є вигодонабувачами цього дійства. 0:43 момент, де показано татуювання у вигляді кастету - сутність одного з тих, хто допомагав. 1:16 Почали ржати з нього та з народу, коли фокуси перестали діяти, знаходячись в тіні. Та зрадили його в найтяжчий момент 2:09 (не лише зрадили а допомогли впасти 1:40). І обрали для задурених нового 3:13. А ще: 1:08 золоті яблука потрапляють в руки тим, хто одягнутий більш пристойно кірім одного, яке зразу ж вибиває з рук один ізтаких і воно зразу перетворилося на пісок.",2021-11-28T02:30:53Z,1
4,Ugzssj2yfJZghuaR3Sh4AaABAg,Андрій Возний,87 б,2021-11-19T16:15:00Z,1
5,UgxKUwpsCH4lXQanDzl4AaABAg,Ranny - Brawl stars,Это ещё давно было сказано,2022-04-09T20:19:25Z,1
6,Ugw3xL--DQ-F25KsWjB4AaABAg,Denismam,Have you heard TDME? I recommend to listen it,2022-04-18T10:57:50Z,1
7,UgzruhWfIqzBErOE6m14AaABAg,Егор Клименко,Kyiv*),2022-05-03T19:23:53Z,0
8,Ugx5MKiTIqTTJ1DFVXl4AaABAg,Нина Фролова,"Пора відкрити очи, та подивится ким прописан сюжет",2022-03-21T13:28:29Z,2
9,UgxPTCbIhQRSIG1QI1Z4AaABAg,Aneta Majewska,🇺🇦🇵🇱🥰,2022-03-26T23:07:03Z,2
10,UgwdO3lK0NfD0xZlVlh4AaABAg,Миша Сушков,"Головна роль в кліпі то він у гримі

А зараз він в терообороні)",2022-03-19T20:19:27Z,2
11,UgwdO3lK0NfD0xZlVlh4AaABAg,Володимир Тест,??????,2022-03-19T15:31:06Z,0
12,UgxEhC9tgntRYcAWMtF4AaABAg,Artemi Bilousov,Антитіла топчик дуже класна класні пісні лайк,2022-01-22T15:21:22Z,1
13,Ugxr0j3FWgjWyUnxlRt4AaABAg,АНТИТІЛА,О так),2022-01-17T22:59:02Z,1
14,UgymUZSQnuHSE6hm1v54AaABAg,АНТИТІЛА,👏👍🙂,2022-01-16T19:19:52Z,0
15,UgzQq5jM5_4q-L94Pzl4AaABAg,ычвыяв фывфывфы,русские хуже всех понимают славянские языки.,2022-05-08T10:47:20Z,0
16,Ugx13aLuIRebZta6qg94AaABAg,Інн@ Canada,"Теж чулось ""вчили-вчили, мамо""",2022-02-14T14:45:02Z,0
17,Ugx13aLuIRebZta6qg94AaABAg,Nata Study,Текст в описании под видео.,2022-01-23T14:33:27Z,0
18,Ugy54wlgKIeG_oAc8td4AaABAg,Taras Hanych,👍💕,2022-01-08T11:47:09Z,0
19,Ugwet3dEKm6E-6T0B914AaABAg,АНТИТІЛА,Так і є,2021-11-09T06:57:51Z,2
