,id,comment,author,likecount,publishedAt
0,Ugzssj2yfJZghuaR3Sh4AaABAg,"Чи помітили ви ці символи у кліпі? 
Не читайте цього повідомлення, якщо ще не переглянули кліп і не зробили власних висновків.
 
Фокуси нас заворожують доти, доки ми не знаємо їх прихованої суті. Так само робота художника приваблює нас свою таємничістю, нерозгаданістю і змушує нас споглядати її знову і знову, відкривати нові та глибокі сенси. І де дивляться двоє, там кожен побачить своє. І обидва будуть праві. 

За біблійським сюжетом, основним завданням народу є Вихід із Пустелі, куди його загнало рабство від сусідів, дурість та гріховність. Впродовж сорока років народ приречений блукати Пустелею, щоб змінились покоління, а колективний образ рабів пішов у небуття. Так формуються вільні люди. 

У нашому Кіно народ не виглядає блукачами. Вони не зображені бідними та нещасними, у них вишуканий одяг, вони ведуть світські бесіди, та немов би відпочивають сім’ями у Пустелі (0:12). Складається враження, що вони звикли жити у Пустелі, тут їм комфортно й іншого життя їм не потрібно.
 
У центрі поселення стоїть Цирк. В давнину, часто в центр поселень ставили фігури божків, ідолів, щоб поклонятись їм. Цирк виглядає як ідол поклоніння видовищам.

Цей народ забув про Вихід із Пустелі. Але з’явилась традиція – час від часу знімати Кіно про те, як ми нібито йдемо в краще майбутнє, та обирати собі нового Провідника на роль месії. Навіть не так, не обирати, а просто йти за тим, хто сам прийде. Не працювати на зміни, а чекати їх.

Нам відкривають момент виходу нового героя, якого юрба зустрічає із цікавістю. Важливий момент – він не клоун, а Фокусник. Натовп – йде за ним. Спочатку йде – бо вірить в чудо, а отримує лише ілюзії. Віслюк – як символ месіанства. В’їжджаючи на віслюкові в Єрусалим, під захват народу, Ісус уже тоді знав, що буде цими ж людьми розіп’ятий. В очах народу Фокусник стає месією. Дуже показовий момент, що Фокусник не знає, куди йти. Весь народ сліпо слідує за віслюком, який гнаний бажанням наїстися (0:54). 

Яблуко, що стає золотим, зображає обіцянки райського життя (1:05). Та через свою жадібність й бажання влади люди втрачають його. Так проявляється другий символізм яблука – як предмет розбрату. Замість їжі та багатства, на роз’єднаний народ чекає і бідність, і голод. 

Споглядаючи це (1:16), Фокусник очевидно розуміє, що народ не готовий рухатись далі. Та народ жене його вперед, не замислюючись над тим, хто ми? Нам не важливо бути достойними гідного життя, нам важливо мати золоте життя. Так зображується знехтування особистим розвитком перед матеріалізмом.  

Остання спроба Фокусника це показати людям самих себе, дати їм ідентичність. Так з’являється Дзеркало. Зріла людина може дати відповідь на питання «Хто я?». Зрілий народ може дати відповідь на питання «Хто ми? Яка наша мова і культура? Яка наша історія?». Та людям не сподобалось те, що вони побачили. Реальність неприємна й болюча, питання ідентичності розбиваються, як дзеркало на частини, що провіщає сім років нещасть. 

Коли вже зовсім погано, Фокусник звертається до вищих сил. І шукає відповідь на питання, що далі? І відповідь проста: кома, кома, кома. Це ще не кінець, це лише повторення. Тепер зверніть увагу на татуювання під очима у Фокусника (2:00). Виглядає як сльоза, та це лише кома. Кома розділяє однорідні члени речення, вона розділяє Провідників, яких буде ще не один і не два. Кіно повториться знову і знову. Кома – це тавро Провідника, про яке він, як мені видається, і сам не здогадується. Він може вважати себе месією. Йому навіть хочеться поспівчувати. 

Щодо голів у піску – це символи попередніх Провідників: героїв та негідників, яких однаково викинули на сміття історії. І нашому Фокуснику не залишається нічого іншого, як знайти своє місце на звалищі і самому себе поховати. Незмінна лопата для попередників і наступників (3:00).

Момент із серцем залишу відкритим.

У кліпі Кіно – це виток історії, який повторюється майже ідентично, змінюються лише декорації та Провідники. Навіть сам народ залишається майже без змін. Вільних людей зображують лише епізодично. Вперше – це ті, які продовжують робити свою справу коли Кіно починається і не піддаються ілюзіям (0:24). Вдруге – коли гідність та ідею не проміняли на золото в піску, цим поглядом сказано все (0:36). Втретє, коли у дівчини є сміливість піти проти всіх і заступитись за Фокусника (1:44). 

Насамкінець, хочу познайомити вас із основними героями Кіно. Хто це? Хіба не Фокусник? Хіба не народ? Я не одразу зрозумів, що ні. В початковій сцені – Фокусник наче виходить сам. Та з ним на сцені з’являється ще півдюжини людей. Потім вони змішуються із народом, та смикають за необхідні нитки. Може здатись, що це його команда, яку він вибрав для себе. Та якщо замислитись, то це Вони вибрали його. Лялькарі, які приводять нових людей, змінюють декорації і саме вони – Кінорежисери. Подивіться фінальну сцену – новий Провідник, та оточення те саме, лише інший грим (3:12). І їхній сюжет один – залишити нас у Пустелі. Даючи нам нових Фокусників, яких ми самі ж і закопаємо. 

Дякую Антитілам, за цей шедевр. Він про нас.",M A,4758,2020-07-18T11:48:51Z
1,UgyHDoW-GkFMZabQWMZ4AaABAg,"Amazingly creative , fantastic rhythm.........this kind of soulful expression is what music is meant to be....",Mc Cm,0,2022-05-08T00:08:22Z
2,UgxVpYTYdX6y1YpG9Cl4AaABAg,"Rewelacja!  Chwała Ukrainie!  Jak chłopaki wrócą z wojny , przyjadę na koncert do Lwowa, które uwielbiam.",waldemar kawalec,0,2022-05-07T17:12:33Z
3,Ugyp3Ez8ehsnHnLNu1Z4AaABAg,війна,андрий кот,0,2022-05-06T23:12:57Z
4,Ugx0eFlSVOY7qDDyDaF4AaABAg,кто дивився м5 той знає  що при зйомці кліпу вони загубили 1 людину,Артур Заэць,0,2022-05-06T09:29:10Z
5,Ugy6_RkXBdhvq38c7WZ4AaABAg,"Я слухала цю пісню ще тільки перші дні як вона вийшла,зараз інколи слухаю і згадую ті часи.Одним словом:Все буде нормально,все переживем!Антитіла,удачі вам!😊",Y.a.n.a,0,2022-05-05T12:14:21Z
6,Ugx1vL3xzdEDt9tLK954AaABAg,May you all return to a peaceful Ukraine. Keep the song in your heart. Peace.,Terry Konn,1,2022-05-05T04:06:40Z
7,Ugy1112qMNJLWRjcq7h4AaABAg,Come on Ukraine the world is 🙏🙏🏼🙏🏾🙏🏿that you can repel and win against Poo-tins evil military and stay a FREE country 💙💛,Donald Sunny,1,2022-05-04T11:21:30Z
8,UgxhKpaDutlMNPJAQo14AaABAg,"Кожна пісня, слова з глибоким змістом!!! ЖИВЕМ!!!
СЛАВА УКРАЇНІ!
ГЕРОЯМ, ЩО ОБОРОНЯЮТЬ НЕНЬКУ СЛАВА!",Dzvina Sorohan,1,2022-05-02T21:46:01Z
9,UgzYP6rtKKxLi2ulLGV4AaABAg,8 лет украина своих де бомбила,Кирилл Везучий,0,2022-05-01T11:46:27Z
10,UgxaYEDIu5ktK3wuVJp4AaABAg,"Бомбезний кліп, чудовий кліп.",Bogdan Marenko,2,2022-04-27T16:51:40Z
11,Ugz6oK8nPbnJED4Dzex4AaABAg,💙💛,олена панькевич,2,2022-04-20T09:30:24Z
12,Ugzm424pEUpTw4KNWBR4AaABAg,Ви дуже розумні ....а бути розумним страшно,Лана Лановая,2,2022-04-20T09:15:09Z
13,Ugx4_QQfGembJ3lOQbN4AaABAg,М5,kristaliti,1,2022-04-20T09:02:22Z
14,UgwlFIKpc54fMkZaE694AaABAg,Скорейшей победы Украине над росийскими фашистами и мира. ZVастика - символ неофашистов.,Винг Демон,7,2022-04-15T15:56:30Z
15,UgxN-qpUX80eD8mVsSt4AaABAg,"Олешківськи піски) серед персонажів кліпу є надзвичайно талановиті мешканці ВО та Малої Олександрівки! Пишаюсь Вами, мої земляки! БЕРЕЖІТЬ СЕБЕ🙏🙏🙏💙💛",Вероника Хамутовская,3,2022-04-14T17:42:03Z
16,UgxXDysJ1so1LDa5DFl4AaABAg,"Very nice song !!
Nice voices !!",Jean Pierre Zutter,6,2022-04-12T22:52:41Z
17,Ugz7FJ0crXeZ1dzqpw54AaABAg,"Hahahahahaaaaa I'm wasted on ukranian beer in Halifax canada.
Jesus christ. Lol hahahahahaa never had one like thus liviv pravda brewing ""putin huylo"" aaaahahahahahahahahha hilarious and delicious hahah fuck",Jen T,1,2022-04-09T22:03:20Z
18,UgwXrc_s0Xnt0ltZWsZ4AaABAg,Держитесь - Слава Украине!,Тот самый Мюнхгаузен,3,2022-04-07T12:02:26Z
19,UgxKUwpsCH4lXQanDzl4AaABAg,А чому тут люді і з М5?????¿,David Asabasvili,1,2022-04-06T12:59:10Z
20,UgzAbkhUyPsSc4n6kHl4AaABAg,тут М5 клас,Marjana Pajuk,1,2022-04-04T11:21:07Z
21,UgyNe_t3HNQx60hpCrl4AaABAg,"Beautiful song, love and respect from Nepal.",Sunita Ghising,4,2022-04-04T02:17:26Z
22,UgxtPEpIny_wkEnKpc54AaABAg,❤  🇺🇦,CyberSects,2,2022-04-01T20:40:16Z
23,Ugyj-5nDy-pSqGBSpph4AaABAg,Легендарне слово: все переживемо навіть коли війна антитіла кращі!,citait,8,2022-04-01T10:00:03Z
24,Ugy5SBp_ySr-NBD8R5J4AaABAg,Все переживем без РОСІЇ ТОЧНО! Та Без КІНЦЯ СВІТУ. ДОБРО ПЕРЕМОЖЕ .А ДОБРО-ЦЕ УКРАЇНА,Anonimous V,3,2022-03-30T17:13:14Z
25,UgwRYmUmKs3EGCFbxvV4AaABAg,such a well-made music video!!!!,Jay,2,2022-03-30T00:07:02Z
26,UgwwtImHTGyToZ1EOTx4AaABAg,"Love this..so catchy. The video is brill👌❤.
Thankyou guys.",J stone,5,2022-03-29T19:54:15Z
27,Ugw68MZ8UX9umx8o7_l4AaABAg,🖖🌐💙💛🇺🇦🖖,LUCINDA,1,2022-03-29T17:31:08Z
28,Ugzzta70VcAf8KV3bUJ4AaABAg,加油。烏克蘭。來自台灣的祝福,ADAM KANG,7,2022-03-29T13:36:53Z
29,UgwQHlUJBzAgWqfondp4AaABAg,m5 тут кокрас в тему ♥,GAT SEISE,0,2022-03-29T08:03:32Z
30,UgzFujd6_gC6n67Ggh94AaABAg,❤️,Олеся F.,1,2022-03-28T19:46:30Z
