,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgwXWYRt0WUQGG0fQO14AaABAg,валентина зубова,Я теж вперше слухаю.,2022-05-06T04:51:07Z,1
1,UgwXWYRt0WUQGG0fQO14AaABAg,Ангелина Иванькова,вот и я 70 дней прошло,2022-05-05T22:54:07Z,2
2,UgyCFId3CwdnY3VZ4_x4AaABAg,anahoret X,"@Huilovtsam_Kaput! Подобную ересь можно написать про любую национальность. Например про украинцев, но я воздержусь",2022-05-07T16:46:29Z,0
3,UgyCFId3CwdnY3VZ4_x4AaABAg,Huilovtsam_Kaput!,"@anahoret X Водка, селедка, балалайка, матрьошка - ось, в принципі, і вся їхня культура... *Причому матрьошка то є елемент культури китайської.
Одним словом - дикуни, варвари...",2022-05-07T09:20:59Z,0
4,UgyCFId3CwdnY3VZ4_x4AaABAg,anahoret X,"Есть у них культура, полуподпольная",2022-04-04T19:00:34Z,3
5,Ugx1-OUm_J2aiYhGyzJ4AaABAg,Людмила Богуславська,thank you for supporting us !!🙏🇺🇦🕊,2022-04-21T16:00:47Z,3
6,Ugw_7mR2EWXcO6GJNPZ4AaABAg,Володимир Довженко,встречный вопрос - ты верун?,2021-12-08T17:46:27Z,5
7,Ugybv62uW0yDphxRXBh4AaABAg,Nataliia Zaiats,"навіть вампір має почуття, типу жива, тому краще померти, ніж вбивати-я так зрозуміла.",2021-10-19T12:23:52Z,1
8,Ugwh8luaLe05H6IPAzx4AaABAg,Володимир Довженко,"@Кита Поляруш підпілювай напилком, бачиш як все закінчується",2021-10-05T20:40:08Z,0
9,Ugwh8luaLe05H6IPAzx4AaABAg,Кита Поляруш,"@Володимир Довженко може трошки, насправді",2021-10-05T20:04:45Z,0
10,Ugwh8luaLe05H6IPAzx4AaABAg,Володимир Довженко,@Кита Поляруш ікла ріжуться?,2021-10-05T19:48:25Z,0
11,Ugwh8luaLe05H6IPAzx4AaABAg,Кита Поляруш,@Володимир Довженко кров немов гаряче золото,2021-10-05T19:35:55Z,0
12,Ugwh8luaLe05H6IPAzx4AaABAg,Володимир Довженко,Шкіра на сонці  не димить?,2021-10-05T16:57:47Z,0
13,UgzvV-psJcO0JRJ_-6t4AaABAg,Володимир Довженко,"Ну ты грамотей, вот правильно: А пам'ятаєш ми з тобою космос літали нє пізди",2021-10-05T13:05:04Z,0
14,UgwlPtslGJyrPjtLuHR4AaABAg,Володимир Довженко,"Он в москве, вот хай там и сидит.",2021-09-06T10:57:39Z,4
15,UgzMvdxsqrFIjbTv-ZF4AaABAg,Файна Євгенія,"А пісня ""Гора"" була до цієї пісні чи після?",2021-10-01T16:52:16Z,0
16,UgxlVdwOoBdFXR1Tp9h4AaABAg,redlinenorma1,Тут явно попахує ідіотизмом 🤷🏼‍♂️🤦🏼‍♂️,2021-09-03T22:20:13Z,2
17,UgyZt5MJRVPIl34U5NV4AaABAg,redlinenorma1,"@Nata Study я б сказав, що це більше про отруйні відносини, де чоловік був домінантом, але врешті-решт дівчина змогла вивільнитись та отримати свободу від цих стосунків 🤷🏼‍♂️",2021-09-03T22:22:38Z,0
18,UgyZt5MJRVPIl34U5NV4AaABAg,Nata Study,"Она не мстить пошла, а стала вампиром. Hо не захотела  так больше жить, с зависимостьью от крови и смертей , и покончила с этой жизнью (вампиры сгораают на солнце) отпустив свою страдающую душу на волю.  И душа/девушка, пройдя  очистительный огонь, возродилась, как феникс.",2021-09-02T04:09:39Z,2
19,UgyZt5MJRVPIl34U5NV4AaABAg,Liriana Green,@Володимир Довженко ну естественно). Я в Украине живу xD,2021-08-07T20:15:36Z,2
20,UgyZt5MJRVPIl34U5NV4AaABAg,Володимир Довженко,вы украинский понимаете?,2021-08-07T18:16:52Z,2
21,UgzPHWfKN-Jcn8YQaEJ4AaABAg,Vauth S,@Nata Study oh not this time. The app gave her my face. The first time I saw this she had a beautiful mustache,2021-09-02T04:24:14Z,0
22,UgzPHWfKN-Jcn8YQaEJ4AaABAg,Nata Study,":)) She always had her own beautiful face, just a million different  roles & images: hairstyles, make-up,, outfits, etc, are different each time.",2021-09-02T04:15:41Z,4
23,UgwGe-mXWhRLump6Gyl4AaABAg,redlinenorma1,"@Nata Study сто відсотків лапоть, або лаптєголове 🤷🏼‍♂️",2021-09-30T05:12:14Z,1
24,UgwGe-mXWhRLump6Gyl4AaABAg,Nata Study,"@Denis Kurdumov Смешной бред . Hаверное  рфское заползло  в комменты (судя по сортирной лексике и  агрессивному бреду). :)) Во-первых The Hardkiss подчеркивают,что они никогда не заявляли, что они  рок-группа,  а во-вторых что за бред про мышку, когда ребята отлично звyчат живьем, практически на уровне студийки.  Так типично: агрессивное и туповатое  в комплекте. :))",2021-09-02T04:23:11Z,5
25,UgwGe-mXWhRLump6Gyl4AaABAg,Denis Kurdumov,@Володимир Довженко просто бесит подмена понятий когда попсари говорят что они рок группа и позорят стиль музыки,2021-07-22T18:00:56Z,0
26,UgwGe-mXWhRLump6Gyl4AaABAg,Володимир Довженко,@Denis Kurdumov понятно. Только вопрос как тебя сюда занесло?,2021-07-22T17:57:28Z,4
27,UgwGe-mXWhRLump6Gyl4AaABAg,Denis Kurdumov,"@Володимир Довженко molecul, психея, arida vortex",2021-07-22T17:09:37Z,0
28,Ugzn_ogjwqDxb3eO0wB4AaABAg,Володимир Довженко,признаю,2021-07-12T16:40:19Z,2
