,id,comment,author,likecount,publishedAt
0,UgyLahkP_2yrVrTIV754AaABAg,Актуальна пісня.,Наталья,3,2022-05-07T04:11:52Z
1,UgzARC3m45HS8NiIdJB4AaABAg,"слухаю, дивлюсь і сльози на очах. так глибоко передали почуття",Anna Kaut,1,2022-05-05T21:31:03Z
2,UgxllS2CsUnFfxX6Ied4AaABAg,"Тут все ідеально🔥 мурашки по шкірі🤘Голос, зовнішність, стиль❤️‍🔥",Alecx Bob,1,2022-05-05T18:52:59Z
3,UgylkED0YVRHtznD4iN4AaABAg,"А слова ж пророчі, головну героїню можна асоціювати з Україною яка бореться з окупантом і розквітає 🌹🌹🌹",Natasha,1,2022-05-05T11:59:33Z
4,Ugz8bKZGyhL1J9O_zpl4AaABAg,;-) all be alright Alan Walker(Peace from Jesus Christ). Jesus loves you very hard.(Your angel protector Mikhail).,Claws Kohnenko,0,2022-05-01T18:48:02Z
5,UgyL7uvU5fAy4Privhp4AaABAg,"Ви - не просто рок-гурт, ви художніми засобами зуміли втілити поривання душі мільйонів українців!",Veles Jazychnyk,3,2022-04-23T21:58:17Z
6,Ugzm325UWgquMMyHlcJ4AaABAg,"Неймовірна , серце України ! Обожнюю !",Анна Селецкая,1,2022-04-21T19:10:53Z
7,UgxlNdEdg67dnMEEHjF4AaABAg,Just heard this on my 'discover weekly' on Spotify and immediately added to my likes.,BloodLestRevivedTwo,1,2022-04-21T00:50:49Z
8,UgzcZPmRsKLPNoOHzb94AaABAg,"Пророчі слова,,Люди встають і  одягаються  люди назад не повертаються.......💔💔💔💙💛",Svitlana Teslenko,1,2022-04-20T14:53:56Z
9,UgzKxmJ1lkq13qVZ2Zx4AaABAg,Це бомба!!!,Tetiana Prykhodko,1,2022-04-19T13:57:07Z
10,Ugz7K43kdiv0Ap2YWwN4AaABAg,"""Люди встають і одягаються
Люди назад не повертаються""...
Зараз у час війни, ці рядки сприймаються інакше - до холодку по шкірі...",Mary L,2,2022-04-16T14:41:12Z
11,UgwXoAupDET7N-r1pSN4AaABAg,Глубина  просто до мурашек... Украина апрель 2022...,Людмила Иванова,1,2022-04-16T12:06:38Z
12,UgwEW9KEuoBGnJKB8_94AaABAg,Лучшая работа группы по моему! Дожить бы до конца войны и попасть к ним на концерт!,Артур Кочубей,3,2022-04-16T00:46:33Z
13,UgytfB1J_RFu6KodtBl4AaABAg,Пісні українською це😍😍😍😍 А особливо ця.,Natalia Kushnir,3,2022-04-06T15:47:12Z
14,UgxMd4UOqeJBLTxZUXB4AaABAg,"Скільки думок , скільки непрошених ,
Скільки зерна та й не порощено 
Скільки машин назавжди зламаних 
Скільки людей на моїй  пам'яті .....

2022 рік квітень місяць....",Наталя Корчак,3,2022-04-06T12:54:26Z
15,UgxAmNxRAS_KbcGKUMp4AaABAg,"Талант..
Крута пісня ,голос і музика вау",Artem Hutvert,3,2022-04-03T00:15:23Z
16,Ugzedf5ymnJeasnBCk94AaABAg,"Świetny teledysk i jeszcze lepsza muzyka!
Pozdrawiam z Polski :)",Piotr 1999,10,2022-03-26T22:43:44Z
17,UgyapFpvlMInD5Ob_vJ4AaABAg,Новий шедевр завезли)),І так сканає,2,2022-03-26T10:30:39Z
18,UgwXWYRt0WUQGG0fQO14AaABAg,"Це вперше з початку війни я слухаю музику..  Ваші пісні допомагають відчувати себе живою. Вірю, що обов'язково зберемося всією країною на вашому концерті💛💙",Юля,36,2022-03-25T19:04:30Z
19,UgyCFId3CwdnY3VZ4_x4AaABAg,"Насколько крутая и талантливая Украина. Насколько шикарна украинская культура! Рашистам подобное не снилось, потому бесятся.",Barlog2012,25,2022-03-24T16:12:18Z
20,Ugx1-OUm_J2aiYhGyzJ4AaABAg,"Powerful song, I just heard it at Ukrainians performance in figure skating world championship and I like it. Wish all the best for Ukraine. Peace and love, stop war! ❤️",Dominik Průša,41,2022-03-23T18:56:26Z
21,UgyhiAtfwkn2JEWR98F4AaABAg,Just watched Ukraine skaters in the World Championships skate to this. Great song.,Paul Griffin,14,2022-03-23T17:49:11Z
22,UgxW5-1-iiJ67Doru_V4AaABAg,🥺🇺🇦💔,stil. zef,1,2022-03-19T21:19:01Z
23,UgxVwcHNiOrkk5x7RDV4AaABAg,"Countless thoughts, 
here and now
Countless grains, 
Will never be plowed

Countless thoughts, 
here and now
Countless grains, 
Will never be plowed
Countless cars, eternally broken
Countless lives, never forgotten
Iii choose my outfit toniiight,
Youuu will see her one last tiime.

You won't recognize mee,
Now I dream in colour spree.
And abyss, fills my eyes
With the lake’s blue guiiise. 

People get up and people get dressed
People who never, ever come back

You won't recognize mee,
Now I dream in colour spree.
And abyss, fills my eyes
With the lake’s blue guiiise. 
You won't recognize mee
Blood is like the molten gold
Now we part, no one else, to behooold

Your haands, are cold
And I’m aliive,
Alive and not as iron forged
In your haands, this soul is caged

You won't recognize mee,
Now I dream in colour spree.
And abyss, fills my eyes
With the lake’s blue guiise.",Anastasiia Liubychenko,5,2022-03-08T00:50:08Z
24,UgyUwIF1y3lDtrgZMjl4AaABAg,💌,Davib Ramplin,2,2022-03-01T01:49:45Z
25,UgxGIC50LXiGdc-Mm-N4AaABAg,Дякую за творчість THE HARDKISS.,Анна Горбова,5,2022-02-27T09:56:47Z
26,Ugz58klR3xBq5f8n04R4AaABAg,💙💛,Julianne Pauline,3,2022-02-26T17:12:57Z
