,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgxhGfHV33qV1y2KXox4AaABAg,Esther Coleman,That's her..,2022-03-26T09:03:39Z,0
1,UgxhGfHV33qV1y2KXox4AaABAg,alias fakename,Yes,2022-03-15T16:10:56Z,1
2,Ugw4hlYe420jd6pocNh4AaABAg,Тим Алекс,Дякую,2022-03-25T11:02:58Z,1
3,Ugw4hlYe420jd6pocNh4AaABAg,NEURO PUNK,Pensei o mesmo quando entendi a letra da música !,2022-03-20T02:48:35Z,0
4,Ugw4hlYe420jd6pocNh4AaABAg,Ryan Beers,AMEN TO THAT/GOT THAT RIGHT 🙂😂🤣👍👍..!!,2022-03-16T22:11:22Z,1
5,UgyaUqhBsE4eulxZN1B4AaABAg,benabdallah mehdi,@Дмитрий Мороз i found it yesterday when i heard all the best songs but thank you so much Mr.i don't know,2022-02-15T16:12:32Z,1
6,Ugzy3amudJj5b4Vj6zh4AaABAg,HaleThePanda,@John Hall lol it didn't thank god 😂,2022-02-17T12:01:06Z,0
7,Ugzy3amudJj5b4Vj6zh4AaABAg,John Hall,@HaleThePanda I really hope you didn't put that much time into figuring that out LOL,2022-02-17T11:50:56Z,0
8,Ugzy3amudJj5b4Vj6zh4AaABAg,HaleThePanda,"Gold doesn't age, it's timeless 😂",2022-02-17T11:14:41Z,0
9,Ugw-oFbneu7TMTyJtdl4AaABAg,Lucian Rusu,"And when I say more it is: ""As I boil ice"" the voice is marmaid, and if you don't belive me, ask Ulise!",2021-11-15T16:25:25Z,0
10,UgxyxILPMkcSD0rynbl4AaABAg,G3Synth,It's her. Check the gauges in her ear.,2021-12-15T04:52:07Z,0
11,UgxdpXgvGbFcL8MzrYN4AaABAg,Xenoariel,Yes it was thx,2021-10-05T13:45:35Z,1
12,Ugzh-qe2ShzpVUanzhV4AaABAg,Sam Rivers,@Beau Sterling why are you linking me that?,2021-09-08T21:23:56Z,0
13,Ugw4unOCeksB0TTdES54AaABAg,autemni aequinoctius,Jinjer’s Ape from Micro Album,2021-07-26T00:48:06Z,1
14,Ugx2Wm-80uaeYacik014AaABAg,Hermione Granger,Well i don’t blame you for that because i got a little confused too she was kind of different without her makeup,2021-09-07T22:08:03Z,0
15,Ugx2Wm-80uaeYacik014AaABAg,Davtian Vahan,Really? Wtf.,2021-07-22T20:12:48Z,0
16,UgyDU5GoMUNbr7zrHnt4AaABAg,Davtian Vahan,"Maybe not if her blood pressure was sky rocketing, which would be expected as she's digging her own grave lmao",2021-07-22T20:15:05Z,0
17,UgwydK4E9WrLt7dmJWB4AaABAg,Paul Windscheffel,This style has been around for quite a while. Jinjer if anything were influenced by it.,2021-06-03T15:46:02Z,0
18,Ugyct8yG2GOV6wHhEQp4AaABAg,Никита Климов,И моей,2021-07-04T07:58:56Z,0
19,UgzxrIQNlkqaqQEK7x54AaABAg,Аліса Моргун,"згоден,.ця.музика.та.відео.досконалі",2021-05-12T15:52:34Z,0
20,UgyFUd5qp-4G0C2Fh5h4AaABAg,Paul Windscheffel,"Check out 2011's Fables Of The Sleepless Empire by UnExpect and their 2003 EP ""_We, Invaders"" for that mixture before Jinjer, but with even crazier and diverse structures.",2021-06-03T16:01:12Z,0
21,Ugz0UhAGCCf6Imv5kcp4AaABAg,Lexx Shade,"Какая же Таня талантливая поэтесса. Да ещё и на английском. По-видимому это её вузовская подготовка. Но тяжело ей это даётся, вроде как раз сейчас она сидит пишет стихи к новому альбому.",2021-04-28T08:08:47Z,2
22,UgwdqlbrvTJLZZFt83t4AaABAg,Jesus Medina,@Robert De Wiro gracias pana 👍,2021-04-20T13:30:16Z,0
23,UgwdqlbrvTJLZZFt83t4AaABAg,Robert De Wiro,"@Jesus Medina Por un momento pensé que era Pit of consciousness o Home back, ya que me confundí por los videos, pero era Ape, del ep Micro xD",2021-04-20T03:18:53Z,1
24,UgwdqlbrvTJLZZFt83t4AaABAg,Jesus Medina,Sabes por casualidad como se llama la ultima cancion del video? No pisces la anterior,2021-04-20T00:03:18Z,0
25,Ugx0cAnskyr0LfskjJ94AaABAg,Andrew K,"Вникайте в текст, смысл песни ,о чём она и вы поймёте почему ""откопанная"" выглядит живой и счастливой.
Ведь замысел видео вы восприняли правильно.",2021-03-30T20:29:03Z,4
26,Ugz4nSslsPfdkehJgtF4AaABAg,autemni aequinoctius,"@wisnu wicaksono lol 😂 
U r genius of tro lo lo",2021-04-07T20:25:25Z,0
27,Ugz4nSslsPfdkehJgtF4AaABAg,wisnu wicaksono,"@autemni aequinoctius well,without dark eyeshadow and black lipstick, she's such a godess",2021-03-21T05:36:37Z,0
28,Ugz4nSslsPfdkehJgtF4AaABAg,autemni aequinoctius,Уеаh,2021-03-18T03:06:13Z,0
29,UgzSGIEvODiLIIUCQe14AaABAg,Bashiiiケイラ,"@autemni aequinoctius BAHAHA how adorable, this is too sweet. Are y’all gonna kiss now? I unite you two white people in holy matrimony 😌 okay now gtfo my thread, genetic mutations",2021-02-19T07:59:27Z,0
30,UgzU14pzDv2MwaMabfN4AaABAg,Ric Schmeelk,"Imagine the traumatized student who spoke back to her or acted out:
That’s it! You’re going to *time OUUUUUUUUT!*",2021-09-30T16:54:37Z,2
31,UgzU14pzDv2MwaMabfN4AaABAg,Histery Mystery,She can teach me any day,2021-07-10T04:28:02Z,2
32,UgzU14pzDv2MwaMabfN4AaABAg,Autumn Simmons,@Lord_Vanmaru i can't I just remember someone saying it,2021-07-01T08:35:55Z,1
33,UgwkVNnHTwl4-6UNZpx4AaABAg,Eriml,I think Matt Tuck from BFMV  is pretty easy to understand too and most of the time is easy enough to understand Joe Duplantier from Gojira,2021-10-08T21:02:30Z,0
34,Ugw7NCjB79C7bayPFFx4AaABAg,WafflesRUs17,Its on the EP micro,2020-11-17T13:57:29Z,0
35,Ugzv0H3n9kAk0TCsmfh4AaABAg,autemni aequinoctius,Which is great and which is good?,2020-11-01T21:51:10Z,0
36,Ugw_C0UyCHCelo0gPSt4AaABAg,Wilfried Lang,"@autemni aequinoctius 
I don't think so...😉
Jinjer is hipster metal,  don't believe the hype!
Otherwise, no need to be jealousy, listen what you want. I can stand it...
Jinjer would be an acceptable metalcore band, they should delete, this wannabe pop,jazz, fusion elements, avoid clean vocals!!!- and kick some ass...trying to sound proggy, and be really able, to compose it, makes the difference! 

But, it's only my opinion.
What else...",2020-11-02T06:24:09Z,0
37,Ugw_C0UyCHCelo0gPSt4AaABAg,autemni aequinoctius,"Devin is generic, you confused everything",2020-11-01T21:54:09Z,0
38,UgwhgBHY7HLK9AWous94AaABAg,Tronald Dump,@Kylo Ren Doyle this video don’t mean shit to me if that “hacker” mask is involved.,2020-10-23T17:19:32Z,0
39,UgwhgBHY7HLK9AWous94AaABAg,Tronald Dump,"*Alex Terrible, Darius Tehrani, Eddie Hermida, CJ McCreery and Mitch Lucker would like to have a word with you*
If Tatiana is “the best singer” it’s from the metalcore genre.",2020-10-23T07:03:48Z,0
40,UgzdP5IOn2GADQKvQRZ4AaABAg,Neal,Gee thanks Rich for clearling that up.   I'll go back to pushing a square peg into a round hole now.,2020-10-02T04:02:56Z,0
41,UgyhUTAa2LFJ4v7zcXx4AaABAg,doctajuice,@Harry T I'm comparing Andrea and Cristina to Tatiana. Vacalist to vocalist not band to band,2020-09-04T19:12:37Z,0
42,UgyhUTAa2LFJ4v7zcXx4AaABAg,Harry T,Why are you comparing a djent band to a gothic metal band?,2020-09-04T19:08:57Z,0
43,Ugw-1iRDkg1u4lUfY_J4AaABAg,László Dajka,"RIght. I like how in Pisces her hair and everything is cute, and then her voice is like wow magical, then bam, there comes that amazing growling part. You are blown away. lol",2020-09-18T09:28:26Z,0
44,UgzaXpqNum2_DVD3C4h4AaABAg,László Dajka,I second that! I love how smoothly they can switch from badass riffs and themes to beautifully crafted melodies.,2020-12-17T11:00:53Z,0
45,UgzaXpqNum2_DVD3C4h4AaABAg,Pretty Addicted Official,ABSOLUTELY AGREED,2020-12-06T17:04:27Z,0
46,UgzsdFRXpJQm10OWhyd4AaABAg,autemni aequinoctius,i think u just randomly create your comments by choosing letters familiar to you,2020-09-12T08:37:43Z,0
47,Ugx-KNABIw-4aaAp4AB4AaABAg,anthis rogers,The cameraman doesn’t get enough respect lol,2021-12-07T02:53:51Z,0
48,Ugx-KNABIw-4aaAp4AB4AaABAg,Caprise - Music,@Tronald Dump  which songs do you recommend? By signs of the swarm.,2021-06-26T10:12:39Z,0
49,Ugx-KNABIw-4aaAp4AB4AaABAg,Pablo Grijalva,@Johnny D. Calderón Damn right...THAT BAAAASSS!,2021-06-16T23:08:04Z,0
50,Ugx-KNABIw-4aaAp4AB4AaABAg,Some Guy,@Tronald Dump They're all the most underrated member of the band!  LOL,2021-04-20T02:41:55Z,1
51,UgyNS_8fF-Cs4zdwmZd4AaABAg,InternetToughGuy,Me too. The heavy riff is mindblowing.,2020-08-06T05:45:59Z,1
52,UgwhCc_jYNTXbS0_Cah4AaABAg,dunkel-zombi fiziert-heit,"@Vũ Quang Huy yeah, i agree, didnt hear much of allissas arch enemy, but the few stuff i listened to was supercheesy - with the agonist, she fitted perfectly in this band. i wouldnt say, she is totally wrong in a band like arch.. but, somehow it s exactly THAT.

even though she is one of the best - at least female - growlers, she also has really good transitions between ""clean"" singing and growling, she doesnt reach tatianas skill in both (plus tatiana is sooo versatile due to her styles, she`s really killing so much stuff ).

result: tati - alissa (sry alissa) 4-0 .

never heard a singer like that before in my entire life, deep stuff, blows you away with totally insane mix of athmosphere and emotional rollercoaster, top notch - nothing, i say nothing compares to tatiana...

i didnt even mention the incredible bandmembers, really masters of their art, too... the arrangements, the creativity, the versatility and masterness... insane.",2020-07-09T10:47:24Z,0
53,UgwhCc_jYNTXbS0_Cah4AaABAg,Vũ Quang Huy,Never get allissa and her band. Their music is cheesy and make me cringe so hard,2020-07-09T04:15:18Z,0
54,UgxPoi7iyjFIjisMqDd4AaABAg,autemni aequinoctius,Bad Word every time,2020-09-12T08:54:10Z,1
55,UgxPoi7iyjFIjisMqDd4AaABAg,Funny person,autemni aequinoctius she looks really different here,2020-07-01T20:45:47Z,0
56,UgxPoi7iyjFIjisMqDd4AaABAg,autemni aequinoctius,"Yeah
she's everywhere in this clip",2020-07-01T19:34:49Z,0
57,UgyVwqa-Zyj6n8fpDbl4AaABAg,Neal,I feel you,2020-06-26T06:06:36Z,1
58,UgzQF6VUnbdObv4NlnF4AaABAg,Neal,Tatiana,2020-06-26T06:07:00Z,0
59,UgwFnaG_R4PMpuIpUZl4AaABAg,Jimmy VI,classic eurovision lolol,2021-10-27T13:51:20Z,0
60,UgwFnaG_R4PMpuIpUZl4AaABAg,Aelmsu 30v97,Br dominando,2021-10-08T15:34:48Z,0
61,UgwFnaG_R4PMpuIpUZl4AaABAg,Angus,@gabrielprimeiro you spoke it perfectly,2021-10-03T20:24:07Z,0
62,UgwFnaG_R4PMpuIpUZl4AaABAg,Jay,Did anyone else read this comment in a borat accent? 🤷🏻‍♂️,2021-06-29T00:04:16Z,0
63,Ugwq3BW03blWSQmkrCt4AaABAg,Nile9876,@Zoubair Oudrhiri cool,2020-06-05T20:59:54Z,1
64,Ugwq3BW03blWSQmkrCt4AaABAg,Nile9876,@Zoubair Oudrhiri success does not make a band good. Also no one needs me in this comment section? As if anyone asked for your comment? XD,2020-06-05T19:24:07Z,0
65,Ugwq3BW03blWSQmkrCt4AaABAg,Zoubair Oudrhiri,"@Nile9876 There is no comparison to those great bands bro.. their success says it all..
this guys were around not a long time ago, and I admire the effort they're putting in their shit, it's new it's different and it's creative. Wether you like it or not, we sure agree that these legendary bands are better lol
All i'm saying, take your Xanax and go cry in your bed over my mean comment, no body needs you in this comment section",2020-06-05T18:56:57Z,0
66,Ugwq3BW03blWSQmkrCt4AaABAg,Nile9876,@anon kind of hard to take offense to that when its a hobby of mine,2020-06-04T23:03:45Z,0
67,UgxueMpB3xwAr7IBYA94AaABAg,Zoubair Oudrhiri,@anon thanks !,2020-06-05T12:09:34Z,0
68,UgxueMpB3xwAr7IBYA94AaABAg,anon,Ape (left) and Pisces (right) both by Jinjer,2020-06-04T22:43:30Z,0
69,UgyrqI2a877_i2gl-zx4AaABAg,Nile9876,When you say voices who are you putting her up against? Because i know a HELLA alot of vocalists who are better than her,2020-06-02T05:45:32Z,0
70,Ugw90gZCerRqw9p7kHt4AaABAg,TREZE BLACK,@GroupHug how much do you want?,2020-06-07T21:35:38Z,0
71,Ugw90gZCerRqw9p7kHt4AaABAg,TREZE BLACK,"you don't even know the band and don't even know the paths it takes, to say that I want to be a tick, I published the link here because I'm a fan of jinjer, that's all.  if you didn't like it i'm sorry but i can't do anything for you.👍",2020-06-07T06:15:49Z,0
72,UgwBVVUhyylgRf16ymR4AaABAg,GroupHug,as soon as you made 6 of the same comments in a row.,2020-04-21T15:13:55Z,1
73,UgwvakBBa6R4M9yuh594AaABAg,Андрон Крылов,Я впервые вижу столь неординарную женщину.,2020-11-21T12:18:06Z,4
74,UgwT57XZTlYUp2Pv1XJ4AaABAg,Fernanda Soares,A melhor!,2020-06-23T01:28:58Z,2
75,UgwT57XZTlYUp2Pv1XJ4AaABAg,Tonnyzera33,muito bom,2020-04-28T12:30:56Z,0
76,UgwT57XZTlYUp2Pv1XJ4AaABAg,Limbert Salinas Escobar,"Nao sou Br , sou Bolivia mais to em Sampa  !! Porrada   dahoraa essa banda!",2020-04-13T00:36:32Z,0
77,UgwT57XZTlYUp2Pv1XJ4AaABAg,Paulo Henrique,José Broglio Tmj!!!,2020-04-09T23:28:41Z,1
78,UgxfnV9hC3QB3EYu6iR4AaABAg,Nile9876,Cool,2020-06-02T05:43:06Z,0
79,UgzVTRZWFyeHgShIQWJ4AaABAg,autemni aequinoctius,"Nata Study 
А хто эту рфскую музыку дела и делает.... посчитайте на пальцах - все наши бывшие, заробитчане",2020-05-28T04:05:54Z,0
80,UgzVTRZWFyeHgShIQWJ4AaABAg,LILINURM,"И да, понятно, что Татьяна не пишет рифы, но кларатура её голоса и модуляции, которые она использует это именно её композиторский дар.",2020-03-14T11:15:00Z,0
81,UgzVTRZWFyeHgShIQWJ4AaABAg,LILINURM,"@Nata Study вы вероятно хотите что-то сказать о России в уничижительном свете. Если так, то даже не пытайтесь отвечать, поскольку люди, которые хотя бы немного знают Россию, не могут себе позволить низости. А с теми, кто строит сове представление по верхушкам из телека, или радио - я разговаривать не желаю. У меня вот нет сомнения в том, что украинская песенная культура оставила большой след на гигантском пространстве. Но я свободен от тех глупостей, какие влят на Украину из российских СМИ, а на украинских на Россию.",2020-03-14T11:13:35Z,0
82,UgzVTRZWFyeHgShIQWJ4AaABAg,LILINURM,@Nata Study что ж это за рфская музыка такая?,2020-03-14T11:09:41Z,0
83,UgzVTRZWFyeHgShIQWJ4AaABAg,Nata Study,"Украинская музыка на порядок лучше донной рфской музыки, застрявшей в 90х и вторичной, особенно фонограммной попсятины. В Украине море музыкантов европейского уровня в разных жанрах и на стыке, но в рфии знают лишь тех, кто шакалит в рфии. :))  Кстати, Татьяна пишет НЕ музыку, а стихи. :)",2020-03-14T08:42:37Z,0
84,Ugy17BS6qN2Z17xdehB4AaABAg,Paulo Henrique,"joao ricardo fernandes cara assim como vc, descobri há poucos meses e já to surtando pelo show aqui em sampa ter sido adiado pelo covid19",2020-04-09T23:30:30Z,0
85,UgyPU-Xan32Goln8prF4AaABAg,Zach Horsman,@tenzin dakar thanks!,2020-03-07T20:46:36Z,0
86,UgyPU-Xan32Goln8prF4AaABAg,tenzin dakar,Zach Horsman Ape-jinjer,2020-03-07T05:20:22Z,0
87,UgwRUb3IvnEn32t6NhN4AaABAg,Alex G,"That are the following songs: JINJER - Ape (Official Video) https://www.youtube.com/watch?v=FC3djB7-nc0
JINJER - Pisces (Live Session) https://www.youtube.com/watch?v=SQNtGoM3FVU",2020-02-29T08:26:50Z,0
88,UgxziXccDSJhqDsLJ_l4AaABAg,M R P,Ape - jinjer,2020-03-04T02:49:03Z,0
89,UgyBJ3ScD7Qe6cbwNph4AaABAg,Вася Пупкин,Ваш кошмар мы пережили в 90 х....я знаю о чем пишу...,2020-03-08T18:37:07Z,0
90,UgyBJ3ScD7Qe6cbwNph4AaABAg,Вася Пупкин,"@Katrin Filipicheva брррр))) начал смотреть первое видео и не смог)) что за бред там.... Про бурятские танковые дивизии в конце ?))
Скажу одно.... Если бы на Донбассе были регулярные войска России.... Это скрыть невозможно !! Спутники и разведка ваших новых хозяев, нашли бы кучу нормальных доказательств! Но их нет..... Только бред про фото в соц сетях.",2020-03-06T04:19:27Z,0
91,UgyBJ3ScD7Qe6cbwNph4AaABAg,Вася Пупкин,@Katrin Filipicheva а ты забыл кто и где начал первыми администрации в городах Украины захватывать ? А Гиркин что ? Напал на Киев ?,2020-03-06T04:10:04Z,0
92,UgyBJ3ScD7Qe6cbwNph4AaABAg,Katrin Filipicheva,"Ага гіркін по твоєму яке відношення до українців мав? Їх попереджали 2 неділі і вже 12 квітня він з рашистами розтріляли нашу альфу! От тоді почалася АТО. І Крим не забувай, де медаль від 20 числа, коли яник ще в Україні був! Ми все знаємо! Твої маніпуляції недоречні.
З огидою з Донбасу!
Своїх не взнав?
https://youtu.be/TyVL5L-5d3M
https://youtu.be/wvbZwujH1ns
https://www.youtube.com/playlist?list=PL7NtRwkSOM_aiMqcinvemPRVZzenbeWnV
https://youtu.be/wCCmKrM34po
https://youtu.be/JKH3K7Jcme4
https://youtu.be/JzzYtufQC6I",2020-03-05T19:54:38Z,1
93,UgziC1FOrOnjeKjdYbV4AaABAg,autemni aequinoctius,Sr. Rodriguez  Tatiana Tati Tanya,2020-03-09T01:16:25Z,0
94,UgziC1FOrOnjeKjdYbV4AaABAg,Alex G,@Sr. Rodriguez LOL! Please look at her more closely. Only Tatiana (vocals) is in the video. She likes to  look different in every video.,2020-02-26T04:35:10Z,4
95,UgyJIPJgNW8xV3Smryt4AaABAg,Evg Sha,"You forgot to call Tool, the greatest band",2021-01-24T16:21:49Z,0
96,UgyJIPJgNW8xV3Smryt4AaABAg,CURTIS JR,"Well worded, same for me then I found jinjer, And I got that feeling  That I had from seeing all the bands I loved the 1st time live All happened the 1st time I heard pisces in my back yard on the top of the Catskill mountains US Definitely one of the best bands to bring new energy to our music",2020-10-02T04:32:09Z,1
97,UgyJIPJgNW8xV3Smryt4AaABAg,László Dajka,"Just the mere fact poeple comment like this shows how some bands are so great. Lately I have been just listening to my old favs. Metallica, Iron Maiden, Megadeth, Deep purple and many others. But now I feel like a teenager fan boy, when my friend showed my Jinjer! wow",2020-09-18T20:30:39Z,2
98,UgyJIPJgNW8xV3Smryt4AaABAg,Warren Harrison,"I haven't done metal in a long time, last CDs I bought were in the 90's. I'm open to music and fairly eclectic in what I listen too, last few years has been weqx station out of Albany NY/Manchester VT, it the only thing that's held my interest and occasionally there's some harder songs on there, they stay very new and recent on their play list. My youngest brother Ethan Harrison is front man for Great American Ghost out of NH, his growth into the hard growling metal brought my interests around again these last few years, it was a younger friend that shared Jinjer a year plus ago, I was blown away, but time moves along and things fade out of my mind so did Jinjer. Skip to just this last week and Jinjer slipped back into my life, I am so thankful, what an amazing group, been soaking up all I can. This group checks all the boxes for me. 

Ps check out my bro and his group too😉",2020-09-05T02:39:57Z,0
99,UgyJIPJgNW8xV3Smryt4AaABAg,Pete Grusky,"Hey, wanderer, you're missing a one, Igorrr... Especially new album Spirituality and Distortion!
Try Haken too... Their older stuff preferably first.",2020-07-08T03:28:06Z,0
100,UgxvYXdymR8fUNhvUuJ4AaABAg,Nata Study,VERY different. :),2020-03-14T08:55:26Z,0
101,Ugy6JnpPtjmqe42HNWF4AaABAg,69 420,Yeah that's enough Internet for me,2020-05-18T07:33:12Z,0
102,UgwGLe8fg4A38EwnJF14AaABAg,D B,no such thing. the way she moves you from a good place to a dark place in your own mind is the thing.,2020-01-26T10:39:08Z,1
103,UgzFJ_DldldtTXI7cbF4AaABAg,Help Me Name This Account,How are you the first comment I see on this video? Dingus,2021-11-29T18:37:56Z,0
104,UgzFJ_DldldtTXI7cbF4AaABAg,kirisutegomen12,I just discovered this band. They go fkn hard 🤟🏻,2021-11-07T02:43:25Z,0
105,UgzFJ_DldldtTXI7cbF4AaABAg,Aelmsu 30v97,Br em todo lugar,2021-10-08T15:34:37Z,0
106,UgzFJ_DldldtTXI7cbF4AaABAg,Michael Van der boon,Some of my favourites aswell,2021-09-22T11:27:23Z,0
107,UgyS_gf5pNyCqWUpzSt4AaABAg,Hannah Warriner,Okay,2020-01-21T01:34:22Z,3
108,Ugxd4guFRiePIUYPn7N4AaABAg,Nata Study,"Они вообще-то  живут (и пишут музыку) в Киеве, но в последнее время все время в турах по миру.",2020-03-14T08:59:13Z,0
109,Ugxd4guFRiePIUYPn7N4AaABAg,Свідомий Хохіл,В ноябре был концерт в Киеве.,2020-01-17T16:36:51Z,1
110,UgxnsBOFb0cc8qRlI8d4AaABAg,potato,"@Atlas Music thanks, fellow brother",2020-01-23T22:48:01Z,2
111,UgxnsBOFb0cc8qRlI8d4AaABAg,Atlas Music,time to take abbath bruh your name is hilarious 😂,2020-01-23T21:25:52Z,1
112,UgxnsBOFb0cc8qRlI8d4AaABAg,Ric Schmeelk,"@potato ok, settle down, Beavis!",2020-01-15T21:25:24Z,16
113,UgxnsBOFb0cc8qRlI8d4AaABAg,potato,@Ric Schmeelk i dont need any advice,2020-01-15T21:21:49Z,1
114,Ugz6QyPITws2_4z2T214AaABAg,Rob,"That’s beautiful, man.",2020-07-31T20:05:56Z,0
115,Ugz6QyPITws2_4z2T214AaABAg,Censored,I love those 3 bands too and completely agree. You should try listening to Gojira. Try the song Flying whales first.,2020-01-25T19:19:26Z,6
