,id,comment,author,likecount,publishedAt
0,UgztQrK6Y8qrwGFjOOV4AaABAg,"«From the ashes of my roots
The new me will rise to live again
This is poetry of youth
This is poetry of me and you!»

 These words remind me of Ukraine, I believe that everything will be fine, stay as strong and independent 🇺🇦 
Моє серце назавжди з стобою❤️",Anastasiia Ilkiv,0,2022-05-08T05:36:43Z
1,UgwkxAHYxUTALrBOVz14AaABAg,0:38,Esdras Tadeo,0,2022-05-08T02:32:09Z
2,UgzAqUt20s5ucwDmNQx4AaABAg,0:39,Esdras Tadeo,0,2022-05-08T02:31:30Z
3,UgyAo-7lApSDgh8_hFR4AaABAg,"I am twice her size and used to growl as a back up vocal for a small metal band.  I can't do what she does, and can't sing clean really at all.  Her skills in several styles amaze me, basically supernatural to be able to shift between the way she does.",James moore,0,2022-05-07T12:30:51Z
4,UgzrY9STxrTyJKtOsdN4AaABAg,Hard-core man… She’s dancing around barefoot in the snow as if she’s not in excruciating pain and developing frostbite at the same time…. And what the heck kind of a setting are those guys playing and it looks like they’re playing music inside of a cave while it’s flooding?,billytankx,0,2022-04-27T13:10:08Z
5,Ugx0Yod6tskoPXfiTl94AaABAg,I like the power of this song,Finn Edvard Teigen,0,2022-04-25T22:00:26Z
6,Ugx1DPcDWfg--8UpE254AaABAg,👊👊👊,Mauricio Diogo,0,2022-04-23T22:55:52Z
7,Ugz0HFhxpFG4ncHzT394AaABAg,"Quickly become one of my favorite new bands. And here I was thinking no good bands were coming out, surprise",Lyle Schoepflin,0,2022-04-21T15:38:20Z
8,Ugy4kdGOei5uVzbixW14AaABAg,EPICO,Ghoulyzh,0,2022-04-19T09:24:24Z
9,Ugwf3kZOlYTUs2vKMNB4AaABAg,What a fucking Goddess.,Meghan Talbott,0,2022-04-16T18:37:50Z
10,UgxQB9dJsU8cXoByTep4AaABAg,i wish i could kiss her hand for the tears of liberation she brings with her vocals in these lyrics..,AixmhroΣ,1,2022-04-15T12:48:17Z
11,Ugxiz_Ekj28ysLo3K9B4AaABAg,The best song of jinjer.,Leonardo Costa,0,2022-04-14T04:28:54Z
12,UgwzPk7xeXIixhC3xbp4AaABAg,WOW THIS BRUNETTE'S VERY CUTE.. NOT LIKE I'D EVER HAVE A CHANCE WITH HER SINCE SHE LIVES WHAT'S  EASILY 10000 MILES AWAY FROM WHERE I LIVE SHE'S  IN THE UKRAINE I LIVE IN THE UNITED STATES 😖🙄😡🤬👎👎ERRGH..!!,Ryan Beers,0,2022-04-07T00:15:02Z
13,UgxtkI3V_mGkaU_YbXh4AaABAg,Bo Pachino's reviews is what brought me here  🤔🤷‍♂️🤦‍♂️🤨..not as if anybody out there really cares as to what brought me to this video but I just figured that since 95% of the other commenters  post what brought them to a specific music video I would  as well but I NEVER WANTED TO BE ONE OF THOSE D BAGS LIKE THAT WHICH I SADLY FIND MYSELF DOING😖🙄😡🤬👎👎ERRGH..!!,Ryan Beers,0,2022-04-07T00:12:46Z
14,UgzYTSN_lW-NEm11_Xp4AaABAg,Amazing video but I am stunned by her beauty! No makeup needed! So jealous of her boyfriends!,E B,0,2022-03-26T08:23:43Z
15,UgzkmF6MTftjOuxY5zp4AaABAg,This song has already gotten me through the pain and heartbreak I've had recently. I'm grateful for this band,Chatsberry,0,2022-03-21T13:40:14Z
16,UgwUHJUlgatj8BTwsth4AaABAg,I love this song video video love song love love video song song video love love video video song video love love song song video love love this video song 🎧 I hope it was good 😊 this song 🎵 song 🎵 I hope 🤞 can do love 💕 I song love song song,Nevaeh,0,2022-03-20T04:36:39Z
17,Ugz_IiQIVPE9BoUewbN4AaABAg,Amazing,Elijah Causey,0,2022-03-19T16:31:29Z
18,Ugw1KKbM5rvufKn7op94AaABAg,"Even without make up she is 100% unbelievably beautiful!!!! Also, many female voices that can do highs and lows, but I LOVE hers!",zachnar0125,0,2022-03-18T21:15:54Z
19,UgwOyqn9jqQxhmQ1ptF4AaABAg,Prayers for Ukraine 🇺🇦…I love you jinjer thank you for this beautiful masterpiece ❤️,Ashlynn cooney,0,2022-03-16T14:45:54Z
20,UgxP_yb0vnUzrunJH_l4AaABAg,"I <3 this so much.  Such an awesome band.

GLORY TO UKRAINE!",Craig Henderson,1,2022-03-16T08:47:40Z
21,Ugx4_ezHpBnX2MmQoIx4AaABAg,"I love JINJER
I love Tatiana
I love this sound
 Perennial 😍",FABINHO_MOREIRA,1,2022-03-14T09:02:22Z
22,Ugw6KJaBE5GGEl0pjBF4AaABAg,"And what,if I can understand without words?",Viktor Cepel,0,2022-03-12T08:07:00Z
23,UgxhGfHV33qV1y2KXox4AaABAg,Is that her real voice or what,Off Tomorrow,0,2022-03-11T13:58:48Z
24,Ugy0JKUi9IQ13-6wJtB4AaABAg,Masterpiece <3,Hermann Weiß,0,2022-03-08T09:32:17Z
25,UgxuCUAhg0LSrZFV9GB4AaABAg,Hero Slava !,Eugen,0,2022-03-07T19:37:14Z
26,Ugz679nZib9cueajAVd4AaABAg,Glory to Ukraine 🇺🇦,Jerry 7.62,1,2022-03-07T12:10:46Z
27,UgwdtoJtxoQKxaZ4WPN4AaABAg,Dude I need a Tatiana & Courtney Laplante collab,Doctor Strainlove,0,2022-03-07T07:48:39Z
28,UgzQJ1_XtuWBIZiCdSF4AaABAg,🇫🇷☮️☮️☮️✨🤘🏼🏳🏳🏳🏳🏳🙏🙏🙏🙏🙏🙏,Gina Issa,0,2022-03-07T03:14:48Z
29,UgxE11o0hfFBMfsv9yl4AaABAg,Hope you are all safe 🙏,rowshambow,4,2022-03-07T02:36:23Z
30,UgyBgaVYKYjjMl8KcN14AaABAg,SLAVA UKRAINI🇺🇦,Eddie Laplante,4,2022-03-05T17:33:15Z
31,Ugw4hlYe420jd6pocNh4AaABAg,"The theme of this song, rising back up and being reborn, is the perfect song for this difficult time. Prayers and hope to Ukraine.",TehCode99,80,2022-03-04T21:09:18Z
32,UgzKZVrBvMqk_G0_XR94AaABAg,Message to all the US fans around: Please tell your politics that you are not deserving Jinjer at all. Starting and supporting the war in Ukraine in the Eastern regions where Tatiana is born /it hasn't started yesterday but 8 years ago supported by the US administration which flooded the coup with 5 billion taxpayers dollars in 2014/ will surely yield a FUCK YOU I would scream in their stinky faces if I was in Jinjer place.,John Doe,1,2022-03-04T16:57:37Z
33,UgztTi_XM066fvQs8CJ4AaABAg,"It's autumn in my country, and it feels like funeral to me :(
I hope you're all ok, and this madness ends soon.",Pippies Kent,6,2022-03-03T22:17:24Z
34,Ugza1sCnOJAPtSF0ViZ4AaABAg,"Uh, the screams, the screams! 😍🔥 There are actually only a few female ""screamers"" in this scene/genre, for example: Courtney LaPlante from Spiritbox, but HOLY SH*T, she's just amazing! Keep it up girl! And they're from the Ukraine! I definitely need to listen to more of their songs...",FlameHaze59,0,2022-03-02T08:09:41Z
35,UgyRFVyqnVJf1g3q7654AaABAg,"if u are watching in 2022, slava ukraine",kimmo vyyrylainen,2,2022-03-02T07:49:41Z
36,UgyL7Rr36HCxJYf400V4AaABAg,🌻,Drew M,0,2022-03-01T12:13:01Z
37,UgygTZPIoQ0iHiq_jmd4AaABAg,FOR UKRAINE!,Nick Wilson,3,2022-03-01T03:20:53Z
