,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,Ugz-NSIrOxOWYsHbGhp4AaABAg,Vladislav Shulga,"а с чего должно быть стыдно, перед кем?",2022-03-23T11:49:08Z,4
1,Ugwkv79UT5FvT0G0O9R4AaABAg,Володимир Довженко,@Александра Островская хоть что  нибудь,2021-12-13T23:19:41Z,4
2,Ugwkv79UT5FvT0G0O9R4AaABAg,Александра Островская,@Володимир Довженко что я должна сделать ?,2021-12-13T21:34:55Z,0
3,Ugwkv79UT5FvT0G0O9R4AaABAg,Володимир Довженко,а что сделала тьі?,2021-12-13T21:20:17Z,2
4,Ugx4rb0YiUfwhBLow3t4AaABAg,Nastya Foz,@Володимир Довженко я знаю сколько лет песне и клипу .,2021-12-10T20:15:59Z,0
5,Ugx4rb0YiUfwhBLow3t4AaABAg,Володимир Довженко,клипу 9 лет,2021-12-10T19:25:42Z,0
6,Ugzm4wQa6TqMAtGEYfV4AaABAg,Александра Иванова,У меня такая же история 😅,2022-01-19T06:42:19Z,1
7,Ugzm4wQa6TqMAtGEYfV4AaABAg,Igor Kanivets,"Часто чую українську музику, подорожуючи світом",2022-01-16T03:12:57Z,0
8,UgxSwp-drgT5Uwb5U6h4AaABAg,Володимир Довженко,кабзона слушай,2021-08-23T21:53:14Z,4
9,UgxreW4m4TjCBfZMsEx4AaABAg,parfesa?,This is Ukrainian band,2021-07-28T16:32:47Z,0
10,Ugza0hLC0g_p2dj-Fl54AaABAg,Edward A. Cure,"Yup, I didn't know that 😅",2021-06-27T20:55:02Z,4
11,Ugza0hLC0g_p2dj-Fl54AaABAg,Oksana Antikhovich,This is a Ukrainian band,2021-06-27T20:53:12Z,7
12,Ugza0hLC0g_p2dj-Fl54AaABAg,Кристина,Ukrainian,2021-06-27T19:29:42Z,10
13,UgzT9qW6r_JfYcVPoHF4AaABAg,Anna Elioz,@Вадим да и звучание у них современное,2021-06-29T13:44:54Z,1
14,UgxsZOHU7TwfqLXaSh14AaABAg,anahoret X,"@Михаил Тут увидели сатанизм, некоторые в других клипах нашли масонство. Может, просто показалось?",2021-06-05T11:27:05Z,0
15,UgxsZOHU7TwfqLXaSh14AaABAg,Михаил,"@anahoret X сатанизма тут не мало, много символов, жестов и т.п.",2021-06-05T11:17:13Z,0
16,UgxsZOHU7TwfqLXaSh14AaABAg,anahoret X,"Сатанизма тут ноль. Зато 100% попугайство, переизбыток всего. Оказывается, так и задумывалось: показать полнейшую безвкусицу в одежде со стильным макияжем. Как не надо делать. Я сначала тоже клип ругал, теперь поменял мнение. Мне он до сих пор не нравится, но в принципе не так и плохо, на любителя",2021-06-05T10:46:44Z,0
17,UgxPfhJmulQb3Lx1XOF4AaABAg,anahoret X,Сарказм оценил))),2021-06-05T10:41:15Z,0
18,Ugyc1WFLrXDqwAKJ4ft4AaABAg,anahoret X,"Не оргия, просто сумбур полнейший",2021-06-05T10:42:06Z,0
19,Ugx0OBm0HqSQi9lkFlp4AaABAg,anahoret X,Я до сих пор большего треша не видел,2021-06-05T10:54:34Z,0
20,UgwuLtgMBMwFl9Wfc0Z4AaABAg,anahoret X,Скорее Водафон,2021-06-05T10:49:27Z,0
21,UgzpRB_lhpRduPkFSyF4AaABAg,anahoret X,Ещё не хватало. Песня и клип детско-подростковые. Они уже взрослые,2021-06-05T10:50:46Z,1
22,UgzQ9j7hod2awQ_HJBZ4AaABAg,John Evgeny Pronin,"@anahoret X хорошо, что у нас разные мнения 🤣",2021-06-05T11:49:35Z,0
23,UgzQ9j7hod2awQ_HJBZ4AaABAg,anahoret X,"Музыка типично танцевальная, с такой и спрос небольшой. Клип ужасающий, но так и задумывалось",2021-06-05T10:53:08Z,0
24,UgxpF2jdTeKt7dBD0-p4AaABAg,ANDRII VOVK,вже 2022 на дворі=),2022-02-18T18:07:38Z,0
25,UgxpF2jdTeKt7dBD0-p4AaABAg,Glaphira Reed,январь 2022 ))),2022-01-31T05:34:16Z,0
26,UgxpF2jdTeKt7dBD0-p4AaABAg,n1j6j,"З 22-го, до цих пір. ))))",2022-01-30T03:30:52Z,0
27,UgxpF2jdTeKt7dBD0-p4AaABAg,Ярослав Нагорный,В 2022 это ещё круче,2022-01-06T19:49:55Z,0
28,UgxpF2jdTeKt7dBD0-p4AaABAg,Валерій Винник,👍,2021-09-16T15:43:24Z,0
29,UgzdXiZxC8XfQ8xHaKJ4AaABAg,anahoret X,Клип вообще ужас попсовый,2021-03-05T17:16:52Z,0
30,Ugye1lZB5U4JdWlpaeh4AaABAg,anahoret X,"@Николай Гаевой А я узнал буквально неделю назад или даже меньше. Начал с последних клипов (жива), потом наткнулся на make-up и был неприятно удивлён контрасту",2021-02-09T13:40:21Z,0
31,Ugye1lZB5U4JdWlpaeh4AaABAg,Николай Гаевой,"@anahoret X я просто его помню в тот момент когда он вышел. И он меня тогда зацепил. Тогда я о них и узнал. Оценивать сегодняшними категориями я его не могу, так как это будет необъективно",2021-02-09T13:17:03Z,0
32,Ugye1lZB5U4JdWlpaeh4AaABAg,anahoret X,"@Николай Гаевой Мне клип категорически не нравится. Ужасно попсовый. Набор бессмысленных кадров. Гламур, фу! Они же как бы рокеры и тут такое. Повторюсь: они уже давно так не делают, нашли свой стиль. Так что их я за прошлое не критикую. Всякое бывает",2021-02-09T13:12:31Z,1
33,Ugye1lZB5U4JdWlpaeh4AaABAg,Николай Гаевой,Шикарный клип! И я уверен- недорого,2021-02-09T10:37:51Z,1
34,Ugw-qo1kjDvJ9UMQrph4AaABAg,Николай Гаевой,Только об этом подумал,2021-02-09T10:40:06Z,1
35,UgzKQ0DIdAQQoA6AeEh4AaABAg,Ursulianchik 10,Юлия Санина,2020-12-10T16:49:19Z,0
36,Ugze13l12wusJf8TajN4AaABAg,Nata Study,"Это видео в свое время получило  Yuna  за лучшее видео, обойдя в этой категории мэтра Бадоева. :)",2020-10-31T02:00:57Z,0
37,Ugw29GemkBsmCZlir1N4AaABAg,hanna08100,"Потому что описание, ВНЕЗАПНО, можно редактировать",2020-10-29T18:03:22Z,0
38,Ugy3_u3f_P5wJfidf3V4AaABAg,Nata Study,"@Володимир Довженко  Оба  видео сделаны с промежутком < года , так что Юлия  юная в обоих (19 и 20). :) Просто грим разный.",2020-10-31T01:56:58Z,0
39,Ugy3_u3f_P5wJfidf3V4AaABAg,Ванька Встанька,"@Володимир Довженко а все, нашла)",2020-10-18T17:27:32Z,0
40,Ugy3_u3f_P5wJfidf3V4AaABAg,Ванька Встанька,@Володимир Довженко где можно глянуть?,2020-10-18T17:24:11Z,0
41,Ugy3_u3f_P5wJfidf3V4AaABAg,Володимир Довженко,"дебют - вавилон, там юля совсем юнная.",2020-10-18T17:22:12Z,0
42,UgzFrwuNaZmJNyPcOWV4AaABAg,Leks Beet,"@Nata Study Jackson — это гитарный бренд, которым владеет Fender. Если слуха нет, то я ничем не могу помочь, зачем вообще комменты писать?",2020-11-04T04:30:09Z,0
43,UgzFrwuNaZmJNyPcOWV4AaABAg,Nata Study,":)))) Похоже как  слон на ежика. Хорошо, что не напомнило Jackson",2020-10-31T02:04:13Z,0
44,UgzXm4syNkT1eAK6FYp4AaABAg,Nata Study,Ну и тормоз! :) Всего 8 лет понадобилось на осознание. :),2020-10-31T02:05:46Z,0
