,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgzNK0Joi_cf0XJqnFJ4AaABAg,Νικολάι,Чорна весна..,2022-05-08T14:43:18Z,0
1,UgzfVQIeUpOGTYIZ5a54AaABAg,Νικολάι,"Так, армія Зеленського переможе",2022-05-08T14:43:49Z,0
2,Ugzi9rxMkRhiczVKOtp4AaABAg,Νικολάι,"У нас их две было, эта и 14 года..",2022-05-03T22:52:54Z,0
3,UgyUyMFVuMnLbuvaUAd4AaABAg,Кирилл G,Что лет не слушал эту песню,2022-05-02T18:49:12Z,0
4,UgyUyMFVuMnLbuvaUAd4AaABAg,сОБАКА сОБАКИ,Рашист?,2022-05-01T18:07:59Z,2
5,UgzSKizBMCEWc7OjrkZ4AaABAg,Νικολάι,Zалупа на Vоротник,2022-05-03T22:53:20Z,2
6,UgyVXPuEiHtT9m8SkcB4AaABAg,Karel Müller,"@Кирилл G почему не в окопе? Или ждёшь мобилизации? Ну не бойся, дождёшься, а потом и комментарии оставлять не сможешь)",2022-05-08T10:47:12Z,0
7,UgyVXPuEiHtT9m8SkcB4AaABAg,Кирилл G,Думаешь слава помогает ?,2022-05-02T18:54:18Z,0
8,Ugz103LSVdP9KKv4pyR4AaABAg,Кирилл G,@сОБАКА сОБАКИ байдон лучше ?,2022-05-02T19:05:56Z,0
9,Ugz103LSVdP9KKv4pyR4AaABAg,сОБАКА сОБАКИ,"Нет, Мы разные нации, что Беларусы, что Украинцы , Что литовцы. И небудем идти за мыслей старого бункерного шизофреника",2022-05-01T18:10:46Z,0
10,UgzVb7c666cm6AvSoeN4AaABAg,Дим А,классно . скажи что русаку делать? из окопа я к вове пойду! что сейчас делать?,2022-05-01T23:16:07Z,0
11,UgzC1S81Cmbagf2VVK94AaABAg,Кирилл G,Тут,2022-05-02T19:06:41Z,0
12,UgxF8Z6EM2OOSC0IVzN4AaABAg,Кирилл G,Что значит слава ? Есть за что ?,2022-05-02T19:07:18Z,0
