,id,comment,author,likecount,publishedAt
0,Ugz1G2_JMsVmOGBe5bl4AaABAg,Прекрасная песня ! Хит !,Дарья Варламова,1,2022-05-08T03:01:53Z
1,UgzNK0Joi_cf0XJqnFJ4AaABAg,Няхай хутчэй будзя вясна!!!,Наталья Валюк,0,2022-05-07T20:41:50Z
2,UgzZ_xbEliEa7tm1S1p4AaABAg,Я таксама з вами!!! Жыве Украина!!!!,Наталья Валюк,0,2022-05-07T20:36:56Z
3,UgwDWRqBfMgQimwyEV54AaABAg,Зачем задвинул ты по весне?- человек.,ААРОН АМАДЕЙ,0,2022-05-07T02:35:35Z
4,Ugzo-4IyV8AhOR_c-f14AaABAg,"Добрий день,",Михаил Мазур,0,2022-05-07T00:46:43Z
5,UgxGXcHn8uCgEFlj_ut4AaABAg,Cлава Украине. Живе Беларусь.,Jesse Custer,1,2022-05-05T12:57:27Z
6,Ugy9k7bqql2rim6RAe14AaABAg,Все похоже охерели в 2022😯 вот таки чудеса бывают.,Cheburnet Vatrushkin,0,2022-05-04T17:41:47Z
7,UgwkTwbVshEhwaL26RB4AaABAg,Слава Украине!!! Украина понад усе!!! Привет из Казахстана!!!,Данат Жанзаков,1,2022-05-04T16:42:07Z
8,UgyyJvHRezm3fMGoQNN4AaABAg,Слааа Захисникам!!🇺🇦🙏🇺🇦💪🇺🇦❤️,Edgar Po,0,2022-05-04T16:07:39Z
9,UgyNJI_0pavg1N-K-EF4AaABAg,🇺🇦,Василь Псевдонім,0,2022-05-04T11:37:12Z
10,UgzfVQIeUpOGTYIZ5a54AaABAg,Армiя Z бажаю перемоги,steiner quer,0,2022-05-04T01:00:41Z
11,Ugze7i2ySFg62F6zbV94AaABAg,"Бомба, необсуждаеться💯",Leonid Sled,2,2022-05-03T14:20:56Z
12,Ugzcjhfe-7h32aNUxeB4AaABAg,Красивый стих,Пеня Миллер,1,2022-05-03T10:42:46Z
13,UgwPj0VDvehOwlJPfop4AaABAg,"Братья славяне,что же происходит.скорей бы это все закончилось.",Костя Костя,0,2022-05-03T01:56:34Z
14,UgwL1nb4980VD1r-Zwp4AaABAg,За весной придет лето!,Samsung A105Red,0,2022-05-02T19:48:03Z
15,UgyEnS417DcdxMkps5N4AaABAg,Просто почувствуйте себя на Украине!,Samsung A105Red,1,2022-05-02T19:45:17Z
16,UgzBbcYRXkFd-OwsiRt4AaABAg,"Помню дружочек пирожочек песню эту поставил, ну збс песня. Жаль что сейчас все так происходит.",Кирилл G,0,2022-05-02T18:47:08Z
17,Ugwy_fZ5gErwywtCecx4AaABAg,як же це неймовірно та круто😍,Arina Shmel,0,2022-05-02T17:49:35Z
18,Ugzi9rxMkRhiczVKOtp4AaABAg,Хто слухає під час найгіршої весни?,Anna Kasabian,0,2022-05-01T19:06:50Z
19,UgxVI8ITnKtgsERwYuF4AaABAg,наша тема),Сергей Артюх,0,2022-05-01T16:59:30Z
20,Ugw24F88-krPXXM7Wo54AaABAg,Балдею от этой песни❤🇺🇦,Kseniia Hryb,0,2022-05-01T15:53:58Z
21,UgyUyMFVuMnLbuvaUAd4AaABAg,"Песня классная,из за вас,тупых утырков,которые орут  хероям слава,слушать не хочется",Игорь Фадеев,1,2022-05-01T15:24:16Z
22,UgyWeA4vPI7cm37r3id4AaABAg,скучаю за нормальным украинским,Александр Корниенко,0,2022-05-01T06:34:46Z
23,UgzSKizBMCEWc7OjrkZ4AaABAg,Z,r00tor,0,2022-05-01T01:00:23Z
24,Ugyr_fGtKE_jeTW7OsN4AaABAg,За перемогу!,Val S.,1,2022-04-30T16:33:43Z
25,UgyVXPuEiHtT9m8SkcB4AaABAg,29/04/2022 Весна Йде - орки дохнуть тонами !!! СЛАВА ЗСУ !!!,Иван Гладкий,3,2022-04-29T19:11:23Z
26,Ugw0ClLO-6283P3oMHN4AaABAg,оно,Gabrantych,0,2022-04-28T20:55:15Z
27,Ugwl3Aslai--AgPEMUN4AaABAg,"Привет из Крыма , всех Украинцев обнимаю , всё будет хорошо",Toni Aniev,2,2022-04-27T21:42:41Z
28,Ugw4kwC_qPy8Nm0VTCR4AaABAg,"Эх, было же время!",Ночной Дятел,1,2022-04-27T14:39:41Z
29,Ugy0KdXDzkJRDlw0uyd4AaABAg,"це просто шедевр, однозначно, вона як, весна",Михась Бродячий,1,2022-04-27T11:56:38Z
30,UgwrKReVUk2gsQSj8jt4AaABAg,Її,Светлана Гнатюк,0,2022-04-27T07:15:42Z
31,Ugx_TMb32oTkIooQQBF4AaABAg,"У меня сестра замужем в Тюмени за Татарином. Так вот этот Татарин светлее чем я Беларус и добрее. Сам так жёсткий, да и убить могу даже кулаком, швагра неможет убить, мысли даже такой нету.",Иван Кальнет,0,2022-04-27T02:16:11Z
32,Ugwsr71R8fq69na9R9F4AaABAg,"Реально горжусь Женой и Дочкой. Многие даже непредставляют их Силы.Сам неизпростых тоже. Тело это даже оживлять в Афгане приходилось. Разсказал у Малини в трёх интерьвью как Спасом стать, хоть и ударили меня диабетом. Выдюжу, вы пробуйте и становитесь Спасами.",Иван Кальнет,0,2022-04-27T02:08:38Z
33,Ugyc4bqBPLyf5zzOQgV4AaABAg,Слава Україні🇺🇦,Саша Верстюк,2,2022-04-26T23:27:33Z
34,UgzCPpjT_hcRZtwg70J4AaABAg,ЛУЧШИЙ!!!,Anton Aleks,0,2022-04-26T21:14:52Z
35,UgxgcYgzeBtj-jRzs9R4AaABAg,Бро люблю Тебя!!!!,Anton Aleks,0,2022-04-26T21:14:18Z
36,Ugz103LSVdP9KKv4pyR4AaABAg,"Братья,славяне об.единяйтесь...!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",Саня Кирков,1,2022-04-26T21:06:21Z
37,UgwVwVxXCNiS9E4TceV4AaABAg,Додайте в опис коли було знято кліп .,Roseyoubuywatch,0,2022-04-26T20:56:51Z
38,UgzVb7c666cm6AvSoeN4AaABAg,"Слушаю и слезы.. в 98-м она была как праздник, зов и ожидание настолько долгожданного,  как жизнь, как любовь. А сейчас она звучит как крик боли. И этот зов жизни и любви, простой человеческой любви, а не воспаленной ненависти, гораздо сильнее.
Живи, родная наша Украина. Этот наш совместный кошмар обязан закончиться. Вясна, приде!",Свежий Ветер,53,2022-04-26T19:13:52Z
39,Ugz639IW5Pii1xaiZ9R4AaABAg,Дорого вечера мы з Украины!!!!!,Gaz Godzula,3,2022-04-26T08:18:48Z
40,Ugy1lRWvb4NZrIthvGt4AaABAg,"This song made in 1997🔥 
(Searching in wiki)

I remember i was little girl when i first heard this masterpiece)

Still Banger 🥰😭",Anastasia Oui,3,2022-04-25T21:55:47Z
41,Ugxk0MESjtNNhL-xIZ94AaABAg,Ностальгія за старим часом,Dan1el,1,2022-04-25T15:38:21Z
42,UgwTEPLS_2yyJyGMFpp4AaABAg,Коло завжди  спасае!😉👍,Наталья Троттц,1,2022-04-24T16:59:32Z
43,Ugy6clwL9C55dKImy814AaABAg,Спасибо. Всегда любила и слушала 🇺🇦 Харьков. 🇺🇦🇺🇦🇺🇦❤️✌️,Olga H,0,2022-04-24T14:45:02Z
44,UgzC1S81Cmbagf2VVK94AaABAg,Где наши российские чего-то где россияне.,Игарь Дубров,1,2022-04-23T22:34:40Z
45,Ugxnr4orFbjHRtOxWmd4AaABAg,Чудова пісня!,dariia nazar,0,2022-04-23T21:39:14Z
46,UgxF8Z6EM2OOSC0IVzN4AaABAg,Слава Украине!!,Vic Investa,0,2022-04-23T18:15:20Z
47,UgzkUugmMwUnpWt8IDF4AaABAg,Мира Вам на Украине от адекватных россиян!,Draco theDragon,6,2022-04-23T15:47:13Z
48,Ugx8Q33SXz99N_3Y40p4AaABAg,"I don’t understand this at all, but my Ukrainian friend told me about this and this fucking rocks🤘",Greg Hartshorne,1,2022-04-23T06:03:53Z
49,UgyQ50l3ezUFd0x7dZd4AaABAg,Гарна,ВАСИЛЬ СКОРОБОГАТЬКО,0,2022-04-22T22:04:55Z
50,Ugw2nmBVtzeY9FjWZvN4AaABAg,"Я пiду до рiченьки стрiчати зiрочки
Зазирать як падают ловити їх жменями
Наберу у пазуху оцих бризок вогникiв
Затанцюю радiсний зрадiю до смертi

Поженусь за райдугой злечу по-пiд хмарами
Передам по радiо: ""Прощай, рiдна Батькiвщино!""

Весна, весна, весна, весна прийде
Весна, весна, весна, весна вгамує
Весна, весна, весна, весна прийде
Весна, весна, весна, весна

Я бiду не вижену, сама з мене вискочить
Побiжим, покотимся, заведемо беседу
Наберусь хороброщiв, спитаю у горя
Чи мене не викине упасти у море

Забiжу до Зiночки, хильнемо по чарочцi
Поведуся лагiдно, подiлюся жалощами

Весна, весна, весна, весна прийде
Весна, весна, весна, весна вгамує
Весна, весна, весна, весна прийде
Весна, весна, весна, весна

Всесвiту пронозливий, вiдкрий правди трiшечки
Чи мене не вистачить загинути повеснi

Весна, весна, весна, весна на дворi красна
Весна, весна, весна, весна
Весна, весна, весна, весна на дворi красна
Весна, весна, весна, весна",кукуха едет,0,2022-04-22T20:00:04Z
51,UgzMpas0EeltAM-Mbr54AaABAg,С победой!!!🇷🇺🇷🇺🇷🇺🇷🇺,Lifesgood,0,2022-04-22T16:37:01Z
52,UgxQcAC9x-P9xE5xYJh4AaABAg,Ukrainische Sprache ist sehr schön. Meine Mutter Sprache. Meine Oma hat mir beim Einschlafen ukrinische Lider gesungen.,tanya gerner,3,2022-04-22T16:30:23Z
53,UgxowNzfBHCniBzH1nd4AaABAg,яка краса,Владик Геранин,0,2022-04-22T15:18:48Z
54,UgyYclOKAZm3gLS65cZ4AaABAg,💛💙,Петро Ременюк,0,2022-04-22T10:58:30Z
55,Ugxsgw14bTlii-rUfx14AaABAg,Qq,Катя Ермоленко,0,2022-04-22T09:07:22Z
56,UgxOXi-Qg6ExiQU0ojl4AaABAg,"Родная Украина -. я не враг тебе , я родился на полуострове Таймыр , мы тут все росли- украинцы, молдаване, армяне, русаки, беларусы, грузины , киргизы, евреи = мы были в ОДНОЙ КОМПАНИИ, нам было весело ....!!!",Мики Орики,1,2022-04-21T21:38:55Z
57,Ugwa1DcKjHnexGeYKaB4AaABAg,"Слава ВВ,слава Украине 🇺🇦",ka maz,0,2022-04-21T08:40:05Z
58,UgywNG6xsMhCBgpauO54AaABAg,Слава Украине!,Vic Investa,2,2022-04-20T21:30:53Z
59,UgzFVFS_I2A1QRb7Ps94AaABAg,🇺🇦🇺🇦🇺🇦🇺🇦,Александр tv,2,2022-04-20T13:22:38Z
60,UgxOPP83gpMnSW3BFcJ4AaABAg,"Як це давно було, я тоді в школу ходив... 13 років. А це досі хіт",Dmitry West,3,2022-04-19T18:04:14Z
61,UgzD-ylbxHHDJVI3Zvt4AaABAg,Украина,Daniel's,0,2022-04-19T01:37:20Z
62,UgzrcxPhCjiaIUzXmi54AaABAg,"Пісня мого дитинства...
)",Юрій Лесиков,1,2022-04-18T21:10:15Z
63,UgzqbP0fKdddXnTodlN4AaABAg,"Собственно, эта песня и клип - искусство. У меня есть все CD ВВ.",Сергей Терещенко,5,2022-04-18T16:26:48Z
64,UgwK97pqHSjd-3hr40Z4AaABAg,Прийшлааа,Мистецьке Полісся ArtPolissya,1,2022-04-18T14:59:29Z
65,Ugx-IcaggXiIc8SELG54AaABAg,Слава Україні,AUTO PV•♪,1,2022-04-18T08:00:05Z
66,UgxVzIanCN_tdOF9M9l4AaABAg,"Стравили нас политики, а помирать молодым украинским и русским поцанам в окопах. Простые люди никогда не будут друг друга ненавидеть, потому что понимают, что всё это вина политиков, а не нам самих",enco m,4,2022-04-17T22:32:03Z
67,Ugz4-RKQ2kVFJC6evJF4AaABAg,"роzzия напала на Украину, прийде весна з перемогою. Слава Украине и Героям СЛАВА.",Владимир,4,2022-04-17T17:26:21Z
68,Ugwmzwek5xJ5gB9-fW94AaABAg,Привет из Казахстана.,Пробка Пробкович,2,2022-04-17T17:21:01Z
69,UgzSlYIYLkQySkqdYwx4AaABAg,🌱🇺🇦,Katerina,0,2022-04-16T11:34:37Z
70,UgzzcbBRgav9ODTHjKV4AaABAg,Слава Украине!,New World Created,7,2022-04-16T11:21:09Z
71,UgwJ9NONKdMNOijkDBt4AaABAg,Спасибо💙💛,Кинопасека Паисия Пчельника,0,2022-04-16T09:48:49Z
72,UgzrKjd_K3RBbg9M-514AaABAg,Только не надо приплетать эту песню к спецоперации,Евгений Кириенко,3,2022-04-16T06:32:28Z
73,Ugwl-I2Qe2-u5FdXOZ54AaABAg,Почему убийство это противозаконно а сейчас почётно? Те кто радуються чужой смерти - завтра ваши соседи будут радоваться вашей смерти.,Человек Из Кемерово,1,2022-04-15T21:38:22Z
74,UgxLgcEYdl23CixZ3N14AaABAg,Зомби СССР - пора восстать против тех кто вас создал !,Человек Из Кемерово,1,2022-04-15T21:37:03Z
75,UgwzNuBrkICQDMZdi5N4AaABAg,"Остановите братоубийства! Рокшильды будьте вы прокляты ! Захлебнись в своей бумаге . Смерти вам медленной и душевных мук и пустаты самой , самой пустой ! Амн . Моя молитва .",Человек Из Кемерово,0,2022-04-15T21:36:28Z
76,UgyAHwSzWZIb-V60YO94AaABAg,Слава Захисникам!!!🇺🇦💪🇺🇦🙏🇺🇦❤️,Edgar Po,6,2022-04-15T07:13:03Z
77,UgyV-jSNxq_DZDJgHlx4AaABAg,песня шикарна чеж говорить,Astennu,4,2022-04-14T13:43:26Z
78,UgxcH9Pnd5un1blxLRh4AaABAg,СЛАВА УКРАЇНІ🇺🇦,Ігорь Сопрун,0,2022-04-13T22:36:27Z
79,Ugyb2J8ryQW25szfZNB4AaABAg,Блю бюблблюббююббббюбббббюблюб,Володимир Войцехівський,0,2022-04-13T16:19:37Z
80,UgwGK2EHkhdLM-qFdS14AaABAg,1997год. Лагерь в Алуште и на дискотеке последняя песня. Кайф,Надежда,1,2022-04-13T04:20:45Z
81,UgweGycmdN7Hx-Qs_K14AaABAg,Весна приди ! Слава Украине !!!,Denis Semenov,5,2022-04-13T00:32:34Z
82,UgyyVO93SMtkXjMC2hB4AaABAg,весна придет,Tatiana K.,1,2022-04-12T19:36:58Z
83,Ugxkun0h9ac6Ms0w7gl4AaABAg,Слава Украине!,Vagif Faradjev,3,2022-04-12T19:13:32Z
