,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgysNGhG7_UREgvMdBN4AaABAg,Jennifer Grivette,Commmm,2022-04-27T21:18:35Z,0
1,UgysNGhG7_UREgvMdBN4AaABAg,Jennifer Grivette,Commm onnn,2022-04-27T21:18:12Z,0
2,UgysNGhG7_UREgvMdBN4AaABAg,Jennifer Grivette,And whatttt,2022-04-27T21:18:01Z,0
3,UgxjOXIQTqdfkwfAmXx4AaABAg,now,👌🎼,2022-04-25T11:03:47Z,1
4,UgxQWzha1YXMCi2qvlt4AaABAg,Larrywilliamsjr. Williams Jr.,"Madonna you are so awesome you're even awesome ended the 2,000 you're very beautiful",2022-04-24T12:06:52Z,0
5,UgwOZpu2ZXdTBfzhBiF4AaABAg,Vert Beke,Yeahhhh,2022-05-08T13:18:47Z,0
6,Ugxj5o2jfMfD4UYRy-x4AaABAg,Vinicius Spindola,Madonna maravilhosa fantástica magnifica espetacular genial   adorável,2022-04-14T21:30:30Z,1
7,UgymM0Ta1W27uu6Qg6Z4AaABAg,Germano Iacobino,Uhm that is your lady Gaga with wig for hair loss,2022-04-06T20:39:24Z,0
8,UgxSLWPqNH3GqaS1bEZ4AaABAg,cRt Pitt,Bonjour 🇵🇷🇵🇷🇵🇷,2022-03-30T15:12:16Z,0
9,UgwLo5x_5Qk85uPKKnZ4AaABAg,Louie Porcarelli,😛😛😛😛😛😛🧡🧡,2022-03-28T01:47:35Z,0
10,UgxgpQ_wWzu8NpOGfk14AaABAg,Vert Beke,Yeah very boa :),2022-04-28T11:56:24Z,0
11,Ugx2CcZZHLvxk1IM5-94AaABAg,Vert Beke,Luv Madonna ..,2022-04-14T23:23:23Z,1
12,UgygDAgW3OqeCCCAzXZ4AaABAg,Vert Beke,Yeahh,2022-04-28T11:56:00Z,1
13,UgzrsVg4XnKVWSTUnf94AaABAg,Vert Beke,Yeah,2022-04-28T00:22:52Z,0
14,UgzrsVg4XnKVWSTUnf94AaABAg,Vert Beke,Same here ..,2022-04-20T21:43:45Z,0
15,UgzrsVg4XnKVWSTUnf94AaABAg,Vert Beke,:),2022-04-14T23:21:30Z,0
16,UgzrsVg4XnKVWSTUnf94AaABAg,Vert Beke,Yea luv Madonna,2022-04-14T23:21:24Z,0
17,UgxKRuniEHcTKZga0jp4AaABAg,Vert Beke,Everyone's a legend :),2022-04-06T13:04:32Z,1
18,UgxKRuniEHcTKZga0jp4AaABAg,Vert Beke,True Blue :),2022-04-06T13:04:11Z,1
19,UgyIKPNcScnXq6XAe1B4AaABAg,Vert Beke,Yea,2022-04-25T07:33:24Z,0
20,UgwXAoH9uXqhc7JP_DV4AaABAg,Marcos Moura,Linda mesmo passa o tempo e não tem música assi mas,2022-03-25T03:16:02Z,0
21,UgxIyf3mAD86jcM9S_B4AaABAg,Lian Neo Tan,Don't think it's theCorrect1 friend!.. ifWe foundOut ofOur ownfellings ya!.. madeDetail replyComment in1of UniverseTraDiva Ms. Song So Hee's videos. doReviews ifInterested cheers!..  😀😀,2022-03-17T11:57:10Z,0
22,UgyiSUlagVzkL15HJup4AaABAg,Vert Beke,Yeah,2022-04-23T23:35:00Z,0
23,UgyiSUlagVzkL15HJup4AaABAg,Vert Beke,Luv Madonna :),2022-04-14T23:20:08Z,0
24,UgyiSUlagVzkL15HJup4AaABAg,Chris F,"""Bumping""...lame🙄",2022-04-11T22:02:03Z,1
25,UgyiSUlagVzkL15HJup4AaABAg,Fabo Sahadagi,yes :),2022-03-23T07:11:19Z,2
26,UgxuFfLoFvyyMJ1tZCp4AaABAg,Vert Beke,Wo w,2022-04-20T21:45:00Z,0
27,UgxuFfLoFvyyMJ1tZCp4AaABAg,Vert Beke,Ye a,2022-04-20T21:44:51Z,0
28,UgznOh7uQNQ4Lv1vBPt4AaABAg,Vert Beke,@Derek Ritola her views numbers r kind of low on utube who knows if these numbers r even real .. just saying .. if u get my point ..,2022-05-08T03:42:58Z,0
29,UgznOh7uQNQ4Lv1vBPt4AaABAg,Vert Beke,@Derek Ritola She is or will be worth probably over 1 billion dollars. He was referring underrated for several reasons now worth mentioning here .. mainly underrated from a music or musical point of view her music is much better that the appreciation it gets on utube ..,2022-05-08T03:39:38Z,0
