,id,comment,author,likecount,publishedAt
0,UgwlV5xr7CD29XxQ0uh4AaABAg,Very Very good . I love madona !,Robson Macedo,2,2022-05-07T20:26:56Z
1,Ugx4mW73bNB9XRFvEq54AaABAg,Una delle più belle canzoni del passato di Madonna.,Alessandra Bonazzi,1,2022-05-07T17:06:21Z
2,UgysUUbtgqq5HOzX0r14AaABAg,I LOVE YOU MADONNA,CARLITOS,2,2022-05-07T12:04:52Z
3,UgwXyMxdlEg0hhqD9h14AaABAg,It is undeniable that Madonna made the United States adorable in the name of Entertainment.,Green Jasper,2,2022-05-07T04:35:53Z
4,Ugyi0qDFil_t2TFRb694AaABAg,2022,Jaime J. Rosa,3,2022-05-05T23:34:32Z
5,Ugz_AbMG2MZGRbCcH0B4AaABAg,😊,Oparaji Chiamaka,2,2022-05-04T15:11:12Z
6,UgyurUCt9EPcIlDu8PR4AaABAg,"this era is my favorite, her first 3 albums are amazing.",Willy Hwang,1,2022-05-03T16:10:17Z
7,Ugz2EzbWfy9PyiLOTFl4AaABAg,why does the opening few bars make me smile,Willy Hwang,2,2022-05-03T16:09:38Z
8,Ugzp8sn7xyBqQh3iKKN4AaABAg,Qué belleza preciosa canción éxitos Madona,Mariela Coria,2,2022-05-03T11:36:00Z
9,UgxupADlTrl-jsVQmap4AaABAg,00s,Harvey Fleming,0,2022-05-03T06:17:40Z
10,UgyKLsWAxdfkkcGpTS14AaABAg,Frm apr30'22- Residing alwaysIn ascendedGoodnesses guarantees goodBeing storedUp inHearts!.. allThat firesOur emos in irksAre provenWe been storingDescendings ya!.. letOur hearts cameBeing wonderful evenB4 ourThoughts coming to thinkGood cheers!..  😀😀,Lian Neo Tan,0,2022-05-03T06:09:56Z
11,Ugxcei_OLrZBd4siXiF4AaABAg,Love her music growing up now its year 2022 god am getting old,Martha Mikielewicz,2,2022-05-03T02:57:32Z
12,UgyXJOF-e7aAyxMHhVh4AaABAg,"Have a blessed day🌧🌧🌧
             🖐💍🔱💍🖐   
🌊🌊🌊🌊🌊🌊",khalid aldosri,1,2022-05-02T10:45:00Z
13,UgyY8egwZ1eao31QnWt4AaABAg,Mandami un lipstick fino a casa che gli sfoghi sul muso vanno a finire sugli schermi e non guarisco mi chiamo Biagio di Balsamo e famiglia tutta stiamo a roccapiemonte,Biagio Di Balsamo,1,2022-05-02T07:55:26Z
14,UgwEo_JvIJ0FNJ40Myp4AaABAg,Still a masterpiece. Take my back please.,Celia W.,1,2022-05-02T01:26:46Z
15,UgzgjctnYnFzH6sbQPl4AaABAg,The best years of our life... ❤️,Lorenzo Bonfante,2,2022-05-01T20:50:47Z
16,UgxUY7wRCcrZ-Odt9RJ4AaABAg,Beautiful song❤️❤️❤️❤️❤️,Aurora Preciado,2,2022-05-01T10:36:00Z
17,Ugyld0EoCxZq5KLAx6V4AaABAg,"O sucesso mais subestimado da Madonna !!!...adoro essa canção 
Lembra minha infância 
Brasil 🇧🇷 🇧🇷 🇧🇷 🇧🇷 🇧🇷 🇧🇷",Anderson Araújo,6,2022-05-01T05:14:11Z
18,UgwvrXEdI-IkLNbfvuV4AaABAg,2022 🐝❤,Apollon,2,2022-04-30T18:17:38Z
19,UgwptLuy0kzpCrWZR894AaABAg,Le canzoni non le so vado molto male non mi fare buttare il sangue che non ne vale la pena mandami le medicine per i tumori etc etc etc mi chiamo Biagio di Balsamo,Biagio Di Balsamo,1,2022-04-30T14:46:12Z
20,UgzYuPCnCvZqdVvXlBR4AaABAg,Scioglimi le maledizioni dei maghi e delle streghe presente passato e futuro mi chiamo Biagio di Balsamo e famiglia tutta stiamo a roccapiemonte e Ladispoli,Biagio Di Balsamo,1,2022-04-30T14:41:50Z
21,UgzoELaj5-vEk0AJu5Z4AaABAg,actress Debi Mazar in the blue halter top,Metal Niki,1,2022-04-30T14:03:20Z
22,UgzGoCmXfrDlBdoX1PJ4AaABAg,Is it just me or is this song so cute? 🥰,England’s Biggest Music Nerd,2,2022-04-29T23:02:21Z
23,Ugxo79tSmU1yzVSch3h4AaABAg,Scioglimi Cafu Cafu vafu Cafu Cafu vafu Cafu Cafu vafu mi chiamo Biagio di Balsamo e famiglia tutta stiamo a roccapiemonte e Ladispoli e Nocera inferiore,Biagio Di Balsamo,1,2022-04-29T14:04:33Z
24,Ugx1tSCMgMAfvjIgloF4AaABAg,True blue is my favorite madonna song.,Sundo,3,2022-04-29T08:10:46Z
25,Ugx4fr_EgbiJDZitQE14AaABAg,Love madonna,john delisle,2,2022-04-28T01:19:08Z
26,UgxWkXhDhRNXQgIg_Nl4AaABAg,Love your song MADONNA,Kobe-Max Tauvae,2,2022-04-27T21:21:21Z
27,UgwzJdNSkrQaRSN0Q5N4AaABAg,I’m a big fan Madonna,Kobe-Max Tauvae,2,2022-04-27T21:19:22Z
28,UgysNGhG7_UREgvMdBN4AaABAg,Amen nnn,Jennifer Grivette,0,2022-04-27T21:12:04Z
29,Ugx4QDMBUHUl2dMVxyh4AaABAg,Annnd,Jennifer Grivette,0,2022-04-27T21:11:49Z
30,UgwBsy7Ut1o8rRGMOZB4AaABAg,Commmm onnn,Jennifer Grivette,0,2022-04-27T21:11:44Z
31,UgynG4BtQX4qY2Q55I54AaABAg,Commm onnn,Jennifer Grivette,0,2022-04-27T21:11:34Z
32,UgxkyHK7h2Nzcup1eR54AaABAg,🤗@h..import@Cion,Armando Ermocida,0,2022-04-27T20:58:30Z
33,UgxQFFGVbYf0TWqbl1p4AaABAg,Si fiCc@,Armando Ermocida,0,2022-04-27T20:49:43Z
34,UgwkFr0BAOlR11gHLyN4AaABAg,🤗💖💖💓💘❤️😇L' offert@ Super@@bbond@ntemente 😘l@ riChieSt@ @more Mi😍,Armando Ermocida,0,2022-04-27T20:48:42Z
35,UgzXUg97cZvk4Z3br0J4AaABAg,"😍Qu@lche ""fiCc@t@ in Più""..",Armando Ermocida,0,2022-04-27T20:46:29Z
36,UgxMbtALhEsWQLqZPx94AaABAg,🤗Ben @Cc💘uditi,Armando Ermocida,0,2022-04-27T20:45:16Z
37,UgyT9kIbjTypZx4MBuN4AaABAg,))) 😘,Armando Ermocida,0,2022-04-27T20:44:22Z
38,UgwVXGBBO-sxATzbxTd4AaABAg,"@more
L@ m@ttin@ 😍Qualcun(@) ""vicinat💘...
Si PreoCcup@n💓 in tutto x tutto.. incluSo il (((((lett(one m😇🤗@trimoni💖🤗@le",Armando Ermocida,0,2022-04-27T20:44:05Z
39,Ugy6iStK4CNu0vek-sV4AaABAg,My 😘b@b(e),Armando Ermocida,0,2022-04-27T20:40:05Z
40,Ugza_haHK3VkwGAgq_x4AaABAg,Hellooo... 😜Madonnin@ 😘😇Mi@,Armando Ermocida,0,2022-04-27T20:39:34Z
41,UgzecVFBVSOo-tprjQV4AaABAg,"As cheesy as it sounds, this song gave me the guts to ask my best friend to be my valentine. We're dating now 💘",Malik E. XXL,1,2022-04-27T19:21:31Z
42,Ugw0yIoh30iiKZ4sHQN4AaABAg,Hi,Rayner E,0,2022-04-27T12:51:45Z
43,UgwQv5KAToYo62nKbH94AaABAg,One of my many vinyl records. 0 I borrowed this album to a young lady and she stole it from me that's all right I had about 300 albums anyway,mark Adams,1,2022-04-27T00:17:41Z
44,UgzXilc6tpz4_xAHxIR4AaABAg,"Que Lady GaGa o que, MADONNA é única,é insubstituível, é a eterna rainha do pop. MADONNA ,sempre.",Dirceu Antonio Rodrigues Sala.,1,2022-04-26T18:32:33Z
45,UgyFEd1_1KZ6xVaH4FV4AaABAg,Wonderful song Madonna!,davide la vecchia,1,2022-04-26T17:56:27Z
46,Ugw4jiq4mtIl0m-J4n14AaABAg,Madonna was so happy and fashionable in her younger days in the 1980s and life was stress free and unity no 2022 society is toxic .,jake b,0,2022-04-26T15:16:36Z
47,UgxvuSaPilgXMxKeDo54AaABAg,#1 in everyone's heart,Doug Ghiz,1,2022-04-26T02:48:23Z
48,UgweqskZB8DVqHPYB_l4AaABAg,Ave,Alpha Omega,1,2022-04-25T11:57:27Z
49,Ugzk9QW5UCuufPtVUEx4AaABAg,Great Song...,Jurandir Hilgenn,1,2022-04-24T17:00:25Z
50,UgxjOXIQTqdfkwfAmXx4AaABAg,👍🎼,now,2,2022-04-24T13:36:53Z
51,UgxQWzha1YXMCi2qvlt4AaABAg,Good morning Madonna it's Larry I'm watching A League of Their Own your movie to great movie,Larrywilliamsjr. Williams Jr.,1,2022-04-24T12:03:50Z
52,UgyWXx8ZIxP12XgxnrV4AaABAg,Pode passar o tempo que for nunca deixa de ser boa essa música,Arina Sabrina Proença,1,2022-04-24T02:09:11Z
53,Ugwt-RtiO_Qu6EP8x6N4AaABAg,Good luck mate 😤xxx,Donna Hookem,0,2022-04-23T23:18:22Z
54,UgwG-ZkiEFZwLbzJBdN4AaABAg,👍👍👍👍👍👍👍👍👍👍👍👍👍❤👍👍👍👍👍👍👍👍👍👍,Adam Walczak,1,2022-04-23T21:37:44Z
55,Ugy2_d0NZ5TDfNVGK6d4AaABAg,"Follow up with Michael Jackson 'The Way you make me feel', Tears for Fears 'Everybody Wants to Rule the world', Queen 'Crazy Little Thing Called Love'",Teching It Easy,0,2022-04-23T20:11:38Z
56,UgxQwzZbbY-cDmQRHA94AaABAg,devils lose out to education and rationalism bothaugmented.hone them through hardships before accomplishment.all western deities are devils no exceptions barred,nicholas ng sing kwong,0,2022-04-23T10:57:22Z
57,UgxWIqG1O6pmanleejZ4AaABAg,"aiai... saudadesssssssss... meus 12 aninhos... e eu q, na época, pensava q qm cantava essa música era sandra (de maria magdalena)...",Nell Lobo,0,2022-04-22T23:57:04Z
58,Ugy1V2vFi6l6nGA8O5x4AaABAg,"True Blue..,...
True blu del mare🌊🧿🌀☀️",🧿punto,1,2022-04-22T20:38:38Z
59,UgxAYDY3jcFB_vu6jYF4AaABAg,One of the best songs ever !! ..,Vert Beke,1,2022-04-22T18:03:02Z
60,UgwaYC23yRKJ8KneZZV4AaABAg,Oh c'est années inoubliable bonne époque qu'on regrette tous mai c encore la c l'essentiel je kif Madonna j'adore toute mon adolescence,Jran claude Roblez,1,2022-04-22T14:56:53Z
61,UgyQMG9qy020tDDA8pt4AaABAg,Love you siss. 🇮🇹,MLWHEP Fiorino,1,2022-04-21T21:42:37Z
