,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgxpZ9jLUEe5bTFn0cx4AaABAg,Tim S,"no, but you probably will",2022-04-27T23:48:08Z,0
1,Ugyl3gOpsjqGpkTwL994AaABAg,K L,"Sorry ""drives""",2022-04-26T15:18:12Z,0
2,UgybzyDoEEgxrfNKQbh4AaABAg,Tim S,After 93 the rest of 90's basically sucked,2022-04-27T23:46:34Z,0
3,Ugwo0uQS4yWhDcYGAnp4AaABAg,Dermacrosis,"Now I call tripe. Even in my home we had two TVs, the main one in the living room and the portable that I used in my bedroom that was for when we went camping. In 89 the majority of house holds had atleast one TV. It wasn't long before this that the cost of electronics in relation to income was low.",2022-04-21T03:36:20Z,0
4,Ugz24UHGPI2wa7e5vHV4AaABAg,Sir Barry Baldwin Jr,"""Yo, I'm ready to start the Emperorship, so let's go....""",2022-04-05T21:03:40Z,0
5,UgyeFNuUyKyOlag7Lj94AaABAg,Evelyn Oliveira,Tá tão focado na putaria que é o funk que nem enxerga os atistas pequenos que fazem música boa,2022-03-18T22:55:23Z,0
6,UgyeFNuUyKyOlag7Lj94AaABAg,Evelyn Oliveira,É porque você não encontrou os artistas certos,2022-03-18T22:54:16Z,0
7,UgxR-pO5xfKb6c1OrHp4AaABAg,avocado,This one takes me back,2022-03-21T21:58:21Z,1
8,UgzIk6HiE7XeYjRppol4AaABAg,AMBROSIA1320,Sweet ☺,2022-03-15T01:16:45Z,0
9,UgzjMyVJiAzTHknKiK94AaABAg,TheCrojj,Listening to these songs is the closest thing to a time machine :),2022-02-27T10:52:20Z,0
10,Ugz1PSbknc_WQuMV6VV4AaABAg,mlambros79,OMFG yeah I see it!,2022-02-06T03:56:38Z,0
11,UgxNBhgA9QS9F03zIhp4AaABAg,Will Mische,why did they stop at just 1 album??,2022-03-04T06:33:03Z,1
12,UgxNBhgA9QS9F03zIhp4AaABAg,Trinidad Apodaca,good album to dance or listen watever the soul moves u,2022-02-23T21:33:40Z,1
13,UgxNBhgA9QS9F03zIhp4AaABAg,ku JO,Roland has a Gift,2022-02-05T05:52:47Z,3
14,UgwbR5lvP5AZ4IukKMN4AaABAg,Mariusz Gnap Bielski,no,2022-01-26T10:59:27Z,0
15,UgzMqRenPnY9PzSPt014AaABAg,Sarah H,it was the style. lmao,2022-01-13T06:03:42Z,0
16,Ugx9Qh3lyfg2otSwweB4AaABAg,Red Skies,Hi I recommend a song called 'Where I Come From' By Robert Nix,2021-12-31T02:02:37Z,1
17,Ugz5MQ7SgICG41ZdvF14AaABAg,Red Skies,Hi I recommend an indie song called 'Where I Come From' By Robert Nix,2021-12-31T02:05:44Z,0
