,id,comment,author,likecount,publishedAt
0,UgzyjlfqVBMQgPr6o8h4AaABAg,"Come back, 80`s! I miss you!",Skullomania,0,2022-05-08T00:58:45Z
1,UgziJQGk1d7Kx9u62tZ4AaABAg,"Heard this first on (UK) radio 1 in the mid 90's. It was followed by ""Pulp, Underwear"". I've never been able to play this without that since!",Nicholas Burns,0,2022-05-07T23:48:20Z
2,Ugxn-UEsgpf0DVrsN554AaABAg,One of my all time favourite songs from the 80`s.,Euphoria,1,2022-05-07T19:27:25Z
3,UgzEuF5Hwnz2GXrmpfl4AaABAg,the 80's were kinda terrible,UnderBridge Rock,0,2022-05-07T14:21:36Z
4,UgzdumNPmKowGpKvBXJ4AaABAg,For all those listening to this legendary song I wish you a great life and some great music 🙏🏼,Youweresolid,0,2022-05-07T13:46:08Z
5,UgzNGFhdTlNLcnbxTXB4AaABAg,música que te lleva a otra dimensión,KISLEY PARODI ARROYO,0,2022-05-07T04:38:46Z
6,UgyMcEQV6wHchRdZiYh4AaABAg,"“I won’t make it on my own, no one likes, to be alone” fucking legendary",Mystery Shopper,1,2022-05-07T02:12:33Z
7,UgxQ4kicUYHYwOxLMtN4AaABAg,Sou fã incondicional amo este negão com todo respeito ❤️,Marta Araujo,0,2022-05-07T00:27:55Z
8,UgxekGurAc7eudiR4DJ4AaABAg,"Cette chanson est juste phénoménal,tout est à sa place 👍",Rabah Laggoune,0,2022-05-06T22:39:41Z
9,UgzKRVMhiml2J7Pb0wJ4AaABAg,"How can we be sure I won't get hurt falling down all over the place? 

We'll tie couch cushions all over your body. You'll be fine.",Briahna Kidd,0,2022-05-06T16:28:27Z
10,UgxTR80VRQMQKjw9uC54AaABAg,Weird Al's She Drives Like Crazy is amazing,Sum1,0,2022-05-06T13:29:56Z
11,Ugy3oCY5zAn4MNKc7Sl4AaABAg,That guy is poisonous.....Highlander fans understand.,Lifeguard SRWC,0,2022-05-05T21:10:54Z
12,Ugw7UJC1aEYSc80X1qZ4AaABAg,His voice is class,Davie boy 333,0,2022-05-05T17:23:11Z
13,Ugzq1kFl9LNEnmThpox4AaABAg,Teeth are fuckedddd,DJR 225,0,2022-05-05T16:26:53Z
14,UgyNOCfPZgiNw6hygzp4AaABAg,Friggin Todd! Lol,cesarr760,1,2022-05-05T06:17:18Z
15,Ugw8L2jspq3cVTTrGNt4AaABAg,"Flipping awesome 😀🙌😀
Dancing whilst driving🎉🥳🎉",Hannah Lewis,1,2022-05-04T11:04:31Z
16,Ugw_kM3cMGUbow2cZDx4AaABAg,and the Oscar for the best music video goes to...,THEDEFC,0,2022-05-04T07:27:10Z
17,Ugwg6dLcHWzxkmyGaMl4AaABAg,This & the Elvis Presley song they cover is good stuff...,vidstarr,0,2022-05-03T14:45:25Z
18,Ugx-NLO6fLrCz5ITpuF4AaABAg,Queen,William Malcolmson,0,2022-05-03T13:51:20Z
19,Ugz-AjylMPCnumAzYyt4AaABAg,Nostalgic song!,Akira,0,2022-05-03T01:01:39Z
20,Ugy2G29m6-s33pNhxoN4AaABAg,I don't like it - now and then...I don't know why. ;),Andi,0,2022-05-02T22:47:39Z
21,Ugw3lGyxgrpSRsNr6794AaABAg,Un culte chez nous en France cette musique,Nicolas Baumann,0,2022-05-02T14:12:53Z
22,Ugy5dASe-u7GjQZ7J214AaABAg,"Little known fact, This is actually the best song of all time.",HONEY BUNZ,0,2022-05-01T13:43:40Z
23,UgwNnjFdS9R1luW2Vh54AaABAg,"First time I heard this I waited for the part when Dave Seville to yell ""ALVIN"" at the top of his lungs",sol jwf,0,2022-05-01T03:18:25Z
24,Ugzf2Ex-LFDCYK-J5j54AaABAg,I busted ANUT,Never Enough Cowbell,0,2022-05-01T01:00:27Z
25,UgyqiD2E4G6klS-bfCF4AaABAg,alot of people dont realize the pop sound is actually the ---dice popper --- from the board game trouble lol,Drews Quick Fixes Ideas And Hacks,0,2022-04-30T17:31:56Z
26,UgyG91FOq8ya3NtjLZZ4AaABAg,"Najdenko the hot flexy pure naked gymnastics onsite all good to look at  ,but whats missing is the sent of hormones endorphins testosterone and smell of sex,porn is like looking at the  brandenburg gate without colour its bland boring and the same old thing ,cool song for a porn movie and put some of that love potion in the smoke machine amyl nitrate",Shayne H,0,2022-04-30T09:28:04Z
27,UgxE1oRy-90MC6jJIit4AaABAg,© VIVA 1996 Remaster,Mathias Bodewell,0,2022-04-29T23:22:41Z
28,UgzYMNlWrtH6wHv1diV4AaABAg,❤❤❤,Cláudia Agostinho,0,2022-04-29T22:32:24Z
29,UgymZJfoL6G1Jt2JPaR4AaABAg,This always makes me think of Miss Piggy and Kermit.,Ghost Medic,0,2022-04-29T20:08:12Z
30,Ugy4Xo66Jf44yBKPvOJ4AaABAg,Only for Cun Tree and Taxes,Jason Stewart,0,2022-04-28T12:52:38Z
31,UgxpZ9jLUEe5bTFn0cx4AaABAg,Did the singer die from AIDS?????,John Toomey,0,2022-04-26T19:34:32Z
32,Ugyl3gOpsjqGpkTwL994AaABAg,"Fine voice ""She got me crazy"" by Ronald Gift",K L,0,2022-04-26T15:17:14Z
33,UgybesAb2YNir3DoAJJ4AaABAg,This is just a song that touches the soul,Bill Fussman,0,2022-04-26T05:05:27Z
34,Ugzp-BnFPNUUBZYa1rR4AaABAg,Is that man Dressed like Beetlejuice,Travis Bost,0,2022-04-26T01:13:56Z
35,UgxA7eEEbdyPXz6qKxx4AaABAg,toujours excellent !,Bob docteur vélo,0,2022-04-25T15:14:17Z
36,Ugy7apfm_WTfi_7PeTV4AaABAg,Songs federal,William Taylor,0,2022-04-25T13:31:08Z
37,Ugwph0dkfXQcHoGmxGd4AaABAg,It has a very michael jackson dangerous vibe to it,JAYKOP,0,2022-04-25T13:06:04Z
38,UgyJly5arg5O5mryNKF4AaABAg,calling me...calling me...calling..one little voice is calling me. I just hear this beat in dougs song banging one on a trash can,BrokenFistFighter,0,2022-04-25T02:45:00Z
