,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgyN_kHQvPaL6eNxLNJ4AaABAg,Dan Dugan,I was 39 in 1985.,2022-04-15T20:46:13Z,1
1,UgwFdXGV8XqpjUnzYqF4AaABAg,Erik Ríos espinosa,ERIK,2022-04-02T04:28:02Z,0
2,UgwFdXGV8XqpjUnzYqF4AaABAg,Erik Ríos espinosa,ROSONERO,2022-04-02T04:27:53Z,0
3,UgwFdXGV8XqpjUnzYqF4AaABAg,Erik Ríos espinosa,ETERNAMENTE LOMBARDÍA,2022-04-02T04:27:33Z,0
4,UgwFdXGV8XqpjUnzYqF4AaABAg,Erik Ríos espinosa,LOS MEJORES DEL ORBE MUNDIAL,2022-04-02T04:27:12Z,0
5,UgwFdXGV8XqpjUnzYqF4AaABAg,Erik Ríos espinosa,AC MILAN 2003 AL 2007,2022-04-02T04:26:47Z,0
6,UgyujJ_MlrHTbaxpq_h4AaABAg,Александр Закиров,Tambem gostei imenco,2022-04-01T23:45:59Z,1
7,UgyTaZDIueGh5Nbr-gJ4AaABAg,Aneka Mckenzie,98.1 CHFI be like: lemme play this 40 times in a hour,2022-03-28T16:30:58Z,0
8,UgxmCWIwhAyCaiPDr6p4AaABAg,Jewelry Queen,❤,2022-04-27T04:17:30Z,1
9,Ugz5XmsQoGeBj23MMc54AaABAg,Menlo Boyd,💕,2022-03-24T16:22:40Z,0
10,UgzWgFPQBWLIynNGlut4AaABAg,Nello Palacios,I think you're face is so beautiful that I can't stop looking at you ❤❤,2022-04-04T18:10:45Z,0
11,UgzWgFPQBWLIynNGlut4AaABAg,Nello Palacios,"Hi Punkie!
You are a very beautiful woman. 
Cheers from Toronto, Canada 🇨🇦❤❤",2022-04-04T15:25:41Z,1
12,Ugw5-7pi7T20yphUY2B4AaABAg,perry92964,then they got old looking and less hot fast  followed by catty with each other and it was over,2022-03-18T04:33:59Z,0
13,Ugy8BLsLVmwbiJ7xMep4AaABAg,heffe232,Yes before life got complicated. What happened? Would like to go back to 80s maybe lol,2022-03-08T05:29:46Z,1
14,Ugwlwuf_3t3JXKS4bDl4AaABAg,C Mb,I AM 9,2022-03-06T22:06:04Z,0
15,Ugwlwuf_3t3JXKS4bDl4AaABAg,Paulo Litoral,She's tinny.,2022-03-06T04:23:06Z,0
16,UgyarbG9gt1UV5uaUGx4AaABAg,Gabs Luvs Gaby,¿Porqué?,2022-03-06T17:30:29Z,0
17,Ugye8uZMtKOMqLvni5t4AaABAg,jaymmzzs,what was that >??? sad,2022-02-26T05:53:08Z,0
18,UgxSg4f4Y9k9C7uRD0Z4AaABAg,Ann Lonsdale,ola mi amiga siempre t u n familia xx🥀🙏🇬🇧😘🇯🇲🇬🇧💋,2022-02-28T20:59:35Z,1
19,UgwY1ANkBtAesR2XIh14AaABAg,lyra janice,"@Nello Palacios if God's will,  why not?",2022-03-21T15:58:26Z,0
20,UgwY1ANkBtAesR2XIh14AaABAg,Nello Palacios,"@lyra janice maybe you would like to have a western boyfriend, beautiful Lyra ?",2022-03-21T15:50:56Z,0
21,UgwY1ANkBtAesR2XIh14AaABAg,lyra janice,@Nello Palacios I think western countries is the home of the most beautiful and most handsome men in the world. But thanks for lifting me up.,2022-03-21T15:46:14Z,0
22,UgwY1ANkBtAesR2XIh14AaABAg,Nello Palacios,"@lyra janice I have never been to the Philippines 🇵🇭. 
The home of the most beautiful girls in the world 🌎. 
Many hugs and kisses 💋across the distance ❤❤",2022-03-21T15:36:43Z,0
23,UgwY1ANkBtAesR2XIh14AaABAg,lyra janice,@Nello Palacios The Philippines.,2022-03-21T15:30:09Z,0
24,Ugy2CDG70ZmzFahZqvx4AaABAg,Marcella Gamble,Show did,2022-04-03T17:07:58Z,1
25,UgyQVWXiPsbcrvML9654AaABAg,Millwall77,...from....?,2022-02-15T18:35:50Z,0
26,Ugxr-reB7m4EnvGDH0V4AaABAg,XXHsdMscXX,"i was born in 70s , and the 80s are the best decade for popular music Excellent",2022-02-19T00:19:20Z,0
27,Ugxr-reB7m4EnvGDH0V4AaABAg,Benjamin Bakker,"Yeah, fuck it! 80s music is a masterpiece",2022-02-17T06:15:34Z,0
28,Ugxr-reB7m4EnvGDH0V4AaABAg,Paul Pennyfeather,I wonder why this is a breakup song for me despite I was born in Japan in the 2000's too lol,2022-02-12T06:44:06Z,1
29,Ugy1nKpw--qMMzRmwBp4AaABAg,Osayawe Agbontaen,"You bringing up that fact is making think, and look at this song I love in a completely different way because Prince was a Satanist.  There is definitely a Satanic or hidden meaning behind this song, which goes deeper than just a song about 9 to 5 blues. Sunday would be a fun day to a Satanist because they worship the Sun God. Even the classic line ""Of all my nights/Why did my lover have to pick last night to get down?"" could have a deeper meaning too. He could literally be talking about the Devil himself or Demons that come out at night to play.",2022-02-10T05:05:16Z,1
