,id,comment,author,likecount,publishedAt
0,UgzynQ86UhdINYVcO_x4AaABAg,Linda woman,Manuel alejandro Reynoso,0,2022-05-08T02:51:27Z
1,UgyhTXx_sQSyofOoLhh4AaABAg,An susana is  very addictive with no odought,Fred Collins,0,2022-05-08T02:22:50Z
2,Ugy7MGledpnTx6nFYtd4AaABAg,her songs,zhu johnny,0,2022-05-08T01:54:23Z
3,UgwhoR-UFM9iYBdHXzd4AaABAg,not because this song but ETERNAL FLAME then I like the rest,zhu johnny,0,2022-05-08T01:54:14Z
4,UgzL2rIKJPqHjgIrxUR4AaABAg,Why she is the only on female singer I like the most?,zhu johnny,0,2022-05-08T01:53:19Z
5,Ugwo5-zLqk6NM9O3Urp4AaABAg,"""These are the days you wish that your bed was already made""
The days of the week for me: 👁👄👁",⚡️arixnite⚡️ #saveukraine,0,2022-05-07T14:06:55Z
6,UgxwYIl9OcReK8-53g54AaABAg,Essential questions of life: is it wrong to hear manic monday on a friday evening?,Jay P.,0,2022-05-06T20:24:58Z
7,UgzVgAR8FJR-K9kDveR4AaABAg,"Mi hermano y mi cuñada viajaron a Ucrania la semana pasada para traer a casa a un nene y una nena que adoptaron allá, y llegaron este lunes 2 de Mayo de 2022, los fuí a buscar al aeropuerto escuchando en el auto esta canción para que llegaran bien :)",Claudio Fabián,1,2022-05-06T16:19:00Z
8,Ugzw4_xVNnX2Ud7ukiZ4AaABAg,"seconde
⚫️ Hey gals, We MISS YOU 😥😰😓😭😢
Pleeze, cum bak’ ON STAGE ❗️❗️❗️⚫️
🍁🌸🌹Anthony HOLDER🌹🌷🍂",Anthony Holder,1,2022-05-06T00:39:17Z
9,UgwH6B5TluELOMbsHUd4AaABAg,"seconde
⚫️ Hey gals, We MISS YOU 😥😰😓😭😢
Pleeze, cum bak’ ON STAGE ❗️❗️❗️⚫️
🍁🌸🌹Anthony HOLDER🌹🌷🍂",Anthony Holder,1,2022-05-06T00:36:42Z
10,Ugw4XYHybcgqJSedtuZ4AaABAg,"seconde
⚫️ Hey gals, We MISS YOU 😥😰😓😭😢
Pleeze, cum bak’ ON STAGE ❗️❗️❗️⚫️
🍁🌸🌹Anthony HOLDER🌹🌷🍂",Anthony Holder,1,2022-05-06T00:36:30Z
11,UgyJVCn0NDh9lRib2JN4AaABAg,❤,Bianca Capparelli,1,2022-05-05T06:07:08Z
12,UgzYewGJYsvdFMl6rqh4AaABAg,I sing this song every Monday! 😁😜❤️,Jacey,1,2022-05-04T21:11:23Z
13,Ugzcr9O9DSNayCgurLx4AaABAg,🪐💞💓,Catampatan Jan,1,2022-05-04T10:49:13Z
14,UgwAFcDnXHcRF5IWoZh4AaABAg,Those were the days. One of my favorites  songs Manic Monday. I'm still listening until now the old songs never been faded. Unlike the new generation songs it is hit today but gone tomorrow.,Happy O,1,2022-05-03T08:25:07Z
15,UgxWyJHsshen2uWIcP54AaABAg,"just a 27 yr old millennial here who grew up on the 80's, 90's and today's... <3",Mattable,0,2022-05-03T05:54:51Z
16,Ugyey7foXG7XeIsQcDJ4AaABAg,Here from heardle….never heard of this song,vcarter0723,0,2022-05-03T02:32:48Z
17,UgxMS0U7iBuGEcUzShh4AaABAg,♤♡◇♧,MTTM Media,0,2022-05-03T01:47:34Z
18,UgwP2jicOBwI8dRtppp4AaABAg,tricky heardle today....,Luke Trusheim,0,2022-05-03T01:39:08Z
19,Ugwp6AXbqTQt8H89sl54AaABAg,"Mad a heardle, I would have got this if they’d given me vocals.
I was going through all the 80s ladies 😣",margi cates,1,2022-05-02T21:10:14Z
20,UgwMEU6j9xIRhbNlOOR4AaABAg,Today’s HEARDLE. First time I played,chicagowsox212,2,2022-05-02T13:52:39Z
21,Ugw3O6ufeTZRSYZXaw94AaABAg,This even SOUNDS like a Prince song. Like I can totally hear him singing this while he wrote it.,sean kelly,0,2022-05-02T06:49:40Z
22,Ugx02oT1Gao00rH0IF54AaABAg,Last comment tru. I was there thru it all . Those girls were the sexiest girls that will walk this earth. But... I'm still the sexiest man as well lol. I love you guys so very. Sad we have to age. Gen x forever . Remember lighten up in the spray ya dig?????,John Dickerson,0,2022-05-02T04:23:06Z
23,Ugw9baQqu-JcL7P2zMl4AaABAg,Today's Heardle so I had to give it a listen again.,reginaldperiwinkle,2,2022-05-02T04:10:49Z
24,UgxPuP8APYHKSdXixEF4AaABAg,"Heardle for May 2, 2022.",Mark Mada,5,2022-05-02T04:07:17Z
25,UgyQz6-HZV-Lj6eCfIh4AaABAg,I don't know what it is about that little riff at the beginning of the song but It keeps me coming back time after time,Grub Gallery,1,2022-05-01T16:51:29Z
26,UgwoJvMh9Fsntrdc-8t4AaABAg,スザンナ・ホフスはこの世で一番可愛い。,kazz fuzz,2,2022-05-01T01:51:29Z
27,UgygxsrayZWhgq50R6F4AaABAg,Two of the most beautiful women on this planet are Dorothy Hamill and Susanna Hoffs. She makes you want to be Valentino.,Richard Curls,1,2022-04-30T11:16:40Z
28,UgwrJvNf3aE6nZUO1np4AaABAg,2022 in listening now?😍😍,Spontán Videók,1,2022-04-30T05:10:22Z
29,UgxLTC9gB-wKjjC0os14AaABAg,Wooow. This music my Childhood favorite.😍😍😍😍😍😍,Spontán Videók,1,2022-04-30T05:10:12Z
30,UgyEql45fN-KwR3AANR4AaABAg,Es hermosa esta camción!!!,Jose Rodríguez,0,2022-04-30T02:49:34Z
31,UgyCE2tj6gNH-0qwJt54AaABAg,ONE OF MY MANY DREAM GIRLS !!!,ERMANNO BRAVO,2,2022-04-29T23:51:19Z
32,UgwejEQF8tkIKdDm0kV4AaABAg,Classic,Mark Allan,1,2022-04-29T19:22:28Z
33,UgzCjpeIct4gh35QTet4AaABAg,замечательная песня 🇷🇺,я люблю собак🐶,3,2022-04-29T17:31:31Z
34,Ugxn2Ysg5gVD812nvj54AaABAg,"It's just another manic war, i wish it was peaceful days..",原寛之,0,2022-04-29T15:33:44Z
35,UgyaoMOuIZKI_wZN8NN4AaABAg,"Six o'clock already
I was just in the middle of a dream
I was kissin' Valentino
By a crystal-blue, Italian stream
But I can't be late
'Cause then I guess I just won't get paid
These are the days
When you wish your bed was already made
It's just another manic Monday (Woah, woah)
I wish it was Sunday (Woah, woah)
'Cause that's my fun day (Woah, woah, woah, woah)
My I don't have to run day (Woah, woah)
It's just another manic Monday
Have to catch an early train
Got to be to work by nine
And if I had an aeroplane
I still couldn't make it on time
'Cause it takes me so long (Oh, oh)
Just to figure out what I'm gonna wear
Blame it on the train
But the boss is already there
It's just another manic Monday (Woah, woah)
I wish it was Sunday (Woah, woah)
'Cause that's my fun day (Woah, woah, woah, woah)
My I don't have to run day (Woah, woah)
It's just another manic Monday
Of all my nights
Why did my lover have to pick last night
To get down?
(Last night, last night)
Doesn't it matter
That I have to feed the both of us?
Employment's down
He tells me in his bedroom voice
C'mon honey, let's go make some noise
Time it goes so fast
(When you're having fun)
It's just another manic Monday (Woah, woah)
I wish it was Sunday (Woah, woah)
'Cause that's my fun day (Woah, woah, woah, woah)
My I don't have to run day (Woah, woah)
It's just another manic Monday (Woah, woah)
I wish it was Sunday (Woah, woah, woah, woah)
'Cause that's my fun day (Woah, woah)
It's just another manic Monday",Maria Estela Hostan,0,2022-04-29T13:23:00Z
36,UgyxIL2BV8b7zIrpOqV4AaABAg,Fittest woman ever,Hubba Bubble,0,2022-04-28T18:50:10Z
37,UgyUMyUiPoIsgSe8F7B4AaABAg,Amo sua doce canção 🇧🇷🌹,Mari e Giba Receitas,1,2022-04-28T14:41:13Z
38,Ugx14x72HFWyRdUP8_54AaABAg,Micky is so beautiful ♥,Larissa Reis,0,2022-04-27T20:03:50Z
39,UgzAx8Vf4FBOzUpyCuh4AaABAg,Still listening in 2022🎶,Fresh J McQueen,0,2022-04-27T16:55:59Z
40,UgzP_EpXip1Nhzl7nF94AaABAg,"Six o'clock already
I was just in the middle of a dream
I was kissin' Valentino
By a crystal-blue, Italian stream
But I can't be late
'Cause then I guess I just won't get paid
These are the days
When you wish your bed was already made
It's just another manic Monday (Woah, woah)
I wish it was Sunday (Woah, woah)
'Cause that's my fun day (Woah, woah, woah, woah)
My I don't have to run day (Woah, woah)
It's just another manic Monday
Have to catch an early train
Got to be to work by nine
And if I had an aeroplane
I still couldn't make it on time
'Cause it takes me so long (Oh, oh)
Just to figure out what I'm gonna wear
Blame it on the train
But the boss is already there
It's just another manic Monday (Woah, woah)
I wish it was Sunday (Woah, woah)
'Cause that's my fun day (Woah, woah, woah, woah)
My I don't have to run day (Woah, woah)
It's just another manic Monday
Of all my nights
Why did my lover have to pick last night
To get down?
(Last night, last night)
Doesn't it matter
That I have to feed the both of us?
Employment's down
He tells me in his bedroom voice
C'mon honey, let's go make some noise
Time it goes so fast
(When you're having fun)
It's just another manic Monday (Woah, woah)
I wish it was Sunday (Woah, woah)
'Cause that's my fun day (Woah, woah, woah, woah)
My I don't have to run day (Woah, woah)
It's just another manic Monday (Woah, woah)
I wish it was Sunday (Woah, woah, woah, woah)
'Cause that's my fun day (Woah, woah)
It's just another manic Monday

Source: Musixmatch",Alan Wade,0,2022-04-26T13:33:10Z
41,UgzgRIzQ9dgqPPb7Cl94AaABAg,Great song.,"Brother, where art thou?",0,2022-04-26T07:50:58Z
42,UgyTzDSFCzQUGdUyWkd4AaABAg,Well it’s Tuesday but wtf.,"Brother, where art thou?",0,2022-04-26T07:50:47Z
43,UgyyvW9CzpCAMgfeGWZ4AaABAg,😍🥰❤️❤️❤️,daoneandonly erika,0,2022-04-26T06:08:49Z
44,UgxwT-A5Laqk4YYjq8R4AaABAg,Eine bildschöne Frau mit einer großartigen Stimme in einem wunderbaren Song......mehr geht nicht !,fördexdrive,0,2022-04-25T23:52:14Z
45,UgyZ1Wm_Qj3K7HGopkN4AaABAg,♥️ u Mom,Tink Blevins,0,2022-04-25T19:48:26Z
