,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,Ugyu5jhiMAhKwioV35h4AaABAg,Roy Pulver,"No over-generalising there, then.",2022-05-05T23:25:55Z,1
1,Ugyw8-SJsNz8NtfShNZ4AaABAg,Roy Pulver,"Did that sound less antisemitic in your head, Cletus?",2022-05-05T23:27:38Z,1
2,UgwkLN-DSmCThUM9tKB4AaABAg,Roy Pulver,I still prefer the original but this is a decent cover 👍,2022-05-05T23:27:49Z,0
3,UgwiaKqejB-a7RJmqUB4AaABAg,I Just Gotta Say,"@Roy Pulver You got me to checking on this and I see that according to Wikipedia: ""Got My Mind Set on You"" is a song written and composed by Rudy Clark and originally recorded by James Ray in 1962, under the title ""I've Got My Mind Set on You"".  So I guess it's true that you really can learn something new every day. I would've never known, but I do now thanks to you.",2022-05-07T06:03:16Z,1
4,UgwiaKqejB-a7RJmqUB4AaABAg,Roy Pulver,"You sound like you think George wrote this, or have I misunderstood?",2022-05-05T23:28:25Z,0
5,UgwiaKqejB-a7RJmqUB4AaABAg,Karl Helm,"i like my sweet lord, give me peace on earth, and blow away.",2022-05-04T00:23:59Z,0
6,Ugwct5djaTbboMIbj1d4AaABAg,Roy Pulver,?,2022-05-05T23:28:42Z,0
7,UgxMEl3UcacNNUg-QiR4AaABAg,Roy Pulver,Banana hammock supercilious conjunctivitis.,2022-05-05T23:29:26Z,1
8,UgwKuZdgyqVBw0u2WGp4AaABAg,Roy Pulver,*44,2022-05-05T23:30:32Z,0
9,UgyR_fORL2TBPDNxl-d4AaABAg,Roy Pulver,*born,2022-05-05T23:31:05Z,0
10,UgzK6s_1ieCho7jANKV4AaABAg,the cats meow,@Roy Pulver lol,2022-05-07T01:55:01Z,0
11,UgzK6s_1ieCho7jANKV4AaABAg,Roy Pulver,@the cats meow I know you did.,2022-05-05T23:31:25Z,0
12,UgzK6s_1ieCho7jANKV4AaABAg,the cats meow,@oasis are you Paul or what?,2022-04-17T21:51:51Z,0
13,UgzK6s_1ieCho7jANKV4AaABAg,oasis,So what?,2022-04-17T07:28:59Z,0
14,UgzK6s_1ieCho7jANKV4AaABAg,the cats meow,I think it's easy to see I can kill anyone,2022-04-17T06:05:13Z,0
15,Ugw9VE21kmR0KLB5IQV4AaABAg,Mike Toreno,Sinto o mesmo.,2022-04-19T20:26:18Z,0
16,Ugw9VE21kmR0KLB5IQV4AaABAg,maria Eduarda,🙌💕,2022-04-17T17:39:06Z,0
17,Ugw5NzbM7aFd8SehfW14AaABAg,Johnny Wallop,Though of course he didn't write this one - it's a cover.,2022-04-18T16:21:56Z,0
18,Ugzkd_QkigG92u48glt4AaABAg,Roosevelt McCarter,"@Roy Pulver Yes, it was from ""Cloud Nine"" from 1987.",2022-05-06T18:25:07Z,0
19,Ugzkd_QkigG92u48glt4AaABAg,Roy Pulver,"@Roosevelt McCarter So why, after 3 weeks, have you been able to look it up?",2022-05-06T16:01:15Z,0
20,Ugzkd_QkigG92u48glt4AaABAg,Roosevelt McCarter,@Roy Pulver Yes.,2022-05-06T06:35:15Z,0
21,Ugzkd_QkigG92u48glt4AaABAg,Roy Pulver,Google not working?,2022-05-05T23:32:00Z,0
22,UgyC3BgbaNnEElxXLPx4AaABAg,Denise Contreras,I think I still like all four but this one oh yeah back in 81 I heard it on the radio and mhmm wait lala and  trail the trails and remeber to be an osterich in a flock of pigeons or robins or flamingos and fly me to where well not the moon but yeah words and stuff and hee hee and fun in the neighborhood. Celebrate your Easter how you celeberate or not peace and kindness and respect and above all love your neighbor with respect! Sorry if it was noisy! I like music!,2022-04-17T14:48:58Z,0
23,Ugw-u2ZN7yQFu9lvMGF4AaABAg,Johnny Wallop,*There's,2022-04-18T16:23:24Z,0
24,Ugx7QW02MFc4Iy6Ddcx4AaABAg,Johnny Wallop,I love you too 😻,2022-04-01T23:38:12Z,0
25,UgyRqhzbqH8T_Nk2Lep4AaABAg,Johnny Wallop,@Alice Dishman 🤦‍♂️,2022-04-02T00:26:49Z,1
26,UgyRqhzbqH8T_Nk2Lep4AaABAg,Alice Dishman,@Johnny Wallop WHATS THAT MEAN??,2022-04-02T00:22:06Z,1
27,UgyRqhzbqH8T_Nk2Lep4AaABAg,Johnny Wallop,"@Alice Dishman Yeah, whatever",2022-04-02T00:11:27Z,1
28,UgyRqhzbqH8T_Nk2Lep4AaABAg,Alice Dishman,"@Johnny Wallop  REALLY I THOUGH IT WAS ,ARE YOU SAYING ITS NOT?",2022-04-02T00:04:54Z,1
29,UgyRqhzbqH8T_Nk2Lep4AaABAg,Johnny Wallop,@Alice Dishman I mean what do you think of the original 1962 version by James Ray?,2022-04-01T23:55:17Z,1
30,UgzgNC4bResBqUMEtbF4AaABAg,Johnny Wallop,*Damn,2022-04-01T23:38:20Z,0
31,UgwMjWQ1t1s6KDyQcc94AaABAg,Johnny Wallop,"*shouldn't _have_
And yes he should.",2022-04-01T23:38:42Z,1
