,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgzwCYv7DS3W1GmYweR4AaABAg,fixten,+,2022-05-07T06:52:33Z,1
1,UgyWEaoQGi3ynFcjS5N4AaABAg,L,I came here for Michael Jackson😎😎😎,2022-05-05T10:20:36Z,0
2,UgzEx_mbTPXcf-dcjGl4AaABAg,L,Tho is Tanjiro??..Michael did nothing..you have migjt mistaken him for someone else.,2022-05-05T10:21:59Z,0
3,UgySwA6VGMqhneFbk9B4AaABAg,Jar,@Xiter 2022 perhaps,2022-04-22T00:47:01Z,0
4,UgySwA6VGMqhneFbk9B4AaABAg,Xiter 2022,"No, you're the only one who thinks so.",2022-04-21T13:09:58Z,0
5,UgySwA6VGMqhneFbk9B4AaABAg,Jar,@AGJR no one in particular?,2022-04-14T13:54:06Z,0
6,UgySwA6VGMqhneFbk9B4AaABAg,AGJR,Who are you talking to?,2022-04-14T10:15:51Z,0
7,UgySLZg_kbzxTXqmqfl4AaABAg,Gato Gato,Yo,2022-04-16T02:58:40Z,1
8,UgyFannP34sqjRLvlrp4AaABAg,MysticalTempest,"Short version, it's for the credits of the moonwalker movie",2022-05-05T03:19:50Z,0
9,UgyFannP34sqjRLvlrp4AaABAg,Xiter 2022,It's Moonwalker's credits.,2022-05-01T19:15:47Z,0
10,UgyFannP34sqjRLvlrp4AaABAg,Jess Rose,This music video? Ikr,2022-03-30T18:52:58Z,1
11,UgwU4TgU6B1SZyVkkHh4AaABAg,Jess Rose,Smooth criminal music is just so AAAAHHHH LOVE IT,2022-03-30T18:52:38Z,2
12,Ugx9QwMgk78b2A31ukd4AaABAg,Bebe Edu Games ツ 益 눈🇺🇦,É ISSO,2022-03-30T19:19:25Z,1
13,Ugx9QwMgk78b2A31ukd4AaABAg,Gonzalo Dotte,Hola pa,2022-03-26T14:42:14Z,0
14,Ugx9QwMgk78b2A31ukd4AaABAg,Frog_manuhh :D,Concordo,2022-03-24T15:03:08Z,0
15,Ugx9QwMgk78b2A31ukd4AaABAg,WL_LEGENDS,aqui 😎,2022-03-24T01:43:15Z,0
16,UgzTT8HmV1F0xZuifGF4AaABAg,Desenvolvimento Master,Kkkkk bora jogar uma bola irmão,2022-03-01T23:01:46Z,0
17,UgwcfEIFYob2hS0fC2J4AaABAg,halo -,Some isn't.,2022-02-18T21:44:22Z,0
18,UgzaJmxFm2oRMb5S6-14AaABAg,Normal Guy,Hahahah,2022-02-17T02:52:38Z,0
19,UgxgU5ZJno96JKC6j-d4AaABAg,The Viewer,L last l late late latte,2022-02-07T16:12:14Z,0
20,UgwagFGAzx6F_oBJRIZ4AaABAg,The Viewer,"@Spicy Chicken sandwich☆ Song is epic, but the friend used to be the best. Now he’s done",2022-02-08T00:27:40Z,0
21,UgwagFGAzx6F_oBJRIZ4AaABAg,Spicy Chicken sandwich☆,@The Viewer *is always will be,2022-02-07T17:38:31Z,0
22,UgwagFGAzx6F_oBJRIZ4AaABAg,The Viewer,*was,2022-02-07T16:10:23Z,0
23,Ugy22GMI4JrDF_p357F4AaABAg,Xiter 2022,This is Moonwalker movie credits scene.,2022-05-01T19:17:32Z,0
24,UgyYlYxAWwN4fSC-JGF4AaABAg,Mitsuya,"AYUWOKI 










Non sérieux ?",2022-02-02T20:44:31Z,0
25,Ugz0aaRuyd9i4K76d8N4AaABAg,Adonis Watson,2:28,2022-01-10T22:37:31Z,1
26,UgwKmnklqdaa9-gBdTJ4AaABAg,Jonathan_nahuel,Es normal que este a 3 fps el video no?,2022-01-09T02:28:26Z,0
27,UgxaxwwAVz9dGcaZ9eZ4AaABAg,Alice,we miss michael,2022-01-06T13:38:33Z,0
28,UgxbSyWnJ7j02lx-Rxt4AaABAg,bobesponja,In 2005 what memories when I saw it on TV and listened to it and danced Greetings to everyone and everyone,2021-12-27T06:30:41Z,1
29,UgxCbTkAGbc0jlTM2Lx4AaABAg,Xiter 2022,??,2022-05-01T19:23:58Z,0
30,UgzC0Yqp6kZdhgCIO6J4AaABAg,MARSANDA,How old are you may I ask,2021-12-20T00:17:18Z,0
31,Ugx9ITNr2zfNXloAPUN4AaABAg,rodri 2010,Smoke weed,2021-12-09T00:49:54Z,0
32,UgwoNOwa4GK62GyFz-x4AaABAg,OpS Hazard,Listen to full version it wont,2021-12-06T10:28:56Z,0
33,Ugw5AIy2gKkImskBRZx4AaABAg,Xiter 2022,It's the credits version,2022-05-01T19:25:10Z,0
34,Ugw5AIy2gKkImskBRZx4AaABAg,jasurbeey _oo1,It is short version,2021-12-19T08:46:51Z,0
35,UgzSiLHr0XxjAYdw4yd4AaABAg,Manuelle,Tbb,2022-03-03T16:48:04Z,0
