,id,comment,author,likecount,publishedAt
0,Ugx9s1YvzSqaXe0G1C54AaABAg,MJ I miss you so much,Jasmin Rodriguez,1,2022-05-07T18:54:59Z
1,Ugyp-mZgjC79urxCIg14AaABAg,"Annie was the name of the resuscitation mannequin they use to train EMTs, and they were trained to say ""Are you ok?""
Annie the mannequin, her face was molded from a mystery drowned women. They made a mold of her face because she was so lovely and seemed to be gently smiling.",Orleans Artist,0,2022-05-07T02:56:54Z
2,UgzwCYv7DS3W1GmYweR4AaABAg,Keren👍🇮🇩,BGXD,1,2022-05-05T13:00:29Z
3,UgyffV9X8UZj--ofzup4AaABAg,This is a really good trailer of the sunrise demon slayer arc,AshTheArztyBaka,0,2022-05-05T01:51:05Z
4,UgyX_G5EQx63fJk49J54AaABAg,😞😞😞😵😵😵,Danila Nikelash,0,2022-05-04T15:58:27Z
5,UgyFGHzJM5HhJgo9IpV4AaABAg,"My favorite 😍 song 🎵 ❤️ 
RIP MJ 🥰",h i,1,2022-05-03T18:52:28Z
6,Ugx3-Z4KUW67BBGAZsB4AaABAg,2022,boring wall Z,0,2022-05-01T14:43:15Z
7,UgxtspHSpF1UCu2TDQx4AaABAg,I never really got to know MJ but I love his music. May his soul rest on. ❤️,Chimzy Wali,1,2022-04-30T22:43:02Z
8,UgyWEaoQGi3ynFcjS5N4AaABAg,I Came here bc of Muzan Kibutsuji😎🖕😼😼,maj yamato,0,2022-04-30T10:41:40Z
9,Ugy9I9PLl5Ewq7IYwcB4AaABAg,dude how you still make videos if your'e DEAD,GamerBoyGaming,0,2022-04-29T18:31:06Z
10,UgygtH3F0sBr0tQ1xMF4AaABAg,It 2022 and I’m do this dance for my talent show and my friend are help me do cus ther my back up dancers,Jaxon B,0,2022-04-27T02:07:08Z
11,Ugzb4GMuJUcvxzTPGkh4AaABAg,Ayuwoki,Sonia Cisneros,0,2022-04-26T16:40:41Z
12,UgxNTxP56gWZHJMvwmZ4AaABAg,AYO ANNIE ARE U OK?,Abigusabisuu,0,2022-04-25T13:53:30Z
