,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgwS2cq5N_JL0-l0bKh4AaABAg,Surya Wellness,Me too exactly how I felt,2022-04-07T08:16:46Z,0
1,Ugw4ioFp9hyIKYUkOu94AaABAg,Draco Volantus,"You're not dummy, You just can't live without the dream of Ten Grand Goldies, and basically no sane person can: You can't reject being only human, people run on dreams as long as they can, they struggle, and when they think they can't struggle anymore they struggle further, so just struggle further stranger struggler",2022-01-12T12:41:22Z,0
2,Ugw5YQA2WzsmzaUB1s54AaABAg,paul looney,"Its already in you,what ever you think your weekness is, you turn that in to your strenght.",2021-08-14T21:28:54Z,1
3,Ugy5JsTOKApvUx4jCEt4AaABAg,Paul Jessup,oui,2021-09-06T03:06:49Z,0
4,UgxYKYO_hNQk2aRtYk54AaABAg,Dawn Earnshaw,Another that takes you on a spiritual level would love to know the story behind it 🌹❤️🔥💫,2021-02-25T06:29:01Z,0
5,Ugz7CKdMW4jSLTEfugl4AaABAg,Micky Angelo,1:20,2021-02-03T21:25:59Z,0
6,UgwmrxFbeImfr1niNdl4AaABAg,Filoups,"The Perks, one of my powerful and moving coming to age movie 😊💗",2021-07-07T22:33:34Z,1
7,UgwuLNJNWP6n9IbKYkB4AaABAg,Lop,The video is no more here,2021-01-27T10:16:01Z,0
8,UgzN0Lx1fTP_1BzvZup4AaABAg,Gernot Hoffmann,And it's excellent! 👍,2021-04-28T19:20:30Z,0
9,UgxBoiKFrAWtCSAnMNZ4AaABAg,Eswara Laxmi Ramadhenu,@OOKenobi can you please explain the story happened in the video please 😁😁🤗🤗,2020-10-29T08:32:45Z,0
10,UgxbgmwQDBZNkHNO0tt4AaABAg,nevin,eure beiden kommentare sind so ehrlich und einfach süss,2021-12-28T02:27:52Z,1
