,id,comment,author,likecount,publishedAt
0,UgzGyQjR7LV3VcByFjl4AaABAg,One of the all-time great soundtracks in modern cinema history for sure.,Chico Bicalho,0,2022-05-06T20:11:06Z
1,UgzFjFj4vEcz14AhmJp4AaABAg,2022,Ben,0,2022-05-03T00:45:15Z
2,UgzodqoEx0Xb1-EqVRB4AaABAg,https://youtu.be/cWD2SSQEEOk,ooppss studio,0,2022-05-01T06:34:39Z
3,UgzDLDWcDTuX9GyeiaJ4AaABAg,"Thiz iz good ,the visuals  r sublime  ,",Eyes Open,0,2022-04-26T22:12:13Z
4,Ugz99RBzZl_bplmMQj14AaABAg,I love it!!,_.jancucik. _,0,2022-04-20T16:35:23Z
5,UgxtyV3nQ33GBtm-SUJ4AaABAg,"Timeless tune, bloodflow, boom, boom, boom ",me,0,2022-04-20T14:48:47Z
6,Ugwt9eys8GSkuAAwAz14AaABAg,💯💯👍,TRVP NEWS,0,2022-04-20T03:58:47Z
7,UgxxssO8phfzquN4qPh4AaABAg,just show to us Mariupol,Valery Nikolaev,1,2022-04-16T23:28:51Z
8,UgzRGeV8c7RpsZhU6Vh4AaABAg,insane,Philip C,0,2022-04-14T15:43:43Z
9,UgyPnXoLf_052UfGUxF4AaABAg,"I love this so much, great music!",HL T,0,2022-04-09T16:17:23Z
10,UgxYY-iIyaKwdKiF12h4AaABAg,https://www.youtube.com/watch?v=ypbCjzNw9OE,Bubble,0,2022-04-08T19:17:19Z
11,UgwhCwWsFAOHNfFZNsN4AaABAg,REAL GOOD,Bubble,0,2022-04-08T19:16:24Z
12,Ugya9aM8lhRH-zT3Cct4AaABAg,I fell in love with this song too really touched my heart 💜 inescapable joy and sadness,Surya Wellness,1,2022-04-07T08:17:50Z
13,Ugxv2s1YzGYqQ4eobLh4AaABAg,"düşünecek dünyaca,yok pardon dünyalarca !  hatta sebepsizce, yerli yersiz o kadar dava varken senin yaptığın müziğe bak arkadaş........",İ Çınar,0,2022-04-04T21:03:21Z
14,Ugw7PrXpvHDoZEEMI5x4AaABAg,"Effondrement 
Masque
Hypocrisie 
Élection
Avalanche
Guerre
Isolement 
Survie",Amélia Gerbais,0,2022-03-05T09:56:03Z
15,UgxlnIzuO8ktq3ecb4N4AaABAg,"Incroyable. 
Est ce que le clip ressemblerait à une constellation familiale (analyse systémique des schémas familiaux dans une thérapie de groupe)?
Je trouve que les images aussi porte un message puissant.

Et la musique c'est fascinant...👀",Mei,0,2022-02-27T11:26:57Z
16,UgzcApz3YX1U9Nuam3Z4AaABAg,two words FUCKING UNBELIEVABLE,Neo1Coder,0,2022-02-14T14:36:49Z
17,UgwnVLPjLUXES3z78N14AaABAg,An amazing song in an amazing movie,Meli,0,2022-02-13T00:17:07Z
18,Ugx-aiS8IrJ-N84jA6V4AaABAg,"Ho incontrato questa melodia nel momento più introspettivo della mia vita, il cammino più doloroso che avessi mai intrapreso. Voglio tornare a vivere ed esprimere ciò che sono e che sento...
... e questa melodia fa vibrare l'anima.",Noctis,0,2022-02-08T23:55:18Z
19,Ugwa0OTRHkHFoMwQ8kt4AaABAg,"Kari se imagina su propio vídeo o película con esta grandiosa música, que viva la buena música",Kari Caamaño,0,2022-02-07T16:50:46Z
20,UgzsfprkHOzAwRYvILR4AaABAg,"Elle transmet les émotions sans même que l'on s'en rende compte, c'est d'une beauté incroyable merci beaucoup",Adélie HANCY,5,2022-02-03T20:30:28Z
21,UgzPi_DdgZHe53PlCBR4AaABAg,ΚΑΤΑΠΛΗΚΤΙΚΟ🙏🙏🙏🙏🙏,panos kassavetis,0,2022-01-31T21:18:08Z
22,UgwhRkc1E3TQ2BY0EUt4AaABAg,Been my alarm for 4 years now and I still love it! You truly made something incredible... ;),The Sound Forest,2,2022-01-20T10:49:34Z
23,Ugzba5Fq3NrlmQCwFH14AaABAg,Love you guys! Awesome song.,Greg Maddux,0,2022-01-16T04:43:18Z
24,UgwS2cq5N_JL0-l0bKh4AaABAg,"I am speechless. First I fell in love with the music, inescapably. Then I saw the video. I am speechless. It touched me at the bottom of my soul. Thank you.",Anna Terzin,0,2022-01-10T13:00:09Z
25,UgySiG7Bc_H6BO3HYXp4AaABAg,Beauty brought me here....,ParisExpat,0,2022-01-07T15:50:00Z
26,UgxUHN3HyB4hu-5i5Ut4AaABAg,!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,ΑΝΑΣΤΑΣΙΟΣ ΑΛΕΞΑΝΔΡΗΣ,0,2022-01-05T14:05:10Z
27,Ugw4ioFp9hyIKYUkOu94AaABAg,"Romances are hard. I don't want no romance with baby in seek or without. I have red-blooded wife, lol, it was very hard to admit this to myself, always not wanting to have romance was like not wanting to live again, but in my case it is not anymore the case I'm so dummy",Draco Volantus,0,2022-01-05T07:02:38Z
28,Ugy-mVjTvmNPxqMfVTJ4AaABAg,Hors norme :),Enzo Piacentino,0,2022-01-03T21:26:09Z
29,UgwAgaKQTvz5aCszRsd4AaABAg,absolutely the best track I found in 2021,beanie b,0,2021-12-18T21:24:41Z
30,Ugx3l7ch4YRhP8uFLyJ4AaABAg,Cette musique parle.,Andrea Bartolini,0,2021-12-04T18:52:53Z
31,Ugyy7vOaH1FEexo_9MR4AaABAg,Heaven on earth,Amira,0,2021-11-29T13:14:36Z
32,UgyLKm7XhD41YgDIaxt4AaABAg,infinitely perfect sound,MINDsCRAFTsMAN,0,2021-11-26T10:15:57Z
33,UgyCLqog9VUDHiz_bh54AaABAg,William Orbit brought me here with his Anjunadeep edition,Stefan I.,0,2021-11-26T06:21:28Z
34,UgzdSXaySief2E-bw1V4AaABAg,",,💪💪💪💪🛸🛸👨‍👩‍👧‍👦🌀🌈",Бакыт Дуйсенова,0,2021-11-13T21:04:11Z
35,Ugz_Jx2TI6sLjipdz_t4AaABAg,Masterpiece.,jg,0,2021-11-09T04:22:48Z
36,UgzI_5P1glSaS-uIL_p4AaABAg,Волшебно,Yaroslava Va,0,2021-11-06T19:01:43Z
37,Ugw5k3hqKN4-gvooisZ4AaABAg,music is great but clip is awesome! Love the actress.,seoulmuse,0,2021-11-02T23:54:32Z
38,UgzoHoO1bB_Q1csAUA14AaABAg,I fucking love Imogen morris,Adarsh B,0,2021-10-29T09:00:39Z
39,UgzYkbjiL132BNR6mNl4AaABAg,J’ai dore cet musique,Caroline Marianne Faivre,0,2021-10-26T10:55:44Z
40,UgyK3Z3GKrSvjkhySpp4AaABAg,this is everything,Đạt Đặng,0,2021-10-26T09:02:35Z
41,UgxZdRnm4G5qeRtdZJ54AaABAg,good music,Arcyber Officiel,0,2021-10-22T15:38:35Z
42,Ugyf69qGDXZ--xCMk0p4AaABAg,I am finally here.,harsha m,0,2021-10-13T09:33:27Z
43,Ugzl54LwTY9PGOawVhF4AaABAg,Ses vraiment magnifiques 🖤 merci,Justine Font,1,2021-10-09T18:41:31Z
44,UgxzTY_vn_9fSrwLxbF4AaABAg,An example of how music can have a transfixing effect,José da Cunha Filho,0,2021-10-08T18:08:57Z
45,UgwVBHXmmZNhhNrLyOB4AaABAg,"Holy mother of God.
I didn't realize there could be another song that I could feel to this Level.",nameless pushpa,2,2021-09-30T05:01:18Z
46,UgyIJTyAGw5eRf9eZRp4AaABAg,"E' veramente un flusso sanguigno , colonna sonora di ""The specials"" a mio avviso indovinatissima ,mi ha trasmesso forti emozioni.",giancarlo ricci,2,2021-09-26T15:49:11Z
47,UgxoYxp-fQgZEG6UghB4AaABAg,"""Respect Song house Remix"":
https://www.youtube.com/watch?v=VpgvM2dIkbA&ab_channel=YannDj
Thank's",Yann Dj,1,2021-09-22T13:39:02Z
48,Ugw9cLv8h3rzp8Iy9a54AaABAg,Sounds like Get Lucky (Daft Punk),Catherine Savosh,0,2021-09-22T12:54:19Z
49,UgyRUN7YL0GP-YGtT0h4AaABAg,wonderful,Diego Deitos,0,2021-09-10T20:40:48Z
50,UgxxEgrbc8TJZNJ27-Z4AaABAg,"How do you translate this video? I view this as a girl in trouble who went to a support group for help. When she attended one of their sessions, she was refused to join the group by one of the members...",Christopher Lee,0,2021-09-07T22:24:25Z
51,UgwAdYfDF2pqr1qjVAV4AaABAg,what is the meaning of this video?,Steven Rathod,0,2021-09-02T10:15:44Z
52,UgyzQwVCF4k37JdnBP94AaABAg,Кто нибудь пришёл сюда после фильма Особенные с Винсентом Каселем??????,Ernist T,0,2021-08-31T07:12:39Z
53,Ugxz57LvpJgiaL6U0uR4AaABAg,POV: you're looking for an english comment,General Kenobi,0,2021-08-26T13:14:03Z
54,Ugw5YQA2WzsmzaUB1s54AaABAg,I want to have courage. How do i get it?,Anton Karlsson,1,2021-08-02T15:54:34Z
55,UgzQnMsXglMLWUhWVuV4AaABAg,Please can a gymnast use this as their dance routine in the Olympics?? It would be AMAZING,Sophie M,0,2021-07-29T21:05:13Z
56,UgzPKptO-XLc6BJOmW54AaABAg,Beautiful track,Tony Sproule,0,2021-07-22T01:04:35Z
57,UgziojVXSBkfZTJkx8x4AaABAg,Merci aux commentaires qui m'ont fair découvrir le film haha,아비갤,0,2021-07-19T19:19:50Z
58,UgysVlGWPB9Jwc9fVcd4AaABAg,Listen to it while staring at the rain and you shall see again all your efforts against everyday battles.,Νικη Σ,0,2021-07-08T22:19:56Z
59,UgxUO7KoI-ddZB5Ou5t4AaABAg,Inspiration,Croom,0,2021-07-06T20:25:30Z
