,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,Ugye4ZLBv4UCUtUGlRN4AaABAg,Alberto Giurioli,Thank you 🙏,2022-04-27T20:19:56Z,0
1,UgyYKSGDcbOGdWZd1XN4AaABAg,Alberto Giurioli,Thank you so much 😊,2022-04-05T16:35:06Z,1
2,UgyEKt4Jn6E6Z3gEzqp4AaABAg,Alberto Giurioli,Thank you so much 😊,2022-03-30T11:01:01Z,1
3,UgycBz8IOawY1SxuMzd4AaABAg,Teresa Spanu,"@Alberto Giurioli Il pianoforte è lo strumento che più adoro!  Molti lo sanno suonare, molti compongono straordinarie melodie ,ma pochi portano la mia anima lontano , la tua musica ha fatto questo. Grazie.",2022-03-15T17:26:42Z,0
4,UgycBz8IOawY1SxuMzd4AaABAg,Alberto Giurioli,Grazie a te per aver ascoltato 🙏,2022-03-15T15:46:03Z,1
5,Ugw-hY_sPXX4hHKsSNp4AaABAg,Alberto Giurioli,Thank you 😊,2022-02-19T02:02:08Z,1
6,UgzGWfsd4iFzczZiggd4AaABAg,Alberto Giurioli,🙏,2022-02-05T16:58:54Z,0
7,UgwIWXAEHH0NujeFUaN4AaABAg,Alberto Giurioli,Grazie 🙏,2022-02-04T09:49:41Z,0
8,Ugx1bB8mgwnTwnIQOC94AaABAg,Alberto Giurioli,Gracias 🙏,2022-01-10T10:12:51Z,0
9,Ugzhfz9c-e8UgTbxreZ4AaABAg,Alberto Giurioli,Very happy you enjoyed it thank you,2022-01-09T14:12:15Z,0
10,Ugw0brBlBF-UXon_BKh4AaABAg,Alberto Giurioli,Muchas gracias :),2022-01-09T14:12:36Z,0
11,Ugwljfwx0G3NvmCIVXR4AaABAg,Alberto Giurioli,Thank you so much! :D,2022-01-09T14:13:20Z,0
12,UgyJwmoqSdRjJ-birgx4AaABAg,Alberto Giurioli,Thank you 😊,2021-12-11T02:17:15Z,2
13,UgwEzb90NHQg8tt4bgd4AaABAg,Alberto Giurioli,🙏,2021-12-02T23:40:00Z,0
14,Ugxo0svIB42DLrCSEol4AaABAg,Alberto Giurioli,Happy to be helpful! Thanks for following my journey,2021-11-24T01:23:25Z,1
15,UgySxBJ-V3NRYU2UAtZ4AaABAg,Alessandro DeNino,@Alberto Giurioli eagerly awaiting 👏🏻👏🏻☺️🤗,2021-11-24T01:44:16Z,0
16,UgySxBJ-V3NRYU2UAtZ4AaABAg,Alberto Giurioli,"@Alessandro DeNino Thanks kind of you, soon new music coming out too :)",2021-11-24T01:31:35Z,2
17,UgySxBJ-V3NRYU2UAtZ4AaABAg,Alessandro DeNino,@Alberto Giurioli I absolutely loved it!!!! You’re very talented. 👏🏻👏🏻👏🏻🙌🏻😘😘😘,2021-11-24T01:28:20Z,2
18,UgySxBJ-V3NRYU2UAtZ4AaABAg,Alberto Giurioli,"Thank you so much, glad you enjoyed it",2021-11-24T01:23:47Z,2
19,UgzMohaL-Drbe1Rok2B4AaABAg,Alberto Giurioli,Grazie :D,2021-11-24T01:26:43Z,0
20,UgxzAjGBDJP3Ys1TR7p4AaABAg,Alberto Giurioli,Thanks to you,2021-11-24T01:27:02Z,1
21,Ugw-joHX_NfKWoFYsy54AaABAg,Alberto Giurioli,Thanks,2021-08-09T07:59:39Z,0
22,UgyQzGlzTvSLpi9GCnZ4AaABAg,Alberto Giurioli,😊😊,2021-07-19T21:53:12Z,0
23,UgyS7VBSU7awccqFYJx4AaABAg,Alberto Giurioli,Ooo thanks glad you like it ☺️,2021-07-19T21:54:19Z,2
24,UgyaA9enlu-Z3vR3cVp4AaABAg,Alberto Giurioli,So happy that you liked it thanks,2021-07-19T21:55:02Z,1
25,Ugxd0tUFTM918B7o83h4AaABAg,Alberto Giurioli,Thank you 😊,2021-07-19T21:55:28Z,1
26,UgzpIXu8ZQ9P5PJfQDB4AaABAg,Alberto Giurioli,☺️☺️,2021-07-19T21:55:52Z,0
27,UgwMyUTJdXGNzViiJBt4AaABAg,Alberto Giurioli,Thanks 😊,2021-07-19T21:58:22Z,1
28,UgwIwGjSY00QvtKb19h4AaABAg,Alberto Giurioli,Thank you 😊,2021-03-08T00:36:33Z,1
29,UgyRyShH32jBOOQrQvd4AaABAg,Alberto Giurioli,Thanks to you for listening I am glad you like my music 😊,2020-12-22T03:18:36Z,1
30,Ugw17mAsBe9l84lmmAd4AaABAg,Mohamed Dabbour,@Alberto Giurioli sei il mio idolo ❤️❤️❤️❤️,2020-12-16T16:04:07Z,1
31,Ugw17mAsBe9l84lmmAd4AaABAg,Alberto Giurioli,Grazie ☺️,2020-12-16T11:59:30Z,1
32,Ugyw-5wS0001MupSZ3p4AaABAg,Alberto Giurioli,Thank you so much 😊,2020-12-02T19:57:09Z,0
33,Ugyc_iehAap-1DO9tuN4AaABAg,Alberto Giurioli,Grazie mille ☺️,2020-11-20T12:13:06Z,0
34,UgzqMG-DH6aGiCr9zG94AaABAg,Alberto Giurioli,🙏,2020-11-10T12:07:58Z,0
35,Ugxv8CcuCIwWjj4v8kJ4AaABAg,Alberto Giurioli,🙌🏻🙏,2020-11-10T11:51:35Z,0
36,UgzgBcGIC6mYKYqTqsp4AaABAg,Alberto Giurioli,Glad you liked it thank you so much 😊,2020-11-10T10:25:26Z,0
37,UgxpceS3qXc0xucorGV4AaABAg,Alberto Giurioli,Thank you so much 😊,2020-10-19T13:12:55Z,1
38,UgzAtGAPsbw4iaS90Zt4AaABAg,Alberto Giurioli,Thank you 😊,2020-09-28T20:07:36Z,1
39,UgxKVEbxNp9p4gqOUal4AaABAg,Alberto Giurioli,Really glad it helped you 😊,2020-09-25T10:31:44Z,1
40,UgxGJA0_0c7SCum6zw94AaABAg,Alberto Giurioli,Thanks a lot 😊🙌🏻,2020-09-25T10:32:29Z,0
41,UgwqCyC6vpajpYoaFcZ4AaABAg,Alberto Giurioli,Thanks 😊,2020-09-21T20:08:00Z,0
42,UgyD7kbflpII5UDnW654AaABAg,Alberto Giurioli,😊😊🙌🏻🙌🏻,2020-09-19T00:47:20Z,0
43,UgyqCzW260VD8Ncpx8N4AaABAg,Alberto Giurioli,🙌🏻🙌🏻,2020-09-12T20:24:07Z,1
44,UgxdiJmAbjQXZvuH3614AaABAg,Alberto Giurioli,🙌🏻🙌🏻🙌🏻,2020-09-11T22:48:05Z,1
45,Ugzb2m9IJsVomWWgMKh4AaABAg,Alberto Giurioli,Thank you so much 😊,2020-09-11T20:13:23Z,0
46,UgzEDXOYv-hsYXQffKh4AaABAg,Alberto Giurioli,Grazie 🙌🏻,2020-09-11T21:13:50Z,1
47,Ugz1qJ2jmBZDQKnJMJ14AaABAg,Alberto Giurioli,Thank you 🙏,2020-08-26T19:48:37Z,1
48,UgyfZgCMTEHAoJjbllR4AaABAg,Alberto Giurioli,🙌🏻🙌🏻🙏,2020-08-26T14:53:07Z,0
49,UgwBjt5pUGi7Rw7xqvF4AaABAg,Alberto Giurioli,🙌🏻🙌🏻,2020-08-24T08:54:39Z,0
50,UgxtnAJLn1I05m4H5xJ4AaABAg,Alberto Giurioli,Gracias 😊,2020-08-11T22:28:14Z,1
51,UgyTtwlpt2em4uEWFjt4AaABAg,Alberto Giurioli,🙏,2020-07-25T13:04:14Z,1
52,Ugzi4VHb5FsVtln_1hd4AaABAg,Alberto Giurioli,Thank you so much glad you like it 😊🙏,2020-07-17T01:26:20Z,0
53,UgysHWF_GuHIJ09Qck94AaABAg,Alberto Giurioli,Si una parte del video è stato girato li 😊,2020-06-29T16:07:23Z,1
