,id,comment,author,likecount,publishedAt
0,Ugye4ZLBv4UCUtUGlRN4AaABAg,Amazing👏🏻👏🏻👏🏻,Venus rose Venus rose,1,2022-04-27T11:42:28Z
1,UgyYKSGDcbOGdWZd1XN4AaABAg,Love it 🤗☺,Felix Perez,1,2022-04-05T16:25:38Z
2,UgyEKt4Jn6E6Z3gEzqp4AaABAg,"I really like this song. Nice music, nice video, nice story!",Lee Sanghwa,1,2022-03-26T04:51:03Z
3,UgycBz8IOawY1SxuMzd4AaABAg,Ho ricominciato ad emozionarmi! Complimenti.,Teresa Spanu,1,2022-03-12T11:31:55Z
4,Ugw-hY_sPXX4hHKsSNp4AaABAg,You lose yourself. I am loving it,aisa salas,1,2022-02-18T15:24:53Z
5,UgzGWfsd4iFzczZiggd4AaABAg,Woow,Matteus Silva,1,2022-02-05T11:54:54Z
6,UgwmHt7RbjOK7PrjcsF4AaABAg,I am here,Pawel Janusz,1,2022-01-31T07:00:32Z
7,UgwIWXAEHH0NujeFUaN4AaABAg,Grande Musica e Video... Grüsse aus Deutschland,Firma Flock,1,2022-01-13T15:15:05Z
8,Ugx1bB8mgwnTwnIQOC94AaABAg,Me fascina tu música. Un abrazo desde Venezuela.,Anitzuy Veloz,1,2022-01-10T03:58:28Z
9,Ugzhfz9c-e8UgTbxreZ4AaABAg,This is amazing ♥️,Vanessaaboo Gutierrez,1,2022-01-06T20:33:50Z
10,Ugw0brBlBF-UXon_BKh4AaABAg,Muito bom 👏👏👏,beatriz araújo da silva,1,2022-01-04T08:57:58Z
11,Ugwljfwx0G3NvmCIVXR4AaABAg,Brilliant music! Amazing!❤ The music and this video are very motivating. The words are wonderful at the end of the video.👍,Катерина Сергеева,1,2021-12-24T16:42:02Z
12,UgyJwmoqSdRjJ-birgx4AaABAg,"Amazing music... 💙💙💙
Wish you all the best🤗",Brankica 🐰,2,2021-12-10T22:43:22Z
13,UgwEzb90NHQg8tt4bgd4AaABAg,😍☺😌,ikatьmysecondname,1,2021-12-02T18:59:10Z
14,Ugxo0svIB42DLrCSEol4AaABAg,Your music  brings such peace and beauty to the soul!,William Bey,1,2021-11-15T16:30:03Z
15,UgySxBJ-V3NRYU2UAtZ4AaABAg,Everything about this is beautiful!!! Thank  you 🙏🏻❤️🤗,Alessandro DeNino,2,2021-11-09T22:40:57Z
16,UgwTd4L_qJcuK-4fKSR4AaABAg,Já na minha playlist.... Você é muito bom!!! Obrigada,Jô Santê,3,2021-11-09T14:35:30Z
17,UgzMohaL-Drbe1Rok2B4AaABAg,Adoro questa canzone.......the best Giurioli,Lucian Ionita,1,2021-10-16T19:16:37Z
18,UgxzAjGBDJP3Ys1TR7p4AaABAg,thanks,Анастасия Мухина,1,2021-09-30T22:00:55Z
19,UgyRb1clyfRoEtHXkVR4AaABAg,"Beatifull music. Я сочиняю стихотворения под ваши мелодии теперь.
Адип Каиси",Ro Kuschanova,1,2021-09-29T19:42:51Z
20,UgxlHEbNoAx_khkV6ZN4AaABAg,"Something (well quite a lot actually Sir!) has been missing from life in recent times then, tonight, I knew what would help to fill the void...hearing some of your music again. It has worked wonders! Thank you! 
Belated happy birthday for your special one on 24/7. I hope it was a good one.
Blessings and peace",George Alderson,0,2021-09-22T22:50:58Z
21,UgwH4_U2_l1Z6igm1uF4AaABAg,Lovely,Bowale Emmanuel,0,2021-09-21T15:39:35Z
22,Ugw-joHX_NfKWoFYsy54AaABAg,Linda!❤,deniserufo Santos,0,2021-08-08T16:15:20Z
23,UgyQzGlzTvSLpi9GCnZ4AaABAg,🤎🤎🤎🤎🤎🤎🤎🤎🤎🤎🤎🤎🤎,Mohamed Morsy,1,2021-06-24T15:00:41Z
24,UgyS7VBSU7awccqFYJx4AaABAg,"god this song is absolute genius, and the cinematography too....thank you for sharing. I haven't had a song make me feel something in a long time and finding yours was a welcome relief :)",Elise,3,2021-06-20T16:10:46Z
25,UgyaA9enlu-Z3vR3cVp4AaABAg,"This is so Amazing, love the story feel to it.",Don Juan the GodSter.,1,2021-06-14T00:57:40Z
26,Ugxd0tUFTM918B7o83h4AaABAg,Beautiful music!! Congratulations Alberto!!  ❤🎵,Vasilis Tsantilas,1,2021-06-10T09:50:48Z
27,UgzpIXu8ZQ9P5PJfQDB4AaABAg,👏👏,Jamilly Lima,1,2021-06-08T23:56:54Z
28,UgyZbWjuZKkz1oT1--V4AaABAg,🌹🌹🌹,Dakota Hill Llc,0,2021-06-07T11:02:39Z
29,UgyIkDwPMbtPyLIRCbV4AaABAg,"Amei suas notas musicais,seu vídeo e muito bom de uma doçura pra nossos corações. Obrigada por compartilhar conosco essa belíssima música. Fica com Deus ❣️❣️🇧🇷🇧🇷",Dinalva Santos,0,2021-05-27T17:44:30Z
30,UgwMyUTJdXGNzViiJBt4AaABAg,Absolutely beautiful. ❤️,Brianna Watson,1,2021-05-27T11:20:35Z
31,UgzFo0oQL5vw3JhP9tF4AaABAg,💫💗💫,********** M,0,2021-05-26T01:57:22Z
32,UgyGmzgV09v6-yUiMHx4AaABAg,😍😍😍,Aleksandra333,1,2021-05-07T15:02:56Z
33,UgytVkbqutINzQrKPoN4AaABAg,Perfect! So beautiful music! Thank you for your invitation to your page in fb. ♥️,Roula Diamandi,0,2021-05-06T13:04:20Z
34,UgwcJ7USzOA6pOwoCc14AaABAg,So beautiful! ❤️,Azadeh Sh,0,2021-04-06T16:59:44Z
35,Ugzk3tWCi5DbHXtMLMZ4AaABAg,Love this track! It’s like Robert Miles and Ludovico Einaudi rolled into one!,Stella Kewley,0,2021-04-04T12:28:14Z
