,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgxaYeMcuJrl9LRX22N4AaABAg,brag lee,theniemcmeanie I play it when i feel stressed too. And i have loved this video for almost 10 years. Pretty much have watched this for more than 100 times,2020-04-13T18:12:22Z,0
1,UgwWMftTtoM_daq_z5h4AaABAg,FMNsocial,@MoosesValley much appreciated! It sort of rings a bell but I'd love to read it again. I wish we knew what happened to him.. it's so unsettling,2022-04-19T13:14:11Z,0
2,UgwWMftTtoM_daq_z5h4AaABAg,MoosesValley,"@FMNsocial It was a news report on TSO Photography when they created the time lapse from photos they took all around the mountai in Spain.  Just tried to find the news report - checked TSO Photography's Facebook and YouTube channel - not linked there, why ???   Also did a bunch of searches, but no luck so far.  Will keep searching and report back when I find it.",2022-04-19T12:07:37Z,1
3,UgwWMftTtoM_daq_z5h4AaABAg,FMNsocial,"Where is the making-of video, would you mind linking it? I'd love to see it",2022-04-18T20:31:37Z,0
4,UgwGaqx5c3zt57Qwbp54AaABAg,rawsnake,Very impressive and a great choise i think. Cheers from Sweden!,2019-11-27T21:58:09Z,0
5,UgwGaqx5c3zt57Qwbp54AaABAg,Matthias PianoMusic,Edison Quisigüiña Thank you very much 🙂,2018-06-27T21:45:50Z,0
6,Ugx9Pv3kM1TK651QZFl4AaABAg,heartyhaha,"Society is but the sum of the individual, gift your experience and grow forests between skyscrapers🧡

Such a beautiful way to exist, may you always remember your childhood and continue to share the true essence of existence",2022-02-14T12:16:47Z,0
7,Ugx9Pv3kM1TK651QZFl4AaABAg,PlanVX,Wonderful!,2021-07-27T13:20:56Z,0
8,Ugx9Pv3kM1TK651QZFl4AaABAg,William Mactavish,Must have been wonderful 👍,2020-06-16T23:23:56Z,0
9,Ugyhm6ypZjxx6dEkN_x4AaABAg,Emi Antoni,Cool,2017-11-13T19:56:18Z,3
10,Ugg6FWCulZt3CngCoAEC,Matthew,Problem? srsly?,2017-06-24T19:11:47Z,0
11,UgifcScU14rq2XgCoAEC,Jasper Gabriels,this song makes me more depressed lol,2021-09-09T20:12:15Z,0
12,UgifcScU14rq2XgCoAEC,Marat Pussurmanov,"Everything happens for a reason, Madame/Sir! Best of luck to you)",2020-04-15T08:12:50Z,0
13,UgifcScU14rq2XgCoAEC,Henrik Larsson,"Just because we have God in our life and put our trust in the rock of ages, Jesus Christ, does not mean we can´t have sad times, depression nor anything else. Most of the prophets cried and lamented for their people all the time, and they were the ambassadors for God! Look at the book of lamentations. Just a look at this sad fallen world and it´s evils can break your heart. Yet he will give peace in the heart to those who follow him. Stay strong in his word, repent, pray, fast, and set your eyes on his kingdom, because it´s not of this world! 
""Finally, brothers, whatever is true, whatever is honorable, whatever is right, whatever is pure, whatever is lovely, whatever is admirable—if anything is excellent or praiseworthy—THINK on these things.""

Peace brothers and sisters",2020-01-26T13:36:39Z,1
14,UgifcScU14rq2XgCoAEC,Mo R,Stay strong brother,2019-12-27T22:35:31Z,1
15,UgifcScU14rq2XgCoAEC,James Rose,It does the same for me,2019-04-29T11:47:00Z,0
16,UggGjN0JtVdsGHgCoAEC,Chris Cox,The title is Nuvole Bianche,2018-04-02T04:13:35Z,2
17,UggGjN0JtVdsGHgCoAEC,Javier Tovar,Manuel Tinon exactly!! U Right,2018-03-04T20:02:58Z,0
18,UggGjN0JtVdsGHgCoAEC,Luca Vaccaro,Manuel Tinon yes is the nuvole bianche,2018-01-07T14:32:16Z,2
19,UggGjN0JtVdsGHgCoAEC,El Astronaute,Ludovico Einaudi is the composer. I believe the composition is called the mountain.,2017-05-28T10:34:50Z,1
20,UggGjN0JtVdsGHgCoAEC,Christopher Kowalski,"Yana Chernysheva it doesn't matter what you call it. getting caught up in terminology is to miss the point and the beauty of music such as this.
music is life and art. we all interpret it differently. the main thing is to enjoy it! peace",2017-03-10T22:26:21Z,7
21,UghbiFXg1hGrbngCoAEC,Walter Tulián,Tan bella. Como tu,2018-10-01T04:44:04Z,0
22,UgiiUoT6rtMxZngCoAEC,TWBiker,Remember it as Nuvole Bianche.,2019-06-14T19:06:23Z,2
23,Ugi9Ug9LkQSoNngCoAEC,Angel for animals,"потому что у музыки свой язык, понятный каждому . иноземцу! :)))",2016-01-13T05:50:36Z,3
24,Ugg69tIZ3ecvSHgCoAEC,marianaperazio,"The Mountain is about the photography, not the music. Look for TSO Photography on Vimeo, he makes this kind of videos and used Nuvole Bianche for this one. It's really beautiful.",2017-05-23T14:04:40Z,2
25,Ugg69tIZ3ecvSHgCoAEC,palomita coronel Emely01,mll,2016-01-05T23:47:30Z,0
26,Uggy3b5r3MV55HgCoAEC,Elias Cabra,un exelente musico.,2020-02-23T10:41:28Z,0
27,Uggy3b5r3MV55HgCoAEC,Walter Tulián,Un maestro de maestros,2018-10-01T04:43:25Z,0
28,UgibMEV8onY_THgCoAEC,marianaperazio,"The Mountain is the name the photographer gave to this photography. It's on the description box. He has other videos like this on his vimeo, it's quite beautiful actually.",2017-05-23T14:12:21Z,0
29,UgibMEV8onY_THgCoAEC,Christian Antonietti, + Tima Bazylbaev i think the same thing... but there isn't reason to tralnslate the title...,2016-02-04T14:48:10Z,0
30,UgibMEV8onY_THgCoAEC,Tima Bazylbaev,"+Christian Antonietti  originally name of the song is Nuvole Bianche, but  it is wrong translation from italian. i think so",2016-02-04T06:53:41Z,0
31,UggDHISGmYD1yHgCoAEC,Emily Laurence,"I was listening to this like, huh? Is there another name for this song? 😂",2016-04-08T17:19:51Z,0
32,UggDHISGmYD1yHgCoAEC,Thomas Lau,Thanks. That is what I am wondering? Wasn't there two different names for the song. I have listened to Nuvole Bianche instead.,2015-06-19T14:24:28Z,1
33,UgjgfqcOyZaiMXgCoAEC,Danai Kairi,Ναι....❤🙏,2020-07-17T22:09:35Z,1
34,UgjgfqcOyZaiMXgCoAEC,Marina Mucci,"Giannis Duka ναι Γιάννη , είναι! χαίρομαι που γνωρίζεις τη μουσική μας, εγώ διαβάζω Ελληνικά γιατί μου αρέσουν τα τραγούδια σας  😄😉 Να είσαι καλά!",2017-06-29T21:52:51Z,2
35,UghWBgNcr4dhcXgCoAEC,Fabian Morgan Harrington,If there’s one thing that should live on when the human race has gone then music would surely be the most deserving.,2018-12-13T21:04:56Z,2
36,UghWBgNcr4dhcXgCoAEC,nafsi,That's so true and so sad😞,2015-04-17T10:00:47Z,2
37,UghjJlmSVuJ_i3gCoAEC,cely de ceci brun,"@Ana Carolina Rodrigues Tavares , Nuvole bianche",2021-06-12T14:11:35Z,0
38,UghjJlmSVuJ_i3gCoAEC,cely de ceci brun,Renata Ferreira Nuvole bianche - Einaudi,2021-06-12T14:11:06Z,0
39,UghjJlmSVuJ_i3gCoAEC,Ana Carolina Rodrigues Tavares,Ludovico Einaldi The Mountaim,2018-03-16T04:02:05Z,0
40,Ugxm9jdB_-p4mmWRGkR4AaABAg,Yamila Velásquez Vega,La amoo ❤,2018-05-14T00:15:54Z,0
