,id,comment,author,likecount,publishedAt
0,UgySXdQQ-KA399GUZaF4AaABAg,I remember listening to this on the ray darcy show on today fm back in the day I absolutely loved so powerful and meaningful actually would listen to it meditating,Stephen ultra Dever,0,2022-05-05T22:44:23Z
1,UgwfjxkzAb80b4IqzGZ4AaABAg,"Wow, great.",OKMAN,0,2022-04-28T13:49:53Z
2,UgyOjVlZ4EQdLhmYi9t4AaABAg,Gracias por tocar el alma con cada una de sus melodías,Sharonn Gomez chavez,0,2022-04-21T15:36:34Z
3,Ugw6UqOPEP2OJOXGh-F4AaABAg,Has anyone heard anything of Terje who did the photography for this? Please is he okay? 💜,FMNsocial,0,2022-04-18T20:34:18Z
4,UgztCAZBYkbiE9pltvF4AaABAg,CAN I USE THIS MUSIC IN A VIDEO?,Sueños de Fútbol,0,2022-04-07T21:39:17Z
5,UgzzbVOF70xtCWFEPyR4AaABAg,this is nuvole bianche,lenaetam,0,2022-04-07T13:55:44Z
6,Ugw2YcvFjO_wJohKOUx4AaABAg,Me gusta escuchar el sonido de fondo,Andres Chach,0,2022-04-01T21:20:34Z
7,UgzquS5IvgONt-k5-oZ4AaABAg,I love your musics,Magali Milet,0,2022-03-06T13:48:12Z
8,UgxOScfv-BQ9xHv7dxh4AaABAg,Pourquoi le piano me transperce les trips … pourquoi j’en pleure toute les larmes que j’ai …,Fanny Dms,0,2022-03-02T19:00:28Z
9,UgySs76ztzH5qgcHH7Z4AaABAg,This video was what first introduced me to Einaudi a decade ago in vimeo. And I still love and regularly play this piece today.,ChronosKat,0,2022-02-26T16:29:08Z
10,Ugwqxdy9Y1Cl6P7JLV94AaABAg,You are the unique in the world. You make me so excited and happy when I listen  yours songs.,Miriam Pessoa,1,2022-02-21T22:07:45Z
11,UgwEKIpqH9JH5rCKWgt4AaABAg,2022,A.W,0,2022-02-15T17:27:34Z
12,UgwvHuIvUJV3NhblTap4AaABAg,"Ludovico, I've learned to play a specific piano song for each member of my family and my first son is due to arrive in April this year. Nuvole Bianche will be Koah's song. Your work alters every vibration of my being in a mysterious, energetic way. It's fascinating, thank you for sharing with the world. Though I've now played it hundreds of times to date each time the melody brings me butterflies, thank you!!! :)",EX8 F22,0,2022-01-28T17:18:34Z
13,UgwhKpWc9tQkVGi5mEB4AaABAg,I wish this beautiful song had an extended version of about 6 minutes or so.,Patrick Cummins,0,2022-01-28T02:56:04Z
14,Ugxr3n8kJuJZB7NDO6F4AaABAg,"Fantastica, grazie Ludovico",alessandro tessari,0,2022-01-20T04:30:44Z
15,UgyLiFFB3xYBETgvoOZ4AaABAg,Nuvole bianche!! Not the moutain 😆,ion,1,2022-01-09T01:25:15Z
16,UgzAWF_I6QeWzSKFm1h4AaABAg,So beautiful...,Credinta Speranta Iubire Pace,0,2022-01-05T14:27:47Z
17,UgydIEXfG_HnMd-98914AaABAg,Wundervoll 👏🏻👏🏻👏🏻,Seher Schmitz,0,2022-01-03T03:40:00Z
18,Ugy48YoiTjSmZMdFhtp4AaABAg,Extraordinario!!!!,Julie Rojas,0,2021-12-17T21:22:29Z
19,Ugzq5ACb1DbLJdWPm3B4AaABAg,"I wish one day very soon i,llsee you in Greece",Katerina Korai,0,2021-12-16T18:06:03Z
20,Ugxy9TyVW4xqEoTdAFV4AaABAg,"Just wonderful 💖 wonderful,wonderful!!!!",Katerina Korai,0,2021-12-16T18:03:21Z
21,UgwnMehtow43hWPvMZ14AaABAg,Can Ludovico Einaudis music be used in videos made for youtube?,Kylie Symonds,0,2021-12-14T23:51:27Z
22,UgxLjF2KbufBObpPRod4AaABAg,ALLAH number one,Алдияр Рамазан,0,2021-11-14T07:59:26Z
23,UgxQKQ0tOChWGe_AlUd4AaABAg,there is no god but ALLAH,Алдияр Рамазан,1,2021-11-14T07:59:16Z
24,Ugz-39bI41UwPasl2EF4AaABAg,"I dont even know how many times ive seen this, but it brings tears to my eyes every single time, so beautiful and the music makes it even more amazing, a perfect match",rawsnake,0,2021-11-11T09:31:52Z
