,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,Ugyv49tIP2c3A4C9Dil4AaABAg,EcoMedia Compass,wonderful perspective- we are capable of so much more.,2021-02-04T21:18:05Z,0
1,UgyS-8bEtCM_gzsUjgh4AaABAg,Rebekah Lentz,you. are so right :),2020-05-01T03:19:36Z,1
2,Ugzk240t7jTCHpDvdVp4AaABAg,Davi dos Santos de Oliveira,Aqui,2021-01-02T22:27:26Z,0
3,Ugzk240t7jTCHpDvdVp4AaABAg,Alves review,🤜🏼🤛🏼,2020-03-28T06:44:04Z,0
4,Ugzk240t7jTCHpDvdVp4AaABAg,Marcia Bezerra,Thomas Edson 🙋🏾,2019-04-20T17:26:28Z,0
5,UgzMyl8GMbBVlTVofLJ4AaABAg,Carlos Eduardo Bueno,"...much better!! Like Chico Xavier wisely says: ""This moment also pass by""",2021-07-12T10:11:00Z,0
6,UgzMyl8GMbBVlTVofLJ4AaABAg,Noah JP,How you doing now?,2021-07-05T17:54:06Z,0
7,Ugz3gOwuE7yn5BuOk1B4AaABAg,RIOPY,"Hello, thank you for the support. You can find these on the new RIOPY store. https://riopyshop.com/",2018-03-07T10:55:09Z,0
8,UgxAHsjhtGstCCTs60B4AaABAg,Photo Rezeptor,Thank You! Very much!,2018-03-07T17:18:18Z,0
9,UgxAHsjhtGstCCTs60B4AaABAg,RIOPY,"Hello, thank you for the support. You can find these on the new RIOPY store. https://riopyshop.com/",2018-03-07T10:55:36Z,0
10,Ugza73rG7H4SlkGIZcR4AaABAg,Nicolas Philippon,"Elsa Spinazzé 
Oui, j'y étais également. Excellent",2018-01-29T23:20:52Z,0
11,UgwnIwSWmrfOjgQ0kgt4AaABAg,Juan Fernando Uribe Garcia,"SaJu.......te extraño...",2019-07-14T03:40:35Z,0
12,UgwO0lX5rByXBu5l26J4AaABAg,Klein Evelin,i love your music❤️,2019-05-28T19:36:50Z,1
13,UgwO0lX5rByXBu5l26J4AaABAg,Isabel,❤🎶🎹🎼,2018-11-21T14:14:23Z,2
