,id,comment,author,likecount,publishedAt
0,Ugyv49tIP2c3A4C9Dil4AaABAg,"I’m excited to finally share my new album with you. It is about evolution. Our evolution as human beings, going towards a shift of life and of light… More here: @t",RIOPY,50,2019-09-30T16:10:13Z
1,UgyiGytm7RlpV_lpufp4AaABAg,Indudablemente existen momentos de paz y felicidad escuchando estos temas en la inmensidad de la existencia.,Cesar Orme�o Carrasco,0,2022-05-04T05:20:27Z
2,Ugx7QU0bWvvzjiPt05N4AaABAg,He doesn't have a single bad song man,Eshaal Adnan,0,2021-08-21T14:44:28Z
3,UgzAwn_122yJfQruY7l4AaABAg,Es tan linda 😍❤️,Lauri Ariza,0,2021-08-14T03:59:27Z
4,UgxVQROMkmfbDYJZFuZ4AaABAg,This is the best piano album of the decade. Point.,Ludwig der Bärtige,0,2021-06-17T23:36:25Z
5,UgyLfwGcECKwZD0Jl4h4AaABAg,"Esta música transmite fuertes sentimientos, despierta increíbles sensaciones dentro de tu ser y te ayuda a dar un nuevo sentido a la vida.",Carlos Oswaldo Roche Rivera,0,2021-05-22T06:20:12Z
6,UgztZvSPub9M00LWz0Z4AaABAg,Beautiful! 🙌🙏❣ God bless,Zeneida Cruz,0,2021-05-11T20:53:28Z
7,Ugzb_aDezqjWVYgRWed4AaABAg,❤️❤️❤️❤️❤️❤️❤️,Agnieszka C.,0,2021-04-10T20:41:08Z
8,Ugwgq5cg4PLkzKgHrhl4AaABAg,SaJu,Juan Fernando Uribe Garcia,0,2020-10-02T03:28:44Z
9,Ugy35Zw7ZAmjRgzn0oB4AaABAg,I love your music 🥰,Monika Kliemt,0,2020-08-30T16:01:50Z
10,UgzxekZ6Fxa1eQPmtuZ4AaABAg,I listened to this piece again. It is such wonderful piano music making my tears fall. One of my favorites. Thank you. Best wishes!,Carl Liungman,3,2020-08-28T11:55:34Z
11,Ugwx3XRt9SwaZHmm99x4AaABAg,I love you so much. Everytime I listen to this it makes me cry because it is so beautiful. Thank you so much,Rose,3,2020-08-23T20:24:18Z
12,UgxWGi-TX4e0q6zgR7N4AaABAg,You give me what i need..  Merci beaucoup..,Müge vs,3,2020-07-29T14:56:41Z
13,UgwkDasZKm4H0tpJhHR4AaABAg,Fantastico,Sina Mohammadi,0,2020-06-22T07:52:09Z
14,Ugx3knee3dB8RmabYgR4AaABAg,this is just beautiful.,dautonn,1,2020-06-01T00:48:36Z
15,UgwPrX8R_G5xf0uyMzV4AaABAg,"Von dem Album kann ich nicht genug kriegen. Google Music, Spotify, Amazon music, CD, es muss immer verfügbar sein!

Schade dass es nicht mehr dieser Videos gibt! Golden Gate hätte auch eines verdient.",Dristan Ludowinger,0,2020-04-19T18:23:49Z
16,Ugw3T4PqsPYS27gvjdB4AaABAg,<3 love it <3,Lia,0,2020-04-07T22:31:38Z
17,UgzYsphpI2tYCldBFnl4AaABAg,I am your big fan Sir♥️♥️♥️,Kawai Hito...,0,2020-03-04T16:59:52Z
18,Ugx6tCi9bqpa-V913n94AaABAg,_Merci Spotify!_ ❤️❤️,Came ToPlay.,4,2019-12-24T07:39:07Z
