,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgzoTmHyAQOT0K0UHUR4AaABAg,Emma Natalie,I competed a ballet solo at a competition to this very piece and it was super fun,2022-04-08T02:07:13Z,0
1,UgzOn_SiJ6geGwGUYuV4AaABAg,SyenPie,What a beautiful comment. I couldn't agree more. This is one of the very few songs that I can say has truly moved me.,2022-04-07T21:36:20Z,0
2,UgzRT1YwpQ92SfFpEwl4AaABAg,Eric Claptonmusicinc,"Hello Dear, it’s nice meeting you on here",2022-04-29T15:47:14Z,1
3,Ugy7P-Ei3PCfXuYbqOx4AaABAg,Rowena Lim,I heard this from My Brilliant Friend😂,2022-03-12T23:00:18Z,1
4,Ugy7P-Ei3PCfXuYbqOx4AaABAg,Herman Jacobs,I first heard that watching The Crown where Princess Margaret was riding a motorcycle on the back of Tony Armstrong Jones.,2021-11-24T00:43:09Z,2
5,Ugy7P-Ei3PCfXuYbqOx4AaABAg,Nathalie Ingram,This song is in the show The Crown as well 😍,2021-04-30T23:22:25Z,3
6,Ugy7P-Ei3PCfXuYbqOx4AaABAg,Ethanol,Lmao I'm here from the crown,2021-02-22T05:11:54Z,2
7,Ugy7P-Ei3PCfXuYbqOx4AaABAg,Yasmin Ibiapina,yessss! almost fainted when this started playing 💖,2021-01-13T04:28:04Z,4
8,UgyWXR6xXKnm0cdKPUd4AaABAg,ByStar-,Who's on your profile picture ?,2021-05-14T01:23:15Z,0
9,UgytUGi5vaMsxiWRwRx4AaABAg,Vianna Rain,Estoy de acuerdo. Es mi pieza favorita.,2020-12-14T08:37:07Z,0
10,Ugw4DNPwjgWhUNRf1M14AaABAg,SyenPie,​@Claudia Lamberts​ Did you also hear it from The Crown? Thats how I came across this piece!,2022-04-07T21:32:35Z,0
11,Ugw4DNPwjgWhUNRf1M14AaABAg,Claudia Lamberts,I just heard this song today!!! Literally HAD TO PUT DOWN WHAT I WAS DOING LDNAKDHABS,2022-01-04T22:54:57Z,0
12,UgzLtru4dhfwnWAA77t4AaABAg,Peter Lowery,"Soon, We will all know why this song is so perfect.",2022-05-01T18:09:08Z,0
13,UgzLtru4dhfwnWAA77t4AaABAg,Luke InRock,Same feeling when listening to the original Vivaldi  masterpiece ;),2022-05-01T04:22:01Z,0
14,UgzLtru4dhfwnWAA77t4AaABAg,Shee Moo,This song is the OST of Heaven.,2022-04-24T16:16:52Z,1
15,UgzLtru4dhfwnWAA77t4AaABAg,Aubrey,it's sublime,2021-01-23T13:27:31Z,0
16,Ugx3Kl-gUaM2T4C74JR4AaABAg,menevetsny,"@Vianna Rain Tony and Margaret? Second season, episode 7?",2020-12-14T19:17:27Z,2
17,Ugx3Kl-gUaM2T4C74JR4AaABAg,Vianna Rain,And The crown,2020-12-14T08:34:58Z,2
18,Ugx3Kl-gUaM2T4C74JR4AaABAg,Simón González,I knew I heard it somewhere! Thanks,2020-09-26T22:38:56Z,0
19,Ugyl63umSQsYoevnMmh4AaABAg,kitty luna,this is exactly what I'm going to do... its absolutely beautiful 🥺🥺,2022-02-26T09:55:41Z,1
20,Ugyl63umSQsYoevnMmh4AaABAg,Gábor Magyar,vivaldi,2022-02-13T19:09:50Z,0
21,Ugyl63umSQsYoevnMmh4AaABAg,Herman Jacobs,@jackstuff33 When a woman’s walking down the aisle means she’s getting married. It’s part of the marriage tradition that the bride’s father escorting her daughter to her groom during the marriage ceremony.,2021-11-24T00:32:34Z,0
22,Ugyl63umSQsYoevnMmh4AaABAg,Avery Tobias,"you all prolly dont give a damn but does any of you know of a way to log back into an instagram account..?
I was stupid forgot the password. I would appreciate any assistance you can offer me",2021-08-24T16:30:21Z,0
23,UgxCoCsFgQTkU7hB1FR4AaABAg,junior mangue,@Yassine Driouch  my brilliant friend,2019-12-03T17:45:34Z,0
24,UgxCoCsFgQTkU7hB1FR4AaABAg,Yassine Driouch,Christina Hagadorn yeah😂😂 Margaret she’s lovely but really diffirent person live 😉😄 👍🏻👍🏻🌹❤️,2019-11-25T12:40:41Z,0
25,UgxCoCsFgQTkU7hB1FR4AaABAg,Christina Hagadorn,Yassine Vlog yes that was my favorite episode. Princess Margaret ❤️,2019-11-25T04:50:42Z,0
26,UgxYuMipjAo7x8Ikt2h4AaABAg,Jeffrey Ardern,@Nina C. link,2021-04-30T02:50:33Z,0
27,UgxYuMipjAo7x8Ikt2h4AaABAg,Nina C.,@况惠君 Winter 1 and Autumn 3 for me! And of course Spring 1,2021-02-09T16:25:03Z,0
28,UgxYuMipjAo7x8Ikt2h4AaABAg,况惠君,Try winter 1. I think that’s the best one.,2019-10-07T17:06:42Z,1
29,UgwuIoALPyKiyBte72d4AaABAg,Exsio Picore,Et dire que notre Prof de Musique vient de me faire découvrir ça. Merci à lui :'),2019-09-24T20:52:50Z,1
30,Ugxx-0UqTP2c9hl4Ue94AaABAg,Anthony thisiseye,yes.,2022-01-24T14:53:49Z,0
31,Ugxx-0UqTP2c9hl4Ue94AaABAg,Michael C.,@Lorem Ipsum same,2021-12-21T16:30:38Z,0
32,Ugxx-0UqTP2c9hl4Ue94AaABAg,Lorem Ipsum,@Louis Boucher I like both,2021-02-17T22:47:14Z,3
33,Ugxx-0UqTP2c9hl4Ue94AaABAg,Senchatunes,Agreed,2020-07-22T05:50:44Z,0
34,Ugxx-0UqTP2c9hl4Ue94AaABAg,Andrea Salvi,"I love this, but without vivaldi this don’t esist",2019-08-04T19:33:41Z,19
