,id,comment,author,likecount,publishedAt
0,Ugx77I_jMhySVhhIGdJ4AaABAg,Wow.. Breathtaking 😱😳😲🤗🤗🤗,Sammys Slog,0,2022-05-02T21:23:01Z
1,UgyFP0AaGAkWjhSIvGV4AaABAg,"The like teaching formerly cry because son covalently exist notwithstanding a level timbale. elite, cooing apology",Yumi Lee,0,2022-04-28T18:06:51Z
2,UgyA7vFMoQlwWrGvVVB4AaABAg,No better validation then listening to.a song before its on a commercial or tiktok.,Carter Rice,0,2022-04-25T21:10:08Z
3,UgxF7Xhzddrwg9gQ0Wt4AaABAg,My Brilliant friend,Silvia Scarpa,0,2022-04-07T20:08:06Z
4,UgzoTmHyAQOT0K0UHUR4AaABAg,Sounds like the birds chirping outside and saw a ballet performance to this...so beautiful.,Demara Williams,1,2022-04-04T21:16:10Z
5,Ugza6QAaRcWgQmdNTLB4AaABAg,"Pure, beautiful genius!!!!!",Nick Wood,0,2022-03-27T17:56:25Z
6,UgzsfbNjzisSYpsLN5p4AaABAg,"I dont know why this makes me a bit sad, but thankful.",Santiago Montero,0,2022-03-15T12:52:27Z
7,Ugz0z_wLDkZB8_fTyM54AaABAg,"I recently heard this song, while watching the movie, 'The Current War,' & it sounded so profoundly beautiful & yet so familiar that I had to find out what it was called & who made it at the film's ending credits, & the song's title sounded so familiar, that I didn't even have to write its name or the name of the man who composed it, I remembered it, Max Richter. Even days later, I couldn't get the song out of my head, I had to find out more about it & the man was who made such a wonderful work or auditory art. Now, I love it even more than Vivaldi's original, which I never thought could be possible, & hardly recognize it...it is so...breathtakingly beautiful, that the word, ""Beautiful,"" barely begins to describe it; so amazing in its wonder.",Nathan Holton,2,2022-02-27T11:23:14Z
8,UgwfHQ8DnKS9ZV_FXep4AaABAg,hardcore,grotesk87,0,2022-02-08T00:19:05Z
9,UgzOn_SiJ6geGwGUYuV4AaABAg,"For me, it symbolizes life. - Shows how beautiful life can be and as you want to ""hear"" more...it ends. Suddenly.",Tully Fisher,11,2022-02-05T16:30:56Z
10,UgwcfirjhaDLmYRRmHl4AaABAg,Good song. Not going to listen to it for a long while though.,Dank Bean,1,2022-01-17T22:06:33Z
