,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgxDYzPkfzD54Qkq_ZN4AaABAg,Bakhtiyar Guseinov,“Real ones”,2022-04-24T23:40:37Z,0
1,Ugy19NnWQE9fAYWPoMt4AaABAg,Brabus900x,Respect,2021-07-19T22:23:18Z,2
2,Ugye_xzalVcuVJWuO594AaABAg,Anna Koch,Same here... 👍,2021-06-18T18:05:15Z,1
3,UgyxKARqiNnfjUU2jrt4AaABAg,Stones Throw,🖐,2021-03-08T23:09:34Z,0
4,UgxDw6ernJ_RpLGGfcB4AaABAg,OREN VLOGS,Im here from the remake of alfons,2021-02-13T09:54:41Z,0
5,UgxDw6ernJ_RpLGGfcB4AaABAg,Nova Weaponry,Yessirr,2021-02-03T16:28:43Z,0
6,UgxDw6ernJ_RpLGGfcB4AaABAg,Neiroe,This song better than their food highkey,2021-02-02T09:41:17Z,0
7,UgxDw6ernJ_RpLGGfcB4AaABAg,Scotty L,Same,2021-01-29T00:44:14Z,1
8,UgzG27sTnta_MOaJlIx4AaABAg,Eis Zeit,Real,2021-06-27T17:12:58Z,0
9,UgzG27sTnta_MOaJlIx4AaABAg,@thefermiparadox,"God damn, that you in pic. Dime.",2021-01-13T06:05:37Z,2
10,UgxozcSMWYh9mQDaOF54AaABAg,Miке Дмитриев,Фака 2020 12 москоу фака,2020-12-20T22:24:05Z,0
11,UgyTSc3L161WwuLbfJd4AaABAg,DK Squad,No,2021-01-23T05:45:15Z,1
12,Ugyiru4ABDVbAYzo7UJ4AaABAg,Abigail Shuherk,Burger kind brought me here 😂,2021-01-26T13:52:42Z,0
13,Ugyiru4ABDVbAYzo7UJ4AaABAg,Crystal helton,@Anthony I saw that !!  Awesome 👏,2020-12-18T01:20:36Z,1
14,Ugyiru4ABDVbAYzo7UJ4AaABAg,Anthony,This is also the mushroom on the masked singer,2020-12-17T02:06:05Z,4
15,Ugyiru4ABDVbAYzo7UJ4AaABAg,Crystal helton,"Same here , and I love it !!! Thanks Gwen !!",2020-11-18T02:38:25Z,3
16,Ugyiru4ABDVbAYzo7UJ4AaABAg,Made2 Rip,They had a diff vibe forsure.. but this original is now on my playlist 👂🎶,2020-11-17T02:47:28Z,4
17,UgxjTcAL1nNrRGooc5B4AaABAg,BABEL TOWER,He sounds like John Legend try we just don't care or homecoming songs,2020-11-22T20:36:33Z,0
18,UgxWFGhCK-bVoWY5ivF4AaABAg,Seageass Channel,He just asked for a dollar so it doesn't count.,2021-03-19T12:05:32Z,2
