,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,Ugy28GKxZrBQMvdaqGR4AaABAg,Roberto Filho,"Incrível mesmo, dói na alma💕",2022-05-06T01:31:51Z,1
1,UgyAmCS64uYi1K1ylJV4AaABAg,Quy Tran,Lol,2022-04-22T03:36:53Z,0
2,UgxqB6jdnnNrn5P9drJ4AaABAg,Audness Everdean4Army&Blink,Ahhh I'm Alicia keys and not ghetto and so profound and I talk the way you expect me too and watch all the SNL that makes fun of me lol 💜,2022-03-28T05:41:42Z,0
3,UgyreoLnSdrfEpc0rQF4AaABAg,Suzana Pontes,Perfeita mesmo ♥️,2022-03-28T23:47:04Z,0
4,UgwN_H4suAhKcMYT4qF4AaABAg,Tidx2,+1,2022-03-09T16:36:04Z,0
5,UgwNyWMHcpwpmXQxvjZ4AaABAg,Diurno MX,he fuck it up,2022-03-06T00:19:59Z,0
6,UgwaVDP6pk-o1r0ty4R4AaABAg,Michael M,"This song has never been topped. I am still stunned, whenever I hear it. I have to drop everything and stand, agape, listening. Absolutely floored.",2022-04-11T00:08:27Z,2
7,Ugx4VDkwqO68h7ebgo54AaABAg,Monica Lopez,👌🏽💥💣🤷🏽‍♀️👊🏽,2022-02-26T02:09:14Z,0
8,UgzzuNGb-ucXW1B58qV4AaABAg,Suzana Pontes,@Le Henrique concordo,2022-04-29T10:45:57Z,0
9,UgzzuNGb-ucXW1B58qV4AaABAg,Lucas Pereira,"@Le Henrique tem letra né meu mano, a melodia, a parada é toda feita de coração. É notável o sentimento nas músicas.",2022-04-29T00:09:31Z,1
10,UgzzuNGb-ucXW1B58qV4AaABAg,Le Henrique,Se loko falou tudo anos 90 e começo dos anos 2000 foram os melhores o mundo acabou em 2010 .,2022-04-29T00:05:29Z,1
11,UgzzuNGb-ucXW1B58qV4AaABAg,BrunoMQ,Sou 92 mais não existi música nessa vibe boa que nem de antes ..,2022-04-28T02:47:24Z,2
12,UgzzuNGb-ucXW1B58qV4AaABAg,LÉU,@Maicon Moura Oficial não 👍🏽,2022-04-05T02:09:22Z,0
13,UgwTmjnCbmJldDmbqrd4AaABAg,Maicon Moura Oficial,Eu agora hahha,2022-02-14T21:58:46Z,0
14,UgyiNvFg3XEzMx1SllF4AaABAg,Maicon Moura Oficial,Euuuuu,2022-02-14T21:59:11Z,0
15,Ugwcl060hYjmPdm6WJV4AaABAg,Maicon Moura Oficial,She is queen they are all wonderful,2022-02-14T22:00:40Z,1
16,UgyGiEizgiQWNj-2RtJ4AaABAg,Jailson Sousa,Perfect 💙🎵,2022-03-13T14:29:24Z,0
17,UgxHsImJ3W_6MDWk44J4AaABAg,FirstSon's Motif,This is my favorite song by her....I use to know how to play it on piano.,2022-01-30T00:52:28Z,0
18,UgzlHFeO-oRcFX5FD7t4AaABAg,daniel_korban_l - insta,sim sim,2022-03-27T01:25:56Z,1
19,UgzlHFeO-oRcFX5FD7t4AaABAg,DemetriusMelissa MooreRichardson,Thanks.,2022-03-12T00:34:12Z,1
20,UgzlHFeO-oRcFX5FD7t4AaABAg,Erika Amanda,Forever ✌️😉,2022-02-02T21:26:32Z,1
21,UgyLyw6ic4WO5ozprSl4AaABAg,Paola Fátima Erera urbina,yo también,2022-01-24T09:38:00Z,1
22,UgxiY1z8tx1b_MXf_Ch4AaABAg,Daniel Sanchez,Never heard ypur single,2022-01-21T20:49:02Z,0
23,Ugz7MUQZaXb8u0N_PR94AaABAg,GREEDY PESOS,Drank a whole bottle of tequila yesterday jammin this song,2022-01-24T02:57:18Z,6
24,Ugw50H-iOGh5HSAQE6d4AaABAg,Coho Kid,"I really want to see you.......
I really want to be with you.........",2022-03-25T20:50:17Z,0
25,Ugx2GNwEhoaQqGhmYzN4AaABAg,Kei,Lol 😂 not yet,2022-01-17T15:49:37Z,0
26,Ugynvu-TwCFzQQujXGN4AaABAg,Nevasoba,When I was heartbroken it made me sad now that my life is whole again it only brings me joy,2022-01-15T14:48:51Z,0
27,Ugx6a6Q60XecF06jCDZ4AaABAg,skrtftz,FRR,2022-05-03T00:59:58Z,0
28,Ugx6a6Q60XecF06jCDZ4AaABAg,Jame Sanchezz,Okayyyyyy. Guuuurlfriend,2022-04-30T23:22:00Z,0
29,Ugx6a6Q60XecF06jCDZ4AaABAg,杨凯文,me too,2022-04-30T12:47:11Z,0
30,Ugx6a6Q60XecF06jCDZ4AaABAg,Flor Rmaos,Me too,2022-04-29T05:40:40Z,0
31,Ugx6a6Q60XecF06jCDZ4AaABAg,Paula kyle,Me too,2022-03-28T16:43:57Z,0
32,UgwqddXuVCQ8ZGb_N-N4AaABAg,CHARADA LOKO,O alem da voz a letra é otima...achei que não acharia brazil facil aki kkkkk,2022-01-09T06:44:28Z,1
33,UgwQ3o4foejek6UqTw14AaABAg,Ano Ana,"Go talk to.andrews 
Ex girlfriend",2022-01-06T13:56:55Z,0
34,UgwQ3o4foejek6UqTw14AaABAg,Ano Ana,It makes you a lesser,2022-01-06T13:45:05Z,0
35,UgwQ3o4foejek6UqTw14AaABAg,Ano Ana,And then got put on anxiety,2022-01-06T13:30:47Z,0
36,Ugy1wGLkpdoAFaHSo0t4AaABAg,R Daniel,"Wow! I had no idea. All though, I wondered because this is a song most definitely inspired I just had no idea. I just started to listen to Aaliyah (I've Always been a little late to the party) Anyway, I had really just begun to appreciate her artistry and talent right before her tragic death.
Just like Selena, We lost her just as she was beginning to show the world Her multi facets!
Thank you so much for posting Your comment. Happy new year",2022-01-06T03:17:20Z,0
37,Ugxcb41bct2q0BWFPIF4AaABAg,Hatshepsut Muhammad,Amin. Me te gusta mucho.,2022-04-18T15:14:42Z,0
38,Ugz4hjpO-ZA_iM4t9CV4AaABAg,Cédric Hounsou,Michael distin aurait pas pu acheter un piano à Alicia Keys.,2021-12-31T21:32:11Z,0
39,UgxO43ojQ0qcaMSTExV4AaABAg,Suzana Pontes,Perfeita demais 😍,2022-03-28T23:54:15Z,0
40,UgxO43ojQ0qcaMSTExV4AaABAg,Taclesaha w cooper,Lol love you good,2021-12-31T01:44:57Z,0
41,UgyDkFPVkIn4uqRwg_Z4AaABAg,Ashley Yepez,Ong 😭🤌🏼,2021-12-17T02:01:01Z,1
42,Ugzkuw59xWdbM2L7FAR4AaABAg,Cory Harris,And they cut it...🥺,2021-12-09T18:19:49Z,0
43,UgzR18tpSdr-I_KF7ml4AaABAg,leilahni hemara,Yeah your right,2021-12-10T08:08:16Z,1
44,UgxmakpbpXuqqrwbW254AaABAg,M B,Along with the video! Great combo!,2021-12-11T08:48:57Z,0
45,UgyDUvoYuCOFpPaCw9x4AaABAg,Effie Carter,Be Loved by Unconditional PEOPLE'S,2021-12-03T12:09:34Z,0
46,UgyuyTCog94nUTy_FRd4AaABAg,Joakim N,what were the notes?,2021-12-10T13:57:54Z,0
47,UgxaXjo9bd27Sivv-_N4AaABAg,Kyn Evans,I hear you bro and the words she speak can ring true for both sexes.👍,2021-12-06T14:59:18Z,0
48,UgyihoQzQamaocBfOqp4AaABAg,CHARADA LOKO,"Nossa era so um rut,mas quando aprend sobre musica dei valor...musica nao precisa só de voz ou só de letra precisa de alma e els tem as trez coisas",2022-01-09T06:46:50Z,0
49,UgwCK6y8JH1NPhzTTnB4AaABAg,Aurelia Dulceria,It came out 18 years ago 😢,2021-11-30T06:29:37Z,0
50,UgyuJuy18DmLv_LmZfJ4AaABAg,Taffy,"If you ain't  seen her LIVE, go & see her if you have time & can worth the money.!!!!!!.",2022-04-13T15:53:40Z,1
51,UgyuJuy18DmLv_LmZfJ4AaABAg,DUBA,@OG Kush831 she does have an amazing soul and heart into her songs,2022-03-25T20:53:08Z,0
52,UgyuJuy18DmLv_LmZfJ4AaABAg,OG Kush831,@DUBA Oh.. thanks for clarification 😶‍🌫️,2022-03-25T20:46:55Z,1
53,UgyuJuy18DmLv_LmZfJ4AaABAg,DUBA,"Well, this song's genre is soul

Lol",2022-03-24T08:21:38Z,0
54,UgyuJuy18DmLv_LmZfJ4AaABAg,Nina Savo,❤️,2022-03-19T23:24:18Z,0
55,UgxdyoJMafzbNTktuhF4AaABAg,Chucky FF,Ago*,2021-11-27T04:22:24Z,0
56,Ugws4LiJzNi0XujN9MB4AaABAg,Mauricio Correia,os filhos dele chegaram,2022-05-01T19:41:11Z,1
57,Ugws4LiJzNi0XujN9MB4AaABAg,Pretty Damsel,Overused comment,2022-04-03T05:43:14Z,0
58,UgxenYRlkGeX0NYYNvR4AaABAg,Suzana Pontes,"Música perfeita, lembra finalzinho de 2009, saudades 😔",2021-11-23T22:16:32Z,1
59,UgyLwtSW-0VuxQLY6Ad4AaABAg,Lookas,Et tu est très jolie madame,2021-11-18T20:25:57Z,0
60,UgxQuTX1yykJLzaT0yt4AaABAg,mick3y mast9rs,You are the chorus...,2021-11-20T12:25:30Z,5
61,UgxkmUSP-MRW9w1urJt4AaABAg,EDUARDO Sarmiento,With the cool print :),2021-11-13T00:05:09Z,0
62,Ugx-Sf1aDNW86wzY9fV4AaABAg,Nixie ~ ♡ ~,🥳⚔Sing it loud 🥰🐅,2021-11-10T23:13:11Z,1
63,UgyHLJrqhX2Z2lh5QtZ4AaABAg,JDINCINERATOR,Were you thinking of New York when you said that?,2022-04-17T10:06:24Z,0
64,UgyHLJrqhX2Z2lh5QtZ4AaABAg,Natty Cee,18yrs though! 🥰😉,2021-12-24T19:51:01Z,6
65,UgwulAXGKWYsZzZ_BH94AaABAg,Alïcia Keys,Thanks ❤️,2021-11-03T04:14:55Z,1
66,UgxmPzpf24gHyu_S5VR4AaABAg,Suzana Pontes,Eu,2021-11-16T17:02:49Z,1
67,UgwONAkyuWSLECm1oaB4AaABAg,Danyla D'Lima,Eu mesma kkk,2021-11-02T00:12:57Z,0
68,Ugyo2sGCmt3KFAYVXux4AaABAg,Susan Njuguna,When she was younger? Really!!!,2022-04-30T01:02:20Z,0
69,Ugyo2sGCmt3KFAYVXux4AaABAg,Viencell Price,"Her 🎵 ages like expensive ""WINE"" and also her ""beauty""❤️🎵❤️🎵❤️🎵 u  Miss keys rock on",2022-04-25T20:14:59Z,0
70,Ugyo2sGCmt3KFAYVXux4AaABAg,Kej Ar,Still is,2022-04-07T23:18:07Z,0
71,Ugyo2sGCmt3KFAYVXux4AaABAg,Chris RJ,She still could be if people tried harder.,2022-02-24T19:11:55Z,1
72,Ugyo2sGCmt3KFAYVXux4AaABAg,Patricia Fredericks,Jooj,2022-02-15T18:34:24Z,0
73,UgydAT3IL-oguCinVEh4AaABAg,Adriele Alexandre Ferreira,Euuu,2021-10-31T20:16:49Z,0
74,UgydAT3IL-oguCinVEh4AaABAg,Tania Regina,"Eu estou ouvindo, agora exatamente 15:44 domingo 2021.
Maravilhosa, excelente compositora e cantora.",2021-10-31T18:46:08Z,0
75,UgzY0852kvBV0DErbgt4AaABAg,Suzana Pontes,"Na loja que trabalho ouço só Alícia, Beyoncé",2021-11-23T00:50:05Z,2
76,UgwolYcOODCiX7zXjBB4AaABAg,Suzana Pontes,Muito linda essa música 😍,2021-11-20T15:58:11Z,0
77,UgyUrVtCO_xYKyjGyd14AaABAg,Nathan Saintus,Thanks bro 🙏🏽,2022-04-20T05:34:05Z,1
78,UgyUrVtCO_xYKyjGyd14AaABAg,TeKiga,"i know, those are the lyrics",2022-03-17T19:50:06Z,1
79,UgyUrVtCO_xYKyjGyd14AaABAg,Hunter Ellington,Haha sweet of u to think that I need the lyrics but thanks anyways lol,2022-03-11T09:54:14Z,0
80,UgyUrVtCO_xYKyjGyd14AaABAg,Red Sfr,My hero bro !!,2022-02-24T14:07:30Z,3
81,UgyUrVtCO_xYKyjGyd14AaABAg,Thank You So Very Much,"@Lerato Lorraine Fleming Wow, that's great for you. And the lyrics got 777 likes... it's your lucky day. 🍀",2022-01-30T18:11:01Z,1
82,UgzaJ-Vn1qDpfyZozOV4AaABAg,Ameera Othman,Me too,2021-11-04T12:39:46Z,0
83,UgylTU5Rh2ZDpWGqgC14AaABAg,BlackBarbie💅🏾,@Crazey Fr,2021-10-27T04:05:54Z,1
84,UgylTU5Rh2ZDpWGqgC14AaABAg,Crazey,You have too much time?,2021-10-27T03:54:03Z,5
85,UgxIos6_MvNKSzcRYb54AaABAg,Meysam Dotri,#JOKE 😉,2021-10-23T18:48:38Z,0
86,UgxIos6_MvNKSzcRYb54AaABAg,Meysam Dotri,@Derek  Sergio  Black Rock 😎,2021-10-23T18:46:09Z,0
87,UgxIos6_MvNKSzcRYb54AaABAg,Derek  Sergio ,Where’re you from ?,2021-10-23T16:53:21Z,0
88,UgxIos6_MvNKSzcRYb54AaABAg,Derek  Sergio ,A great song indeed. How’re you doing ?,2021-10-23T00:59:48Z,2
89,Ugxn5UJotfUVOYL3KkJ4AaABAg,Don't JUST me! Go to HEALTH!,Bruh! 🤦,2021-10-23T15:35:52Z,0
90,UgyfjD4juft3bxRBcXV4AaABAg,Gwyn English Nielsen,How do you like Oregon? My boyfriend and I are thinking of moving there someday. Check out my tunes on YouTube. More are coming out soon. I will be releasing a single every other month for the next year until I go back into the studio in August.,2021-10-24T13:56:11Z,0
91,UgyfjD4juft3bxRBcXV4AaABAg,Derek  Sergio ,"Indeed she’s a great artist. What kind of music do you write ? 
I’m from Tillamook Oregon and you?",2021-10-23T00:58:08Z,0
92,UgyXjZ9sRlpBYw-77JN4AaABAg,Julia Andrade,Nesse momento,2021-12-17T06:50:59Z,0
93,UgyXjZ9sRlpBYw-77JN4AaABAg,Taila kalaxian,"É como um bom vinho, nunca ficará velha",2021-12-13T23:13:36Z,0
94,UgyXjZ9sRlpBYw-77JN4AaABAg,Yasmim Pinheiro,Essa música é tudo!!!!! 😍😍😍😍😍😍😍,2021-12-13T13:46:44Z,0
95,UgyzrDOPAisMm7zBN7l4AaABAg,maliii💟,thank u,2021-10-14T20:18:19Z,0
96,UgyqKq7D12X0poyQYfV4AaABAg,LÉU,56 se passaram e continua sendo a minha 🥱,2022-03-10T01:55:28Z,0
97,Ugy8HqCYlpj8TyYLUtJ4AaABAg,Daniella Karan,@Juliana M you're not wrong tho.,2021-10-13T14:25:17Z,0
98,Ugy8HqCYlpj8TyYLUtJ4AaABAg,Juliana M,@Daniella Karan  yeah but this vid is released on that year 2009.,2021-10-13T14:19:30Z,1
99,Ugy8HqCYlpj8TyYLUtJ4AaABAg,Daniella Karan,And this was originally released around 2003 or 2004.,2021-10-13T14:14:36Z,0
100,Ugz3jK7dpesQdkSBYip4AaABAg,Murilo Fabras,só fumo temaki,2021-10-04T15:32:39Z,0
101,UgxNjV1Xt6QW-cq6P2d4AaABAg,K Animals,2021 😭,2021-10-02T07:51:08Z,0
102,Ugy-ajwZLeOtxWnXWTR4AaABAg,aigo free,Perfeita! Tema do meu casamento futuro KKK,2021-11-17T04:55:21Z,1
103,Ugy-ajwZLeOtxWnXWTR4AaABAg,Suzana Pontes,Linda demais 🤩,2021-11-16T17:02:27Z,0
104,UgwXUGhHfNQFIkAGxB14AaABAg,Captain Thomas,Hello beautiful 🌹❤️🌹❤️🌹,2021-12-03T14:59:16Z,0
105,UgzG8G-ntRNXZLbUI_F4AaABAg,mick3y mast9rs,Why are Brazilian woman so beautiful for???,2021-11-20T12:26:40Z,1
106,UgzG8G-ntRNXZLbUI_F4AaABAg,Ramona Janneire,Same here😇,2021-10-23T14:13:39Z,2
107,UgyP46T9QZjCHePtHx94AaABAg,Chris RJ,"It could have worked in the 90s, but I'm glad it came out in the 2000s, when so much other music was turning to cr@p.",2022-02-24T19:18:06Z,1
108,UgzV40HKfat8hsBwItB4AaABAg,Anna Almeida,Maravilhosa meu Deussssss,2022-01-19T21:37:54Z,0
109,UgzV40HKfat8hsBwItB4AaABAg,Marie,@Disney Toys R 4 Fun I’m only 24 😭😂,2021-12-26T00:09:40Z,0
110,UgzV40HKfat8hsBwItB4AaABAg,Disney Toys R 4 Fun,"@Marie true, plus at least you got to live for a long time.  some kids die before they even turn 18!!!",2021-12-25T22:47:37Z,2
111,UgzV40HKfat8hsBwItB4AaABAg,Marie,@Disney Toys R 4 Fun I feel sorry for anyone who doesn’t understand 😂 Esp the kids these days,2021-12-25T22:38:47Z,1
112,UgzV40HKfat8hsBwItB4AaABAg,Disney Toys R 4 Fun,you guys make me sad that you are old now😭😭,2021-12-25T21:36:58Z,2
113,Ugy_YxowE-2eVgsVbuB4AaABAg,The Last Great Poet,Balance materialism is tool nothing less nothing more,2021-11-24T09:55:17Z,0
