,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgzDs3HtjfyIycpolbN4AaABAg,Dylan E,Hear^*,2022-04-03T00:09:04Z,0
1,UgwqQ9k_TE1VPLs7L7h4AaABAg,Stephanie Morales Alejandre,as he should,2021-12-16T03:25:07Z,1
2,UgzcDpXSvad5UzMpK6l4AaABAg,KINGOFGOLD,Same,2021-09-19T22:25:35Z,2
3,UgzreZ7a45bdFHjJZGp4AaABAg,brii94,Stay strong,2021-09-03T03:15:51Z,1
4,UgzUZpEMrglFGydMBJl4AaABAg,Williams Warwick,Hello,2021-09-22T06:45:26Z,0
5,UgzKtUIj4qENmcnxJn14AaABAg,House Mixes With Jc,Same,2021-07-12T22:08:05Z,1
6,Ugzde10HZJsb872RXF54AaABAg,David Williams,"@Cherisse Mayers so can we be friends in trust and honest, hope you don't mind...?",2021-07-26T06:07:12Z,1
7,Ugzde10HZJsb872RXF54AaABAg,David Williams,@Cherisse Mayers well I'm originally from Germany but grown up here in new Jersey city USA...,2021-07-26T06:05:53Z,1
8,Ugzde10HZJsb872RXF54AaABAg,Cherisse Mayers,@David Williams From Trinidad and Tobago.....I'm in the Caribbean. Have you ever been there?,2021-07-25T05:26:06Z,1
9,Ugzde10HZJsb872RXF54AaABAg,David Williams,@Cherisse Mayers I'm cool... So where are you playing from actually...?,2021-07-24T09:15:30Z,1
10,Ugzde10HZJsb872RXF54AaABAg,Cherisse Mayers,@David Williams Hey we are doing great today...hbu?,2021-07-23T14:48:26Z,1
11,Ugy_H9o6eizc9-KwwNN4AaABAg,David Williams,Yeah me too...Evans how are you doing today's..?,2021-07-23T00:51:50Z,1
12,UgzwSpeda6ZeUDCOY614AaABAg,Kennedy Daniel,true,2021-06-11T21:40:20Z,0
13,UgwY9tlDfDhnN0NsF_B4AaABAg,Ghost tribe,Go ahead 👍,2021-05-16T18:35:32Z,0
14,UgyfBOIszw6MRZF-nal4AaABAg,Ghost tribe,😅,2021-05-05T18:31:00Z,0
15,Ugy8sW5ze_WPwE6WXAB4AaABAg,Brandi Watts,Thank you it truly hurts my heart,2021-04-24T18:45:48Z,1
