,id,comment,author,likecount,publishedAt
0,UgxFufcM_VEqpnvVlJV4AaABAg,"🐈



























i think anyone who make someone feel appreciated and cared for in their own way / gesture is a romantic person





anyone can say ""he cares"" but its how you make someone feel what youre telling them says it all",Raf Reyes,0,2022-05-04T03:20:13Z
1,UgxoiRO025jjPJtR8jJ4AaABAg,I think we’re all searching for someone who makes us feel like it’s just us in the world. Who else is listening in 2022?🔋,High Tower Nugs,0,2022-05-03T18:01:05Z
2,Ugx-wUxYZuDTCF0spv14AaABAg,Just beautiful. This makes me feel so amazing inside. Great job @John Legend,Baby Preston,2,2022-05-03T15:49:01Z
3,UgxGIwCTfQbtqcVysN94AaABAg,Yeeeaaaa,Shankia Minnis,0,2022-05-03T00:32:11Z
4,UgzXz7Uyonw9uhiVQIV4AaABAg,https://youtu.be/YqhyJYlYbgU qw,AFRIC JOSH,1,2022-05-01T15:35:12Z
5,UgwGRZqp1hz-DzesUV14AaABAg,LOVE THIS SONG. JOHN IS VERY TALENTED 🔥🔥🔥🔥🔥🔥❤❤❤❤❤❤❤👑👑👑👑👑👑👑,Martina Sutton,1,2022-04-30T02:17:41Z
6,UgwIKtHdtV2sa_BPTb94AaABAg,Had the pleasure of meeting them at an event I was working and they are such down to earth funny cool people.  I  told him that his songs bring tears to my eyes and they both hugged me❤️,Lord Bane,0,2022-04-29T12:02:08Z
7,UgyDTdwVRwa5Uzul9Vd4AaABAg,This song… was a song my deceased lover use to play to me.. brings back beautiful memories ❤️ #BillieWilliams,SUNLESS SKINCARE ☀️GLO2GO,0,2022-04-28T23:53:36Z
8,UgxfMUua-JhsgNjq1a14AaABAg,This video used to make me cry 😭,Jayla,0,2022-04-28T05:47:22Z
9,UgzdACv5ZjVtowyiti14AaABAg,I'm getting goosebumps,myxoma ignore the weirdos,0,2022-04-27T14:41:11Z
10,UgyOSFmR1taC8rpM8VV4AaABAg,Ojalá un día me dediquen está canción,Karla Lopez,0,2022-04-27T08:46:33Z
11,Ugyqd2Kxa7SxDVmORlx4AaABAg,Why I'm crying omgggg,myxoma ignore the weirdos,0,2022-04-27T01:56:19Z
12,UgxUcXBYcjEmjAUNBmh4AaABAg,I'm so thankful that I got this song n I'm able to listen to this even it was released yrs ago,myxoma ignore the weirdos,0,2022-04-27T01:55:35Z
13,UgxKc2v84HTGByNV5Ol4AaABAg,Ty john 😢,IN THE CAR WITH Alexa,0,2022-04-26T04:33:27Z
14,UgxrrTv-J56QLt8yJel4AaABAg,❤️❤️,Epikaizo Ecg,0,2022-04-18T22:12:27Z
15,UgzDY2Dp0u3qGyn6nnR4AaABAg,I just realised that we(the viewers) are their mirrors.,Pullock Chowlu,0,2022-04-17T07:58:55Z
16,Ugw29a5UdgmRbHNxe5p4AaABAg,💙💜,Darlene Karppi,0,2022-04-14T17:48:34Z
17,Ugz5Gwx8xbk7pq2azGR4AaABAg,"This video is so awesome, a great representation of all women!!❤️❤️❤️",shauntel stephens,0,2022-04-14T12:34:14Z
18,UgybDSx1SHv5YVpLu8F4AaABAg,One of the songs I will never forget. #MAD,Mary An Divino,0,2022-04-13T20:11:08Z
19,Ugy0w77hlEKPLuWN4t14AaABAg,"Every single human gotta know that they are perfect in a perfect body. Don't try to destroy your life, your thoughts, your mentality about opinion's others. No matter your weight, no matter you height, tell yourself that you are a beautiful girl, a handsome boy.
Grateful you are to see that by yourself first.

#LOVE YOURSELF FIRST.",Wildine LAFONTANT,0,2022-04-13T19:49:31Z
20,Ugy4_I6cmtepfXVekCV4AaABAg,Great job 👍,love lightning ,0,2022-04-11T00:13:55Z
