,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgyjkUb2v2gVX3rlLcB4AaABAg,Edgar Ruiz Diaz,Yo !!!! ✋,2022-04-12T14:36:32Z,1
1,Ugx-jCfD-O7L9CYCexp4AaABAg,straniu ciudat,Eiii,2022-02-20T14:01:22Z,0
2,UgyCIGget-FNDd82BgV4AaABAg,Tian Jasari,1:31,2022-04-09T13:37:13Z,0
3,UgyCIGget-FNDd82BgV4AaABAg,Tian Jasari,0:40,2021-12-22T23:14:08Z,0
4,UgyCIGget-FNDd82BgV4AaABAg,Tian Jasari,0:41,2021-12-22T20:04:32Z,0
5,Ugy43QWbFEEyCzhdBBJ4AaABAg,Zeko Jasari,0:42,2021-12-22T17:32:30Z,1
6,UgyqDG_0TwLVsx9hJ0x4AaABAg,Sarah,Surreeeeeeeee,2021-11-28T20:38:53Z,0
7,UgwoyE4bp0ZKUeFMiyl4AaABAg,Sarah,@Gary Smith I don’t know but there was always a sense she wasn’t gonna make old bones.,2021-11-17T19:08:51Z,0
8,UgwoyE4bp0ZKUeFMiyl4AaABAg,Gary Smith,@Sarah Do you think it was coincidence  or was it was a sign she would be leaving us ????,2021-11-17T16:17:04Z,0
9,UgwoyE4bp0ZKUeFMiyl4AaABAg,Sarah,Short like her life 💔,2021-11-17T07:46:15Z,0
10,Ugw6P-gUq8NJBXA274p4AaABAg,Ivam SP,Could you write in english ou brazil portuguese?,2022-04-04T04:41:31Z,0
11,Ugw6P-gUq8NJBXA274p4AaABAg,Наталья Михневич,"Хотелось бы чтобы Эми было спокойно,и хорошо!🦋",2022-04-03T11:03:12Z,1
12,UgxpkjOYSb6sT75uAs94AaABAg,Sarah,"Yep, the official video sounded like it would’ve been great. Sigh…",2021-11-11T09:34:04Z,0
13,UgxpkjOYSb6sT75uAs94AaABAg,HUED,i recently read that book aswell. Im pretty sure it was an inside joke from tyler james to include blake,2021-11-11T05:44:47Z,0
14,UgwyV1Jy52SWqNmM6jN4AaABAg,"•ʜᴏɴᴇʏ•🍯,",@Julieta Ledesma 😔💔💔,2021-11-23T03:13:34Z,0
15,UgwyV1Jy52SWqNmM6jN4AaABAg,Julieta Ledesma,2:25 Me mata esa parte🤧💔,2021-11-22T05:17:36Z,1
16,UgwyV1Jy52SWqNmM6jN4AaABAg,Julieta Ledesma,POBRE AMY,2021-11-22T05:16:51Z,1
17,UgwyV1Jy52SWqNmM6jN4AaABAg,"•ʜᴏɴᴇʏ•🍯,",😔😭😢,2021-11-20T14:53:35Z,0
18,UgyNlpRn5c7k0TJ5pLN4AaABAg,Sarah,Lady Gaga is too old to play her now,2021-11-11T09:35:06Z,0
19,Ugzz64jNppYPhXAjkbR4AaABAg,Adamo,@Sarah 😂 right,2021-10-30T11:06:58Z,0
20,Ugzz64jNppYPhXAjkbR4AaABAg,Sarah,@Cody MacDermid much better!,2021-10-18T17:50:05Z,0
21,Ugzz64jNppYPhXAjkbR4AaABAg,Cody MacDermid,@Sarah Winehouse was better,2021-10-18T07:00:59Z,0
22,Ugzz64jNppYPhXAjkbR4AaABAg,Sarah,@Cody MacDermid freshly squeezed,2021-10-18T06:36:55Z,0
23,Ugzz64jNppYPhXAjkbR4AaABAg,Cody MacDermid,@Sarah she was drinking more talent juice,2021-10-17T23:14:18Z,0
24,UgxYAhW7bLBb-QxyzO14AaABAg,Gary Peatling,"You could listen  to some Joni,  but this is a great song",2021-12-28T07:11:48Z,0
25,UgwzaOUrYZFJu8l2fNN4AaABAg,Kez C,I'm reading his book now too and am watching these videos with new eyes.,2021-10-27T01:56:51Z,0
26,UgxhbrUdMabtC5wala54AaABAg,ruth meakin,"Adele has been around longer than Amy has been dead? 

Though Adele has said she wouldn't have made it If back to Black hadn't been released as it changed the music industry",2021-11-28T10:02:27Z,0
27,UgxhbrUdMabtC5wala54AaABAg,Nicetas Byzantios,You don't have to put other talented people down to praise an artist. They're all special in their own ways.,2021-10-26T13:22:09Z,0
28,UgycLkABsiLi_B2BdYJ4AaABAg,Kitten Blossom,"Don't waste your time questioning, just accept it as it is.",2021-09-25T11:03:15Z,1
29,Ugw6AJwqSsm_0pkNQwd4AaABAg,Sarah,It is beautiful. Wake Up Alone is my favourite,2021-09-19T08:32:14Z,6
30,UgzPY2pwk9hosQghiMp4AaABAg,Tony Morph,@perry jones she is streets ahead of Adele although Adele is excellent,2022-04-02T23:09:42Z,0
31,UgzPY2pwk9hosQghiMp4AaABAg,perry jones,Her and Adele,2022-02-28T08:43:31Z,0
32,UgyplEcdbH13-5mkPN54AaABAg,Sarah,"Bulimia as well, which is often overlooked",2021-09-19T08:33:04Z,0
33,Ugwh9MIwX5M2J6oVJW14AaABAg,Sarah,Definitely,2021-09-12T19:50:37Z,0
34,UgyRBEs9GmgtLkMJX5R4AaABAg,Gerard Quinn,"She had no peers. She stood alone, by choice. She was someone very special.",2021-11-17T05:21:01Z,0
35,UgxaidUv8IOHaiqw3xh4AaABAg,Greg Edwards,"...and the ordinary you and me of course too. 
Two different styles. Both incredible in their own way. 
Madonna embraced the gay community in the depths of the AIDS crisis when the vast majority of the US population was openly hateful in its response. 
I wonder what Amy would've accomplished musically and otherwise if she'd have outlived her demons.",2021-08-12T23:35:27Z,1
36,UgwZrs5QbPcRlMawtXh4AaABAg,Anti Validisme,"I guess we'll have to deal with this until the end. Certainly not sure it makes us stronger, but as long as it resonates so deeply, I'm fine with that, even if it hurts really hard- freaking years flying!-. What an album by the way, would crush any kind of competition nowadays- especially since Daft Punk is no more-. 
Take care!",2021-08-16T04:37:37Z,1
37,UgxPMQ2QIYcyXAPrydR4AaABAg,john grace,@NSH please elaborate,2021-08-02T00:09:34Z,0
38,UgxPMQ2QIYcyXAPrydR4AaABAg,NSH,More like than not and that's on Period🤷🏾,2021-08-01T06:20:25Z,0
39,UgyC_5oPP5tCVE1Oucl4AaABAg,Blahblahblah,"@Sasher Robinson there’s no one who is fully original… and its not like she is a carbon copy of someone else… 
She had her originality and she was definitely a genial vocalist and songwriter… probably not the best (especially cause there’s no “best” when it comes to art) but world class in her own right",2022-03-24T10:36:32Z,0
40,UgyC_5oPP5tCVE1Oucl4AaABAg,Sasher Robinson,"Whilst I love her, just no. Those who she borrowed from, yes.",2022-02-25T21:27:21Z,0
41,UgyC_5oPP5tCVE1Oucl4AaABAg,Stefan Nils,"Amy so much talent now we have formulated crap ,thank you so much ❤  for your time and  amazing music  in the tradition of Billy holiday and all the other great soul and blues singers rip amazing woman",2022-01-07T21:05:36Z,0
42,UgyC_5oPP5tCVE1Oucl4AaABAg,PFCD,@Gerard Quinn It takes a big person to admit when they're wrong. I respect you for that and apology accepted. May I ask why you no longer believe?,2021-12-03T06:29:39Z,5
43,UgyC_5oPP5tCVE1Oucl4AaABAg,Gerard Quinn,@PFCD  You are right. I am sorry. What I said was unnecessary. I was a strong believer for many many years. No longer. Peace.,2021-12-02T04:44:45Z,1
44,UgwymiChzMg2FAfijbR4AaABAg,Dimitrije Vuckovic,:'(,2021-07-30T16:11:45Z,1
45,UgxlnKeE8XweGtKo_rx4AaABAg,Denise Pickering,So true RIP amy 💔🙏 xx,2021-12-03T03:14:44Z,2
46,UgxlnKeE8XweGtKo_rx4AaABAg,Ivana Štimac,Perfect description🧚‍♀️💎,2021-11-15T19:26:05Z,0
47,UgxlnKeE8XweGtKo_rx4AaABAg,YOUNG SIMBA,A Legend!,2021-11-04T00:00:46Z,1
48,UgxlnKeE8XweGtKo_rx4AaABAg,Allan Page,a true legend rip,2021-10-29T19:01:14Z,2
49,UgxlnKeE8XweGtKo_rx4AaABAg,Edilene Bueno Godoy,The Best,2021-09-18T18:14:02Z,2
50,UgzzIgszDqGFdgYiGRx4AaABAg,Ups_Ale🌻,This,2021-07-21T15:38:47Z,0
51,UgzoGfVdlRl_nFvwRMR4AaABAg,Y Jordan,👍❤️,2021-09-16T22:46:51Z,0
52,UgwqXfcqzPVUZRqQ5OR4AaABAg,Mary Higgins,I’m so addicted to Amy’s music I can’t stop listening to her I’ve got people listening that never heard her music now they’re addicted too😂😂 Rest Easy Amy..❣️,2021-08-01T03:47:51Z,3
53,UgwqXfcqzPVUZRqQ5OR4AaABAg,Lynda Winpenny,I listen to Back To Black all the time and this is undoubtedly the best track on the album ❤️,2021-07-30T20:50:41Z,1
54,UgwqXfcqzPVUZRqQ5OR4AaABAg,Alina Pantea,"Me ,now crying on repeat.",2021-07-27T20:55:29Z,2
55,UgwpUN4rgLcTCRCwSil4AaABAg,Juliana Campos victor,Gosto de todas que conheço!! Mas o eu gosto mesmo é da voz dela!!,2021-07-19T22:21:09Z,1
56,UgzraH1Vjw1s7KYFgqh4AaABAg,Lola Amor,Even in 2022🥺😔😢,2022-01-29T07:00:15Z,0
57,UgzraH1Vjw1s7KYFgqh4AaABAg,T Brwn,Same 😥,2021-10-03T06:22:12Z,3
58,UgzraH1Vjw1s7KYFgqh4AaABAg,charmaine bisasor,I can't hold back the tears.,2021-08-14T01:06:15Z,6
59,UgzraH1Vjw1s7KYFgqh4AaABAg,андрей ким,"А по моему, она гениально воплощала именно земную женщину- с ее красотой, очарованием, соблазном и конечно же капризами. Именно то, за что мы и обожаем женщин",2021-08-11T16:17:52Z,4
60,UgzraH1Vjw1s7KYFgqh4AaABAg,Anti Validisme,She will always be,2021-08-09T04:06:58Z,5
61,Ugwqdojz1Aj58EXUxFZ4AaABAg,Cris Ivan Spears,If she had many Unreleased then that's possible,2021-07-19T00:10:55Z,0
62,Ugwqdojz1Aj58EXUxFZ4AaABAg,Jace Ace,"Wow.....ten years. My goodness. Still listening to her music, says it all.",2021-07-15T21:58:14Z,1
63,UgzoGirjxIUdwjxMdEh4AaABAg,AlexCrisCat,Thanks Jennifer for the opportunity of listening to this precious song along with the lyrics ❤️,2022-04-29T09:39:46Z,0
64,UgzoGirjxIUdwjxMdEh4AaABAg,David Gladwin,"Beautiful song, Love ❤️ is a losing game wow 😮",2022-03-25T15:43:05Z,2
65,UgzoGirjxIUdwjxMdEh4AaABAg,Nathaly Gallardo,Me gusta 👍🏼,2022-02-04T09:32:24Z,2
66,UgzoGirjxIUdwjxMdEh4AaABAg,Fido Dido,U da best,2022-01-06T01:38:10Z,1
67,UgzoGirjxIUdwjxMdEh4AaABAg,Breathe J.,@Jennifer L. Thank you.,2022-01-02T02:48:51Z,1
68,Ugx6dbnfIOnrK0uII8J4AaABAg,No,"Meant to HAVE had, not of",2021-07-15T15:23:29Z,1
69,Ugx6dbnfIOnrK0uII8J4AaABAg,Sarah,It would’ve been beautiful.,2021-06-20T08:44:07Z,2
70,Ugwvk-J2eEl0QOMb2nV4AaABAg,First name Last name,Either way it sounds so beautiful ☺️. I am for it it!,2021-04-20T19:39:26Z,0
71,Ugzl0YAYc_O78TNPaht4AaABAg,Jason Greenblatt,Is this your favorite,2021-04-30T16:24:48Z,0
72,Ugzpp-sqWrBynkc61p94AaABAg,Sarah,There’s a lyric video,2021-04-11T09:05:59Z,0
73,UgxGND35UHR2lrBPaa94AaABAg,Jason Greenblatt,Is this your favorite,2021-04-30T16:25:38Z,0
74,UgyXYouVzi7o5FuWoq54AaABAg,Sarita Bonita,Fr..,2022-01-29T07:34:01Z,1
75,UgxgVZryfZEvZL_Huu54AaABAg,The Samsquatch,@Sarah I will have to look into those 😁.,2021-03-24T18:14:47Z,0
76,UgxgVZryfZEvZL_Huu54AaABAg,Sarah,"Yeah I left a comment on here before about this being her lowest charting song (unbelievable!). I love the live versions as well. Wake up Alone is my favourite song of hers overall. Tears dry original version on Lioness as well, I prefer it over the album one - same with some unholy war - the original down tempo is so good😍",2021-03-24T18:03:00Z,0
77,UgzPb_jXfmpux1zaAFB4AaABAg,Oswaldo Ramírez Roa,"Sure, not many artists from the 00's are still relevant nowadays. Amy had a music style that was not that popular even back then, yet she was appreciated for her talent. She's probably overrated because of her young death, yes  but shes way more than a ""good artist"", I think she was exceptional, her voice was unique (there was no Adele). She won 5 Grammys despite all her public issues. She was raw, careless and honest. People liked that.",2021-03-28T21:19:20Z,0
78,UgzPb_jXfmpux1zaAFB4AaABAg,Sarah,@saelaird she just may as well preferred to have faded away👍 I dislike the 27 club completely. It’s so stupid to glorify young death.,2021-03-20T21:50:24Z,0
79,UgzPb_jXfmpux1zaAFB4AaABAg,saelaird,"@Sarah Absolutely, my opinion is a very unpopular one. I've mentioned it to folks before and they think I'm crazy. My honest view though is that Amy's issues with addiction, fame and self control would have most likely manifested outcomes we see time and again generally... poor creative output, poor live performances, poor self-care leading to all kinds of health issues. She was on a path to self destruction, surrounded by people who all used her (a la Britney Spears in broad sense). She was destined to implode or fade away. Stylistically she wouldn't have retained her relevance either, I think she's possibly the most overrated of all the 27 club.",2021-03-20T20:50:02Z,0
80,UgzPb_jXfmpux1zaAFB4AaABAg,Sarah,@saelaird neither of us know what would’ve happened tbh.,2021-03-20T20:43:00Z,0
81,UgzPb_jXfmpux1zaAFB4AaABAg,saelaird,"@Sarah She rose higher I agree, but wouldn't have lasted. Flash in the pan.",2021-03-20T20:35:50Z,0
82,UgyVtl3RaVdbI8a1I3V4AaABAg,Jason Greenblatt,Is this your favorite,2021-04-30T16:26:45Z,0
83,Ugz_C7RRk_-V6xc8GRt4AaABAg,Jason Greenblatt,Is this your favorite,2021-04-30T16:27:01Z,0
84,UgwXTjBIuEC54-Kqlqp4AaABAg,95KIPPIE,"@alex aguirre if you’re going to ask that question, please learn how to spell the words",2022-04-16T00:16:19Z,0
85,UgwXTjBIuEC54-Kqlqp4AaABAg,Snypa_FX,@Tudor Sabina I want to connect with you too,2022-04-05T21:42:54Z,0
86,UgwXTjBIuEC54-Kqlqp4AaABAg,Jutta Weise,"actually what you describe does not sound like the ""gloomy"" girl everybody talks about, but a jolli person with humor.
Sad that she mingled with the wrong people.",2022-04-03T22:16:23Z,0
87,UgwXTjBIuEC54-Kqlqp4AaABAg,Jutta Weise,"lovely story! And a pity you where rolling ;o)).
I was in London with my 2 almost grown up children in the late 90ies to show them the place where I had met their father.
We were rumbling through town, taking small streets to get a feel of the town, when we stood in front of a shop discussing
if we need something. When suddenly this dude came out, looking like a schoolboy, with shorts and white socks. Then by
looking at his face I realised that it was Elton John. I wanted to ask him to take a photo, but my son held me back, saying, 
those people get annoid by people like us. So I just enjoyed the moment.",2022-04-03T22:13:59Z,0
88,UgwXTjBIuEC54-Kqlqp4AaABAg,Deborah Lynn,Thank you for sharing your story. ❤️😊,2022-04-02T20:48:40Z,1
