,id,comment,author,likecount,publishedAt
0,UgyjaWNq5BiCfJxA03Z4AaABAg,"Simply beautiful…..mesmerizing. Warp’s time and space, reaches into your bone marrow and lingers.",Good Day.,0,2022-05-08T03:24:36Z
1,UgzGnD7jSSYVFm45eSJ4AaABAg,"This is me, right now",Fi Ona,0,2022-05-07T09:08:56Z
2,UgywDNjAVr12F0lmh4Z4AaABAg,Sure is!,J'aime Sirgany,0,2022-05-07T07:35:28Z
3,Ugw_5qIo5shrsJ8Vbcl4AaABAg,Dam I miss this legend.,Anthony Gutierrez,0,2022-05-06T15:29:38Z
4,UgyRyanAYIBDRJL1R1V4AaABAg,love is a losing game 😭,humankind x madness,2,2022-05-05T19:16:12Z
5,UgzVbWpLAbxNZW7GPoN4AaABAg,2022 and the more I get older the more I realise the meaning to Amy's lyrics,Tammy Hunter,2,2022-05-05T10:17:00Z
6,UgzjNIUPLdEeX5MDKMh4AaABAg,"Aside from the back to black song. This is the one that pulled my heart strings. Look at me as I sit here and write my comments I get tears coming out still after she's been gone 10 years. I loved this Artist not in a physical way
 But the way her life  unfolded and how she dealt with her addiction and her relationship but still had a way to never let her fans know that her music was not gonna let it affect them because of her personal misfortunes. She poured  her heart and inner soul in all her music and that's why I loved her so much. We probably  will never seen another gem like her. Yeah man she was that fucking good RIP mama. I'm sure God enjoys your singing to him  .😎💪👍🙏🥰😭",Anthony Gutierrez,0,2022-05-04T11:29:17Z
7,Ugy_1773M1ud1Z6KzKV4AaABAg,Saudades imensas!!!,Carmen Santerini,0,2022-05-02T19:23:48Z
8,Ugwu55G1zODFM2FlpJl4AaABAg,she's so vulnerable and tender. rest in peace. Love you,Good Look,0,2022-05-02T11:06:40Z
9,UgwTPbT4UkAeokFPx_14AaABAg,They say we never really disappear 🎶 💔 😔,MB Payot,0,2022-04-30T01:28:08Z
10,Ugw-UCmVtoAekYp4RcR4AaABAg,"Yes, we miss Her! ❤️",MB Payot,2,2022-04-30T01:27:02Z
11,UgzWUpaK-91Kia0R7j54AaABAg,🤍🖤 2022 Amy,Bruno José,1,2022-04-30T00:44:06Z
12,UgzFhWBLTyoG5Ng084p4AaABAg,I’ve listened to this album since my teens but only now I truly understand how much pain this song carries. It goes way beyond heartbreak.,Lucy Naris,0,2022-04-28T17:34:55Z
13,UgxrDoMbkNKDkRH3CdR4AaABAg,1:18 - 1:22 Are we just gonna ignore the fact that they showed her ex-husband Blake instead of her in a dress performing on stage?,Tray Daniel,0,2022-04-27T04:31:19Z
14,Ugy-OIiXYAVKlcjFuKt4AaABAg,Bellissima canzone  🌹🌷,David,0,2022-04-26T08:17:21Z
15,Ugwfhp5DUE6VLnO3FD14AaABAg,Such beautiful song..  Nd so sad when we now know the end of the story..,Martine Rossi,0,2022-04-24T09:16:27Z
16,UgxtEE63LM3HasDVfbN4AaABAg,love song,dario castañeda,0,2022-04-23T23:25:45Z
17,UgwOwzymLrNbIaoIkaN4AaABAg,"The greatest female singer in our lifetime. Rest in peace, sweet Amy. ❤️",Cheri Toward,3,2022-04-22T22:55:55Z
18,UgycXg0ayTk8m8NZmKF4AaABAg,"Dear Amy I feel your sorrow, this song is written with the heart ... I can see myself in this lyrics ... Love is the most beautiful thing but it can be also the hardest pain! Thank you for putting into words my feelings. ❤❤❤",Marko London,1,2022-04-22T18:13:47Z
19,Ugy2N-KRiT8Y-XkisDl4AaABAg,We lost so much music with her passing. Sing it loud in heaven young lady 🤣🤣🤣😭😭😭😭.R.I.P,Kyle Dekle,0,2022-04-22T01:32:29Z
20,UgzlECgpAJcXLmLbOAN4AaABAg,❤️,Mattia Di Lorenzo,0,2022-04-21T23:57:55Z
21,Ugw0SK143AZhr3b51p94AaABAg,Well...love is losing game,marisa pedditzi,0,2022-04-21T06:59:51Z
22,Ugz4J7ViSMVPMz6dRxR4AaABAg,She looked so bueatiful in this video miss you so very much Amy Rest angel rest,Iris Rodriguez,0,2022-04-21T04:45:17Z
23,UgxQ3hIpuoXkD-0TFox4AaABAg,"AMY WINEHOUSE - LOVE IS A LOSING GAME COVER by 
Cakra Khan 
https://www.youtube.com/watch?v=C8omJi1DeIw",Harun Jonatan,0,2022-04-19T16:53:11Z
24,UgxLv3XKEykpIBYBvvl4AaABAg,She was so gorgeous,Olivia Simmons,1,2022-04-19T15:15:18Z
25,UgzKOK9Ep80VF8aN0xN4AaABAg,"So sad, I wish love was a game I never pllayed x",Tom Cullen,0,2022-04-18T21:53:19Z
26,UgwTS-gwUx-dfBSLNSR4AaABAg,"E rieccomi qui ad ascoltarla, mai sazia, mai stanca...incatenata all sua voce...",I am who I am,0,2022-04-18T20:27:21Z
27,Ugzwq8tIZ3RI17XKZSN4AaABAg,My eternal Amy Winehouse 💗,Iuri Monteiro,1,2022-04-18T14:29:32Z
28,UgyOdCCecbIeQ_H1ATV4AaABAg,Eu amo cantar essa música e não é de agora 💗,Iuri Monteiro,1,2022-04-18T14:29:17Z
29,UgwhieSp3sMOpau7wyp4AaABAg,💗,Iuri Monteiro,1,2022-04-18T14:29:04Z
30,UgwKHj52dgK7bfRZv1x4AaABAg,E' una donna che mi ha sempte suscitato una sensazione di fragilita',Ornella Guidotti,0,2022-04-17T19:50:10Z
31,Ugw8oyi2kU2oD6BvZx14AaABAg,"Man, did she was a good singer!
Too bad she died!",Sterian Alina Nicoleta,0,2022-04-17T05:57:16Z
32,UgznEcsUFZqzUTXqRSp4AaABAg,Lloro y me deprimo con su música pero es de otro mundo esta voz tan grande,Carlos arturo Ramirez gulpinal,0,2022-04-16T03:20:14Z
33,UgzAOVE4AOwt_yLltcl4AaABAg,0:31 se devora al mundo musical.  0:46 se desvía con la realidad para siempre en su destino.,Leo Cáceres,1,2022-04-15T10:13:23Z
34,UgznNx33cXana3xdd1J4AaABAg,LOVE YOU FOREVER,Larissa Oliveira,0,2022-04-14T22:02:42Z
35,UgzS8SMn9SCQf95Chf54AaABAg,"An amazing lyricist, singer and natural creative talent. Forever remembered, Amy xx",The Silures Scribe,2,2022-04-14T15:07:28Z
36,UgzyshkO2Q8Dp7MS_6d4AaABAg,"Per te ero una fiamma 
For you, I was a flame 

L'amore è un gioco perdente 
Love is a losing game 

Fuoco di cinque piani come sei venuto 
Five-storey fire as you came 

L'amore è un gioco perdente
Love is a losing game
Uno che vorrei non aver mai giocato 
One I wish I never played 

Oh, che casino abbiamo fatto 
Oh, what a mess we made 

E ora, il fotogramma finale 
And now, the final frame 

L'amore è un gioco perdente
Love is a losing game
Suonato dalla band 
Played out by the band 

L'amore è una mano perdente 
Love is a losing hand 

Più di quanto potrei sopportare 
More than I could stand 

L'amore è una mano perdente
Love is a losing hand
Autodichiarato, profondo 
Self-professed, profound 

Fino a quando le patatine non sono finite 
'Til the chips were down 

Sappi che sei un uomo d'azzardo 
Know you're a gambling man 

L'amore è una mano perdente
Love is a losing hand
Anche se combatto alla cieca 
Though I battle blind 

L'amore è un destino rassegnato 
Love is a fate resigned 

I ricordi rovinano la mia mente 
Memories mar my mind 

Amore, è un destino rassegnato
Love, it is a fate resigned
Oltre inutili probabilità 
Over futile odds 

E deriso dagli dei 
And laughed at by the gods 

E ora il fotogramma finale 
And now the final frame 

L'amore è un gioco perdente",Gaetano Maurizio Grippi,0,2022-04-14T06:13:49Z
37,UgyvqfnFG9CjFSmaGfF4AaABAg,<3,Victor Reis,0,2022-04-12T18:40:07Z
