,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgwHmcPQMS3EaLl776h4AaABAg,T,Tiara status,2022-03-16T22:43:33Z,0
1,UgzDsmrDDj0IzfpeEsN4AaABAg,Arumba,that is true very true beyond policics very true.,2022-02-21T18:22:09Z,1
2,Ugzi_Edo3tTlPwz9Iyt4AaABAg,Mirren,You used the R word in your comment. Either all slurs are ok or none are,2022-04-11T02:08:55Z,0
3,UgwRD0Jj1_XRcVUhfl14AaABAg,Fork the Pork,"I'm not cisgender, I'm straight.",2022-02-09T17:34:15Z,0
4,Ugzb3l1mn_nwO_y3PAV4AaABAg,Ooga Booga,YO MAYNZ DIS OOGA BOOGA SONG B DA SHIEEET!!! WE GOTSTA DO DA OOGA BOOGA DANCE 2 DIS SONG WHILE WE ROB N LOOT N SHIEETT!! #WAKANDA,2022-02-09T07:45:47Z,0
5,UgwWcni5Gdooy3oYwoR4AaABAg,Ooga Booga,@Lord Duke CMON MAN REPEAT IT WIF ME!! OOGA BOOGA!!! OOGA BOOGA OOGA BOOGA GOOMBA GOOMBA!!! #WAKANDA,2022-02-09T02:19:31Z,0
6,UgwWcni5Gdooy3oYwoR4AaABAg,Lord Duke,did Rogan teach you that?,2022-02-08T22:36:31Z,1
7,UgxtRA75vBDI-QXL2gN4AaABAg,Nigel ,👎,2022-02-07T20:17:03Z,1
8,Ugw24gpiduDsNvWwB0R4AaABAg,Sombra,"""The strength of your values and morals is admirable"". So, you're in favor of authoritarianism, censorship, corporate propaganda and elitism. Wow, what a great human being. Very brave and not a coward at all.",2022-02-09T01:55:01Z,3
9,Ugw24gpiduDsNvWwB0R4AaABAg,AkiraFFaddict,👍,2022-02-08T09:17:23Z,1
10,Ugw24gpiduDsNvWwB0R4AaABAg,Nigel ,👎,2022-02-07T20:18:13Z,3
11,Ugwvn_fwVpmyCeXeAMt4AaABAg,none-of your business,She's a multi-millionaire with four Grammys. I think she'll be okay.,2022-02-06T06:27:36Z,7
12,UgxNpnPJG9DPV8KU0fp4AaABAg,none-of your business,"Yes, because if anyone can tell us who's helping the race relations in this country it's a white man.",2022-02-06T06:28:05Z,1
13,Ugx5_dwM3vt8l9CZYeZ4AaABAg,Nigel ,@none-of your business What year?,2022-02-07T01:47:12Z,0
14,Ugx5_dwM3vt8l9CZYeZ4AaABAg,none-of your business,She's won 4 grammies already,2022-02-06T02:38:02Z,2
15,UgyyGAIPVDvtIvbLmqJ4AaABAg,Urban Legend Pictures,@RunDCM farakhan's a prophet lmao 🤣 😂 😆,2022-02-05T23:05:31Z,1
16,UgyyGAIPVDvtIvbLmqJ4AaABAg,RunDCM,"@ag no, other rappers say “farakans a prophet that I think ya oughta listen to…black is back all in we’re gonna win…”.",2022-02-05T21:31:05Z,3
17,UgyyGAIPVDvtIvbLmqJ4AaABAg,ag,"Did Jay Z and other rappers say that going into a black neighbourhood was like ""walking into the planet of the apes""?",2022-02-05T19:43:37Z,5
