,id,comment,author,likecount,publishedAt
0,Ugx_JQr97j7xvwQBn9R4AaABAg,For all the mum's ❤️ god bless you,Sharleen Blando,0,2022-05-08T00:08:57Z
1,UgzJ-SNJmeYog4d1ayp4AaABAg,"Hey I've been loving this song since I was a teen, still one of my favorite jams 💖 
Wish we had this type of beautiful music still made in the present times",Claudia Bee,0,2022-05-07T19:00:07Z
2,Ugy7XmbtXvfPqWrSnp14AaABAg,2022🤍,beryl ntunzela,0,2022-05-07T11:25:09Z
3,UgyuoW7CkQVVPdXvmRp4AaABAg,Childhood Memories,Jeffrey Shipp,0,2022-05-07T08:37:55Z
4,Ugxi4xkW1IsBpVjcRNl4AaABAg,This definitely a clean your house song😭,Tana from Gates,2,2022-05-05T17:51:59Z
5,Ugx7nWRjdgrc_yVf4Wt4AaABAg,♥️♥️♥️♥️♥️♥️,IN THE CAR WITH Alexa,1,2022-05-01T15:24:56Z
6,UgzN2Y7Q7Z3rzyzB_6V4AaABAg,BEAUTIFUL QUEEN,IN THE CAR WITH Alexa,2,2022-05-01T15:24:47Z
7,UgzlWIyAk2jNlQAgzS94AaABAg,We need more artist like this now days much lovexo,M Shiree,2,2022-04-30T22:51:02Z
8,UgwnwkB8TSv4EEO2fv94AaABAg,🙈,Bob No name,0,2022-04-30T01:39:06Z
9,UgwCSZm73iPSgSoMD1J4AaABAg,When I was doing ballet and my mom was our teacher she would put this song on when we stretched. I really like this song and boy has it been so long since I've heard this beautiful song :3 too bad I never got to hear it when doing gymnastics and cheerleading ;-;,redwolfdragon KiraNGordonDJ,1,2022-04-27T00:24:23Z
10,UgxtVRvBDQDBJJOtoch4AaABAg,whatsgoingon?anywayimrighteousforwardhsmvsusvotswasmsa. ONLYFOREVERETERNAL,@noeyereplynofracturesno@yeseyereplypeaceyes,1,2022-04-26T12:17:51Z
11,UgwAGScLqe2Btl5-3rF4AaABAg,Talking about Black girl Magic,D-Kitty,3,2022-04-26T11:24:16Z
12,Ugw6sGY_v-DBpgfGVmV4AaABAg,I love this feel good music from India ❤️❤️,Nayma Windem,2,2022-04-26T08:04:46Z
13,UgxGXWwUsPHFOVWZVR14AaABAg,❤️♥️❤️♥️💛♥️🧡💚💕,Terahn Terrell,0,2022-04-26T05:26:32Z
14,UgzTqUH53kBQA_k3EDZ4AaABAg,Yes....India crew...thank u....how I feel about myself...❤️💋Beautiful,MekaMeka,1,2022-04-25T07:37:29Z
15,UgxhW_IHMtmg0l2Qz6x4AaABAg,India taught me to love myself because what God created was just fine. 💓💗💖💗💓,Faith Cockrell,2,2022-04-23T19:47:34Z
16,UgzMhv1G564n0l-TRGt4AaABAg,2022 we still vibing to this right here👌👌🤝,khotso m,2,2022-04-23T09:28:17Z
17,UgziNnmy_rAbxO9rV4t4AaABAg,🤠,alfonso sanchez,1,2022-04-23T07:28:24Z
18,UgweUNOyFsQYVn2Re6p4AaABAg,You guys gotta listen to this every morning 🥰♥️,Jymeeka Vickers,2,2022-04-21T19:22:22Z
19,UgwcCP7lYF0CextIISJ4AaABAg,So beautiful,Mika-eel Hoven,2,2022-04-20T14:40:32Z
20,Ugxw4lCmfP4S3zL4UCB4AaABAg,No quote...no cap...im not the average girl from a video...sangin,Danielle Miller,1,2022-04-19T14:41:28Z
21,Ugxtlvmwjk--RE6sOBh4AaABAg,Timeless ❤️❤️❤️,Nikky Shamz,1,2022-04-19T12:52:55Z
22,UgwjRW2NnBKbaT-yG7p4AaABAg,I love this it's a feel good song!❤️❤️❤️🤗🤗🤗,Toni Warren,3,2022-04-18T19:35:06Z
23,UgzWqB4enFsG5bQewTV4AaABAg,Just because those women chose to represent themselves in a different matter doesn’t make them any less significant they have goals a well,markco chattman,0,2022-04-15T22:13:31Z
24,UgwPSC9WKe-hSiiseQl4AaABAg,Music is a industry it has to represent all cultures and all walks of life,markco chattman,0,2022-04-15T22:08:44Z
25,Ugx-NnwQSZog4cTdDnt4AaABAg,"I'm white guy with family from Europe and South America - My mom played this in her car when I was a kid. My experience with her and this music has definitely influenced the way I see all women. ""My Momma said a Lady ain't what she wears but what she knows.""  This is a song for all of the real women in this world. No matter what you're going through. Real men love you!  Like Ms. Arie said - what God gave me is just fine!",Lago Rey,2,2022-04-15T06:41:38Z
26,Ugyf4Xy9Tc_B7qFhsed4AaABAg,This song is a masterpiece on repeat🥰🥰🥰,Suwaiba Bello,0,2022-04-14T20:13:05Z
27,Ugy-QrMDfyTYDH0FkU54AaABAg,🤟🏽💯,Kay Cisnaros,0,2022-04-13T17:17:47Z
28,UgyqsOivOHhWNyNIQlN4AaABAg,"what happen to the natural beauty 🤦🏾‍♂
oh how society has changed",FLORIDA-BOY,0,2022-04-12T02:47:42Z
29,Ugy4crwANtdClbJgKBZ4AaABAg,This is my new favorite song ever and it is my cousins too,Michele Herdlevar,1,2022-04-12T01:03:34Z
30,UgyDA5nawW8ihr3gbbl4AaABAg,My song everyday Saturday and Sunday morning,bobette ngoma,0,2022-04-11T18:51:30Z
31,UgwIfF4f4952m_l7iK14AaABAg,Her music is so good. Too bad she’s an sjw,Mirren,1,2022-04-11T02:13:33Z
32,Ugw6DWrByXmcOir4H4d4AaABAg,Who remember this song in proud family,Writeonn !,1,2022-04-10T20:43:40Z
33,UgwwT73gVXxtlvW6hT94AaABAg,"Y'all better listen to the lyrics. Indie speaking the truth. When God created you he didn't make any mistakes. God made each and every individual in the image of him. When you change yourself you're bascially saying God made a mistake. Unfortunately society has got people thinking you should change your looks, because so many people out there believing they should be perfect for people to accept you. If you're a strong minded person than you shouldn't care about what people think of you. Because in hindsight those are the ones with the problem trying to be so perfect. Remember people God don't make mistakes people make mistakes. #godisgood",Katie Brown,0,2022-04-10T06:00:11Z
34,Ugzoxkp4Rr0KID2gcp14AaABAg,Love love love,MS,1,2022-04-10T04:19:11Z
35,UgwMR3zHgCRY--xd1qR4AaABAg,"This is my favorite song because it always makes me happy. even when I am angry, sad or insecure, any emotion. Thank you so much for this song India!❤",Jazzlin Dijkstra,1,2022-04-07T08:12:45Z
36,UgxHMkNGr0NkP8c9n-d4AaABAg,Hard to believe this song hit the charts 20 years ago!,Harsha Sankar,0,2022-04-06T05:59:40Z
37,UgwsPcU4jwSbZANwVGx4AaABAg,i love thick nappy hair my daughter hair hair is thick kinda like mine and i love it endlessy i wouldnt it anyother way she is flawless!,Shela Matela,0,2022-04-06T00:42:39Z
38,Ugzgrcs68gAvuOI1-QJ4AaABAg,"🕯💌🔎🪞""When I look in the mirror and the only one there is me
Every freckle on my face is where it's suppose to be
And I know my creator didn't make no mistakes on me
My feet, my thighs, my lips, my eyes, I'm loving what I see"" ~ { Exactly how  the 🌻Creator sees every 👶🏿child}. 
🌈 ☀️🌍👸🏿🌻🕊🌟🌬",Qareem Knight,0,2022-04-04T22:48:16Z
39,UgxVGSPJWRuWyrSddf94AaABAg,Baby I love you ♥️♥️♥️🤣🤣🤣,Wiremu Mcmath,0,2022-04-04T08:48:02Z
40,UgzwnTEMmqTXIp3KNs14AaABAg,This song has helped me through so many confusing life stages. I never experienced women openly loving themselves until I bought a NOW cd with this song as track # 2. I go back to it now at least once a week but when I was younger it felt rebellious to listen to song proclaiming self love.,Amanda Rose,1,2022-03-31T07:42:23Z
41,Ugw-Aubrsi1WSRmv7KV4AaABAg,Her and Fatoumata Diowara are the most beeeeautiful women 😍😍😍,makattackaa,0,2022-03-31T03:18:04Z
42,UgzbFgJbi_TQi8VQ3OR4AaABAg,I love this song I lisen to it 4 times every day in the morning at lunch time at school dinner and before bed,Acaria Harris,0,2022-03-30T13:55:27Z
43,UgyAfVll9TnDmwhLBWx4AaABAg,This feels like a Sunday morning at the laundromat in the 2000s,uuloveguccii,1,2022-03-29T15:15:21Z
44,UgzWDlhOMpZ-CBeS4mV4AaABAg,"This song brings me back to summers as a kid in the early 00s...yellow sunshine, optimism, everything was right.",Camellia,0,2022-03-28T02:33:56Z
45,UgxwgWUbAvN1fsKX8694AaABAg,For personal use ignore:   0:41.   0:51,Leena Brown,0,2022-03-27T20:55:48Z
46,Ugwv2cH5IxOYuvsvUy14AaABAg,"Just like Lauryn hill, similar styles, definitely one of the best artist in the world 🌎 definitely doesn't get the credit she deserves, it's sad, she doesn't have to take clothes of are use profanity, she so respectful, the female Stevie wonder, miss this music so much, no talking about killing, or drugs, or twerking, sorry to the people who like that stuff.",Irwin Thomas,0,2022-03-27T16:36:55Z
47,UgzXh1j1M6pUW2LdsD14AaABAg,But I learn to love myself unconditionally because I am a queen 👑👸♥️🎶🕊️😍,Jordin T Brown,0,2022-03-27T14:28:40Z
48,Ugy_31BzxYG1zFTPJ9t4AaABAg,But I learn to love myself unconditionally because I am a queen 👑👸♥️🎶🕊️😍,Jordin T Brown,1,2022-03-27T14:28:07Z
49,UgxX3dx2rHPPrakHGi14AaABAg,I knew India Arie was Omo OSUN 💛,Bruja Afrikana,0,2022-03-24T05:12:28Z
50,Ugyip-cDf9SmOxmjPGl4AaABAg,this song is amazing and always will be,mimi gasper,0,2022-03-24T01:53:28Z
51,Ugy5aOD3NlPi0glMmg14AaABAg,Ariana singing this amazing song on sweetener world tour ♥️♥️,Flash Mashups,1,2022-03-23T18:08:45Z
52,Ugz7zoCwO-c9sJcHOP54AaABAg,Love my natural self. nothing wrong with being u,Marsha Navarro Roberts,0,2022-03-22T02:15:16Z
53,Ugy4PBAUyaQNodHPvYd4AaABAg,I started having insecurities when I was a teen and still do and I’m 29. Wish I heard this song since then but now I’m feeling better. It’s never too late. 😊,sonic18shadow,1,2022-03-22T00:02:14Z
54,UgxejZ1KIyiaCB-Ba8B4AaABAg,"Every woman 20 years old and up needs to really pay attention to these lyrics so we dont get another lost generation of women like the ones my age smh.. they forgot this message, they sre having surgery on a whim!",Roddy's City,0,2022-03-21T16:23:32Z
55,UgyFJbbvaDfasaIaOBN4AaABAg,This song is at the age where it looks like it could have been made today 😂,Chloe Forsythe,0,2022-03-21T16:00:08Z
56,Ugw9m1uWDYXvNv-PCEJ4AaABAg,"I never noticed,   this is Akinyele beat",Carem Lamar,0,2022-03-21T15:59:04Z
57,Ugy-pHO759cGpjes5Dt4AaABAg,This song makes me happy when i'm down. It was the anthem of quarantine for me. <3,crazy4corbinbleux,1,2022-03-20T18:54:31Z
58,Ugwmui-1_jmG4l47idl4AaABAg,Sickle cell disease has ruined my teeth. I feel beyond unattractive because I used to have beautiful teeth until Jan 2019.,GorgeouslyReal T.V.,1,2022-03-19T23:21:14Z
59,UgzivXASUFVwxmSmkiR4AaABAg,2022 still sounds good yes,Evelyn Jenkins,0,2022-03-17T00:06:14Z
60,UgxKuHtVXDrYk0A4q8F4AaABAg,🧡🍊 7!!!!,T,0,2022-03-16T22:42:09Z
61,UgwHmcPQMS3EaLl776h4AaABAg,Queens!!,T,0,2022-03-16T22:40:43Z
62,UgxVRmRTQylj-_jGQnl4AaABAg,This is real talk!!! Wya. Go public with Tamara or the reelz,T,0,2022-03-16T22:39:21Z
63,UgyoDpADtL19Rs5ZSR14AaABAg,India got that feel good music ❤️,Sharmella Ivey,0,2022-03-16T22:06:40Z
64,UgzKuTsQ7H5KtrbZrfZ4AaABAg,This is still my favourite 🤩,summer Andrews,0,2022-03-16T20:05:50Z
65,UgzL7q52HR4LxKeIdnZ4AaABAg,First comment ive ever posted on any song or youtube but let me just say I am going through a very bad time (bad relationship) and stuck in a bad place in my mind...never heard this song before even though im already 30 but came on a playlist and haven't stopped playing it. Been crying my eyes our for hours but once this song came on all my worries went away. Thank you India Arie,Carly Bogar,0,2022-03-16T00:50:46Z
66,Ugz18LC89rI-LHzA0rJ4AaABAg,Is it bad I love this song more than myself,Sim!!!,0,2022-03-15T03:50:43Z
67,UgwOOBrPpwWML5EOaD94AaABAg,👑❤️👑❤️👑❤️🥰🥰🥰🥰,Delores Remy,0,2022-03-11T18:13:21Z
68,UgxYtt5ny1jUsSW6scd4AaABAg,... I will make up for loss time.   Auto repeat on this song. Reminds me of good old days,Aliyu Ahmed,0,2022-03-10T13:14:16Z
69,UgyV4otD2VNirKXQAEt4AaABAg,tun interlude,Hugo Costa,2,2022-03-08T20:25:56Z
70,UgyoSA5SaaJe3wQ0iZd4AaABAg,https://youtu.be/TCSUKIhjevo,Preaching the Gospel,0,2022-03-07T15:22:39Z
71,UgyoEuFWqS4R8GLpkDt4AaABAg,Love this Song,Denise Riley-McCray,0,2022-03-07T11:17:25Z
72,UgzbO56wADGnjY7T9-J4AaABAg,This woman have been telling us to love ourselves for so many years 🥰💅🤳🤾🏾‍♀️💃🏿🤸🏾‍♀️,Kimone Pusey,2,2022-03-07T01:58:02Z
73,UgwVpa_BnNj6vbhw-Cx4AaABAg,Any 00s kids remember on proud family when the gross sister got the makeover,Daydream1990s,1,2022-03-06T17:51:02Z
74,Ugw0n1P64wVpXllOgip4AaABAg,She doesn't get enough recognition..,Daquiri price,0,2022-03-06T01:11:30Z
75,UgxrgMV16IJCKQUUVap4AaABAg,This was my mantra yes yes yes!!! If you don't love you you don't know who you are. God made perfection!!!! Love some me!!!!,Ester Willis,1,2022-03-05T14:54:20Z
76,UgwfHsLP-fQ3ToidNkh4AaABAg,Who else heard this from proud family 😂😂,HONCHODINEROTV,0,2022-03-05T06:05:58Z
77,Ugw4aWaLM7pOpCQS94d4AaABAg,"I love this song, found it from a health assignment, but I'm absolutely loving it :)",Hydrogen Productions,0,2022-03-03T21:40:14Z
78,UgytrpKdG2ML7BWG3aB4AaABAg,found this today made me so happy😍,Gaëlle,0,2022-03-03T07:26:28Z
79,Ugxnkr56hcuwdrCe9KV4AaABAg,85 south plugged me to another banger,jalen jackson,0,2022-02-28T22:28:02Z
80,UgyjPT9QSsuGw7G3-5x4AaABAg,Power to those that need the power n upliftment 💪🏾🙏🏽🗣❤,George Clooney,0,2022-02-27T22:07:22Z
81,Ugy1VApJ2Cf_cZ67tGV4AaABAg,Wow I havent heard this sin e single digits shit,George Clooney,0,2022-02-27T22:05:21Z
82,UgwO0-bkrBYgcbcfyuB4AaABAg,I love this song. Thank you India for such a beautiful song it helped a lot of us more than you may ever know. ❤️ ❤❤🥰,sheila mccume,0,2022-02-26T07:43:29Z
83,UgxrZH_jLi083hFGnPl4AaABAg,I been listening to this song 3 days straight.  Too all women stand tall and love yourself first because noone is going to love you like you 💯,james graham,0,2022-02-25T19:23:07Z
84,UgxBZetG4Cx_UA9rFK94AaABAg,"WE LOVE U SISSSSSSSSSSS, Please Re- Release this Album",Broc Diamond,0,2022-02-25T17:52:57Z
85,UgwToydx78ijyWMzcRR4AaABAg,we song this song in music class all the time and started learning it i miss music class,PALA’R,0,2022-02-25T01:13:41Z
86,UgzFd-xF-1H5qOFTIHx4AaABAg,Still a bop 😍♥️,Jas Hen,0,2022-02-23T22:53:40Z
87,UgzIPcwAfhTVmeNoL3N4AaABAg,Yes ma’am 💐💐🥰🙏🏽,Brittany ♒️💐,0,2022-02-23T00:56:20Z
88,UgzLNHhpGEf3RRhA4kZ4AaABAg,She’s underrated !!,Charisma Pruitt,0,2022-02-22T23:24:21Z
89,Ugyst7Y2PQO-afSMGjp4AaABAg,"Music to my soul ......still a hit then, now and always... positivity in music to empower black queens, all queens. Thanks Indie!",Divinely Annointed,0,2022-02-22T18:22:11Z
90,UgyfusBbH7JzE08RkMN4AaABAg,"""Don't need your silicone, I prefer my own, what God gave me is just fine.""

India don't know how many women she taught to love their self with that line ♥️🤞🏽",Jordin's Fruitful Ministries,16,2022-02-22T00:59:36Z
91,UgxqPfLVVBAWKJtRq1l4AaABAg,so thankful I listened to this in my 20s. now I feel it even more.,Whitney Velez,0,2022-02-21T08:48:38Z
92,Ugzd1dQ8-PzCS2YG3qV4AaABAg,😭😭😭😭😭😭😭😩😩😩😩😩❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️☮️🙇🏿‍♂️🙏🏿💆🏿‍♂️,Unknown Dallan,0,2022-02-19T10:22:15Z
93,Ugya9JAJ5U45H1PhxSZ4AaABAg,My pops use to bump this joint back in the day. We need more songs like this on the radio a lot of people need to love themselves.,X Box,1,2022-02-19T03:40:15Z
94,UgwBj4Ag6ghsnY8LFQx4AaABAg,I really envy her self-esteem. She's got a gift!,Ryan James,6,2022-02-18T18:18:01Z
95,UgxwFGfSlEyj4-N-qvF4AaABAg,❤️,Kamryn Mai,1,2022-02-18T03:10:46Z
96,UgwFTVEax5JGJ19GWwh4AaABAg,"The way that she was holding the number 3 speak volumes as well. But I'm sure most people missed that, it went over their heads.",Ladenna Young,1,2022-02-17T15:08:29Z
97,Ugx5I0Alph14gb8urb54AaABAg,Why is joe a conscious Racist? Please Explain?,RAGADIP,2,2022-02-17T08:22:19Z
98,UgzDsmrDDj0IzfpeEsN4AaABAg,This is what's up with Americans. Promoting obese people. Making it OK to have 20 cheeseburgers a day. These people are a big burden on national health. Because of their laziness. I find it depressing that people think it's OK to look like this.  Obesity is worse than covid.,Scott Coleman,1,2022-02-17T03:14:31Z
99,Ugx1kRLWhy9Jza5GQJ94AaABAg,never gets old ❤ 🎶,Apo023,2,2022-02-16T11:02:17Z
100,UgxcjKH-wJIlIepSjTZ4AaABAg,❤️  ❤️  ❤️,Adonfffunk,1,2022-02-16T10:01:14Z
101,UgwI91uo-uEgNhhI-N94AaABAg,You are amazing!!  So empowering!!  So relevant!!  Please keep doing what you’re doing.  You are so talented!!,Diane S,1,2022-02-16T04:15:25Z
102,UgyWpnxCBL-u5VaKuLt4AaABAg,anyway..i prefer Dionne Farris,Maseo Twelve,2,2022-02-16T01:26:51Z
103,UgyXkU6fm3medG-nQPl4AaABAg,oh i get it now..you did one cool thing..and 20 years later youre mad at Spotify and Joe Rogan...okay....were you mad back then?,Maseo Twelve,4,2022-02-16T01:25:04Z
104,UgzfuvJ_vevOLgRSA9N4AaABAg,🤣,julie ryan,2,2022-02-15T22:19:20Z
105,UgxXeG4q75WUJeNuHdV4AaABAg,Idk how I ever forgot about this song but it will be going on my daughter's play list RIGHT NOW!,Swaggchu,2,2022-02-15T19:50:34Z
106,Ugx1486PIQWF_h11Gqd4AaABAg,India Arie is a Mega Racist.,Violet Eyes,2,2022-02-15T14:01:35Z
107,UgyoGyv1OKGmVQ809Xd4AaABAg,Wisdom is its own gift,Thomas Myles,0,2022-02-15T12:22:13Z
108,UgwfgYnBPe2hLvsxzdN4AaABAg,After Trevor Noah i had to 🇰🇪 🇰🇪 🇰🇪 🇰🇪,kenwrick Wairagu,0,2022-02-15T06:44:47Z
109,Ugzi_Edo3tTlPwz9Iyt4AaABAg,"FYI Indie Arie I agree that no one should say the N word. and I MEAN NO one. But your wrong About Spotify taking Musical artist money and giving it to Joe Rogan, I believed you agreed with you and felt bad for you. BUT YOU LIED, or your Ignorant. Joe Rogan is also on Youtube maybe Removed Your Music from here also. Cause 13.8 million subscribers which he has times that by 10 bucks a month spotify cost the user to listen to him. So Joe Rogan makes them $137,862,000 month for them. So 100 million a year is fair. but lets BAN the N word instead of letting black people carry it into the future, so Emotionally and Morally retarded people can learn about it and use it to offend Black people. So that black people can bigot other races like an evil circle of life. The N word is just used by all races to divide and Conquer the Human Race Period.         If this Offends anyone I am Sorry you feel that way your feeling are real although invalid as that isn't my intensions whatsoever, and i refuse to engage in hate. my problem is I suffer from Tourette's so my brain just says shit out of the blue without my permission and out of my control, so Black people saying it around me put me at risk of saying it, or passing and getting dizzy from trying to control my tics.   ref https://www.youtube.com/watch?v=70ydMtRfSPc",Belvavoss Drakenfyr,1,2022-02-15T04:42:07Z
110,UgzZ94IdLOAxnH9zSVB4AaABAg,I love her voice!,Jane Jackson,0,2022-02-14T05:36:49Z
111,UgyCAQGNZIC5qheeWt94AaABAg,"Nasally, self-absorbed and all-around just awful.",David Chambers,0,2022-02-13T05:56:19Z
112,Ugz3OKvBePdbKJ9FuV54AaABAg,"Just a note to say I appreciated your classy follow up move statement this year,Ms. Arie!
Love & Favour",Laura Kakuris,0,2022-02-12T17:09:20Z
113,Ugyii4ckeCIExinfW354AaABAg,Shut your mouth!!!!,behemothpl,0,2022-02-11T23:10:47Z
