,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgzHYGOezaMGtUEixzx4AaABAg,Юра Остапчук,Ви крутий дует зі Соломією. Отримую задоволення від багатьох ваших пісень 🤝💪💪,2022-05-04T19:46:41Z,0
1,UgzHYGOezaMGtUEixzx4AaABAg,Ирина Литвинцева,@Олеся Бикова не могу сказать только в хорошее это основа для глаз на сайте к сожалению не смогу 😔 и все будет в наличии и на сайте из мобильной связи тогда и будем рады видеть вас в наличии возьми пожалуйста 😘🤗❤️💛💙❤️💜🖤💚🤍🤎💙💛💜🖤♥️🐁🌼😺🇺🇦 нас есть покушать и все это время у тебя есть возможность купить пачку наполнителя для каждого из школы сады и парки и я тебя люблю заюшик сильно не могу найти в интернете и г в субботу на нее и не могу сказать точно нет возможно ли получить от вас там дела у вас ее в адресную и не только самолётов и я не хочу чтобы вы где находитесь 😥 как и в каком количестве не было возможности отправить личное дело каждого из вас не получается у меня есть время на перманент и все это в принципе я готов оплатить половину суммы и я тебя люблю заюшик ты все равно надо будет ещё раз добрый и я вам напишу и отправлю вам скан договора на поставку товара и я тебя очень люблю г не 🖤💜💛💙🤎🤍💚❤️💙🤎🤍💚🖤💜💛😺🇺🇦,2022-05-02T07:54:25Z,0
2,UgzHYGOezaMGtUEixzx4AaABAg,Тамила,Найкрутіші,2022-03-22T07:28:18Z,0
3,UgzHYGOezaMGtUEixzx4AaABAg,Lyudmyla Dmytrenko,Клас,2022-02-24T16:19:26Z,0
4,UgzHYGOezaMGtUEixzx4AaABAg,Olga Garkavenko,"З задоволенням послухала вашу пісню. Дуже талановиті, молоді й красиві.Дякую вам!👍👍👍",2022-02-22T17:13:44Z,0
5,Ugz3_6h140rOlUy-n8R4AaABAg,Natasha Jakoohno,"🌃🌉🚕🌃
Only not today...
don't go away...
don't take a taxi...
because without you
all city lights go out...",2022-04-11T19:11:20Z,3
6,UgzByxlbplQlwmQE8Rp4AaABAg,Максим Чуєєв,@Odessa Live так це ж макіяж. Губи можна домалювати спеціальним олівцем,2022-03-19T13:06:48Z,1
7,UgzByxlbplQlwmQE8Rp4AaABAg,Odessa Live,"@Максим Чуєєв вы хотели сказать до ЧОГО ? ну до того что жаль когда симпатичная девушка с красивыми от природы губами,  превращает свои губы в жопку курицы )",2022-03-19T10:53:24Z,0
8,UgzByxlbplQlwmQE8Rp4AaABAg,Максим Чуєєв,А до того тут її губи ви приплутали?,2022-03-19T07:30:50Z,0
9,UgzYAjXSM9rdgWCURoR4AaABAg,Ирина Литвинцева,Проть.     Ясно💙💛,2022-05-02T06:56:12Z,0
10,UgzYAjXSM9rdgWCURoR4AaABAg,rimma sobolevskaia,"Пробач Україно ,пробачте згорілі Міста - ми молитимимось за Вас  ...пробачте .",2022-04-17T22:55:42Z,2
11,UgzYAjXSM9rdgWCURoR4AaABAg,Жанна и Сергей,😓,2022-04-07T22:19:22Z,1
12,UgxL5Fe2D0rW2FtosjR4AaABAg,Diana Grygorets,"Ella le pide que no desaparezca hoy en el taxi, porque sin él todas las luces en la ciudad se apagan...él tambien està describiendo sus emociones por no estar con ella, pero como son más emociones puras que palabras es bastante dificil traducurlas asi de repente ☺",2022-02-27T06:23:56Z,1
13,UgzbYicgn6CRLeMmmeF4AaABAg,Jaggerside,"@Alex Nick по факту везде можно говорить все, но везде разние последствия в Украине есть саобода слова, в росии видимо нет..",2022-03-23T04:40:20Z,5
14,UgzbYicgn6CRLeMmmeF4AaABAg,Alex Nick,"@Jaggerside как жителю украини, скажу тебе, в России можно говорить всё, но последствия непредсказуемы, так что фильтрация не повредит.По итогу дела дрянь)",2022-03-22T21:46:17Z,7
15,UgzbYicgn6CRLeMmmeF4AaABAg,Jaggerside,"Скажите пожалуйста честно, мне жителю Украини интересно, Есть свобода слова в росии?",2022-03-14T10:52:38Z,5
16,UgzvmfZbrSdqlThryeV4AaABAg,Андрій Кириченко,@HeadSilent Як заплатили - так і покосив.,2022-01-22T09:36:40Z,0
17,UgzvmfZbrSdqlThryeV4AaABAg,HeadSilent,Що за партак? Чому так погано покосив?,2022-01-21T19:19:18Z,0
18,UgxA7t7JttUn9leOd0J4AaABAg,Ichigo,І що? Тебе це не стосується,2021-12-09T22:25:34Z,1
19,UgwL3r6aIFu90adLI9F4AaABAg,Artem Butenko,Бог в поміч брат! Тримайся… все добре…,2022-01-23T11:48:06Z,2
20,UgwL3r6aIFu90adLI9F4AaABAg,john smith,У меня друг два раза женилься на своей жене. Так-что еще есть время.,2021-12-09T22:06:41Z,3
21,Ugy1x3Y3atBjw7j8esx4AaABAg,Олег Немеровец,"І без цього дібільного ямайського ""вайбу"". Це щось наше.",2022-04-19T21:21:28Z,0
22,UgxdrYznxIyAcSVyU_d4AaABAg,KALUSH,приємно чути) хотіли б більше колаборацій?,2021-11-23T17:50:38Z,0
23,UgzXxhz2PZqauZnkvMh4AaABAg,KALUSH,вам теж респект за підтримку!,2021-11-22T14:31:02Z,1
24,UgzpC9RF7L1fMS09sKN4AaABAg,KALUSH,і вам!,2021-11-22T14:36:07Z,0
25,UgxA2Qt5t90aTlbIV5l4AaABAg,KALUSH,"вдячні, приємно чути! хотіли б вживу послухати?",2021-11-17T14:49:38Z,0
26,UgyX30wg7I-mYXOiPCt4AaABAg,KALUSH,дуже приємно!,2021-11-09T15:14:53Z,1
27,Ugxcf79NCE946scTFGd4AaABAg,OBSERVER from UKRAINE,"@KALUSH на жаль, таких колаборацій не слухав, чесно кажучи і не знав, що вони є, але обов'язково послухаю, і надам зворотній зв'язок",2021-11-10T19:16:06Z,0
28,Ugxcf79NCE946scTFGd4AaABAg,KALUSH,приємно чути! ще якісь з наших колаборацій подобаються?,2021-11-09T15:16:18Z,1
