,id,comment,author,likecount,publishedAt
0,UgzHYGOezaMGtUEixzx4AaABAg,"Дякуєм за перегляд! нас мотивують ваші коментарі, лайки та взагалі люба взаємодія з нами.. тому будем вдячні за підписку на наш інстаграм, там всі новини нашого гурту.. 

https://www.instagram.com/kalush.official/?hl=ru",KALUSH,1766,2021-09-09T20:28:24Z
1,Ugzb7K8ZbU4nhYt1My14AaABAg,"Хотите по рускому? Я от держави получил такой прес что вам блядь и НЕ снилось, меня любят за мою ПРАВДУ",Дмитрий Беринец,0,2022-05-08T12:19:43Z
2,UgzQZ1CJ8vBqLxPQ_BV4AaABAg,тільки не сьогодні,Jolymoon,0,2022-05-08T03:17:14Z
3,UgzzV0f34Mzl1MlpxnB4AaABAg,Ви круті!))),Boris Getman,0,2022-05-07T18:09:23Z
4,UgzMVG9kP3jHSRNc17Z4AaABAg,"Те кто пишет про размер ее губ, ей надо было у вас разрешения спросить? Или спросить вашего мнения? Не нравится,не смотрите",Светлана Попенко,0,2022-05-07T07:37:44Z
5,UgxIDmns4V4GAD0UgFd4AaABAg,На победу нашу поедем в такси в освобожденный Крым на концерты ваши)),Тони Старк,0,2022-05-06T01:08:49Z
6,UgwKb776E8EGA3ukez54AaABAg,Це неймовірно класно...!!!,Ольга Бережанська,0,2022-05-04T22:39:28Z
7,UgxAZ6oQmPXhsVfZfid4AaABAg,❤️❤️❤️❤️,Юлія K.,0,2022-05-04T22:34:16Z
8,UgzUCWZynUAFQqUmRAh4AaABAg,👍👍👍👍👍🔥🔥🔥🔥🔥👍👍👍👍👍,Nekrasov Nick,0,2022-05-04T11:00:50Z
9,Ugx-SBGa5xdtVQDb77l4AaABAg,Can someone nice give me the name of the song?  https://www.youtube.com/shorts/GyBSqc93aW4?app=desktop&fbclid=IwAR324aw76HjBmr-hBoNYPDkHP6N-DEonXYryX1aupDq3b2OaiXW9TBw0Oss,Andrzej K,0,2022-05-02T20:46:31Z
