,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgzjxRE5817q6KY3B7x4AaABAg,lc gagne,mon coeur es pour l ukraine et pour toi chere kazka,2022-03-06T23:29:00Z,0
1,UgzjxRE5817q6KY3B7x4AaABAg,Мария Маток,@Shreejith Shaji скажы и я умру,2022-02-08T18:27:18Z,0
2,UgzjxRE5817q6KY3B7x4AaABAg,Мария Маток,"Це добре шо розумешти, пула й пешти",2022-02-08T18:26:52Z,0
3,UgzjxRE5817q6KY3B7x4AaABAg,Milionário Digital Suporte,Brazil. Traduz para português,2022-01-21T19:30:39Z,3
4,UgzjxRE5817q6KY3B7x4AaABAg,Shreejith Shaji,Love from India 🇮🇳❤️,2022-01-20T17:13:38Z,6
5,UgzpxEvzjyRiw00z-IF4AaABAg,Aleksey Alexej,недолго им осталось!,2022-04-14T21:34:16Z,1
6,UgzpxEvzjyRiw00z-IF4AaABAg,Temir Talapov,"Извините, вместо букв отображаются смайлики с блевотой. Попробуйте перенабрать",2022-03-31T00:18:58Z,6
7,UgwkkvlcMeHikTaEEMx4AaABAg,Группа SESTRIKOVA,2 года снятая серия Говорящий Том Бег За Золотом В Реальной Жизни 3 Сезона смотреть,2022-03-25T09:37:43Z,1
8,UgxPn44UmlmmInZncgN4AaABAg,Дарья Ушакова,"Привіт! Українська мова возрождается. Украинцев в Украине ущемляют, я буду защищать свой язык",2022-03-12T01:41:34Z,0
9,UgzpdNqcqOpelSHo0WB4AaABAg,Владимир Бондаренко,"@Дарья Ушакова Дарья , я не являюсь ,как Вы выразились тупым и провокатором , разве кто то притяснял украинский язык? Нет . Он был , есть и будет . Население Украины может говорить на разных языках. Так конституция гласит . Всего наилучшего Вам . Берегите себя! С Уважением Владимир Бондаренко",2022-03-22T09:03:47Z,0
10,UgxV5u2bIP6r-kXiiRt4AaABAg,Alexander Gun,"Лучше чем ""Плакала"".",2022-02-08T18:21:46Z,0
11,UgzZZ05rF9apnbBWZP94AaABAg,Alexander Gun,"Почему АТБ,  а не Копейка? Я русалку, рассматривал.",2022-02-08T18:30:26Z,0
12,UgwOPUJpf54LZDVgq-94AaABAg,Alexander Gun,"Буквы все узнал,  слово не угадал 🤗",2022-02-08T18:34:01Z,0
13,UgwOPUJpf54LZDVgq-94AaABAg,Алексей,"Читать название видео и соответственно ник автора не умеешь?
Вот это действительно ужас.",2021-12-24T13:28:47Z,2
14,UgxyvD5vGwB_R4swqi54AaABAg,Юлія Яценко,")))) ну ви зробили мій вечір з ""фантастичними тварями"" )))) А пісня і група супер круті )",2022-01-14T16:58:42Z,0
15,Ugx1Ey_Rt4zdR2gD1x54AaABAg,Людмила,"Тебя, тетерев, должно бесить то, что ты глухой, а в песне поётся: якщо це не кохання, то що?( если это не любовь, то что?) Если ты украинского не знаешь, то хоть как не выговаривай слова, не поймёшь.",2022-01-18T01:13:12Z,0
16,UgwjE5Qn0bjbphndi8d4AaABAg,LisaBona,@Stefan Kochmar Приветствую )) ♥,2022-01-21T11:51:39Z,0
17,UgwjE5Qn0bjbphndi8d4AaABAg,Stefan Kochmar,Вітання з Карпат.,2022-01-17T17:18:10Z,1
18,UgwjE5Qn0bjbphndi8d4AaABAg,LisaBona,Целиком и полностью? )),2021-12-11T06:01:01Z,0
19,UgwjE5Qn0bjbphndi8d4AaABAg,Dmytro Politiko,"…розплинуся в Тобі, і вічно житиму.",2021-12-11T01:30:00Z,1
20,UgzK8EWk8l9x65_tbtN4AaABAg,Liljondr,0:09 Дивіться на пакетик),2021-12-09T07:34:33Z,1
21,UgzO_MxcAPO-kpm-jG54AaABAg,АЛЕКСАНДР Червонный,"Приезжай домой, земляк. Вместе поплачем",2022-02-22T22:17:21Z,0
22,UgzO_MxcAPO-kpm-jG54AaABAg,GD 367,Так їжай на батьківщину,2022-01-18T12:49:11Z,0
23,UgzO_MxcAPO-kpm-jG54AaABAg,Svitlana Ch,❤,2022-01-10T22:14:33Z,1
24,UgzO_MxcAPO-kpm-jG54AaABAg,Вдруг КакВсказке,Como estas amigo? Saludo desde Valencia (Espanya),2022-01-02T19:40:23Z,3
25,UgyrLuSZokWl_83nF6d4AaABAg,моисеенко иван,и давно ты с мовой знаком?,2022-01-30T19:23:11Z,0
26,UgyrLuSZokWl_83nF6d4AaABAg,Andrusyk Yuri,"і співає мовою, а не кричить язиком",2021-12-05T17:49:49Z,3
27,UgwXqpIVZ4OiMcFKsFt4AaABAg,vita bilash,Оті сім нот співають і співають. Нема ума  якусь нову ноту придумать. Давай ти придумаєш. У тебе вийде.,2021-12-07T19:55:20Z,0
28,UgyGZZOT9e7Qvg9Zq1R4AaABAg,Max Lichko,@GD 367 Кому как. Мне - хорошо,2022-01-19T05:52:47Z,0
29,UgyGZZOT9e7Qvg9Zq1R4AaABAg,GD 367,В США хорошо 👍  живётся?,2022-01-18T12:51:51Z,0
30,UgxTFgUzo1Qmf2wJP1p4AaABAg,vita bilash,"@Kanal Sp А ты посмотри, что чирикают ваши пленные)))). И мы-  не встретимся. ))))",2022-02-25T17:09:34Z,0
31,UgxTFgUzo1Qmf2wJP1p4AaABAg,Kanal Sp,"@vita bilash короче, пока, времени на таких предпочитаю не тратить)
Встремся тут чуть позже)",2022-02-25T17:06:05Z,2
32,UgxTFgUzo1Qmf2wJP1p4AaABAg,Kanal Sp,@vita bilash посмотри на альтернативном телевидение ( читай не на русском!!!!) что чирикают ваши пленные! Ты праав!! Теперь я знаю кто такие украинцы👌,2022-02-25T17:05:11Z,2
33,UgyUp9cRVAx_MEiB7S54AaABAg,Юрий Новиков,Хорошая песня,2021-11-06T23:52:33Z,0
34,Ugww7fXcgQVNENmXcxt4AaABAg,Uladzimir Malets,"@Philosophy of Metal Я не крыўджуся на Вас. Магчыма б на вашым месцы я бы напісаў тое ж самае. Але стралялі не беларусы, а маскалі, якія фактычна акупавалі  нашу тэрыторыю і дзякуючы Лукашэнку ўцягнулі маю краіну ў гэту вайну. Не забывайце, калі ласка, таксама пра дыверсіі на беларускай чыгунцы, якія былі здзейснены беларускімі партызанамі, каб не трапіла зброя да Украіны, і пра батальён Кастуся Каліноўскага, які ваюе за Украіну. У вас ёсць самае галоўнае - свабода, а ў Беларусі зараз яе няма. Вашы слаўныя воіны адкінулі арду ад Кіева і гэтым самым яны фактычна выратавалі ад вайны паўднёвыя раёны Беларусі. Дзякуй за гэта. Я вельмі спадзяюся, што наступіць той час, калі рашка разваліцца  і мы канчаткова атрымаем свабоду і права на шчасце без маскоўскага міру. Слава Украіне. Жыве Беларусь.",2022-04-27T21:42:57Z,0
35,Ugww7fXcgQVNENmXcxt4AaABAg,Philosophy of Metal,"Вітання браттям білотрусам з обстріляного вами Житомира.
Гарного вам дня тварі! 🇷🇺☠️🇧🇾200!
Слава Україні виродки!",2022-04-27T06:07:52Z,1
36,Ugww7fXcgQVNENmXcxt4AaABAg,Mick D,Якщо це на білоруські мові. То все чітко зрозуміло. Дякую!,2022-01-25T12:36:20Z,4
