,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,Ugz64n7Xg1IlsFRCN4p4AaABAg,Галина Солтис,@M svit єє,2022-05-08T14:13:06Z,0
1,Ugz64n7Xg1IlsFRCN4p4AaABAg,Vova Gyruk,Як текст розгянеш,2022-05-08T11:29:29Z,0
2,Ugz64n7Xg1IlsFRCN4p4AaABAg,Наталія Михаревич,Ні,2022-05-03T09:59:29Z,0
3,Ugz64n7Xg1IlsFRCN4p4AaABAg,Инна Овчаренко,👍🙏🏼,2022-05-02T11:44:04Z,0
4,Ugy4O64GaxVynaxIKp94AaABAg,Mr. Rabbit,Підтримуй українське! круте відео про війну https://www.youtube.com/watch?v=a_rfU2qi3vg,2022-05-06T19:08:46Z,0
5,Ugzls5CebO6MLB5La2N4AaABAg,Mr. Rabbit,Підтримуй українське! круте відео про війну https://www.youtube.com/watch?v=a_rfU2qi3vg,2022-05-06T19:08:45Z,0
6,Ugx_3wk2nlvQU96MD_x4AaABAg,vita bilash,"Ми всі вдячні Вам, наші рідні.",2022-05-05T20:11:34Z,0
7,UgxWMn4GAJOhHIodD4l4AaABAg,Oksana Mazur,Дякую!,2022-05-07T18:25:30Z,0
8,Ugz_qgmkIgi1TutkvXl4AaABAg,Win Chester,"@Андрей Волошин Я не буду никуда заходить, мотив нагло скомуниздили у песни сектор газа 30 лет. Да, сейчас время плагиата, но отрицать очевидное не вижу смысла.",2022-05-06T13:55:24Z,0
9,Ugz_qgmkIgi1TutkvXl4AaABAg,Андрей Волошин,"При чём тут ""30 лет""??? Если скрупулёзно, то мотивы у них совсем разные. А если на вскидку, то зайдите на канал Скофы, у него все песни в подобном мотиве. Это его фишка. Я в принципе вообще даже удивился что это трек Калуша с участием Скофы, а не наоборот. Стиль более присущ именно второму.",2022-05-04T15:49:59Z,0
10,UgyS36YkahNVZsD1NDV4AaABAg,Катюха Кет,Героям слава 🇺🇦❤,2022-05-08T03:20:56Z,1
11,UgyS36YkahNVZsD1NDV4AaABAg,Юлия Ткаченко,Героям Слава🇺🇦,2022-05-07T14:49:40Z,1
12,UgyS36YkahNVZsD1NDV4AaABAg,Svetlana Semjina,Героям Слава!!,2022-05-06T19:40:56Z,2
13,UgyS36YkahNVZsD1NDV4AaABAg,Наталья Скубак,Вся Україна серцем в Маріуполі🇺🇦😢,2022-05-05T23:34:26Z,2
14,UgyS36YkahNVZsD1NDV4AaABAg,Ирина Мостовенко,Спасибо что Вы ( и вы) живы,2022-05-03T14:18:44Z,4
15,UgwV6FiKOC9JreZyCh14AaABAg,Андрей Волошин,"@Tidal Wave та нет там мотива. От слова совсем. Я даже пробовал разобрать на сэмплы. Сэмплов из СГ тут нет. Манера читки у Скофа отдалённо напоминает манеру исполнения некоторых песен у Клинских. Так же напоминает некоторые песни Цоя из ""Черного альбома"".",2022-05-04T16:17:23Z,0
16,UgwV6FiKOC9JreZyCh14AaABAg,Tidal Wave,@Андрей Волошин я не про манеру а про мотив. Это явно песня 30 лет Сектора Газа.,2022-05-04T16:07:31Z,0
17,UgwV6FiKOC9JreZyCh14AaABAg,Андрей Волошин,"Ну во первых не Калуш, а Скоф. Во вторых это его манера читки. У него почти все песни в такой манере.",2022-05-04T15:56:53Z,0
18,UgwK9c2nMoAjeo3YaIZ4AaABAg,Андрей Волошин,"А ну приведи хоть один сэмпл из всего ""Сектор Газа"", не только из ""30 лет"".",2022-05-04T15:58:45Z,0
19,UgwK9c2nMoAjeo3YaIZ4AaABAg,Roman Gren,Тебе с твоими губами лучше молчать... ничего родного один силикон,2022-04-30T22:39:17Z,1
20,UgwK9c2nMoAjeo3YaIZ4AaABAg,Vladimir Avramenko,иди проспись,2022-04-29T18:29:51Z,2
21,UgzDqorLA_s497CHeW54AaABAg,True,"@Nicolai Macovei и у нас было много таких ностальгирующих, но все изменилось 24.02.22, когда ракеты полетели в жилые дома ( дай Бог остановим это зло, людей невинных жаль,эту боль не утолить, с каждым днём всё больше невинных жертв (",2022-04-29T22:42:11Z,1
22,UgzDqorLA_s497CHeW54AaABAg,Nicolai Macovei,"@True все тихо пока... Тут у нас большой процент ностальгирующих по СССР и симпатизирующих путлеру... Процентов 20-25... Как по мне очень много, это ведь потенциальные предатели... Если сунутся сюда - возьмёмся за автоматы, хотя армии у нас практически нет, воевать нечем... Вся надежда на вас...",2022-04-29T22:27:01Z,1
23,UgzDqorLA_s497CHeW54AaABAg,True,"Вы меня зацепили комментарием, ведь действительно,если сейчас не остановить россию,они полезут дальше, уже и Польше угрожали, и странам Балтии и Финляндии... Спасибо всем кто поддерживает Украину в эту минуту, вместе мы сила!",2022-04-29T22:16:23Z,2
24,UgzDqorLA_s497CHeW54AaABAg,True,"Как вы? Что у вас там происходит? Дай Бог чтобы не дошло туда...верим в наших солдат,верим Богу и ждём победы! Мы остановим Россию с ее захватческими намереньями",2022-04-29T22:12:38Z,1
25,UgwwymZcYao_46aXK_x4AaABAg,Olchess,Слава Україні! Тримайтесь. Луганська область з вами! віримо у ЗСУ,2022-04-29T12:17:47Z,0
26,UgwwymZcYao_46aXK_x4AaABAg,Оля Кунта,Приїду зі Львова! Ви неймовірні! Надзвичайні!,2022-04-28T18:48:42Z,0
27,UgwvZRgPzFJYnO3TZE14AaABAg,Андрей Волошин,Аргументируй.,2022-05-04T16:00:22Z,0
28,Ugw5t_9QDGCJ0UnKw5h4AaABAg,Nazariss,Слава Украины,2022-04-27T16:41:31Z,0
29,UgybEyy8CU8GTohGnXl4AaABAg,душнила.,Факт,2022-05-03T09:45:26Z,0
30,UgyKBCVh_ObVWKRdQ3B4AaABAg,vita bilash,Верни все украденное украинское.,2022-05-05T20:19:18Z,0
31,UgyKBCVh_ObVWKRdQ3B4AaABAg,todor,який сектор газа? що ти мелиш дурне,2022-04-28T14:38:30Z,1
32,Ugy_G98KasB9xr2wISV4AaABAg,Дмитро,"За перемогу, миру з ордою та царем ніколи не буде! Тільки перемога, росія це країна рабів які дивляться телевізор, які вбивають та гвалтують українців вже цілу історію нашої Держави! Скільки болю завдала росія, ніякого миру не було і не буде! росіянин не вартий навіть одного подиху українця! Слава Україні - Героям Слава! Слава нації - Пизда російській федерації!",2022-04-24T17:27:09Z,3
33,Ugy_G98KasB9xr2wISV4AaABAg,Artem Fortunat,"Українці за перемогу, кому потрібен мир в рабстві за відсутності можливостей до самореалізації. Тому тільки перемога!!!",2022-04-24T13:04:44Z,2
34,Ugzs753JSZEGkT69Fwp4AaABAg,АртЧу,Так. Дуже схоже на Сєктор газа -30 лєт,2022-04-24T12:56:45Z,0
35,UgwbJwsXmJKcK7Qe03J4AaABAg,Александр Шевченко,Народна оцінка краще якогось євробачення,2022-04-24T08:21:51Z,1
36,UgzfcCDLn8Np9KzPY7x4AaABAg,Лена Мороз,"Я за вас очень , что вы выбрались  . Пусть Господь Вас оберегает   обязательно восстановим    город МАРИУПОЛЬ!!!!!",2022-05-08T08:45:54Z,1
37,UgzfcCDLn8Np9KzPY7x4AaABAg,Олександр Уманець,@Sergii UA Маріуполь стане перлиною східної України. 100%,2022-05-08T07:57:42Z,1
38,UgzfcCDLn8Np9KzPY7x4AaABAg,Takeshi Kitano,"Сказать что Очень переживаю за Мариуполь, ничего не сказать. Держись брат",2022-05-08T06:55:24Z,1
39,UgzfcCDLn8Np9KzPY7x4AaABAg,Sergii UA,"@ato spotting тому що це мій дім, місто відновимо",2022-05-07T20:34:39Z,3
40,UgzfcCDLn8Np9KzPY7x4AaABAg,Юра Кравців,Обовя,2022-05-07T20:30:21Z,0
41,UgyZn3ZwYnctwjtV7VJ4AaABAg,EXYGEN,@Дмитро согласен👏,2022-04-24T19:46:18Z,0
42,UgyZn3ZwYnctwjtV7VJ4AaABAg,Дмитро,"Народ Беларуси очень отличается от росии. В Беларуси свободний народ, он умеет противостоять власти, жаль только власть как путин! Но Беларуский народ свободний и это сближает Украинский и Беларуские народи! Мы братя, а руские нет. Живе Беларусь! Слава Украине!",2022-04-24T17:36:34Z,2
43,UgxVu2449dU8udJIr7h4AaABAg,Дмитро,@Vasiliy Vetrov нет я говорю факти от ваших же историков!,2022-04-25T06:19:36Z,1
44,UgxVu2449dU8udJIr7h4AaABAg,Vasiliy Vetrov,"@Дмитро ты чё,больной?😂",2022-04-24T19:57:54Z,0
