,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,Ugz0z-pWgfegkzfH96h4AaABAg,Галина Зайко,"@Фла Минго Почему нас так раздражает украинский национализм, желание наших братьев говорить и детей воспитывать, и вывески писать на своей мове? Даже Михаил Булгаков (в «Белой гвардии») поддался здесь неверному чувству. Раз уж мы не слились до конца, раз уж мы разные в чем-то (довольно того, что это ощущают они, меньшие!) — очень горько! но раз уж это так? раз упущено время и больше всего упущено в 30-е и 40-е годы, обострено-то больше всего не при царе, а после царя! — почему нас так раздражает их желание отделиться? Нам жалко одесских пляжей? черкасских фруктов? Александр Солженицын",2022-05-07T20:43:41Z,0
1,Ugz0z-pWgfegkzfH96h4AaABAg,Фельдман Шрайк,У гурта КАЗКА завжди відмінні пісні! Дякую за роботу.,2022-05-04T07:21:03Z,0
2,Ugz0z-pWgfegkzfH96h4AaABAg,Σταύρος Π,"Greetings from Greece 🇬🇷🇬🇷🇬🇷
Hope these 2 monsters from west and east stop playing chess inside Ukraine territory.
A fixed war from corrupted brains
My condolences and my support to Ukraine. And i wish Russia find a better leader soon. Russian people don't deserve that stigma of war criminals.",2022-04-29T17:40:19Z,0
3,Ugz0z-pWgfegkzfH96h4AaABAg,Галина Коршунова,For  marianwonderland,2022-04-25T08:52:01Z,0
4,Ugz0z-pWgfegkzfH96h4AaABAg,Галина Коршунова,You haven't heart.  And it's  your  problem,2022-04-25T08:48:50Z,0
5,UgxWtN96NZjNBRUpNvd4AaABAg,Mary Asana,Вера в КГБ ?,2022-05-07T16:50:53Z,0
6,UgxWtN96NZjNBRUpNvd4AaABAg,Жека Закриев,"Супер-логика. Напала Росссия, виноваты НАТО.",2022-05-06T10:43:39Z,3
7,Ugw7TLNoR6lrclnmvnl4AaABAg,Катюха Кет,Героям слава ❤,2022-05-04T23:38:00Z,1
8,UgxvBnvn0-b9yK67L-94AaABAg,Nazar Demchuk,"а это ничего, что в 2014 году на территорию Украины зашли регулярные войска московии или танки, грады, пушки из шахт откопали?",2022-05-05T22:20:26Z,3
9,Ugxi4R13ju-asY0pA014AaABAg,Mary Asana,"Любим вас херсонцы вы крутые,сейчас прилетело к нам в  Одессу .в соседнем доме напротив стекла повылетали.",2022-05-07T16:55:59Z,0
10,Ugxi4R13ju-asY0pA014AaABAg,Фрезер Топ  ✔,Херсон уже русский город,2022-05-02T21:02:45Z,0
11,Ugxi4R13ju-asY0pA014AaABAg,nizhnikiana,Тримайтесь. І будьте обережні.,2022-05-01T22:03:39Z,1
12,UgwbCMwlUTpZ_BCEuUZ4AaABAg,Жека Закриев,Мы не один народ. Эта война доказала это.,2022-05-06T10:48:02Z,0
13,UgxFCulYZAyM2bI7T4V4AaABAg,Madi Sultanbaev,За себя говорите. Единственное правильное решение-это капитуляция Украины.,2022-05-07T11:11:51Z,0
14,UgxHr0xJxH10YU8_EbB4AaABAg,Mary Asana,"Кобзон и Захарченко пели ,даже вместе",2022-05-01T08:08:10Z,1
15,UgxHr0xJxH10YU8_EbB4AaABAg,Andrew Rastas,А где ты был все эти 8 лет?)))),2022-04-29T22:01:11Z,1
16,UgxHr0xJxH10YU8_EbB4AaABAg,UA Forces,@Ali7Ka жалко рассеянцы не поймут,2022-04-29T17:16:15Z,1
17,UgxHr0xJxH10YU8_EbB4AaABAg,Ali7Ka,"@UA Forces одержимость национальной безопасностью, милитаризация общества, цензура, презрительное отношение к интеллигенции, ущемление прав человека, коррупция. И всё это есть в сегодняшней России, кроме презрительного отношения к интеллигенции.",2022-04-29T16:41:13Z,1
18,UgxHr0xJxH10YU8_EbB4AaABAg,UA Forces,@Ali7Ka перечисли мне пожалуйста признаки фашизма,2022-04-29T16:33:46Z,0
19,Ugy_2OWJa6LFLDs8JKF4AaABAg,Konstantin M,"@Коба Инна пардон, комменты не обновились. Баг ютуба. Ваш коммент был под другим видео. Там Мария поет. Могут дать полное название песни, вам понравится.",2022-04-28T06:59:21Z,0
20,Ugy_2OWJa6LFLDs8JKF4AaABAg,Коба Инна,"@Konstantin M именно Александра поёт.А рашке ни больше,ни меньше,чем нам сейчас желает вся УКРАИНА",2022-04-28T06:43:06Z,0
21,Ugy_2OWJa6LFLDs8JKF4AaABAg,Konstantin M,"я русский, но не рашист.",2022-04-28T06:36:07Z,0
22,Ugz0aH1KcEaqIHQ_tRF4AaABAg,VeraDarts,"This song is in Ukrainian + English.
Ukrainian, because it is our native language,
English - to be heard by the world. 
We need it now.",2022-05-01T22:38:19Z,0
23,Ugw2kRfVJRCFmsfvVsJ4AaABAg,Viktoriia Baranova,"Душу розриває...не підібрати слів,багато що вже сказано,зроблено...",2022-05-08T12:34:15Z,0
24,Ugw2kRfVJRCFmsfvVsJ4AaABAg,Дмитро,Аминка дякуємо за підтримку! Після нашої перемоги і відбудови країни приїжджай до на у гості !!,2022-05-07T06:34:16Z,2
25,Ugw2kRfVJRCFmsfvVsJ4AaABAg,Нелли Vasto,"Спасибо, дякуємо за добрі слова",2022-05-04T20:32:16Z,1
26,Ugw2kRfVJRCFmsfvVsJ4AaABAg,Helena Makaraci,Украинский язык -самый мелодичный!,2022-05-01T21:02:25Z,5
27,Ugw2kRfVJRCFmsfvVsJ4AaABAg,War in Ukraine,Дякуємо за підтримку💙💛,2022-05-01T18:37:06Z,2
28,UgyDrL7v-Fa1LKATlmh4AaABAg,VeraDarts,"Коли ми їхали, то не можна було, щоб працювали відеорегістратори, потрібно було їх чимось закривати, щоб ніде не була записала і передана ворогу інформація про блокпости і т.д.",2022-04-25T19:01:14Z,0
29,Ugz4iibQJP0Cm8keLlR4AaABAg,Сержио Румыч,Спасибо что есть люди среди русских… я тоже из россии,2022-04-25T14:48:23Z,0
30,Ugx_Lihxl6O37nAT01t4AaABAg,Melisa Yuzugullu,Ю!,2022-04-24T15:10:21Z,0
31,UgwG3K_udavIy7KsMLF4AaABAg,alekc 157,@Val Solo в курсе про Австро-Венгрию и польское гражданство и плюс не на Украине его завалили. вот и изучай на досуге кто он что он,2022-04-27T18:37:06Z,0
32,UgwG3K_udavIy7KsMLF4AaABAg,Siviwai,"@Иван Уколов Нет, но это были не массовые случае, а после России обстрелы стали на каждом шагу",2022-04-27T14:30:34Z,0
33,UgwG3K_udavIy7KsMLF4AaABAg,TANIA SHURUBAYLO,Та заткнись ти вже це питання не актуальне і закрите. Там куди ви прийшли з своїм миром і принесли смерть. Поки вас не було все було ок,2022-04-27T10:17:29Z,0
34,UgwG3K_udavIy7KsMLF4AaABAg,Иван Уколов,"@Siviwai Вы считаете нормальной жизнь, когда армия обстреливает 8 лет свои же города?",2022-04-27T07:39:21Z,0
35,UgwG3K_udavIy7KsMLF4AaABAg,Val Solo,"@alekc 157 Якщо вже вам цікаво, а шукати інформацію не вмієте то: 
- с.Старий Угринів(Івано-Франківська обл.) в родині священника.
- 15 вересня 1941 року — у центральна Берлінську в'язницю. З початку 1942 року по серпень 1944 року перебував у концтаборі Заксенгаузен у бункері «Целленбау»",2022-04-27T00:01:33Z,0
36,Ugzvk6g2bmAqzU7vewt4AaABAg,Andrew Rastas,@Mary Asana колаборанти погано закінчують.,2022-04-24T08:14:36Z,0
37,Ugzvk6g2bmAqzU7vewt4AaABAg,Mary Asana,Кобзон пел и Захарченко,2022-04-24T08:03:19Z,0
38,Ugzvk6g2bmAqzU7vewt4AaABAg,Andrew Rastas,На цей кліп кинули ботів тупо 2016-го року.,2022-04-22T21:16:07Z,1
39,UgzWFlogr0YGnXQq54N4AaABAg,Х,Дякуємо за підтримку!,2022-05-03T18:36:15Z,0
40,Ugx-5NaQDi84SceW9Gt4AaABAg,Фрезер Топ  ✔,ну и что тебе ответить?,2022-05-02T21:11:10Z,0
41,UgzVtaHPPoRTYaQFnd94AaABAg,Viktor Nv,Сочувствую - тебя так бог наказал,2022-04-22T21:30:28Z,0
42,UgwAo2adrOSvGSbOtr14AaABAg,Mary Asana,Пусть Бог вас бережет и будьте здоровы🙏,2022-04-24T08:06:56Z,0
43,UgzIqmUgZZDCMLSgMbx4AaABAg,Inna Nesteruk,"Не к тем обращаетесь. Для россии действительно земли мало, если идёт армией на чужую землю",2022-04-21T04:58:55Z,0
44,UgzVGlGZeB3tt3oM4vd4AaABAg,Ira Portnoy,@Марина Шовкалюк ужас!!,2022-04-26T18:23:10Z,1
45,UgzVGlGZeB3tt3oM4vd4AaABAg,Марина Шовкалюк,"Я из Бучи, и все что показано- только часть айсберга. Там столько преступлений, что на широкую публику страшно выносить. Столько замученных людей! Когда началась оккупация, и еще была связь в первые дни, то люди друг другу из подвалов писали о тех ужасных изнасилованиях в подвале жилого комплекса, где находились другие люди. В нашем доме расстреляли трех, одного на глазах ребенка. В ребенка тоже стреляли, попали в капюшон вместо головы, и руку прострелили. Просто пьяный солдат развлекался, ему доставляет уовольствие  убивать мирных безоружных людей. В моем доме выломаны все двери, если не смогли выбить, то вырезали вместе с проемом, или в дверях дыру делали, чтоб пролезть. Вынесены электроинструменты, ложки, одежда, техника, двери, у одного всю кухню сняли и т.д. Даже белье, в том числе женское (зачем? б/у). Мины на детской площадке. С соседней новостройке снимали даже унитазы и розетки, все грузили фурами. Мои соседи бежали под пулями, их как куропаток расстеливали (одна семья бежала с коляской!, это для них как охота). Во дворах могилы. Все магазины разграблены. Пацанов из теробороны, кого поймали, замучили просто. Гениталии отрезаны, пальцы тоже. Садисты и мародеры.",2022-04-25T20:24:22Z,1
46,Ugzk2H9qJlLS4vrMfXl4AaABAg,Mary Asana,Счастья вам,2022-04-24T08:08:01Z,0
47,UgytLisVclEfJ08ya1N4AaABAg,Mr Beast,@Svitlana Pipko no way. they have no choice,2022-04-18T17:39:43Z,0
48,Ugzhx-XlSexlbxgpFRB4AaABAg,Sofijka Savchuk,"Були, тільки вам по телевізору не покажуть",2022-04-20T02:35:06Z,1
49,Ugzhx-XlSexlbxgpFRB4AaABAg,Julia Sherstneva,"а что, за 8 лет русского мира не построили там рай? а че так? а в рашке чего не построили? денег не хватило сортиры всем русским построить?",2022-04-19T18:52:55Z,1
