,id,comment,author,likecount,publishedAt
0,Ugz0z-pWgfegkzfH96h4AaABAg,"I AM NOT OK

Заспіваю тобі пісню я
Про життя між «до» і «після».
Зранку і в годину пізню я
Ніжна, сильна, твоя.
Вдих, видих,
Спалах, вибух,
Серце 
палає,
Приймаю бій.
Боже, зможу,
Бо тут кожен —
Свій.

No I am not okay 
It’s 4 in the morning 
And I’m wide awake
Sister I’m just tryna 
Take it day by day
Grateful for the fact
That I still see your face

No I am not okay 
It’s 4 in the morning 
I ain’t get no rest 
Sister I’m just doing 
Everything I can 
Yeah, I’m on my way 
I’m gonna see your face

Заспіваю тобі пісню я
Про розірване намисто.
Береже молитва місто
Ніжна, сильна, моя.
Вдих, видих,
Був, вибув.
Швидкі
обійми,
Не час для мрій.
Але ж зможу,
Бо тут кожен —
Свій.

No I am not okay 
It’s 4 in the morning 
And I’m wide awake
Sister I’m just tryna 
Take it day by day
Grateful for the fact
That I still see your face

No I am not okay 
It’s 4 in the morning 
I ain’t get no rest 
Sister I’m just doing 
Everything I can 
Yeah, I’m on my way 
I’m gonna see your face

Pray for Ukraine
Pray for Ukraine now",КАZКА,2246,2022-03-25T09:13:18Z
1,UgzM2dEEeemRtP0spwZ4AaABAg,💛💙 Слава Україні!!!,Виталина Грынив,1,2022-05-08T12:38:21Z
2,Ugxrp51Er5zxwP34_tB4AaABAg,"чудовий голос, люблю казку, не можна зупинитись )",Tasha O,0,2022-05-08T11:53:35Z
3,Ugxma0SbBswi9dD5QmN4AaABAg,"Я люблю Вас, простите что нашей страной управляет Тиран",Дмитрий Владимиров,0,2022-05-08T10:50:04Z
4,UgzVDsFo40qb3sOBFSl4AaABAg,Stop vayna stop,Husniddin Olamov,0,2022-05-08T09:42:12Z
5,UgwGNq1fcRfdFkaYOSN4AaABAg,"Душа разорвана на куски 😢😢😢 я с детьми уехала далеко, но легче не становиться 🙏",Olga Dolidze,0,2022-05-08T08:05:59Z
6,Ugys_Va6y8Ed0ECtwPN4AaABAg,"People in Ukraine (Donbass) were not ok since 2014. You never made a song like that even though this shit started 8 years ago in your country. Maybe it's because Donbass was never liked by Ukranian natzi. I like this song of yours, if only it was written 8 years ago.",Inna Ivanchenko,0,2022-05-08T07:13:18Z
7,UgyF7pOE5Vjr3Qe-1PR4AaABAg,"Когда на юго- востоке 8 лет убивали и не плакали, а сейчас завыли☝️",Алексей Алексей,0,2022-05-08T06:22:31Z
8,UgwO46-0TakBg9Lt57t4AaABAg,СЛАВА УКРАИНЕ!!! ГЕРОЯМ СЛАВА!!! СЛАВА ВСУ!!!,Larisa Dubichenko,1,2022-05-08T02:04:29Z
9,Ugx2cSojhDFVHjl4Q0x4AaABAg,"Ты правда крутая, и ты даёшь людям силы! Спасибо! Дякую!",Юлия Ерёменко,1,2022-05-07T23:50:46Z
10,UgzetXb_YAykDcUr0T54AaABAg,the sadness song i ever Heard!,Ovi Flo,0,2022-05-07T23:35:51Z
11,UgwuNjt7iqe02K7j5T54AaABAg,🙌💛💙🔥🌞❤,Iana Gorobets,0,2022-05-07T22:12:51Z
12,UgzOYCdY8H-9K2KezGR4AaABAg,"Слов нет, чтобы описать ту боль, что я испытываю с самого начала с 24 февраля 2022 года. Весь мир перевернулся в тот день, жизнь разделилась на ""до"" и ""после"". Жизнь стала будто отравленной. Я россиянка. И я против этой войны! Я никогда не выбирала Путина своим президентом и никогда не выберу! Россияне не хотят этой войны, её хочет только Путлер! Украина, родненькая, здравомыслящие россияне с тобой! Правда за вами! Вы победите!
Слава Украине! Свободу России! Cmepть Путину! Нет войне!
🤍💙🤍☮️💙💛",danna banana,3,2022-05-07T22:06:55Z
13,UgzDH3WMbsv7zo2VCk14AaABAg,"Что,  серьёзно?  Мля,  а вас то за шо? )))))) Какие же вы жалкие все, выкидыши....",Юрий Василевский,0,2022-05-07T15:46:14Z
14,UgyqqHSpmjsfHpAs6jZ4AaABAg,Слава Украине!,Elnara Qurbanova,1,2022-05-07T14:18:55Z
15,Ugx_DOSx8dgYbq9NjtR4AaABAg,😥😥😥,Elnara Qurbanova,1,2022-05-07T14:18:45Z
16,UgzCFlRH5dY1N7KDCOR4AaABAg,Ви не перевершені,Отдыхаем вместе,0,2022-05-07T09:47:12Z
17,UgwuRWam4plevsFqHe14AaABAg,wow.. brilliant!!❤😢 very powerful song!!,Eileen Healy,0,2022-05-07T09:11:16Z
18,UgzI1bTxAKppWBE3s954AaABAg,як тяжко,Татьяна Кирилович,0,2022-05-06T23:31:12Z
