,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgwyqiruHwPJQzy62Zl4AaABAg,#Sofi@ and Anastasia,Шедевр,2022-04-12T18:42:56Z,0
1,UgwyqiruHwPJQzy62Zl4AaABAg,Kristina Gribkova,💋💋💋💋💋💋💋💋💋❤❤❤❤❤❤❤❤❤❤❤,2022-01-01T19:39:01Z,0
2,UgwyqiruHwPJQzy62Zl4AaABAg,mas@ vida,Tem tradução da música?🙏,2021-10-31T13:03:22Z,0
3,UgwyqiruHwPJQzy62Zl4AaABAg,Світлана Скрипник,Саме ця чарівна пісня прикрасила наш  перший весільний танець. Дякую за пісню♥️,2021-10-17T16:38:40Z,0
4,Ugynvp28aR5VkCYmsZJ4AaABAg,Сымбат Əліхан,"Загадай бажання, я здійсню його
Бо жінка у коханні - Земля, Вітер, Вогонь
Викради мене і привези до себе -
Мені це так треба
Загадай бажання, це наш зорепад
І танцюй зі мною ніби в перший раз
Нащо ці сльози, на щоці сльози щастя
Нащо ці
А на руці обручка золота
З тобою я танцюю знову так
Що дивиться весь світ тепер на нас
Кохання — це найкраща із прикрас
А на очах діамантова сльоза
Від ніжних слів, що ти мені сказав
Нехай всі дивляться тепер на нас
Бо почуття - найкраща із прикрас
А на руці обручка золота
З тобою я танцюю знову так
Що дивиться весь світ тепер на нас
Кохання — це найкраща із прикрас
А на очах діамантова сльоза
Від ніжних слів, що ти мені сказав
Нехай всі дивляться тепер на нас
Бо почуття - найкраща із прикрас",2022-03-30T15:59:11Z,0
5,Ugycxm2a-ey6ymlCMAx4AaABAg,faidh8,kremlin bot detected,2022-03-15T14:56:35Z,0
6,UgzUHc0HrTWSQoEyKq94AaABAg,awedsgt svfcgtre,"No, it is not Russian.",2022-04-04T21:41:07Z,1
7,UgzUHc0HrTWSQoEyKq94AaABAg,faidh8,kremlin bot detected,2022-03-15T14:56:21Z,0
8,UgzDb-SbEMZGbdtUkOB4AaABAg,Бонифаций Боня,"@Ангелина Звягинцева , да пофиг если честно…",2021-10-20T07:45:30Z,0
9,UgzDb-SbEMZGbdtUkOB4AaABAg,Ангелина Звягинцева,"@Бонифаций Боня 🤦‍♀️
Я слушала песню, но она написана для рекламы, зачем тогда в крупном плане показывали украшения на 1 не 2 и не 3 раза,  она записана с чувствами, но и для рекламы",2021-10-20T07:32:41Z,1
10,UgzDb-SbEMZGbdtUkOB4AaABAg,Бонифаций Боня,Серьезно?!😂😂😂 при чем тут украшения? Вы текст и слова внимательно слушали ?….да и само название песни говорит само за себя и явно не о чувствах к украшениям…,2021-10-20T05:04:22Z,0
11,UgzDb-SbEMZGbdtUkOB4AaABAg,Ангелина Звягинцева,"Причём тут Потап?
Эта песня вообще написана для рекламы украшений",2021-10-15T00:38:42Z,1
12,UgwI122A1DeB95s1nC94AaABAg,Ксения Малишева,Кольцо. На.  Сведьбу.,2022-04-29T16:42:35Z,0
13,UgwXqose404FB5dzfwV4AaABAg,ислам для детей Ахильгова,@Наталія К да)),2021-07-21T09:04:28Z,0
14,UgwXqose404FB5dzfwV4AaABAg,Наталія К,На русский перевести??,2021-07-16T21:33:40Z,1
15,UgzI5M4dpZoqf9klMrR4AaABAg,Artem Zubritskiy,Дубцова теж українською співає?,2021-07-17T16:54:35Z,0
16,UgwPscIG-_jniUqRB-54AaABAg,Artem Zubritskiy,Ніт,2021-06-26T18:50:42Z,0
17,UgybEG_rnqpA26D8PZd4AaABAg,Петр Сидоров,@Artem Zubritskiy хах и Вам спасибо,2021-06-26T19:25:40Z,0
18,UgybEG_rnqpA26D8PZd4AaABAg,Artem Zubritskiy,Спасибо за просмотр и комментарий,2021-06-26T18:51:51Z,0
19,Ugzfrjs5pgcFMLgnyfd4AaABAg,faidh8,@Анна 🤣🤣🤣,2021-06-19T19:29:15Z,0
20,Ugzfrjs5pgcFMLgnyfd4AaABAg,Анна,Наконец-то нашла адекватный комментарий...то же самое на всех станциях...до тошноты!,2021-06-19T03:22:04Z,0
21,UgysgVajiy8fUBsSrvF4AaABAg,faidh8,синоніми. В багатьох мовах є синоніми.,2021-06-08T00:50:16Z,0
22,UgxrN1xo2tRCeYt1T5d4AaABAg,Кажан Кажанов,"Ужасное твоё фото на Аве, а песня норм.",2021-05-29T13:28:36Z,2
23,UgxckCOsOY65mM_RMdB4AaABAg,Mivin - Нарезки,СНГ топ),2021-09-04T17:35:41Z,1
24,Ugzd5gKT4DW3dLpNN1B4AaABAg,Туман,Нахрен цей херстос ? Чому  Ви помножили на хуй наших стародавних богив ???,2021-05-03T20:38:56Z,0
25,UgxyxFp-GDdMIUWzgh54AaABAg,Антін Кузьменко,"як на мене,то ця пісня дуже вульгарна,просто ригати хочеться🤮🤮🤮🤢🤢🤢🤢краще вже послухаю моргена",2021-10-04T17:09:28Z,0
26,UgxyxFp-GDdMIUWzgh54AaABAg,Наталія Іванчук,Под настрение😜,2021-08-07T14:58:38Z,0
27,Ugxzk8nIB1QW9sbCqMJ4AaABAg,Ксения Малишева,Ночная рубашка.,2022-04-29T16:43:25Z,0
28,Ugxzk8nIB1QW9sbCqMJ4AaABAg,Marco Lopes,"@Svitlana Kulyk Muito obrigado pela reposta, não fazia ideia que a musica era usada desta forma",2021-12-03T21:54:38Z,0
29,Ugxzk8nIB1QW9sbCqMJ4AaABAg,Svitlana Kulyk,"Esta canção de casamento, primeira dança dos casados",2021-12-03T21:43:21Z,1
30,UgwccHzc-56cfmFIeTB4AaABAg,Гучномовець або Кухоль,Ukrainian language. In few words: feelings (wedding),2021-04-12T18:18:24Z,0
31,Ugz372sPvpXQoqfNZ5l4AaABAg,Гучномовець або Кухоль,Лайна завжди більше.,2021-04-12T18:19:06Z,1
32,UgzGdjXCNN5yvoO1vQJ4AaABAg,faidh8,живешь на украинской земле и не знаешь язык..🤦‍♂️,2021-06-08T01:03:27Z,0
33,Ugx0rXEfUYJ4uKqjNS14AaABAg,Nataliia Bardysh,"На жаль, це вона і є",2021-03-26T16:19:21Z,0
34,Ugzo5dbTvS6Y9dzbgHl4AaABAg,Руслан Куликов,Руслана обида 😡 😡 ушёл спасибо прошёл обида один подарок нет один раз дома тихо себя обмануть один Руслана жены нет обида 😡 😡 😡 😡 😡 ушёл спасибо прошёл,2022-01-25T09:58:18Z,0
35,Ugzo5dbTvS6Y9dzbgHl4AaABAg,Jana Klova,@Latina 7,2021-09-20T18:17:02Z,0
36,Ugzo5dbTvS6Y9dzbgHl4AaABAg,Виктор Тодосов,"Как девушка, старается поёт, а сцанный кот её не уважаешь??",2021-09-20T05:55:40Z,0
37,Ugzo5dbTvS6Y9dzbgHl4AaABAg,Jana Klova,"глупость, это неправда, особенно, когда так коверкать слова, а Настя очень красива",2021-09-12T19:00:55Z,1
38,Ugzo5dbTvS6Y9dzbgHl4AaABAg,IAI IAI,@Latina Укр и франц,2021-09-12T08:03:11Z,0
39,UgyBMJudAMD9rpBcxrh4AaABAg,Вітя Тягнижили,"Я, думаю,  вона будь- якою мовою  зможе заспівати🙂👍",2021-03-21T14:44:26Z,1
40,UgzPW-zIkmeU4uurx4Z4AaABAg,Natalia Kornikova,"@Demi Muzyka там не было отношений, была измена Потапа с Настей своей жене. Бегал и врал то одной, то другой. Настя типа победила и пока в эйфории живёт,  родит детей и будет видно выдержит ли бегающий Потап",2021-08-25T22:39:21Z,1
41,UgzPW-zIkmeU4uurx4Z4AaABAg,Demi Muzyka,"@Natalia Kornikova Думаю на долго, а может и на всегда. Ведь до раскрытия отношений по слухам они были вместе уже очень долго, и ничего. До сих пор держатся.",2021-06-07T22:20:23Z,0
42,UgzPW-zIkmeU4uurx4Z4AaABAg,Natalia Kornikova,"Элефантэ это точно муж проспонсировал )) стиль Потапа чувствуется. Думала Настя ушла туда с головой, но наконец то хорошая песня. Правда не знаю надолго ли хватит ее на эти отношения с Потапенко.",2021-06-07T20:14:17Z,2
43,UgwQsX0Zgjsg5Doo38p4AaABAg,Виктор Тодосов,"Некрасиво, так отвечать?! Судя по ответу на алкаша похож??",2021-09-20T05:59:08Z,0
44,UgwQsX0Zgjsg5Doo38p4AaABAg,Антін Кузьменко,а меня эта песня очень бесит и даже не знаю почему(,2021-06-04T10:18:19Z,1
45,UgwI_gCTcHOjSMpwSD14AaABAg,Сергей Матушкин,"​@Маркіян Курецький Ну так ""деревенский"" он и есть единственный настоящий - естественно образованный и народный. А то, на чем ты сейчас говоришь - искусственная химера, единственной целью которой является зло. Не ждите добра от зла) Добра вам не будет!",2021-03-17T21:23:21Z,0
46,UgwI_gCTcHOjSMpwSD14AaABAg,Маркіян Курецький,"Ти лайно, співай собі на свому деревенскому язику!",2021-03-17T15:07:40Z,0
47,Ugyf-0StHHpzzfTnejF4AaABAg,andriyhv,"Нема політики, є окупація Криму і Донбасу військами РФ
А українську мову любиш - дякую
Вчіть її",2022-02-01T23:23:08Z,0
48,Ugyf-0StHHpzzfTnejF4AaABAg,Nataliia Nataliia,💜,2021-12-02T18:16:55Z,0
49,Ugyf-0StHHpzzfTnejF4AaABAg,☾︎_ℳ𝑖𝑎𝑡𝑎_☽︎,"Ребята все кто пишут пошла ты на... Ну вы поняли ну не надо человек любит нашу страну вы не можете запретить это,  знаете иногда нужно про молчать то есть сказать это про себя,не ужели вы не хотите чтобы Украину и ее язык любили все ?",2021-11-14T08:06:01Z,1
