,id,comment,author,likecount,publishedAt
0,UgwyqiruHwPJQzy62Zl4AaABAg,"Сподіваюсь, що вам сподобалась ця робота. Обійміть своїх рідних та коханих, скажіть їм найщиріші слова кохання та вдячності, адже вони найдорожче, що ми маємо в житті. Міцно обіймаю 🤍",NKofficial,5511,2021-01-29T07:08:17Z
1,UgyhkiAiRSOP3eXmzuB4AaABAg,Настя такая влюбленная и воодушевленная) как приятно когда в семье царит любовь),Alevtyna Korsun,0,2022-04-19T07:34:16Z
2,Ugwx4HVte9Y3U-6i1xt4AaABAg,Viva la madre russia,camilo,0,2022-04-11T02:06:43Z
3,Ugynvp28aR5VkCYmsZJ4AaABAg,"А на руці обручка золота
З тобою я танцюю знову так
Що дивиться весь світ тепер на нас
Кохання — це найкраща із прикрас
А на очах діамантова сльоза
Від ніжних слів, що ти мені сказав
Нехай всі дивляться тепер на нас
Бо почуття - найкраща із прикрас
Діаманти, золото
І крига плаває розколота
В шампанському холодному
Неначе падаю в безодню я
Твоїх очей cмарагдових
Відчуй рубіново-трояндовий
Смак моїх губ, торкання рук
І пролітаючих комет цей звук",Сымбат Əліхан,0,2022-03-30T15:57:49Z
4,UgwSiHJmdjL0ECNIwVx4AaABAg,12345789❤❤❤❤123457890❤❤❤,Вікторія Карпатенко,0,2022-03-14T17:46:16Z
5,Ugycxm2a-ey6ymlCMAx4AaABAg,А что здесь заставку не поставили? Наконец-то забудем ваше пьяное лицо!,Batishta Batishta,1,2022-03-05T10:22:12Z
6,UgzUHc0HrTWSQoEyKq94AaABAg,🇷🇺💪❤️💪❤️🇷🇺,Anastasija 25,1,2022-03-05T09:54:36Z
7,Ugz74yRBF69qXNO3uCF4AaABAg,Українською Настя аж зразу така ніжна. Це так красиво...дякуємо.,Ukey Forever,0,2022-02-27T19:19:15Z
8,Ugx6PoDZq1iPByG7MOl4AaABAg,"А на руці обручка золота
З тобою я танцюю знову так
Що дивиться весь світ тепер на нас
Кохання — це найкраща із прикрас
А на очах діамантова сльоза
Від ніжних слів, що ти мені сказав
Нехай всі дивляться тепер на нас
Бо почуття - найкраща із прикрас
Діаманти, золото
І крига плаває розколота
В шампанському холодному
Неначе падаю в безодню я
Твоїх очей cмарагдових
Відчуй рубіново-трояндовий
Смак моїх губ, торкання рук
І пролітаючих комет цей звук
Загадай бажання, я здійсню його
Бо жінка у коханні - Земля, Вітер, Вогонь
Викради мене і привези до себе -
Мені це так треба
Загадай бажання, це наш зорепад
І танцюй зі мною ніби в перший раз
Нащо ці сльози, на щоці сльози щастя
Нащо ці
А на руці обручка золота
З тобою я танцюю знову так
Що дивиться весь світ тепер на нас
Кохання — це найкраща із прикрас
А на очах діамантова сльоза
Від ніжних слів, що ти мені сказав
Нехай всі дивляться тепер на нас
Бо почуття - найкраща із прикрас
А на руці обручка золота
З тобою я танцюю знову так
Що дивиться весь світ тепер на нас
Кохання — це найкраща із прикрас
А на очах діамантова сльоза
Від ніжних слів, що ти мені сказав
Нехай всі дивляться тепер на нас
Бо почуття - найкраща із прикрас
Діаманти, золото
І крига плаває розколота
В шампанському холодному
Неначе падаю в безодню я",Виктория Афан,0,2022-02-16T20:04:56Z
9,UgzTFuMr345zSCfp1XB4AaABAg,"Боже , какая она красивая !",Демон,1,2022-02-12T15:45:26Z
10,UgzZJj-MlrC9SvY4VoV4AaABAg,Если все это правда то- это супер!!!!!,Марина Пилипенко,0,2022-02-11T21:36:34Z
11,UgyllKbo9cdtpGUNQNJ4AaABAg,Мотив чемто похож на песню Билана «Часы»,Ann Dee,0,2022-02-11T16:41:35Z
12,UgzXY2zI4CXdQ9wDPrp4AaABAg,"Вподобайку поставив Виключно за УКРАЇНСЬКУ!... Бо все інше викладено в пісні виключно російськи штампи: обручка золота, діамантова сльоза... Все це Не має жодного значення, коли Справжнє, Сильне, Відверте і Щире Кохання.",Пилип Орлик,0,2022-02-11T16:22:41Z
13,UgzdlrTBgZt8lGSwn814AaABAg,Очень красивая песня),miradai absolute,0,2022-02-11T14:23:34Z
14,Ugy2cf0eiTowCJS9y9h4AaABAg,"Какая Жопа (бедра), видна издалека.",Vadym Tsyrkalyuk,0,2022-02-04T23:06:23Z
15,UgwiJOcHXh3mMndFtYx4AaABAg,Какая красивая песня 😍😍😍😍😍,Камела Гафарова,0,2022-02-03T17:16:39Z
16,UgwtOybknfKpXhi7WNd4AaABAg,"ОMG, ,Настя - українскою то the best. Щася вам💗",Ганна Романко,0,2022-01-27T15:55:23Z
17,Ugw4W9dbof-jzwcKxNR4AaABAg,"Обожнюю цю пісню , така пристрасть і хімія  .....Бравісімо",Люда Сухова,0,2022-01-23T04:14:38Z
18,UgxA020jNptDn1Oo-F94AaABAg,"Голос Українсьської Народної співачки,вершки в банці з білим молоком.Слава Україні!!!",Іван Дем'янюк,0,2022-01-21T23:47:28Z
19,Ugwh02scwrL0j067Sgp4AaABAg,🤍🤍,Людмила Кушнір,0,2022-01-19T09:14:29Z
20,UgwQzNarxL3N1zebbzZ4AaABAg,Кохання- це найкраща із прикрас…❤️,Іра Коцур,0,2022-01-16T19:20:18Z
21,UgxY3g3-kTvPR5x8kLN4AaABAg,коли ви співаєте українською ви вдвічи краща,Валентин Алексеенко,0,2022-01-16T17:05:33Z
22,UgzCQbaI1xY2jRhmz3Z4AaABAg,🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦,Viktoriia🇺🇦Ukrainian,0,2022-01-10T13:24:44Z
23,UgzJQg8OJqpzkY7ckQR4AaABAg,З новим роком 🥳,Slava Dnepr,0,2022-01-07T17:47:12Z
