,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,Ugxx4F5RyRmz1QV8njl4AaABAg,Nik,@Denis Lavoshnikov а Китай?,2022-05-08T13:37:29Z,0
1,Ugxx4F5RyRmz1QV8njl4AaABAg,Nik,"@Denis Lavoshnikov ну да, если нормальной Украина станет ( я про ту половину которая ненавидит Россию), то могут и отдать",2022-05-08T13:06:42Z,0
2,Ugxx4F5RyRmz1QV8njl4AaABAg,Denis Lavoshnikov,Пока что,2022-05-08T13:03:26Z,0
3,Ugw6C63ev4O7FyLRvyt4AaABAg,1 1,Бо алгоритми ютубу не люблять відео з віковими обмеженнями,2022-05-08T10:10:15Z,0
4,Ugw5J9lZ9IVtd3JIcC94AaABAg,Julya R,"ну, я посидела , с ребенком, квартира разрушена. и в мыслях нет винить Зеленского.",2022-05-08T11:10:00Z,0
5,Ugw5J9lZ9IVtd3JIcC94AaABAg,Paul Titov,путина мб?,2022-05-07T13:11:41Z,2
6,UgyqpGsrZbDWJsbA1nd4AaABAg,lsobodjan1 lslobodjan1,Дякуємо за підтримку🙏♥️🇺🇦,2022-05-08T08:46:27Z,0
7,UgzxJbUBjhMGDfu33Ad4AaABAg,lsobodjan1 lslobodjan1,Дякуємо за підтримку. Разом йдемо до перемоги🙏♥️🇺🇦,2022-05-08T08:43:17Z,0
8,UgxzSAUNZhCVQePs2gZ4AaABAg,lsobodjan1 lslobodjan1,Дякуємо поляки. Ви найкращі🙏♥️🇺🇦,2022-05-08T08:50:52Z,0
9,Ugyta8hpWq5RZG9gndp4AaABAg,Віталія Дем'ян,"@1 1 тільки краще відповідати не тим чувакам, які на зарплаті коменти пишут... Бо тоді ми їх підтягуємо вгору, їх краще ігнорити.",2022-05-08T09:50:17Z,0
10,Ugyta8hpWq5RZG9gndp4AaABAg,1 1,"По перше то таки розвага і відпочинок, по друге більше коментарів=вище відео",2022-05-07T05:52:27Z,0
11,Ugydo1NGgGF-QCCO1Mp4AaABAg,BBC.UА,lmao,2022-05-07T16:45:40Z,0
12,Ugxdk_0tJQhjm1BtB5Z4AaABAg,TANIA SHURUBAYLO,ето не призыв. ето ответ на насилие,2022-05-06T15:45:03Z,2
13,Ugz_6sKawvMEDDYxY8J4AaABAg,Лейтенант Коломбо,☝️🔥🔥🔥,2022-05-08T04:28:13Z,0
14,Ugz_6sKawvMEDDYxY8J4AaABAg,Anastas!ia Gavryliuk,👏👏👏,2022-05-06T12:02:03Z,1
15,UgxgsS-5brFiOEUXbhJ4AaABAg,lsobodjan1 lslobodjan1,Дякуємо вам ви найкращі🙏♥️🇺🇦,2022-05-08T08:47:52Z,0
16,UgxCP1-oqjH8XyDwmjJ4AaABAg,Ilona Gumenyuk,росія 🧟‍♂️🧟‍♂️🧟‍♂️🧟‍♂️🧟‍♂️ аххаах,2022-05-06T15:42:00Z,1
17,UgxDRrf6pbjI1uqL7oZ4AaABAg,Вячеслав Шарапов,@GRACH а я японец,2022-05-06T06:24:15Z,1
18,UgxDRrf6pbjI1uqL7oZ4AaABAg,GRACH,"@Вячеслав Шарапов я не славян, я армянин",2022-05-06T05:55:24Z,0
19,UgxDRrf6pbjI1uqL7oZ4AaABAg,Вячеслав Шарапов,"@GRACH и вы славяне, 
которые не понимают славянских языков?))
Какое-то плешивие вы славяне",2022-05-06T05:52:52Z,2
20,UgxDRrf6pbjI1uqL7oZ4AaABAg,E V,@GRACH да здравствует Россия 🇷🇺 ураааа,2022-05-06T04:16:10Z,1
21,UgxZaZtYryoJISfDUXZ4AaABAg,James Moriarty,🇺🇦🤜🤛🇷🇴,2022-05-08T10:36:47Z,0
22,UgxZaZtYryoJISfDUXZ4AaABAg,lsobodjan1 lslobodjan1,Дякуємо вам румуни. Ми разом з вашою підтримкою ідемо до перемоги!🙏♥️🇺🇦,2022-05-08T08:42:23Z,0
23,UgwbECaEgzZdfXZ45at4AaABAg,DD DD,Glory to Heroes!!!🇨🇦🇺🇦🤟,2022-05-05T15:03:21Z,3
24,Ugwq15OCwSzzupCHxCh4AaABAg,Sveta Savenko,@Влад Батицький саме так)),2022-05-07T22:08:33Z,0
25,Ugwq15OCwSzzupCHxCh4AaABAg,Влад Батицький,Це секс),2022-05-06T15:55:19Z,5
26,Ugwq15OCwSzzupCHxCh4AaABAg,Nastya Pomaznyuk,"я то и делала ,что вечно перематывала назад ,на военных,чтобы разглядеть получше))",2022-05-06T13:44:34Z,4
27,Ugzpyzi1-ZYk4fz9XeN4AaABAg,W Bryan Hastings,This vid has the genius of pure channeling,2022-05-05T04:53:40Z,0
28,Ugw5KMB6prijXaF3nlh4AaABAg,Elinka P.,"""Отстой"" твої коментарі",2022-05-05T07:05:41Z,3
29,UgycwUIh-z-Q7C41MwZ4AaABAg,DD DD,"@Анна Анюта ""ваевать"" які ви убогі, ахахаха твоя расія заканчівається 😂🤣",2022-05-05T15:02:10Z,1
30,UgycwUIh-z-Q7C41MwZ4AaABAg,iSammax,какого народа он предатель? рашисткого?,2022-05-05T13:51:36Z,1
31,UgycwUIh-z-Q7C41MwZ4AaABAg,Анна Анюта,"@User One прежде чем кидаться такими заявлениями надо обосновать. Я обосновала, а вы просто фанатик. Поэтому советую вам, если вы фанат Украины, ваевать за нее на границе,а не в интернете.",2022-05-04T20:19:11Z,2
32,UgycwUIh-z-Q7C41MwZ4AaABAg,User One,тебя под суд,2022-05-04T19:53:58Z,2
33,UgycwUIh-z-Q7C41MwZ4AaABAg,DD DD,твоя расія заканчівається лапоть 😂🤣😂,2022-05-04T19:45:54Z,5
34,UgzY53nQkzloVEb8iWF4AaABAg,ivgates,Щиро дякуємо за допомогу! ❤️,2022-05-04T19:17:09Z,3
35,UgyCALHFnIqSJEGkDm94AaABAg,Michael Wittmann,🏴󠁧󠁢󠁥󠁮󠁧󠁿😘,2022-05-04T23:14:01Z,0
36,UgyiK075EWUDwx-szEt4AaABAg,DD DD,🇺🇦🇬🇧🍻🍻🍻👍,2022-05-04T19:52:13Z,2
37,UgyiK075EWUDwx-szEt4AaABAg,Маша Иванова,🇺🇦😘,2022-05-04T15:30:19Z,2
38,Ugw0UPbpWhIVWrTtTGN4AaABAg,valentina tunik,"@Anton Bulanov так это временное явление. И я надеюсь, что  кто-то разберётся,  почему так быстро  и  беспрепятственно они вошли в Херсон.  Из Крыма  узкий перешеек, его легко контролировать , два месяца  власть   Украины предупреждали , что скоро будет война  и вдруг в мгновения ока  орки в Херсоне. Что это???  Тупость,  халатность или предательство??  Но чье??",2022-05-05T05:58:43Z,1
39,Ugw0UPbpWhIVWrTtTGN4AaABAg,Anton Bulanov,Это мало вероятно... там же орки))),2022-05-05T04:40:33Z,1
40,UgyKxIOMZGAptwzDJel4AaABAg,Маша Иванова,😘🇺🇦,2022-05-04T14:27:49Z,3
41,Ugyr8-RA8uAhb6CJJv54AaABAg,DD DD,Твоя расія заканчівається лапоть 😂🤣😂,2022-05-04T19:53:09Z,2
42,UgwxUgRGxPTydWugmCR4AaABAg,iSammax,"шел 2022 год, расиянцы до сих пор не понимали английский язык.
весь мир смеется",2022-05-05T13:53:03Z,2
43,UgzUkp2Fj72HE-ij6Nx4AaABAg,Маша Иванова,🇺🇦😘,2022-05-04T12:04:39Z,0
