,id,comment,author,likecount,publishedAt
0,UgwDqkATaG8PKRzAQFJ4AaABAg,"Чей крым то ? 😂
Слава России 🥰🥰🥰🇷🇺🇷🇺🇷🇺🇷🇺",Igor zolotuhin,1,2022-05-08T14:21:49Z
1,UgwgpznOyE_HYnAKaH54AaABAg,Это топ трек, MEQU ,0,2022-05-08T14:04:50Z
2,UgziwR3riDTd_artXj54AaABAg,Заспокойся!  🤗 скоро буде Мир.  Передай далі. 💛💙,Victoria Irish,0,2022-05-08T13:57:04Z
3,UgwgBxtWqP3SysKL_PF4AaABAg,Hugging all our Ukrainian soldiers! 🤗🤗🤗YOU are the BEST!!! ANGELS are with you! 😇😇😇 Обіймаю усіх наших українських воїнів!!!  Ви найкращі!  Ангели поряд!!,Victoria Irish,0,2022-05-08T13:55:22Z
4,Ugw7lR0h2ZOP5cMvMNl4AaABAg,Let the Peace be in our wonderful Planet !💙💛💙💛💙💛,Victoria Irish,0,2022-05-08T13:52:02Z
5,UgytJ6JO-QJhVQTLsxV4AaABAg,Файно !!,Мартин Грищенко,0,2022-05-08T12:35:00Z
6,UgxbX9bUjlCWE_GZoap4AaABAg,"А как вы бомбили домбасс 8 лет все молчат, клоунадо.",Nik,0,2022-05-08T12:25:13Z
7,Ugxx4F5RyRmz1QV8njl4AaABAg,Крым наш,Nik,0,2022-05-08T12:24:11Z
8,Ugzk0kUFUdJx20ooydh4AaABAg,Bars!!,oleg alekos,0,2022-05-08T12:12:24Z
9,UgyCNC2goFBeEBOfWNV4AaABAg,Вам пезда від ЗСУ! 🇺🇦,Анастасия Рыдванская,1,2022-05-08T11:01:31Z
10,Ugzri5LSxtA6T_s_JX14AaABAg,"Отличный трек Макс. Когда ЗСУ освободят твой родной Херсон от рашистских орков, все ждут тебя там на выступлении с этой песней. Слава Україні!",Dunkel Ego,2,2022-05-08T10:44:58Z
11,UgynPLyjrYMnSGjiRp14AaABAg,Барскіх здивував 🥰 Ця пісня вже другий день на repeat 😃,Віталія Дем'ян,1,2022-05-08T09:53:54Z
12,UgxH2BLZgJP2FDGjRXd4AaABAg,Гениально 🙌 ❤️ ❤️,Mosi Bri,0,2022-05-08T08:37:17Z
13,UgzeEfLEvmq0Tv9zSO54AaABAg,"Дякуюємо всім за підтримку. Рускі забрали наше мирне життя,наш спокій. Вони хотіли знищити нас,як націю але зробили нас сильнішими. Вони ділили нас на схід і захід. Але зробили нас одним цілим,зараз люди з заходу приймають всіх зі сходу. Вони хотіли розділити нас за мовою,але зробили так ,що всі переходять на українську. Їм не здолати нас, бо наша сила в нашій єдності. Дякуємо всім  хто зараз підтримує нас в боротьбі за нашу свободу,разом ми переможемо зло!!!!🙏🇺🇦♥️",lsobodjan1 lslobodjan1,1,2022-05-08T08:16:24Z
14,UgyV-e7k4bEzLG0nyAB4AaABAg,❤️❤️🇬🇪🇺🇦,kusa kusa,1,2022-05-08T05:36:56Z
15,UgytvjrGTfugsHNPL3B4AaABAg,"Макс, можешь сделать радио версию с цензурой ? Я часто детей в машине вожу, но как же я хочу послушать эту песню на лупе !!!",yobzhik,0,2022-05-08T04:15:39Z
16,UgwRBe2x7WX-rfFb51F4AaABAg,Amazing and awesome. And in English! I share it all over twitter when ever Ukraine is mentioned. Great video.,B A Blumenthal,2,2022-05-08T03:21:37Z
17,UgwD4qLYaBLaf6hX4yh4AaABAg,Дешёвые маты это всё на что способен николка :),J Smith,0,2022-05-08T02:30:26Z
18,UgxXNR8ZdAOBNw_jPjF4AaABAg,Мяско!,Александр Хмелев,0,2022-05-08T02:18:00Z
19,UgzfMtnF3wZ9YutfxzZ4AaABAg,If I could like this 1000 times I would.,Tara Suzanne,1,2022-05-07T23:59:45Z
20,UgwtH1XT_5xAO1KpeHp4AaABAg,Продолжайте в этом роде),Free Fire UA,1,2022-05-07T23:58:21Z
21,UgzMFr4g8PvwLVmNpnt4AaABAg,"Макс, это новый уровень так держать!",Mello,2,2022-05-07T22:29:10Z
22,UgzU0tCQs6pW9yfjg8d4AaABAg,Киса я скучаю по тебе,Natali Nat,0,2022-05-07T22:23:57Z
23,UgzjZu25xTCK1U3G4pV4AaABAg,Це пожежа🔥🔥🔥🔥,Amoralka A,1,2022-05-07T22:14:25Z
24,Ugygy9Z0ld0_T7G9wcp4AaABAg,Жирный лайк,ТеХнО КлОп,1,2022-05-07T22:02:57Z
25,UgyoIJOBway_q8vxEvZ4AaABAg,Sehr schönes Lied 👌💙💛putler kaput .,Roksi KIsa💙💛,4,2022-05-07T22:02:37Z
26,UgzjHq3uTN67h4M2c_Z4AaABAg,"Роз'єбало, наче ЗСУ) 
Слава Україні)",Світлана Швець,1,2022-05-07T21:43:10Z
27,Ugwd9hMNuXMyLXAD0dF4AaABAg,+++++++,Angie Sop,0,2022-05-07T21:39:25Z
28,UgyiW2DyZB7qoIwYt7h4AaABAg,Слухаю на ніч замість колискової,Людмила,4,2022-05-07T21:33:04Z
29,UgzmyX6vSYa3sGFfJa14AaABAg,"Браво, Макс",Romek,1,2022-05-07T20:47:41Z
30,UgxUqsQ3Ki-us2VU5CJ4AaABAg,I declare this video invalid.  No tractors.,Art Nelson,1,2022-05-07T20:17:44Z
31,Ugzd9gr_ziWy3lnSJeJ4AaABAg,Ахуенный клип,Valerie Chernenko,0,2022-05-07T20:08:47Z
32,Ugy2NzekgznTf2VVwop4AaABAg,Слава Україні !!! Дякую!!!,Игорь Антонцев,2,2022-05-07T19:59:32Z
33,UgzhIRXpZUOZ7TF9Frh4AaABAg,Качає 👽👽,Sergii UA,0,2022-05-07T19:53:04Z
34,UgwZ0AIOgI5QXjR-qiV4AaABAg,🥰🥰🥰🥰🥰🥰🥰🥰🥰,Любовь Соколова,0,2022-05-07T19:45:55Z
35,Ugw-fI7BVNM7JwBghy54AaABAg,"Ты же воевать собрался , разве нет ? Хотя в Польше тоже не плохо сидится",IvanDuck,1,2022-05-07T19:00:12Z
36,Ugwl-W-1Qk1o05kLRBJ4AaABAg,"Годны трэк, Макс. Слава Украіне! Трымайцеся, сябры!",easy walker,1,2022-05-07T18:48:29Z
37,Ugxxzllobycl4AhZwv94AaABAg,"Трек заеб.умба, клип тоже👍Когда тимати поедем пинать по лицу?",Андрей Ельский,0,2022-05-07T18:46:36Z
38,UgwwhYyOhlWbVRA3Lcx4AaABAg,This fucking slappps!,Spencer C,0,2022-05-07T18:42:09Z
39,Ugy5SQDT51cXl9hnc4J4AaABAg,топ,Rudy fоma,0,2022-05-07T18:14:42Z
40,Ugw3nJ3hjqI8nmozaVN4AaABAg,Дякую,Nazar105,1,2022-05-07T17:57:05Z
41,UgzM2Xm6g7nNT9UTWOd4AaABAg,Агонь 🔥,Юлия Сенская,1,2022-05-07T17:52:42Z
42,UgwhIMqEkxbjf3H1Wqx4AaABAg,"t u p o
r o z ' e b a v.",Capoeirista UA,1,2022-05-07T17:39:03Z
43,Ugw6C63ev4O7FyLRvyt4AaABAg,Чому так мало переглядів?(((,Полина Макарова,0,2022-05-07T15:47:12Z
44,UgxWPmElKxmWY5Of2Th4AaABAg,)))),My name,0,2022-05-07T15:31:09Z
