,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgzLHbH2eAszxlvG_Fd4AaABAg,Татьяна Бондарчук,Дуже круто!💙💛💙💛💙💛,2022-02-06T20:17:27Z,0
1,UgzLHbH2eAszxlvG_Fd4AaABAg,Inna Carboni,@Alex Bigov  Это кавер на Океан Ельзи.  Не думаю что они дадут согласие на русскую версию.,2022-01-26T02:39:10Z,0
2,UgzLHbH2eAszxlvG_Fd4AaABAg,Alex Bigov,Будет версия на Русском?),2022-01-25T20:18:55Z,0
3,UgwKu_yXLsYTNSHYyyF4AaABAg,Ґеральт із Рiвного,@Сергій Фасій Та байдуже коли,2022-05-03T14:20:29Z,0
4,UgwKu_yXLsYTNSHYyyF4AaABAg,Сергій Фасій,Цей кліп бачив коли був випущений?!Не плети куйні!,2022-05-03T12:19:14Z,0
5,UgxvZjwzbPDqqjz6uSJ4AaABAg,Сергій Фасій,Українська в порівнянні з польською та білоруською найгармонічніша та яскрава.Ну це моя особиста думка..,2022-05-03T12:22:33Z,0
6,UgxknYPixj_Lw0n9PE54AaABAg,порох П,Кавер,2022-04-18T19:31:54Z,1
7,UgzsBErwRku6DShyEZF4AaABAg,Maria Chunys,"@THECOD3LOGIC я була в лікарні на Печерську, куди привозили поранених.",2022-04-30T08:03:14Z,0
8,Ugxd1A8DmG0EUBeG9Mt4AaABAg,Даниил Москаль,Больше б таких как Вы…(,2022-05-08T14:49:43Z,0
9,Ugxd1A8DmG0EUBeG9Mt4AaABAg,Veronika Jankayskas,@Татьяна Терентьева в Україні*,2022-05-07T22:45:25Z,0
10,Ugxd1A8DmG0EUBeG9Mt4AaABAg,Veronika Jankayskas,"@Ukrainian Javelin для мене і ці слова ніякої ролі не грають.Слова в інтернеті....Якби всі ці люди які так ""підтримують"" Україну вийшли на вулиці то це би хоть дало хоча би якийсь поштовх до то шо їм реально шкода і можливо це дало би хоч щось.А як ми з вами бачимо вони сміливі тільки в інтернеті і підтримують Україну.А ділом ніхто цієї підтримки показати не хоче.Я вже давно розчарувалася в ""харошєх рускіх""",2022-05-07T22:41:43Z,0
11,Ugxd1A8DmG0EUBeG9Mt4AaABAg,так так!!!,"Дякую тобі велике з західної України,і всім росіянам які мають голову на плечах.",2022-05-06T22:33:56Z,0
12,UgzOX6ZZmGYD1dDntcF4AaABAg,Сергій Фасій,Коли тебе випустили з божевільні чи втік?!,2022-04-07T20:22:52Z,4
13,UgymQXOzX-TmcJ3Z_2R4AaABAg,BOGOMOL61,Слава России!,2022-04-04T06:15:55Z,0
14,UgxshEjOvq6KZ5ZDv3h4AaABAg,THECOD3LOGIC,Мы это хто ты и твоя собака?,2022-03-31T10:12:28Z,1
15,UgwdjPOZWFOsap7UZ1d4AaABAg,THECOD3LOGIC,"Шоб славити Україну треба мати за що її славити, як буде економічний прорив і процвітання і люди будуть жити як люди,  
тоді можна кричати та славитись і прославляти!",2022-03-31T10:04:37Z,2
16,UgyVNyFhR-2XRNm_Mtd4AaABAg,Наталья Устинова,"Не очень понятен ваш посыл, это песня про любовь)",2022-04-08T23:00:21Z,0
17,UgxfSPbzZ49rPZk5BfF4AaABAg,THECOD3LOGIC,@Наталья Устинова Он из Челябинска если не ошибаюсь,2022-03-31T10:05:48Z,0
18,UgxfSPbzZ49rPZk5BfF4AaABAg,John Smith,"@Inna Carboni да, по повестке на внеклассные уроки истории. Очень ждём.",2022-03-26T11:13:49Z,0
19,UgxfSPbzZ49rPZk5BfF4AaABAg,Наталья Устинова,"@Мария Панкова а вот Иван считает по-другому, перестал сотрудничать с россиянами",2022-03-22T12:04:08Z,3
20,UgxfSPbzZ49rPZk5BfF4AaABAg,Мария Панкова,Деятельность творческой личности должна оставаться не тронутой политикой-это грязная игра...,2022-03-22T12:01:34Z,0
21,Ugzieopr9jwchLeMpyZ4AaABAg,THECOD3LOGIC,О проснулся великий львов счас будут переворачивать автобусы с ветеранами и детьми,2022-03-31T10:17:59Z,1
22,UgygaGgjquQbbYWNHMJ4AaABAg,THECOD3LOGIC,Ага уже на острове Змеином обявили всех хероямы по смертно,2022-03-31T10:10:01Z,1
23,Ugy7hRoornuW8x3O7UF4AaABAg,Inna Carboni,"Так, гарний кавер на пісню Океана Ельзи",2022-03-09T08:19:46Z,0
24,UgyGhYBQWhtrgGa0LiZ4AaABAg,John Smith,"Думаю, в России у него теперь очень много ""друзей"", которые с удовольствием посетят его концерты чтобы побеседовать о политике лично. Видно, что Ванюше нужно подтянуть историю, а у нас как раз прекрасные репетиторы. Вся страна уже в курсе его поведения. Поэтому если он не дурак, то он не сунется больше в Россию. Забанен навсегда.",2022-03-21T14:05:12Z,3
25,UgyGhYBQWhtrgGa0LiZ4AaABAg,John Smith,"@Лилек Макарек не обьясняй им. Они до сих пор нацистов не видят в упор, которые их же граждан пачками уничтожают. Пусть учат историю на практике, раз теорию смыли в унитаз.",2022-03-21T14:02:05Z,1
26,UgyGhYBQWhtrgGa0LiZ4AaABAg,Лилек Макарек,"@rsyou да не нагнетайте вы, все у России хорошо!",2022-03-09T06:33:48Z,1
27,UgyGhYBQWhtrgGa0LiZ4AaABAg,Лилек Макарек,"@Maysun Shirazi мне это не грозит) я живу в деревне и у меня всегда есть что поесть.Так что не бзди.Русский народ не умрёт, и у страны все хорошо! А вот что будет с Европой,  мы ещё посмотрим!",2022-03-09T06:10:59Z,3
28,UgzBFRvvRll14BpHOQp4AaABAg,next stop,Thanks for support😥,2022-03-27T15:35:32Z,0
29,Ugx2ogLJzG_FlGKFoDR4AaABAg,John Smith,Приглашаем на экскурсию в комфортном автозаке. Ждём!,2022-03-21T14:06:44Z,0
30,Ugxi36VAPPFlLH4TjQh4AaABAg,VitaliyRuzanov,"Потомучто сильная композиция,  а почему не понимаете это странно. Можно больше классической литературы почитать и мова для Вас будет понятна, даже больше скажу, вы и польский понимать начнёте.",2022-03-05T17:58:14Z,1
31,UgzhN9eNlhTw9HIAIMN4AaABAg,Inna Carboni,И спасибо Океану Ельзи за то что они написали такую прекрасную песню,2022-02-28T15:43:44Z,0
32,Ugzf5YfJTiPbuuix8iB4AaABAg,Kirill Gavrilov,Слава России! И не хуй войне!,2022-02-28T13:07:58Z,0
33,UgzGLoUIW_QO_AuWxPR4AaABAg,Inna Carboni,"Да, это кавер на одну из лучших песен Океана Ельзи",2022-02-21T08:06:02Z,0
34,UgwZg4H4Wd9Q5cc-CnZ4AaABAg,Inna Carboni,"Так, прекрасний кавер на пісню Океана Ельзи",2022-02-18T15:43:33Z,0
