,id,comment,author,likecount,publishedAt
0,UgzLHbH2eAszxlvG_Fd4AaABAg,"Spasibo za vashi otzyvy, rodnye! Eto ochen' vajno ♥ Budu rad lyuboy podderjke! Covery, tanci, stories.. 
Slushayute track i delites' s lyubimymi 🙌https://bnd.lc/tebenemasyogodni",Ivan Dorn,1371,2021-11-28T10:47:20Z
1,UgxBLcnFxbFngkwz9-N4AaABAg,мелодійна душевна чуттєва..,Tasha O,0,2022-05-08T11:48:27Z
2,UgyYXp18I9kG4aXLWyR4AaABAg,Дякую,Хландалуна,0,2022-05-07T15:41:39Z
3,UgxFXOdYvJ23fsCyUvx4AaABAg,Иван ты прекрасен на украинском языке!!!,Игорь Беляков,0,2022-05-07T14:15:17Z
4,UgwR6PikS50NblHJfZp4AaABAg,"А вот и бомба ⛔❗🆘🆘🆘🆘🆘🆘🆘
Путин собирается обнародовать Миру все преступления Киевской и Западной власти на Украине, он говорил: Когда начнут меня слушать, я расскажу все то, что взорвет ваш мозг, будет процесс над всеми участниками этих преступлений против человечества ""Нюрнберг-2""! Мы получили подтверждение от Международного комитета Красного Креста, что Российская Федерация подтверждает готовность открыть доступ гуманитарной колонне в город Мариуполь транзитом через город Бердянск. Мое мнение такое - среди окруженных в цехах ""Азовстали"" есть советники от стран НАТО. Но важно не это. Подозреваю, что в подземных этажах этого завода (до 8 этажей вниз) находится биолаборатория в которой производились эксперименты на живых людях, куда-то пропадавших из тюрьмы ""Библиотека"" в аэропорту Мариуполя. А это десятки тысяч людей. Узники ""Библиотеки"" утверждают, что их регулярно пугали какой-то ямой, откуда не возвращаются. Многие считают, что это некий котлован. Я же думаю, что речь идет о подземельях Азовстали - целого подземного города, где ездят даже тепловозы. Судя по всему, эти лаборатории на Украине не чисто американские - в них работали специалисты со всего НАТО и все президенты этих стран, поддерживавших глобализм, в этом замешаны. Все гораздо серьёзнее. Если вывести из других лабораторий на Украине, существовавшие там образцы заразы, не представляло труда - объемы не большие, то, как скрыть этот испытательный центр и горы трупов. Сжигать? Вот и мартены, домны под рукой - сгорит всё. Мне становится понятным и волнение владельца Азовстали Ахметова и его откровенная паника, догадываюсь я и о причинах того, что Запад не видит фашизма на Украине и о том, почему именно в Мариуполе базировался националистический ""Азов""?!
Харьков взят, в Киеве чеченцы проводят зачистку, открыт коридор для прохода гражданских лиц, под Донбассом группировка окружена, дали 5 часов на принятие решения на сдачу, к котлу уже подвезены ТОС-1 и ТОС-1А «Солнцепёк»  новые дальнобойные ракеты позволят «выжигать целые гектары на расстоянии до 15 километров. Через 5 часов, кто не сдался, будут уничтожены. Танковые колонны стрелами стремительно идут на  Запад, не задерживаясь возле городов. Уничтожены залпами, две, построенные «партнёрами» военные базы, строились 8 лет. Сколько на них погибло, и уничтожено, иностранные источники умалчивают, но не мало. Ни одна колонна с Польши с вооружением не сможет зайти, через 500 метров - 3 км, может быть мгновенно уничтожена. Настрой очень серьёзный. Воздушное пространство над Украиной закрыто и полностью контролируется.

Российские войска  уничтожили 13 лабораторий биологического оружия по всей Украине, некоторые из них были под землей, поэтому им пришлось провести несколько взрывов, чтобы уничтожить их.

У Путина есть информация о том, что Запад - институт здоровья США, французский институт здоровья и немецкий центр исследований инфекций - вложил в Украину миллиарды долларов налогоплательщиков этих стран для разработки биологического оружия под предлогом исследовательских грантов. Путин утверждал, что у него есть доказательства, которые он в конечном итоге обнародует, “когда мир захочет его слушать”.

По словам Путина, Зеленский знал о лабораториях и получал откаты в обмен на то, чтобы позволить им работать тайно и без официального надзора.
Путин сказал, что делал Зеленскому много предупреждений о демонтаже лабораторий еще в феврале 2020 года и предупредил, что сделает это сам, если Зеленский не подчинится. Он признал  сопутствующий ущерб, что только Зеленский виноват в том, что он подвергает опасности народ Украины”, - сказал наш источник. 
 
Путин также назвал Израиль. Он сказал, что Министерство здравоохранения Израиля и МОССАД запустили биолабораторию на острове Змеиный, принадлежавший Украине, расположенный в Чёрном море, недалеко от дельты Дуная, с важной ролью в разграничении украинских территориальных вод. 
 
Биолаборатория на острове Змеиный была вовлечена в исследование боевого типа воздушного бешенства, которое, если бы оно было распылено, могло бы опустошить Землю с почти 100% смертностью. 
 
“Путин заверил, что принял меры предосторожности, чтобы гарантировать, что все патогены будут поражены и достаточно эффективны, чтобы сделать их инертными. Он не сказал, были ли использованы термобарические боеприпасы, но это кажется вероятной возможностью”, - сказал наш источник. 
 
 Мы не поражаем города. Если бы это было так, то пострадало бы не одно здание в Киеве и не было бы ни электричества, ни воды, ничего. Мы сжигаем мусор. 
 Итак, теперь мы знаем, что делает Путин на Украине: СПАСAEТ ЧЕЛОВЕЧЕСТВО!!!!",Сергей Лазо,0,2022-05-07T05:04:53Z
5,Ugy_UbRcyH2zF74dcht4AaABAg,"Дорн , ты супер  ☻🌺",Irmani,1,2022-05-06T17:23:27Z
6,Ugz7S1io9sb1B-b8Vi14AaABAg,"Дякую Ваню,чув твою пісню.Тікай з Мордору,то є точка бабла а натхнення вмре!!!Їдь на Батьківщіну,на Україну їдь,там твоя родина-твій народ,",Вася Гельдыев,0,2022-05-06T17:00:03Z
7,UgytfIBaiZ8_B33fLFN4AaABAg,"Could someone translate this beautiful song in English in a comment ? I don't speak Ukrainian, but I wish I could understand the whole song...",Anna Salzard,0,2022-05-06T16:35:44Z
8,Ugw1MMq7RJwq1w_vVv54AaABAg,Прекрасные,Наталья Банникова,1,2022-05-05T15:33:48Z
9,UgzK13KNf8talGqTt2x4AaABAg,"Спорт, творчество и наука должны быть  вне политики. Жаль что те кто у руля рассказывают нам показывая пальцем что они такие нехорошие. Хотелось бы жить в созидательном обществе и искать изъяны сначала в себе и принимать друг друга такими какие есть, без ужасных попыток изменить невозможное. Но суть людей искать крайних и виноватых вокруг, только смелый может сам признать свои ошибки без обвинений других в своих проблемах. А самое грустное что границы нарисованы только на картах и мы все одинаковы, и кровь у нас у всех красная, и раним мы друг друга словами как оружием убивая морально. Мои хорошие ЛЮБОВЬ спасет этот прогнивший мир который сошел с ума в погоне за деньгами. Только вот на смертном одре ты все материальное оставишь рядом с дверью в тот мир. С чем пришел в этот мир с тем и уйдёшь, только в багаже твоей души останется любовь или ненависть. Тебе выбирать как жить!!! Только ты решишь ЛЮБИТЬ или Ненавидить этот МИР....",Iron Age,1,2022-05-04T13:45:04Z
