,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,Ugwp-8Ab-uhV7mKVB_F4AaABAg,M Kashpur,путіну це скажи,2022-05-07T21:45:22Z,2
1,Ugyj6tlOwTwtEVAcQz94AaABAg,Ок Ок,"@Alexander M привет из Чернигова, у нас русские войска разбомбили пол города авиабомбами и артиллерией)",2022-05-07T20:45:22Z,1
2,Ugyj6tlOwTwtEVAcQz94AaABAg,Ян Ґанж,"@Alexander M , як ще були ви козаками...
Кажуть люди, що в плавнях, УПА Кубань до 60 років козакували.
Пу-гу, пу-гу!
-Козак з Лугу!
Кубань то 💯 % Україна.
СЛАВА УКРАЇНІ! 🔥🔥🔥🔥🔥-ворогам.",2022-05-07T07:11:45Z,2
3,Ugyj6tlOwTwtEVAcQz94AaABAg,Alexander M,"Я понимаю ,что мы вымрем,хочу съездить на родину предков в Чернигов ,Херсон и Львов",2022-05-07T01:59:22Z,1
4,UgyzC1xPJ3Dc0mGD6dJ4AaABAg,Ян Ґанж,"Місто козака Харка 👍, що біля Золочева - Україна 💯%><
*рашу на паРашу*
Пьяные крики и запах сортира -
Внешние признаки ""русского мира"".
Цепь золотая на шее банкира -
Связь поколений ""русского мира"".
Русский язык стал родным для башкира -
Это политика ""русского мира"".
У депутата седьмая квартира -
Вот справедливость ""русского мира"".
Крест золотой на груди рэкетира -
Это духовность ""русского мира"".
Из негодяя сделать кумира -
Идеология ""русского мира"".
Ложь ежедневная телеэфира -
Это правдивость ""русского мира"".
Двадцать копеек пачка пломбира -
Память фантомная ""русского мира"".
В морду удар от отца-командира -
Вот ""педагогика"" ""русского мира"".
Насмерть кувалдой забить дезертира -
Это гуманность ""русского мира"".
Сытый смешок на устах конвоира -
Это реальность ""русского мира"".
Вор, матершинник, подлец и задира -
Это сторонник ""русского мира"".
Кнут, кандалы, яд, петля и секира -
Издревле скрепы ""русского мира"".
Смерть вместо масла, война вместо мира -
Это основа ""русского мира"".
Братья, друзья, земляки-украинцы!
Разве нужны нам такие ""гостинцы?🔥🔥🔥
У каждой страны есть запах особый…

Пахнет Италия свежею сдобой.

Франция пахнет вином и духами,

Ну, а Швейцария пахнет сырами,

Пахнет Голландия запахом пряным –

кофе, тюльпанами, марихуаной.

Бельгия пахнет Евросоюзом,

А в Люксембурге – фруктами-смузи,

Пахнут Германия с Чехией пивом.

Продажной любовью пахнут Мальдивы.

Пахнет Бразилия сексом и танцем.

Чаем и тостами пахнут британцы.

Пахнут свободой Америки штаты,

Нефтью воняет песок в Эмиратах,

Пахнет рабочею силой Китай,

Пахнет Япония острым вассаби,

В Индии Гангом воняет неслабо,

Пахнет гашишем Афганистан,

Маком душистым разит Пакистан,

Пахнет Колумбия лишь кокаином,

Пахнет пшеница и рожь в Украине,

Мексика пахнет текилой и тако,

Пахнет на Кубе душистый табак.

Телом немытым, говном, перегаром,

Гарью удушливой, гнилью, угаром,

Пьяная ругань и запах сортира –

Внешние признаки русского мира,

Тленом и кровью, плешивым ,,мессией”,

Чуете вонь? Это запах России... 👍
Никогда мы не будем братьями!
Ни по родине, ни по матери.
Духа нет у вас быть свободными —
нам не стать с вами даже сводными.
Вы себя окрестили «старшими» —
нам бы младшими, да не вашими.
Вас так много, а, жаль, безликие.
Вы огромные, мы — великие.
А вы жмете… вы всё маетесь,
своей завистью вы подавитесь.
Воля — слово вам незнакомое,
вы все с детства в цепи закованы.
У вас дома «молчанье — золото»,
а у нас жгут коктейли Молотова,
да, у нас в сердце кровь горячая,
что ж вы нам за «родня» незрячая?
А у нас всех глаза бесстрашные,
без оружия мы опасные.
Повзрослели и стали смелыми
все у снайперов под прицелами.
Нас каты на колени ставили —
мы восстали и всё исправили.
И зря прячутся крысы, молятся —
они кровью своей умоются.
Вам шлют новые указания —
а у нас тут огни восстания.
У вас Царь, у нас — Демократия.
Никогда мы не будем братьями. 🔥",2022-05-06T07:59:28Z,1
5,UgymtzU253ZwaVa8ji54AaABAg,Carlos Andre Cardoso,@Володимир Довженко thanks a lot!,2022-05-06T05:14:17Z,1
6,UgymtzU253ZwaVa8ji54AaABAg,Володимир Довженко,"I have no home

The crux of the matter is that
I don’t have a home,
And by the rules of common decency,
As if by the rule of good belt (force),
I will remember the tribe I am from,
Will remember the town I’m from.
I’m waiting for my Grammy,
It’s just that I have nowhere to sit down
to write my speech.
I don’t have a home...
 
People are so, people are so..
For the hundredth time
To their concrete hive cells!
Where else
could they hide, whither,
First and second class people?
People are so, people are so..
By the hundreds
In tandems with their high rises,
From third, from seventh (floor)20
With the hertz (of their heartbeats)
Filling everything
with sense.
 
The crux of the matter is that
I have no home.
Now
I have never (given) nothing, to no one -
You’re the first one with whom I shared my drink
and more...
but after all,
but in the end,
If I did have a home,
I’d leave it to people, I’d leave it to cats,
I’d fool everyone, I don’t like the corners!..
 
People are so..
https://lyricstranslate.com",2022-05-05T21:49:20Z,4
7,UgybWUIFxfpeWRmIuiN4AaABAg,Ян Ґанж,"*рашу на паРашу*
Пьяные крики и запах сортира -
Внешние признаки ""русского мира"".
Цепь золотая на шее банкира -
Связь поколений ""русского мира"".
Русский язык стал родным для башкира -
Это политика ""русского мира"".
У депутата седьмая квартира -
Вот справедливость ""русского мира"".
Крест золотой на груди рэкетира -
Это духовность ""русского мира"".
Из негодяя сделать кумира -
Идеология ""русского мира"".
Ложь ежедневная телеэфира -
Это правдивость ""русского мира"".
Двадцать копеек пачка пломбира -
Память фантомная ""русского мира"".
В морду удар от отца-командира -
Вот ""педагогика"" ""русского мира"".
Насмерть кувалдой забить дезертира -
Это гуманность ""русского мира"".
Сытый смешок на устах конвоира -
Это реальность ""русского мира"".
Вор, матершинник, подлец и задира -
Это сторонник ""русского мира"".
Кнут, кандалы, яд, петля и секира -
Издревле скрепы ""русского мира"".
Смерть вместо масла, война вместо мира -
Это основа ""русского мира"".
Братья, друзья, земляки-украинцы!
Разве нужны нам такие ""гостинцы?🔥🔥🔥
У каждой страны есть запах особый…

Пахнет Италия свежею сдобой.

Франция пахнет вином и духами,

Ну, а Швейцария пахнет сырами,

Пахнет Голландия запахом пряным –

кофе, тюльпанами, марихуаной.

Бельгия пахнет Евросоюзом,

А в Люксембурге – фруктами-смузи,

Пахнут Германия с Чехией пивом.

Продажной любовью пахнут Мальдивы.

Пахнет Бразилия сексом и танцем.

Чаем и тостами пахнут британцы.

Пахнут свободой Америки штаты,

Нефтью воняет песок в Эмиратах,

Пахнет рабочею силой Китай,

Пахнет Япония острым вассаби,

В Индии Гангом воняет неслабо,

Пахнет гашишем Афганистан,

Маком душистым разит Пакистан,

Пахнет Колумбия лишь кокаином,

Пахнет пшеница и рожь в Украине,

Мексика пахнет текилой и тако,

Пахнет на Кубе душистый табак.

Телом немытым, говном, перегаром,

Гарью удушливой, гнилью, угаром,

Пьяная ругань и запах сортира –

Внешние признаки русского мира,

Тленом и кровью, плешивым ,,мессией”,

Чуете вонь? Это запах России... 👍
Никогда мы не будем братьями!
Ни по родине, ни по матери.
Духа нет у вас быть свободными —
нам не стать с вами даже сводными.
Вы себя окрестили «старшими» —
нам бы младшими, да не вашими.
Вас так много, а, жаль, безликие.
Вы огромные, мы — великие.
А вы жмете… вы всё маетесь,
своей завистью вы подавитесь.
Воля — слово вам незнакомое,
вы все с детства в цепи закованы.
У вас дома «молчанье — золото»,
а у нас жгут коктейли Молотова,
да, у нас в сердце кровь горячая,
что ж вы нам за «родня» незрячая?
А у нас всех глаза бесстрашные,
без оружия мы опасные.
Повзрослели и стали смелыми
все у снайперов под прицелами.
Нас каты на колени ставили —
мы восстали и всё исправили.
И зря прячутся крысы, молятся —
они кровью своей умоются.
Вам шлют новые указания —
а у нас тут огни восстания.
У вас Царь, у нас — Демократия.
Никогда мы не будем братьями. 🔥",2022-05-06T07:55:13Z,1
8,Ugwa8b0Jbu7M-T67iiZ4AaABAg,Ян Ґанж,"Тому, що де є абщепАнятний 👅  = РуZкій мірь.",2022-05-06T07:57:41Z,0
9,Ugwa8b0Jbu7M-T67iiZ4AaABAg,Ян Ґанж,"Ярослав Гашек автор ""Бравого солдата Швека"" жив у Києві на початку 19 ст. Він писав що руссскія просять слов'ян спілкуватися з ними на абщепАнятном 👅, а потім защіщают русскій мірь зі зброєю в руках на територіях братніх народів.",2022-05-06T07:56:27Z,0
