,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgykC1ICDzwwH-kZRgJ4AaABAg,Vita St,"Христинко, яка ж ти молодець! 🇺🇦🇺🇦🇺🇦",2022-03-01T17:34:06Z,1
1,Ugypso1m9ett9Lbrdop4AaABAg,Ельвіра Петренко,"Речитатив: Часом буває щось тягне, мов магнітом, Туди, де навіть місяць ніколи не світить... Тільки ти знаєш ту п'яту сторону світу, Де ми з тобою були, а потім розтанули... Жаль холодом, Не кришталь за столом дзвенить, тремтить... Чуєш нутром, як печаль у мені мовчить, Трохи пекло, як ділили на двох усе тепло, Ніжно цілуй, не зруйнуй моє доміно... Приспів: І від твого форте було мені п'яно... Я гарячим воском для тебе стала... Та любов, як пісня, завтра буде пізно... Холодно чи тепло, ми з тобою різні... Від твоїх слів Виростають на вікні крижані квіти - Якби мені та самій не зледеніти... Що з тобою зимно - мені вже все одно, Тільки не ламай, не зруйнуй моє доміно...",2022-04-27T18:39:18Z,0
2,Ugw2EpdqyDYs6CYhMZ14AaABAg,Ельвіра Петренко,Thank you so much,2022-04-27T18:36:17Z,0
3,Ugz_vq72Xw9JRGJSBB54AaABAg,next stop,І ви тримайтесь там🙏 Будемо ще вільні та квітучі разом🤍,2022-04-10T14:49:15Z,2
4,UgwCm06fwtSnsIfbFd94AaABAg,Victor Lecavalier,"Дружище, извинения излишни. Это же не русский язык виноват в том, что один диктатор в Кремле решил влезть в Украину и убивать украинцев. Преступникам не принадлежит ни язык, ни национальность.",2022-01-24T01:35:30Z,3
5,UgyHmvtFix0ZvoDIbSZ4AaABAg,Володимир Довженко,эта лучше -- https://www.youtube.com/watch?v=PoCB3HcrNBU,2021-12-07T11:14:07Z,0
6,UgzjYKymWH_IZHN_OyB4AaABAg,Максим Чуєєв,"Що за фігню ти несеш? Ти бовдур, чи що?",2021-10-10T19:03:18Z,1
7,Ugy5Qs7DUbTPF-PXGPJ4AaABAg,Veronika F,Лікуйте голову,2021-08-27T07:31:56Z,6
8,UgyttksR1tnooLdatPp4AaABAg,Amorf Morf,Ти бовдур по життю...,2021-07-26T17:18:31Z,3
9,UgyMPvs_-FFO0jnYQCF4AaABAg,Ukrainian Ukrainian,"Мені теж так здалося, але це акцент російський...
Артикуляція російськомовної людини((((",2021-05-29T18:56:14Z,1
10,UgxJbZaY6JapFgET53l4AaABAg,Христина Соловій,❤️,2021-05-15T13:32:54Z,2
11,Ugxv4mz9iAVjYKBWMq54AaABAg,андрей хор,"Ukrainian bands :Hardkiss""  Сім Вітрів  song,  ""Один в Каноэ ""band with songs Дерево, Пишы, Хуанхэ, Небо, Будь мени кимось, Маленький Хлопчик",2021-09-09T18:58:39Z,0
12,UgwTrR4G57RLhpxwW2l4AaABAg,egk. SNAYPER,100% 🔥❤️,2022-04-30T16:59:03Z,0
13,UgwTrR4G57RLhpxwW2l4AaABAg,Богдан Панченко,А ще якби кожен тиснув палець догори..,2022-04-15T20:23:48Z,1
14,UgwTrR4G57RLhpxwW2l4AaABAg,Anton,Так!,2021-11-30T06:37:29Z,0
15,UgwTrR4G57RLhpxwW2l4AaABAg,Максим Чуєєв,"@I Artem l чого ти так думаєш? Якщо тут подивитися. то в основному тут сама Христина виконувала роль самої себе. І як мені відомо, їй тоді було 24 роки.",2021-10-10T19:13:44Z,1
16,UgwTrR4G57RLhpxwW2l4AaABAg,I Artem l,@Anton там дійсно педофелія,2021-09-07T19:46:10Z,0
17,Ugx_x5GU1Y3fxQBpH9J4AaABAg,Amorf Morf,"@Христина Соловій як тобі ,,внутрішня кухня,, нашої ,,богеми,, в країні? Відчуваю -- як крик в пустоту... Скільки бачу виконавців з українською ідентичністю, реально бомбезних, але кількість людей, готових прийняти це розчаровує... Звідси йде і спонсорування і взагалі можливість швидкого відновлення ідентичності в Україні, не в кращу сторону.... Кількість переглядів якісної, дуже якісної, україномовної музики сильно поступається навіть посередній попсі на ,,рюске язикє,,. Вибач що на ,,ти,,. Можна отримати відповідь на питання, від людини що ,,вариться,, всередині ,,всього цього,,-- є світло в кінці тунелю?",2021-03-16T21:58:39Z,2
18,Ugx_x5GU1Y3fxQBpH9J4AaABAg,Христина Соловій,"Прочитала)
Дякую❤️",2021-03-14T19:56:51Z,17
19,UgyMSvSBVmVBl0swtYZ4AaABAg,Amorf Morf,"Уже передёрнул? ,,Мутный,, ты наш)",2021-03-16T21:33:25Z,0
20,UgzG_nlWEj9ODV6KHYN4AaABAg,oleg kunanets,"ми всі ""лемки"" насправді",2021-03-06T18:06:44Z,2
21,UgzM4TF_BVZUk5K5WTt4AaABAg,KOST1K Kosmos,"всё потому что тут нету гей пропаганды, и разврата 
сейчас только это в топе",2022-04-05T20:08:49Z,1
22,UgzM4TF_BVZUk5K5WTt4AaABAg,Ярослав,@Oktober First замість бабла все можуть зробити українці. Досить зробити гарний хештег і розкрутити через соцмережі - і за пару днів у Христини буде контракт десь в США.,2022-02-20T20:22:21Z,2
23,UgzM4TF_BVZUk5K5WTt4AaABAg,OlderSpud,"Это только из-за того, что она поёт на национальном языке, если Христина выпустит что-то на английском, это немедленно окажется в чартах, mark my words.",2022-02-06T11:00:30Z,2
24,UgzM4TF_BVZUk5K5WTt4AaABAg,Vlad Lykhota,"Гарна спiвачка. Але в цiй пiснi маю враження, що вона хоче бути Ланою дель Рей. Тому мабудь не свiтовий хiт. Краще як вона спiваэ як Христина.",2022-01-28T21:19:21Z,1
25,UgzM4TF_BVZUk5K5WTt4AaABAg,Oktober First,"Хтось мало грошей вкинув в рекламу. А так таких хітярів по світу гай-гай скільки а ми і не знаєм. В ротації те саме, яке і раз чути не завше варто...",2021-10-24T07:16:14Z,6
26,UgxZeVTbMR_IO9enjHl4AaABAg,KOST1K Kosmos,"та забей, зачем за это извиняться 
какая разница на каком языке общаться",2022-04-05T20:09:58Z,6
27,UgxZeVTbMR_IO9enjHl4AaABAg,Y_ Appleman,"так напиши українською, нехай навіть і з помилками:)",2021-04-22T08:45:28Z,13
