,id,comment,author,likecount,publishedAt
0,UgykC1ICDzwwH-kZRgJ4AaABAg,"Лаштуй свою зброю - це наша з тобою земля:
Тисни гачок - я твоя куля,
Тисни йще раз - я несу мир! 🇺🇦
https://youtu.be/BpVbCPE0dOQ",Христина Соловій,41,2022-02-26T23:14:07Z
1,UgxgXnd5a76UROmT90R4AaABAg,"Дякую за гарну пісню, але в мене є зауваження до вашої пісні це потів я вам напишу",Дмитрий Беринец,0,2022-05-08T10:35:38Z
2,UgxVNA33bsosqXvDOYZ4AaABAg,Beautiful,Nekrasov Nick,1,2022-05-07T12:59:05Z
3,UgybdSvjPHrRVmXfIel4AaABAg,"Христина це дійсно соловій, чарівний голос",Весёлый Роджер,1,2022-05-06T08:50:32Z
4,Ugzl7aeN5u4iKH00ybh4AaABAg,Неймовірне виконання. Браво. Талант. 🥰🥰🥰🥰🇺🇦🇺🇦🇺🇦🇺🇦,Олеся Шеремет,1,2022-05-03T20:05:45Z
5,UgyD-kd3kERnFXrTL0B4AaABAg,"це шо, Лана дел Рей?",Layyly,0,2022-05-03T15:30:18Z
6,UgyIF59BAP8I-8rpH-F4AaABAg,💙💛💙💛💙💛🌹👍👏,Ирина Распутняя,1,2022-05-02T14:10:19Z
7,UgzrPATx5mv49SvIEUB4AaABAg,Кліп такий..💘,your_ yuki,1,2022-04-29T09:27:53Z
8,UgxGNfNrBGet3gDjlnB4AaABAg,Це просто оргазм для вух😻😻😻,Yulka TV,2,2022-04-29T09:05:53Z
9,Ugw94KiehGqm9j0x6V14AaABAg,Неймовірний голос!,O M,1,2022-04-28T03:48:05Z
10,Ugx6lWOmS5XHklTa7RN4AaABAg,❤️❤️❤️,Tosi Isot,2,2022-04-23T18:30:18Z
11,UgyI1h_eujb_kvsqUA14AaABAg,"Сьогодні 19.04.22. Дякую, Христиночко! Слава ЗСУ! Ми переможемо! Україна понад усе!!!",Happiness,4,2022-04-19T15:06:31Z
12,UgwQNwF_u94wUKtPi2Z4AaABAg,я пишаюсь що я Українка 🇺🇦🙏🏼,Настя,3,2022-04-16T11:47:26Z
13,Ugx8IF7wmA1lKdrRup54AaABAg,дуже красиво і чуттєво 🕊💔,Сашко Кісіль,2,2022-04-10T19:08:14Z
14,UgxDZvXpEejSZLMV6lB4AaABAg,This song lyrics in Ukraine,Nikhil Singh,3,2022-04-09T03:50:12Z
15,Ugypso1m9ett9Lbrdop4AaABAg,Хтось допоможи мені,Nikhil Singh,0,2022-04-09T03:49:51Z
16,Ugz4JrtR8abkBKH2rV54AaABAg,як я можу вивчити цю пісню українською мовою,Nikhil Singh,0,2022-04-09T03:49:26Z
17,UgyWJ1NOmIQb9gcU_cZ4AaABAg,"Вы дыхание забираете )
благодарю за песню .",Turbohpzp,3,2022-04-05T16:50:33Z
18,UgzY7TA3VJVd-9ED15N4AaABAg,И меня магнитит,Turbohpzp,1,2022-04-05T16:48:31Z
19,UgzZyJOF8FPpvBjlZ8l4AaABAg,Так жалко що зараз так....😭Хто не зрозумів подивіться її останнє фото...😭😭😭😭😭😭,Златан🌚🤙,0,2022-04-04T18:52:53Z
20,UgzKEgNvqkBYS1FN_NF4AaABAg,"Ну просто янгол - красуня, з неймовірним голосом",be niceovna,1,2022-04-03T07:09:29Z
21,UgwBFS3UI5_9nwsQ4Oh4AaABAg,Христина як і мій улюблений Хливнюк - талантище і трохи косможитель! Браво!,Rasmusin Ras,0,2022-04-02T13:51:00Z
22,UgxzewwiiTbgKUxlbQh4AaABAg,"Христина, я тебя обожаю!!! Слушаю все твои песни!",Ruslan Kononenko,1,2022-04-01T17:36:07Z
23,UgxJfSt9t6iKfsLcRT14AaABAg,"Це 5 точка ?  сестра Марини Порошенко ?  хто  вона  сестра Оксани Марченко ?  НЕЗРОЗУМІЛЕ  . А  вона  аристократка вигадана чорна , а  .... тече ,  тоді  ізвон ,  пардон .",Евгений Баттон,0,2022-03-27T14:25:38Z
24,Ugy_YVUlyGmeJmuArxR4AaABAg,Dfjcgnc fhffjjt gfjjfnfjfn  rndkfkdj tkfkjffjfnrf rjfjfnfjfh rjrhjbt rnjrjh,Ілля Андреєв,0,2022-03-24T18:26:16Z
25,UgxIPeOeO2UJidkhNmV4AaABAg,"Piękny głos! Czysty niczym kryształ.
❤🇺🇦👍🇵🇱",floyd44,13,2022-03-19T21:13:52Z
26,Ugw2EpdqyDYs6CYhMZ14AaABAg,Amazing Ukrainian artist. Love all her songs. And what a voice! Love and respect from Australia 🇦🇺,Noonzy,23,2022-03-16T10:16:47Z
27,UgzzZJuwE7I76UGK9gB4AaABAg,"Почему я плачу, божечки аж мурашки😍😍😍",Аня Литвенко,1,2022-03-15T18:14:08Z
28,UgzYA0C9DvHrwHXeIyl4AaABAg,Очень красивое исполнение! Молодец!!!,Наташа Степанова,3,2022-03-09T09:45:06Z
29,UgwGYrIEKknjVlaza2x4AaABAg,"Це наш  щіт !!! Україна не тільки сильна, а також і дуже співоча!!!! Люлю тебе!!!!!🇺🇦🇺🇦🇺🇦💙💛💙💛💪💪💪",Olena Onachynska,3,2022-03-09T05:13:44Z
30,Ugz_vq72Xw9JRGJSBB54AaABAg,"Мої привітання з Донецьку! Яка в нас гарна, мелодійна та одним словом солов’їна мова! Миру всім, тримайтесь, любі!",Влад,30,2022-03-09T05:00:07Z
31,Ugw1_v60v7PH_-skeMN4AaABAg,Ти дивовижна,Ярослав Ободзинський,2,2022-03-06T17:47:16Z
