,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgwVU3fNacIV48Udunl4AaABAg,Custard,"Вокал записанный на студии и спето в живую без фанеры два разных исполнения. В живую в ноты не попала, не дотянула и вообще слух резало",2020-08-11T21:59:47Z,2
1,UgwVU3fNacIV48Udunl4AaABAg,Ludmila sun sea,В 2020 пришла профи Тина и сделали правильный выбор GO-A,2020-03-12T12:29:48Z,0
2,UgwZRwNSPPkjGtNwoTN4AaABAg,Cookingwithkanan,Да  да да и ятак думалл,2020-11-21T18:29:08Z,0
3,UgzSNRqawtjLaNaQtlx4AaABAg,Alex Sandra,В студийной записи у всех исполнителей идеально выдержанные ноты.,2019-11-15T17:25:46Z,0
4,UgxypzAFRO2SXbphgz94AaABAg,Boby Music,@•EurovisionDog• yup i saw...,2019-06-27T13:30:39Z,0
5,UgxypzAFRO2SXbphgz94AaABAg,•EurovisionDog•,and live performance was really bad,2019-06-27T12:53:57Z,3
6,UgxypzAFRO2SXbphgz94AaABAg,Laxian 74,they ended on third place in their national final,2019-06-20T20:25:34Z,4
7,Ugymj4bp8lAv67Ug2Kt4AaABAg,сергей патерило,знаеш такое слово.\попустительство\,2019-07-01T06:09:02Z,1
8,Ugymj4bp8lAv67Ug2Kt4AaABAg,Николай Сергеевич,@TheOlgaSasha Кто же вас звал на восток ??? Не хотят жить люди с вами - хотят свою правду и не хотят с нациками дружить - не хотят гибнуть от бомб,2019-06-16T22:40:03Z,0
9,Ugymj4bp8lAv67Ug2Kt4AaABAg,TheOlgaSasha,"Ну, как сказать, кажд день гибнут наши ребята на востоке, потому что РФ через 300 км неконтрол.границьі ежедневно еаправляет туда оружие и людей нас убивать. С..битесь нах... от нас, где РФ - там война, запустение и ложь...",2019-06-16T22:22:55Z,8
10,UgxkVkQzDkHcQ7KoOrd4AaABAg,Aля,@Наталья Лукьянова рівно як і вам,2019-07-01T07:54:06Z,0
11,UgxkVkQzDkHcQ7KoOrd4AaABAg,Aля,"@Наталья Лукьянова ""моя фамилия слишком известна, чтобы я вам ее называл""",2019-07-01T06:22:11Z,0
12,Ugz4QB9c2OOym75PF3l4AaABAg,сергей патерило,крути дальше,2019-08-12T10:36:33Z,1
13,UgzegU8Uz6MgiMrSsuV4AaABAg,Sara Vidal & Sua Mamã Cristina Vidal,"Meu nome é Cristina Vidal,  fiquei fã de vocês!!! 
Quando vocês vêem ao Brasil???
Quero muito conhecê Los.
💙💛💙💛💙💛=💚💛💚💛💚💛",2019-06-02T14:33:20Z,1
14,UgwmwM9gJ5-UYgtTpHR4AaABAg,Уляна hhh,"@Наталья Лукьянова Эм... Вы слышали КАК она спела эту песню на отборе Евровидения? Если да, и Вам всё понравилось, то я просто промолчу.",2019-07-01T11:16:50Z,0
